날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,3.324,3.235,3.326,3.23,3.71%
2022년 05월 30일,3.205,3.223,3.229,3.183,-0.37%
2022년 05월 29일,3.217,3.217,3.217,3.217,0.00%
2022년 05월 28일,3.217,3.217,3.217,3.217,0.19%
2022년 05월 27일,3.211,3.2,3.242,3.19,-0.86%
2022년 05월 26일,3.239,3.184,3.275,3.182,2.08%
2022년 05월 25일,3.173,3.186,3.207,3.168,-1.34%
2022년 05월 24일,3.216,3.269,3.279,3.209,-1.26%
2022년 05월 23일,3.257,3.211,3.281,3.208,0.52%
2022년 05월 22일,3.24,3.24,3.24,3.24,0.00%
2022년 05월 21일,3.24,3.24,3.24,3.24,-0.22%
2022년 05월 20일,3.247,3.29,3.295,3.237,-1.81%
2022년 05월 19일,3.307,3.275,3.32,3.275,-0.39%
2022년 05월 18일,3.32,3.32,3.336,3.291,0.94%
2022년 05월 17일,3.289,3.279,3.302,3.279,-0.06%
2022년 05월 16일,3.291,3.31,3.34,3.23,1.89%
2022년 05월 15일,3.23,3.23,3.23,3.23,0.00%
2022년 05월 14일,3.23,3.23,3.23,3.23,0.44%
2022년 05월 13일,3.216,3.185,3.241,3.185,1.55%
2022년 05월 12일,3.167,3.257,3.293,3.128,-3.24%
2022년 05월 11일,3.273,3.345,3.345,3.273,-3.82%
2022년 05월 10일,3.403,3.374,3.421,3.327,-0.29%
2022년 05월 09일,3.413,3.489,3.497,3.408,-0.20%
2022년 05월 08일,3.42,3.42,3.42,3.42,0.00%
2022년 05월 07일,3.42,3.42,3.42,3.42,-0.49%
2022년 05월 06일,3.437,3.475,3.503,3.437,0.26%
2022년 05월 05일,3.428,3.428,3.428,3.428,-0.98%
2022년 05월 04일,3.462,3.391,3.467,3.382,1.58%
2022년 05월 03일,3.408,3.418,3.426,3.34,1.07%
2022년 05월 02일,3.372,3.315,3.395,3.315,4.23%
2022년 05월 01일,3.235,3.235,3.235,3.235,0.00%
2022년 04월 30일,3.235,3.235,3.235,3.235,-0.31%
2022년 04월 29일,3.245,3.211,3.256,3.197,2.43%
2022년 04월 28일,3.168,3.206,3.231,3.152,0.16%
2022년 04월 27일,3.163,3.14,3.188,3.097,-1.00%
2022년 04월 26일,3.195,3.183,3.231,3.168,-0.47%
