,date,bkx,open,high,low,volume,bkx_cr
0,2021-12-27,132.8300018310547,131.58999633789062,132.85000610351562,130.8300018310547,0,nan%
1,2021-12-28,132.7899932861328,132.39999389648438,133.8000030517578,132.39999389648438,0,-0.03%
2,2021-12-29,132.77000427246094,133.02999877929688,133.39999389648438,132.58999633789062,0,-0.02%
3,2021-12-30,132.3000030517578,132.92999267578125,133.91000366210938,132.22000122070312,0,-0.35%
4,2021-12-31,132.22000122070312,132.0,132.75999450683594,131.86000061035156,0,-0.06%
5,2022-01-03,135.69000244140625,133.74000549316406,135.9600067138672,133.69000244140625,0,2.62%
6,2022-01-04,140.2899932861328,137.3300018310547,141.13999938964844,137.30999755859375,0,3.39%
7,2022-01-05,138.77000427246094,141.14999389648438,141.6300048828125,138.63999938964844,0,-1.08%
8,2022-01-06,143.27999877929688,140.7100067138672,143.3300018310547,139.89999389648438,0,3.25%
9,2022-01-07,145.57000732421875,143.4499969482422,145.8699951171875,143.00999450683594,0,1.60%
10,2022-01-10,145.25,146.82000732421875,147.27999877929688,143.6699981689453,0,-0.22%
11,2022-01-11,146.5399932861328,145.8800048828125,146.60000610351562,144.4199981689453,0,0.89%
12,2022-01-12,147.27999877929688,147.0399932861328,148.10000610351562,146.52999877929688,0,0.50%
13,2022-01-13,147.55999755859375,147.83999633789062,148.9600067138672,147.13999938964844,0,0.19%
14,2022-01-14,147.10000610351562,145.8699951171875,147.16000366210938,144.1199951171875,0,-0.31%
15,2022-01-18,143.57000732421875,147.13999938964844,147.47999572753906,142.94000244140625,0,-2.40%
16,2022-01-19,139.07000732421875,144.60000610351562,144.69000244140625,139.0399932861328,0,-3.13%
17,2022-01-20,136.77000427246094,138.8800048828125,140.9199981689453,136.5,0,-1.65%
18,2022-01-21,132.35000610351562,135.67999267578125,135.67999267578125,131.67999267578125,0,-3.23%
19,2022-01-24,133.6300048828125,130.36000061035156,134.0399932861328,127.30000305175781,0,0.97%
20,2022-01-25,134.2899932861328,132.5,135.36000061035156,129.7899932861328,0,0.49%
21,2022-01-26,134.66000366210938,135.19000244140625,137.1300048828125,132.69000244140625,0,0.28%
22,2022-01-27,133.0399932861328,136.24000549316406,137.6699981689453,132.14999389648438,0,-1.20%
23,2022-01-28,134.4199981689453,132.55999755859375,134.4499969482422,130.6999969482422,0,1.04%
24,2022-01-31,134.97999572753906,133.24000549316406,135.3000030517578,131.94000244140625,0,0.42%
25,2022-02-01,138.19000244140625,134.83999633789062,138.38999938964844,134.66000366210938,0,2.38%
26,2022-02-02,138.74000549316406,137.8000030517578,138.9499969482422,136.6999969482422,0,0.40%
27,2022-02-03,137.3000030517578,138.8000030517578,139.9199981689453,137.02999877929688,0,-1.04%
28,2022-02-04,140.0500030517578,137.8000030517578,141.19000244140625,137.77000427246094,0,2.00%
29,2022-02-07,140.91000366210938,140.38999938964844,141.72999572753906,139.5,0,0.61%
30,2022-02-08,143.77000427246094,142.57000732421875,144.0800018310547,142.3699951171875,0,2.03%
31,2022-02-09,143.89999389648438,143.86000061035156,144.6999969482422,143.39999389648438,0,0.09%
32,2022-02-10,143.44000244140625,143.77000427246094,146.25999450683594,142.75999450683594,0,-0.32%
33,2022-02-11,141.47000122070312,142.32000732421875,145.4499969482422,140.4499969482422,0,-1.37%
34,2022-02-14,140.02000427246094,141.85000610351562,142.4199981689453,138.75999450683594,0,-1.02%
35,2022-02-15,142.66000366210938,141.4600067138672,143.16000366210938,141.41000366210938,0,1.89%
36,2022-02-16,143.00999450683594,141.66000366210938,143.82000732421875,141.66000366210938,0,0.25%
37,2022-02-17,137.7899932861328,141.24000549316406,141.60000610351562,137.33999633789062,0,-3.65%
38,2022-02-18,137.1999969482422,137.5500030517578,139.07000732421875,136.6699981689453,0,-0.43%
39,2022-02-22,137.0,136.9600067138672,138.3300018310547,135.66000366210938,0,-0.15%
40,2022-02-23,133.5500030517578,137.8300018310547,138.4199981689453,133.0500030517578,0,-2.52%
41,2022-02-24,130.7100067138672,129.97000122070312,131.08999633789062,126.19999694824219,0,-2.13%
42,2022-02-25,135.94000244140625,131.72000122070312,136.25,131.6999969482422,0,4.00%
43,2022-02-28,134.16000366210938,133.75,134.9600067138672,132.42999267578125,0,-1.31%
44,2022-03-01,126.4800033569336,132.89999389648438,133.0399932861328,125.4800033569336,0,-5.72%
45,2022-03-02,131.0399932861328,127.93000030517578,131.86000061035156,127.80999755859375,0,3.61%
46,2022-03-03,129.92999267578125,131.27000427246094,131.7899932861328,128.67999267578125,0,-0.85%
47,2022-03-04,125.51000213623047,127.16999816894531,127.16999816894531,123.77999877929688,0,-3.40%
48,2022-03-07,119.69999694824219,124.26000213623047,124.41999816894531,119.66999816894531,0,-4.63%
49,2022-03-08,120.45999908447266,121.2300033569336,124.12000274658203,119.41999816894531,0,0.63%
50,2022-03-09,125.45999908447266,123.62999725341797,126.66000366210938,123.62999725341797,0,4.15%
51,2022-03-10,124.02999877929688,124.08000183105469,125.22000122070312,122.33000183105469,0,-1.14%
52,2022-03-11,122.66000366210938,125.04000091552734,126.37999725341797,122.56999969482422,0,-1.10%
53,2022-03-14,124.77999877929688,124.37000274658203,127.13999938964844,124.02999877929688,0,1.73%
54,2022-03-15,125.73999786376953,125.61000061035156,126.55999755859375,124.08000183105469,0,0.77%
55,2022-03-16,130.30999755859375,127.58999633789062,130.8800048828125,127.51000213623047,0,3.63%
56,2022-03-17,130.14999389648438,128.52000427246094,130.16000366210938,126.79000091552734,0,-0.12%
57,2022-03-18,129.97000122070312,129.77999877929688,130.30999755859375,127.44000244140625,0,-0.14%
58,2022-03-21,129.27999877929688,130.52999877929688,131.27999877929688,128.2899932861328,0,-0.53%
59,2022-03-22,132.22000122070312,131.0800018310547,133.5399932861328,131.0500030517578,0,2.27%
60,2022-03-23,128.52999877929688,131.22000122070312,131.36000061035156,128.3000030517578,0,-2.79%
61,2022-03-24,129.36000061035156,129.32000732421875,129.8800048828125,128.3000030517578,0,0.65%
62,2022-03-25,131.33999633789062,129.77999877929688,131.83999633789062,129.72000122070312,0,1.53%
63,2022-03-28,129.82000732421875,130.57000732421875,130.57000732421875,127.87999725341797,0,-1.16%
64,2022-03-29,130.97999572753906,131.8699951171875,132.7100067138672,130.16000366210938,0,0.89%
65,2022-03-30,128.08999633789062,130.8300018310547,130.8699951171875,127.2300033569336,0,-2.21%
66,2022-03-31,124.13999938964844,127.73999786376953,128.25,124.13999938964844,0,-3.08%
67,2022-04-01,122.58000183105469,125.23999786376953,125.58999633789062,121.83999633789062,0,-1.26%
68,2022-04-04,122.55999755859375,122.1500015258789,123.25,120.51000213623047,0,-0.02%
69,2022-04-05,121.30999755859375,121.7699966430664,122.98999786376953,121.08999633789062,0,-1.02%
70,2022-04-06,119.66999816894531,120.61000061035156,120.83000183105469,119.33999633789062,0,-1.35%
71,2022-04-07,118.81999969482422,119.91999816894531,119.94000244140625,116.88999938964844,0,-0.71%
