,date,bok_rate
0,1999-05-06,4.75
1,2000-02-10,5.0
2,2000-10-05,5.25
3,2001-02-08,5.0
4,2001-07-05,4.75
5,2001-08-09,4.5
6,2001-09-19,4.0
7,2002-05-07,4.25
8,2003-05-13,4.0
9,2003-07-10,3.75
10,2004-08-12,3.5
11,2004-11-11,3.25
12,2005-10-11,3.5
13,2005-12-08,3.75
14,2006-02-09,4.0
15,2006-06-08,4.25
16,2006-08-10,4.5
17,2007-07-12,4.75
18,2007-08-09,5.0
19,2008-08-07,5.25
20,2008-10-09,5.0
21,2008-10-27,4.25
22,2008-11-07,4.0
23,2008-12-11,3.0
24,2009-01-09,2.5
25,2009-02-12,2.0
26,2010-07-09,2.25
27,2010-11-16,2.5
28,2011-01-13,2.75
29,2011-03-10,3.0
30,2011-06-10,3.25
31,2012-07-12,3.0
32,2012-10-11,2.75
33,2013-05-09,2.5
34,2014-08-14,2.25
35,2014-10-15,2.0
36,2015-03-12,1.75
37,2015-06-11,1.5
38,2016-06-09,1.25
39,2017-11-30,1.5
40,2018-11-30,1.75
41,2019-07-18,1.5
42,2019-10-16,1.25
43,2020-03-17,0.75
44,2020-05-28,0.5
45,2021-08-26,0.75
46,2021-11-25,1.0
47,2022-01-14,1.25
48,2022-04-14,1.5
49,2022-05-26,1.75
50,2022-07-13,2.25
51,2022-08-25,2.5
52,2022-10-12,3.0
53,2022-11-24,3.25
54,2023-01-13,3.5
55,2023-02-23,3.5
56,2024-10-11,3.25
57,2024-11-28,3.0
