,date,dji_f,open,high,low,volume,dji_f_cr
0,2021-12-27,36178.0,35831.0,36206.0,35759.0,91647,nan%
1,2021-12-28,36282.0,36180.0,36408.0,36113.0,115487,0.29%
2,2021-12-29,36381.0,36278.0,36463.0,36250.0,94675,0.27%
3,2021-12-30,36291.0,36394.0,36572.0,36255.0,85639,-0.25%
4,2021-12-31,36226.0,36296.0,36371.0,36121.0,76942,-0.18%
5,2022-01-03,36455.0,36304.0,36472.0,36120.0,158894,0.63%
6,2022-01-04,36675.0,36432.0,36804.0,36409.0,175657,0.60%
7,2022-01-05,36291.0,36656.0,36832.0,36279.0,243988,-1.05%
8,2022-01-06,36123.0,36309.0,36418.0,36074.0,266023,-0.46%
9,2022-01-07,36107.0,36173.0,36265.0,35988.0,218010,-0.04%
10,2022-01-10,35952.0,36121.0,36171.0,35521.0,268667,-0.43%
11,2022-01-11,36128.0,35948.0,36153.0,35641.0,220376,0.49%
12,2022-01-12,36160.0,36131.0,36332.0,36040.0,175020,0.09%
13,2022-01-13,35989.0,36179.0,36390.0,35921.0,217100,-0.47%
14,2022-01-14,35796.0,36002.0,36114.0,35515.0,256880,-0.54%
15,2022-01-18,35259.0,35856.0,35901.0,35135.0,322172,-1.50%
16,2022-01-19,34910.0,35301.0,35430.0,34883.0,296130,-0.99%
17,2022-01-20,34616.0,34953.0,35379.0,34407.0,272488,-0.84%
18,2022-01-21,34157.0,34556.0,34782.0,34100.0,335699,-1.33%
19,2022-01-24,34253.0,34143.0,34410.0,33031.0,465699,0.28%
20,2022-01-25,34185.0,34294.0,34472.0,33422.0,340838,-0.20%
21,2022-01-26,34055.0,33969.0,34699.0,33745.0,319037,-0.38%
22,2022-01-27,34043.0,34071.0,34658.0,33532.0,329887,-0.04%
23,2022-01-28,34595.0,34240.0,34622.0,33613.0,315125,1.62%
24,2022-01-31,34997.0,34576.0,35026.0,34313.0,234760,1.16%
25,2022-02-01,35274.0,34915.0,35316.0,34833.0,209606,0.79%
26,2022-02-02,35492.0,35232.0,35590.0,35167.0,222533,0.62%
27,2022-02-03,34971.0,35545.0,35569.0,34941.0,234690,-1.47%
28,2022-02-04,34978.0,35113.0,35212.0,34668.0,266481,0.02%
29,2022-02-07,34969.0,35002.0,35205.0,34806.0,174182,-0.03%
30,2022-02-08,35342.0,35001.0,35426.0,34931.0,182374,1.07%
31,2022-02-09,35641.0,35382.0,35752.0,35370.0,166011,0.85%
32,2022-02-10,35139.0,35717.0,35750.0,34990.0,282693,-1.41%
33,2022-02-11,34627.0,35128.0,35330.0,34511.0,319729,-1.46%
34,2022-02-14,34471.0,34665.0,34755.0,34205.0,274108,-0.45%
35,2022-02-15,34904.0,34472.0,34968.0,34345.0,193885,1.26%
36,2022-02-16,34851.0,34886.0,35060.0,34558.0,196641,-0.15%
37,2022-02-17,34231.0,34842.0,34910.0,34171.0,209143,-1.78%
38,2022-02-18,34007.0,34237.0,34500.0,33900.0,232775,-0.65%
39,2022-02-22,33525.0,33869.0,34349.0,33292.0,450328,-1.42%
40,2022-02-23,33066.0,33585.0,33824.0,33015.0,238843,-1.37%
41,2022-02-24,33156.0,33052.0,33205.0,32167.0,438495,0.27%
42,2022-02-25,33994.0,33036.0,34034.0,32762.0,286523,2.53%
43,2022-02-28,33840.0,33678.0,33914.0,33322.0,303760,-0.45%
