,date,dxy,open,high,low,volume,dxy_cr
0,2020-01-02,96.168,95.78,96.17,95.78,0.20K,0.50%
1,2020-01-03,96.166,96.13,96.415,96.11,0.03K,-0.00%
2,2020-01-06,95.995,96.205,96.205,95.915,0.02K,-0.18%
3,2020-01-07,96.347,96.01,96.42,96.01,0.07K,0.37%
4,2020-01-08,96.636,96.29,96.66,96.29,0.04K,0.30%
5,2020-01-09,96.801,96.635,96.895,96.635,0.07K,0.17%
6,2020-01-10,96.703,96.86,96.92,96.645,0.06K,-0.10%
7,2020-01-13,96.685,96.775,96.83,96.65,0.06K,-0.02%
8,2020-01-14,96.72,96.7,96.885,96.695,0.04K,0.04%
9,2020-01-15,96.579,96.74,96.775,96.515,0.09K,-0.15%
10,2020-01-16,96.682,96.56,96.7,96.455,0.06K,0.11%
11,2020-01-17,96.979,96.675,97.0,96.675,0.01K,0.31%
12,2020-01-20,96.979,97.09,97.09,97.03,0.01K,0.00%
13,2020-01-21,96.908,96.975,96.98,96.78,0.06K,-0.07%
14,2020-01-22,96.92,96.895,96.97,96.79,0.01K,0.01%
15,2020-01-23,97.102,96.955,97.195,96.91,0.02K,0.19%
16,2020-01-24,97.265,97.11,97.35,97.11,0.05K,0.17%
17,2020-01-27,97.382,97.25,97.4,97.25,0.09K,0.12%
18,2020-01-28,97.45,97.385,97.555,97.385,0.06K,0.07%
19,2020-01-29,97.434,97.435,97.555,97.41,0.01K,-0.02%
20,2020-01-30,97.321,97.47,97.47,97.28,0.06K,-0.12%
21,2020-01-31,96.843,97.33,97.4,96.8,0.06K,-0.49%
22,2020-02-03,97.265,96.885,97.465,96.885,0.14K,0.44%
23,2020-02-04,97.442,97.3,97.47,97.3,0.05K,0.18%
24,2020-02-05,97.788,97.475,97.8,97.46,0.04K,0.36%
25,2020-02-06,98.009,97.795,98.07,97.775,0.09K,0.23%
26,2020-02-07,98.201,97.92,98.215,97.92,0.37K,0.20%
27,2020-02-10,98.344,98.17,98.4,98.13,0.05K,0.15%
28,2020-02-11,98.227,98.37,98.415,98.23,0.06K,-0.12%
29,2020-02-12,98.552,98.31,98.515,98.23,0.12K,0.33%
30,2020-02-13,98.588,98.535,98.605,98.5,0.03K,0.04%
31,2020-02-14,98.635,98.64,98.685,98.54,0.02K,0.05%
32,2020-02-17,98.635,98.635,98.71,98.595,0.02K,0.00%
33,2020-02-18,98.963,98.765,99.005,98.69,0.12K,0.33%
34,2020-02-19,99.227,98.935,99.225,98.925,0.11K,0.27%
35,2020-02-20,99.406,99.175,99.44,99.175,0.26K,0.18%
36,2020-02-21,98.81,99.38,99.4,98.775,0.30K,-0.60%
37,2020-02-24,98.909,99.0,99.19,98.665,0.30K,0.10%
38,2020-02-25,98.536,98.87,98.945,98.475,0.22K,-0.38%
39,2020-02-26,98.593,98.625,98.86,98.51,0.21K,0.06%
40,2020-02-27,98.131,98.64,98.64,97.98,0.48K,-0.47%
41,2020-02-28,97.786,98.07,98.315,97.64,1.10K,-0.35%
42,2020-03-02,97.046,97.545,97.71,96.87,1.29K,-0.76%
43,2020-03-03,96.902,97.24,97.375,96.635,1.24K,-0.15%
44,2020-03-04,97.101,96.955,97.33,96.9,1.32K,0.21%
45,2020-03-05,96.588,97.11,97.12,96.3,0.98K,-0.53%
46,2020-03-06,95.785,96.475,96.475,95.54,3.48K,-0.83%
47,2020-03-09,94.744,95.65,95.685,94.53,14.93K,-1.09%
48,2020-03-10,96.279,95.225,96.465,95.06,10.29K,1.62%
49,2020-03-11,96.442,96.21,96.535,95.81,10.28K,0.17%
50,2020-03-12,97.654,96.545,98.4,96.015,52.41K,1.26%
51,2020-03-13,98.904,97.595,99.07,97.385,64.17K,1.28%
52,2020-03-16,98.152,98.45,98.685,97.58,27.31K,-0.76%
53,2020-03-17,99.719,98.53,99.96,98.485,0.05K,1.60%
54,2020-03-18,101.623,99.37,102.0,99.37,0.10K,1.91%
55,2020-03-19,103.78,102.07,103.98,101.305,0.03K,2.12%
56,2020-03-20,103.582,103.63,103.665,102.5,0.04K,-0.19%
57,2020-03-23,103.32,103.58,103.97,102.5,0.03K,-0.25%
58,2020-03-24,102.312,102.8,102.8,101.61,0.09K,-0.98%
59,2020-03-25,101.055,101.825,101.96,100.855,0.03K,-1.23%
60,2020-03-26,99.468,100.58,100.58,99.395,0.04K,-1.57%
61,2020-03-27,98.526,99.485,99.96,98.39,0.05K,-0.95%
62,2020-03-30,99.246,98.62,99.29,98.345,0.06K,0.73%
63,2020-03-31,99.092,99.755,99.985,99.0,0.04K,-0.16%
64,2020-04-01,99.753,98.975,99.775,98.975,0.05K,0.67%
65,2020-04-02,100.271,99.75,100.37,99.68,0.04K,0.52%
66,2020-04-03,100.677,100.335,100.985,100.32,0.05K,0.40%
67,2020-04-06,100.77,100.66,101.015,100.66,0.02K,0.09%
68,2020-04-07,99.929,100.66,100.66,99.705,0.07K,-0.83%
69,2020-04-08,100.155,99.97,100.46,99.97,0.05K,0.23%
70,2020-04-09,99.477,100.325,100.325,99.38,0.04K,-0.68%
71,2020-04-13,99.306,99.38,99.505,99.105,0.01K,-0.17%
72,2020-04-14,98.852,99.25,99.25,98.78,0.07K,-0.46%
73,2020-04-15,99.451,99.035,99.96,99.035,0.03K,0.61%
74,2020-04-16,100.065,99.895,100.2,99.645,0.02K,0.62%
75,2020-04-17,99.81,99.715,100.25,99.655,0.04K,-0.25%
76,2020-04-20,100.034,99.925,100.115,99.835,0.02K,0.22%
77,2020-04-21,100.354,100.25,100.58,100.25,0.05K,0.32%
78,2020-04-22,100.508,100.37,100.59,100.02,0.05K,0.15%
79,2020-04-23,100.527,100.58,100.77,100.18,0.07K,0.02%
80,2020-04-24,100.424,100.675,100.9,100.335,0.06K,-0.10%
81,2020-04-27,100.107,100.39,100.4,99.9,0.08K,-0.32%
82,2020-04-28,99.944,100.22,100.255,99.545,0.01K,-0.16%
