,date,fg_index,rating
0,2011-01-03,68,greed
1,2011-01-04,68,greed
2,2011-01-05,67,greed
3,2011-01-06,64,greed
4,2011-01-07,63,greed
5,2011-01-10,58,greed
6,2011-01-11,58,greed
7,2011-01-12,58,greed
8,2011-01-13,58,greed
9,2011-01-14,60,greed
10,2011-01-18,56,greed
11,2011-01-19,55,greed
12,2011-01-20,54,neutral
13,2011-01-21,47,neutral
14,2011-01-24,45,neutral
15,2011-01-25,43,fear
16,2011-01-26,43,fear
17,2011-01-27,43,fear
18,2011-01-28,43,fear
19,2011-01-31,41,fear
20,2011-02-01,41,fear
21,2011-02-02,46,neutral
22,2011-02-03,47,neutral
23,2011-02-04,49,neutral
24,2011-02-07,56,greed
25,2011-02-08,56,greed
26,2011-02-09,56,greed
27,2011-02-10,56,greed
28,2011-02-11,56,greed
29,2011-02-14,61,greed
30,2011-02-15,61,greed
31,2011-02-16,61,greed
32,2011-02-17,61,greed
33,2011-02-18,56,greed
34,2011-02-22,42,fear
35,2011-02-23,42,fear
36,2011-02-24,42,fear
37,2011-02-25,42,fear
38,2011-02-28,43,fear
39,2011-03-01,43,fear
40,2011-03-02,42,fear
41,2011-03-03,41,fear
42,2011-03-04,39,fear
43,2011-03-07,35,fear
44,2011-03-08,27,fear
45,2011-03-09,26,fear
46,2011-03-10,26,fear
47,2011-03-11,26,fear
48,2011-03-14,13,extreme fear
49,2011-03-15,13,extreme fear
50,2011-03-16,11,extreme fear
51,2011-03-17,9,extreme fear
52,2011-03-18,9,extreme fear
53,2011-03-21,14,extreme fear
54,2011-03-22,15,extreme fear
55,2011-03-23,16,extreme fear
56,2011-03-24,16,extreme fear
57,2011-03-25,19,extreme fear
58,2011-03-28,23,extreme fear
59,2011-03-29,23,extreme fear
60,2011-03-30,24,extreme fear
61,2011-03-31,24,extreme fear
62,2011-04-01,27,fear
63,2011-04-04,31,fear
64,2011-04-05,35,fear
65,2011-04-06,37,fear
66,2011-04-07,37,fear
67,2011-04-08,37,fear
68,2011-04-11,34,fear
69,2011-04-12,33,fear
70,2011-04-13,33,fear
71,2011-04-14,30,fear
72,2011-04-15,28,fear
73,2011-04-18,24,extreme fear
74,2011-04-19,24,extreme fear
75,2011-04-20,25,fear
76,2011-04-21,30,fear
77,2011-04-25,35,fear
78,2011-04-26,36,fear
79,2011-04-27,37,fear
80,2011-04-28,37,fear
81,2011-04-29,41,fear
82,2011-05-02,36,fear
83,2011-05-03,31,fear
84,2011-05-04,30,fear
85,2011-05-05,29,fear
86,2011-05-06,27,fear
87,2011-05-09,28,fear
88,2011-05-10,31,fear
89,2011-05-11,31,fear
90,2011-05-12,32,fear
91,2011-05-13,32,fear
92,2011-05-16,27,fear
93,2011-05-17,27,fear
94,2011-05-18,25,fear
95,2011-05-19,23,extreme fear
96,2011-05-20,22,extreme fear
97,2011-05-23,16,extreme fear
98,2011-05-24,13,extreme fear
99,2011-05-25,13,extreme fear
100,2011-05-26,15,extreme fear
101,2011-05-27,16,extreme fear
102,2011-05-31,16,extreme fear
103,2011-06-01,15,extreme fear
104,2011-06-02,12,extreme fear
105,2011-06-03,9,extreme fear
106,2011-06-06,6,extreme fear
107,2011-06-07,6,extreme fear
108,2011-06-08,6,extreme fear
109,2011-06-09,6,extreme fear
110,2011-06-10,5,extreme fear
111,2011-06-13,6,extreme fear
112,2011-06-14,5,extreme fear
113,2011-06-15,5,extreme fear
