,date,time,fed_rate,fed_rate_fore,fed_rate_prev,none,fg_index,rating
0,2018-12-19,14:00:00,2.50%,2.50%,2.25%,,,
1,2019-01-30,14:00:00,2.50%,2.50%,2.50%,,,
2,2019-03-20,13:00:00,2.50%,2.50%,2.50%,,,
3,2019-05-01,13:00:00,2.50%,2.50%,2.50%,,,
4,2019-06-19,13:00:00,2.50%,2.50%,2.50%,,,
5,2019-07-31,13:00:00,2.25%,2.25%,2.50%,,,
6,2019-09-18,13:00:00,2.00%,2.00%,2.25%,,,
7,2019-10-30,13:00:00,1.75%,1.75%,2.00%,,,
8,2019-12-11,14:00:00,1.75%,1.75%,1.75%,,,
9,2020-01-29,14:00:00,1.75%,1.75%,1.75%,,,
10,2020-03-03,10:00:00,1.25%,,1.75%,,,
11,2020-03-15,16:00:00,0.25%,,1.25%,,,
12,2020-04-29,13:00:00,0.25%,0.25%,0.25%,,,
13,2020-06-10,13:00:00,0.25%,0.25%,0.25%,,,
14,2020-07-29,13:00:00,0.25%,0.25%,0.25%,,,
15,2020-09-16,13:00:00,0.25%,0.25%,0.25%,,,
16,2020-11-05,14:00:00,0.25%,0.25%,0.25%,,,
17,2020-12-16,14:00:00,0.25%,0.25%,0.25%,,,
18,2021-01-27,14:00:00,0.25%,0.25%,0.25%,,,
19,2021-03-17,13:00:00,0.25%,0.25%,0.25%,,,
20,2021-04-28,13:00:00,0.25%,0.25%,0.25%,,,
21,2021-06-16,13:00:00,0.25%,0.25%,0.25%,,,
22,2021-07-28,13:00:00,0.25%,0.25%,0.25%,,,
23,2021-09-22,13:00:00,0.25%,0.25%,0.25%,,,
24,2021-11-03,13:00:00,0.25%,0.25%,0.25%,,,
25,2021-12-15,14:00:00,0.25%,0.25%,0.25%,,,
26,2022-01-26,14:00:00,0.25%,0.25%,0.25%,,,
27,2022-03-16,13:00:00,0.50%,0.50%,0.25%,,,
28,2022-05-04,13:00:00,1.00%,1.00%,0.50%,,,
29,2022-06-15,13:00:00,1.75%,1.50%,1.00%,,,
30,2022-07-27,13:00:00,2.50%,2.50%,1.75%,,,
31,2022-09-21,13:00:00,3.25%,3.25%,2.50%,,,
32,2022-11-02,13:00:00,4.00%,4.00%,3.25%,,,
33,2022-12-14,14:00:00,4.50%,4.50%,4.00%,,,
34,2023-02-01,14:00:00,,,,,,
35,2023-03-15,14:00:00,,,,,,
36,2023-05-03,13:00:00,5.25%,5.25%,5.00%,,,
37,2023-06-14,13:00:00,5.25%,5.25%,5.25%,,,
38,2023-07-26,13:00:00,5.50%,5.50%,5.25%,,,
39,2023-09-20,13:00:00,5.50%,5.50%,5.50%,,,
40,2023-11-01,13:00:00,5.50%,5.50%,5.50%,,,
41,2023-12-13,14:00:00,5.50%,5.50%,5.50%,,,
42,2024-05-01,14:00:00,5.50%,5.50%,5.50%,,,
43,2024-06-12,14:00:00,5.50%,5.50%,5.50%,,,
44,2024-06-24,,,,,,46.0,neutral
45,2024-06-25,,,,,,46.0,neutral
46,2024-06-26,,,,,,47.0,neutral
47,2024-06-27,,,,,,47.0,neutral
48,2024-06-28,,,,,,47.0,neutral
49,2024-07-01,,,,,,38.0,fear
50,2024-07-02,,,,,,39.0,fear
51,2024-07-03,,,,,,50.0,neutral
52,2024-07-04,,,,,,41.0,fear
53,2024-07-05,,,,,,51.0,neutral
54,2024-07-08,,,,,,52.0,neutral
55,2024-07-09,,,,,,52.0,neutral
56,2024-07-10,,,,,,55.0,neutral
57,2024-07-11,,,,,,54.0,neutral
58,2024-07-12,,,,,,54.0,neutral
59,2024-07-15,,,,,,63.0,greed
60,2024-07-16,,,,,,61.0,greed
61,2024-07-17,,,,,,59.0,greed
62,2024-07-18,,,,,,54.0,neutral
63,2024-07-19,,,,,,50.0,neutral
64,2024-07-22,,,,,,57.0,greed
65,2024-07-23,,,,,,54.0,neutral
66,2024-07-24,,,,,,40.0,fear
67,2024-07-25,,,,,,42.0,fear
68,2024-07-26,,,,,,45.0,neutral
69,2024-07-29,,,,,,47.0,neutral
70,2024-07-30,,,,,,48.0,neutral
71,2024-07-31,,,,,,54.0,neutral
72,2024-08-01,,,,,,33.0,fear
73,2024-08-02,,,,,,33.0,fear
74,2024-09-18,14:00:00,,,,,,
75,2024-11-07,14:00:00,,,,,,
76,2024-12-18,15:00:00,,,,,,
