,date,ixbk,open,high,low,volume,ixbk_cr
0,2022-01-20,5072.919921875,5193.60986328125,5248.490234375,5065.77001953125,78300,nan%
1,2022-01-21,4954.52001953125,5009.47998046875,5080.4501953125,4951.2900390625,111400,-2.33%
2,2022-01-24,5001.18994140625,4873.669921875,5015.0400390625,4828.77978515625,106000,0.94%
3,2022-01-25,4986.27001953125,4959.31005859375,5039.259765625,4863.490234375,86200,-0.30%
4,2022-01-26,4946.25,5039.0400390625,5068.4599609375,4876.58984375,87100,-0.80%
5,2022-01-27,4845.18994140625,4983.64990234375,5043.080078125,4816.5400390625,78600,-2.04%
6,2022-01-28,4886.3701171875,4842.14013671875,4886.3701171875,4771.02978515625,84800,0.85%
7,2022-01-31,4943.58984375,4854.56982421875,4945.669921875,4816.02001953125,108200,1.17%
8,2022-02-01,5025.3701171875,4936.56982421875,5028.47021484375,4901.7099609375,92700,1.65%
9,2022-02-02,5011.68994140625,5027.97998046875,5030.64013671875,4963.419921875,70800,-0.27%
10,2022-02-03,4975.5498046875,4998.7001953125,5058.97998046875,4967.8701171875,67800,-0.72%
11,2022-02-04,5057.35986328125,4994.31005859375,5084.7001953125,4982.7099609375,58700,1.64%
12,2022-02-07,5080.39990234375,5061.1298828125,5105.64990234375,5047.22998046875,52300,0.46%
13,2022-02-08,5204.8701171875,5120.31982421875,5214.60009765625,5116.9599609375,69100,2.45%
14,2022-02-09,5145.91015625,5208.18994140625,5216.08984375,5139.2099609375,56300,-1.13%
15,2022-02-10,5135.7900390625,5141.259765625,5218.68017578125,5113.1201171875,72400,-0.20%
16,2022-02-11,5097.56005859375,5107.64990234375,5198.10986328125,5071.9501953125,65400,-0.74%
17,2022-02-14,5046.6298828125,5113.22998046875,5133.22021484375,5016.06005859375,72400,-1.00%
18,2022-02-15,5170.0,5106.080078125,5172.27978515625,5104.27978515625,57600,2.44%
19,2022-02-16,5185.60986328125,5135.43994140625,5198.6201171875,5134.60986328125,59200,0.30%
20,2022-02-17,5049.56982421875,5135.31982421875,5135.31982421875,5045.759765625,124900,-2.62%
21,2022-02-18,5062.0,5039.58984375,5099.509765625,5039.2001953125,69200,0.25%
22,2022-02-22,5036.10986328125,5047.7998046875,5086.1201171875,5009.02001953125,69400,-0.51%
23,2022-02-23,4952.22998046875,5070.97998046875,5090.5400390625,4942.22998046875,64800,-1.67%
24,2022-02-24,4863.4599609375,4786.009765625,4875.97998046875,4715.7001953125,97900,-1.79%
25,2022-02-25,5078.60986328125,4903.39990234375,5084.1298828125,4902.68017578125,76200,4.42%
26,2022-02-28,5048.8798828125,4972.9599609375,5055.85009765625,4972.8701171875,80900,-0.59%
27,2022-03-01,4783.259765625,5009.3798828125,5013.64990234375,4749.990234375,110200,-5.26%
28,2022-03-02,4987.22998046875,4837.990234375,5013.93994140625,4837.990234375,76300,4.26%
29,2022-03-03,4966.35986328125,5001.22021484375,5007.509765625,4927.68994140625,59400,-0.42%
30,2022-03-04,4789.7099609375,4871.35009765625,4871.35009765625,4741.72998046875,74100,-3.56%
31,2022-03-07,4597.759765625,4763.47021484375,4779.02978515625,4597.759765625,92500,-4.01%
32,2022-03-08,4626.91015625,4651.14990234375,4746.72021484375,4594.77001953125,95800,0.63%
33,2022-03-09,4776.39013671875,4755.18994140625,4808.68017578125,4755.0,70200,3.23%
34,2022-03-10,4784.259765625,4723.080078125,4799.4599609375,4713.6201171875,63100,0.16%
35,2022-03-11,4785.009765625,4821.81005859375,4876.2099609375,4783.509765625,68100,0.02%
36,2022-03-14,4810.52978515625,4848.64990234375,4906.1201171875,4792.14990234375,0,0.53%
37,2022-03-15,4815.77978515625,4840.080078125,4865.7998046875,4759.22998046875,0,0.11%
38,2022-03-16,4961.990234375,4873.06005859375,4967.0,4871.97021484375,0,3.04%
39,2022-03-17,4916.509765625,4900.9599609375,4926.91015625,4854.35986328125,0,-0.92%
40,2022-03-18,4909.85009765625,4904.4501953125,4925.419921875,4815.0498046875,0,-0.14%
41,2022-03-21,4887.08984375,4936.990234375,4968.56982421875,4850.3701171875,0,-0.46%
42,2022-03-22,4961.31005859375,4938.77001953125,5005.830078125,4936.16015625,64800,1.52%
43,2022-03-23,4796.66015625,4924.1298828125,4925.740234375,4796.509765625,63600,-3.32%
44,2022-03-24,4833.75,4836.16015625,4851.0400390625,4788.9501953125,52200,0.77%
45,2022-03-25,4913.06005859375,4845.10986328125,4915.68017578125,4845.10986328125,52800,1.64%
46,2022-03-28,4858.97998046875,4889.89990234375,4889.89990234375,4802.10986328125,55000,-1.10%
47,2022-03-29,4942.419921875,4927.16015625,4962.52001953125,4897.9501953125,61500,1.72%
48,2022-03-30,4794.2001953125,4938.2998046875,4938.669921875,4764.7099609375,73500,-3.00%
49,2022-03-31,4712.5400390625,4787.33984375,4819.27978515625,4711.83984375,88600,-1.70%
50,2022-04-01,4671.14013671875,4768.47998046875,4775.3798828125,4652.83984375,203400,-0.88%
51,2022-04-04,4649.580078125,4668.06982421875,4669.43017578125,4596.830078125,64800,-0.46%
52,2022-04-05,4597.509765625,4640.97021484375,4667.6298828125,4591.6201171875,72200,-1.12%
53,2022-04-06,4531.77001953125,4577.2099609375,4580.85986328125,4529.1201171875,200400,-1.43%
54,2022-04-07,4466.2998046875,4545.490234375,4545.490234375,4430.85986328125,67800,-1.44%
55,2022-04-08,4456.009765625,4487.06005859375,4506.259765625,4446.72998046875,60800,-0.23%
56,2022-04-11,4476.5498046875,4453.97021484375,4541.490234375,4446.3798828125,57800,0.46%
57,2022-04-12,4435.60009765625,4486.47998046875,4528.990234375,4420.740234375,56100,-0.91%
58,2022-04-13,4490.9501953125,4411.490234375,4492.81982421875,4404.509765625,53800,1.25%
59,2022-04-14,4436.580078125,4487.64013671875,4509.64990234375,4428.509765625,51900,-1.21%
60,2022-04-18,4446.56005859375,4428.08984375,4459.990234375,4417.77978515625,53800,0.22%
61,2022-04-19,4605.0498046875,4487.919921875,4613.75,4487.919921875,69900,3.56%
62,2022-04-20,4616.919921875,4630.75,4671.31005859375,4614.2900390625,65800,0.26%
63,2022-04-21,4537.6201171875,4661.5498046875,4672.330078125,4520.25,78500,-1.72%
64,2022-04-22,4471.1298828125,4577.14013671875,4579.27978515625,4470.72021484375,68700,-1.47%
65,2022-04-25,4476.1201171875,4442.52001953125,4479.10009765625,4366.490234375,79100,0.11%
66,2022-04-26,4336.64013671875,4412.47021484375,4450.580078125,4336.64013671875,74200,-3.12%
67,2022-04-27,4326.77001953125,4341.169921875,4363.580078125,4318.02978515625,67600,-0.23%
68,2022-04-28,4379.740234375,4373.830078125,4390.10986328125,4307.89013671875,64700,1.22%
69,2022-04-29,4250.7099609375,4367.64990234375,4381.14013671875,4239.7998046875,85700,-2.95%
70,2022-05-02,4294.89990234375,4283.2900390625,4313.02001953125,4210.6201171875,82900,1.04%
71,2022-05-03,4348.08984375,4310.93994140625,4370.6298828125,4287.8701171875,65500,1.24%
72,2022-05-04,4470.56982421875,4352.56982421875,4475.35986328125,4329.990234375,66500,2.82%
73,2022-05-05,4346.0,4415.9501953125,4415.9501953125,4290.9599609375,65500,-2.79%
