,date,ixf,open,high,low,volume,ixf_cr
0,2021-12-20,6110.4,6134.7,6135.2,6033.3,,-2.01
1,2021-12-21,6289.0,6188.8,6289.8,6188.1,,2.92
2,2021-12-22,6339.9,6277.6,6339.9,6267.2,,0.81
3,2021-12-23,6408.2,6377.7,6430.4,6373.8,,1.08
4,2021-12-27,6516.0,6425.7,6516.4,6422.0,,1.68
5,2021-12-28,6482.5,6500.3,6525.6,6467.4,,-0.51
6,2021-12-29,6453.1,6479.4,6487.4,6445.7,,-0.45
7,2021-12-30,6449.4,6455.3,6499.2,6445.8,,-0.06
8,2021-12-31,6444.7,6433.2,6469.6,6432.9,,-0.07
9,2022-01-03,6456.0,6485.3,6516.7,6431.3,,0.17
10,2022-01-04,6521.8,6495.9,6543.5,6495.9,,1.02
11,2022-01-05,6390.8,6534.5,6548.1,6389.2,,-2.01
12,2022-01-06,6507.9,6438.2,6522.5,6384.4,,1.83
13,2022-01-07,6534.1,6512.2,6546.0,6467.5,,0.4
14,2022-01-10,6485.6,6519.8,6522.8,6388.1,,-0.74
15,2022-01-11,6569.5,6502.6,6570.9,6454.9,,1.29
16,2022-01-12,6562.1,6593.0,6624.0,6534.3,,-0.11
17,2022-01-13,6499.1,6589.4,6617.9,6483.2,,-0.96
18,2022-01-14,6505.1,6434.7,6506.3,6414.3,,0.09
19,2022-01-18,6387.1,6468.6,6468.6,6367.1,,-1.81
20,2022-01-19,6288.3,6418.3,6422.3,6285.8,,-1.55
21,2022-01-20,6211.3,6314.0,6409.8,6199.6,,-1.23
22,2022-01-21,6007.0,6139.7,6163.3,6000.1,,-3.29
23,2022-01-24,6032.7,5873.9,6045.7,5760.5,,0.43
24,2022-01-25,5979.8,5947.5,6061.7,5844.9,,-0.88
25,2022-01-26,5912.2,6059.2,6092.6,5844.7,,-1.13
26,2022-01-27,5817.8,5965.8,6026.8,5777.9,,-1.6
27,2022-01-28,5907.7,5799.1,5908.5,5726.8,,1.55
28,2022-01-31,6055.6,5889.9,6059.1,5875.1,,2.5
29,2022-02-01,6160.5,6060.9,6166.1,6000.6,,1.73
30,2022-02-02,6159.6,6165.1,6168.5,6096.1,,-0.01
31,2022-02-03,6077.4,6111.9,6167.4,6068.3,,-1.34
32,2022-02-04,6195.7,6090.8,6239.5,6083.4,,1.95
33,2022-02-07,6210.5,6209.2,6265.6,6196.8,,0.24
34,2022-02-08,6300.5,6215.7,6311.6,6198.4,,1.45
35,2022-02-09,6352.1,6347.3,6410.8,6341.8,,0.82
36,2022-02-10,6281.8,6300.9,6427.6,6252.2,,-1.11
37,2022-02-11,6188.1,6270.9,6329.6,6155.6,,-1.49
38,2022-02-14,6137.3,6196.8,6231.1,6091.8,,-0.82
39,2022-02-15,6291.8,6215.4,6295.6,6215.4,,2.52
40,2022-02-16,6332.5,6270.7,6351.9,6269.5,,0.65
41,2022-02-17,6146.8,6273.0,6275.7,6136.3,,-2.93
42,2022-02-18,6131.8,6136.5,6182.8,6102.2,,-0.24
43,2022-02-22,6068.7,6097.3,6153.0,6025.9,,-1.03
44,2022-02-23,5947.1,6118.7,6142.1,5939.2,,-2.0
45,2022-02-24,5957.3,5729.8,5976.2,5711.1,,0.17
46,2022-02-25,6140.1,5995.7,6145.9,5991.0,,3.07
47,2022-02-28,6125.7,6021.8,6152.4,6021.6,,-0.23
48,2022-03-01,5887.8,6100.4,6108.3,5852.9,,-3.88
49,2022-03-02,6064.1,5945.5,6086.6,5944.6,,3.0
50,2022-03-03,6007.0,6085.9,6094.8,5972.8,,-0.94
51,2022-03-04,5817.6,5913.7,5914.5,5768.7,,-3.15
52,2022-03-07,5581.1,5793.6,5809.3,5580.2,,-4.07
53,2022-03-08,5572.2,5617.3,5721.1,5526.5,,-0.16
54,2022-03-09,5790.0,5733.5,5826.9,5733.5,,3.91
55,2022-03-10,5746.3,5704.0,5768.5,5674.0,,-0.75
56,2022-03-11,5678.4,5798.7,5826.8,5675.0,,-1.18
57,2022-03-14,5693.4,5733.9,5801.0,5676.8,,0.26
58,2022-03-15,5765.4,5722.6,5773.7,5689.7,,1.26
59,2022-03-16,5993.5,5846.6,5995.8,5845.7,,3.96
60,2022-03-17,6018.1,5931.0,6018.5,5912.9,,0.41
61,2022-03-18,6060.5,6010.0,6074.7,5967.8,,0.71
62,2022-03-21,6017.7,6070.6,6099.6,5976.7,,-0.71
63,2022-03-22,6110.7,6065.2,6127.2,6065.1,,1.54
64,2022-03-23,5968.4,6061.4,6065.1,5966.7,,-2.33
65,2022-03-24,6018.5,6006.8,6027.4,5967.0,,0.84
66,2022-03-25,6066.1,6028.9,6083.1,6023.7,,0.79
67,2022-03-28,6065.1,6065.5,6065.7,5985.3,,-0.02
68,2022-03-29,6181.4,6139.3,6192.5,6117.0,,1.92
69,2022-03-30,6051.8,6162.6,6165.4,6017.6,,-2.1
70,2022-03-31,5939.3,6046.4,6072.1,5938.3,,-1.86
71,2022-04-01,5937.3,5997.2,5997.8,5898.8,,-0.03
72,2022-04-04,5930.5,5937.6,5959.1,5889.1,,-0.11
73,2022-04-05,5856.4,5909.4,5940.2,5844.0,,-1.25
74,2022-04-06,5776.8,5808.7,5814.5,5749.2,,-1.36
75,2022-04-07,5729.6,5780.5,5782.3,5648.9,,-0.82
76,2022-04-08,5711.6,5739.3,5770.2,5697.7,,-0.31
77,2022-04-11,5685.0,5689.3,5745.9,5673.3,,-0.47
78,2022-04-12,5621.1,5713.8,5772.3,5605.6,,-1.12
79,2022-04-13,5707.2,5602.3,5710.6,5595.0,,1.53
80,2022-04-14,5632.1,5702.5,5720.4,5630.4,,-1.32
81,2022-04-18,5607.3,5611.9,5635.5,5572.8,,-0.44
82,2022-04-19,5753.6,5640.7,5764.9,5640.7,,2.61
83,2022-04-20,5743.7,5778.7,5788.4,5739.4,,-0.17
84,2022-04-21,5592.3,5798.7,5812.6,5571.0,,-2.64
85,2022-04-22,5465.2,5615.1,5618.4,5462.0,,-2.27
86,2022-04-25,5495.1,5421.9,5497.5,5357.7,,0.55
87,2022-04-26,5314.1,5444.3,5456.2,5314.1,,-3.29
88,2022-04-27,5333.5,5321.4,5390.7,5318.9,,0.37
89,2022-04-28,5383.1,5377.7,5405.1,5273.2,,0.93
90,2022-04-29,5178.5,5354.2,5391.2,5170.4,,-3.8
91,2022-05-02,5234.7,5199.3,5259.0,5121.3,,1.09
92,2022-05-03,5310.0,5247.5,5345.7,5242.1,,1.44
93,2022-05-04,5469.5,5300.1,5481.4,5263.4,,3.0
94,2022-05-05,5276.1,5394.2,5396.5,5217.0,,-3.54
95,2022-05-06,5172.5,5252.5,5253.5,5119.4,,-1.96
96,2022-05-09,5009.4,5098.3,5120.8,4988.3,,-3.15
97,2022-05-10,4938.6,5038.1,5060.0,4852.5,,-1.41
98,2022-05-11,4813.5,4907.9,4980.0,4807.3,,-2.53
99,2022-05-12,4840.1,4778.7,4869.6,4732.7,,0.55
100,2022-05-13,4965.7,4928.7,5014.8,4923.7,,2.6
101,2022-05-16,4896.5,4954.8,4956.7,4871.9,,-1.39
102,2022-05-17,5040.4,4993.3,5043.3,4945.4,,2.94
103,2022-05-18,4891.3,4978.0,5004.4,4875.4,,-2.96
104,2022-05-19,4887.9,4846.1,4929.1,4846.1,,-0.07
105,2022-05-20,4908.9,4936.1,4958.5,4796.4,,0.43
106,2022-05-23,4982.7,4977.3,5018.7,4917.4,,1.5
107,2022-05-24,4918.7,4950.0,4952.0,4828.3,,-1.29
108,2022-05-25,5003.3,4913.1,5027.2,4911.8,,1.72
109,2022-05-26,5122.8,5028.7,5140.5,5028.0,,2.39
