,date,ixic_f,open,high,low,volume,ixic_f_cr
0,2021-12-27,16560.0,16304.25,16580.75,16304.25,351308,nan%
1,2021-12-28,16488.0,16565.75,16659.5,16452.25,454633,-0.43%
2,2021-12-29,16490.5,16513.5,16564.25,16387.5,354985,0.02%
3,2021-12-30,16430.25,16484.5,16567.5,16411.25,304259,-0.37%
4,2021-12-31,16320.75,16431.0,16464.0,16313.75,363720,-0.67%
5,2022-01-03,16485.5,16356.0,16508.0,16292.0,513549,1.01%
6,2022-01-04,16275.75,16497.75,16564.0,16139.5,669527,-1.27%
7,2022-01-05,15766.5,16265.0,16269.0,15752.75,769790,-3.13%
8,2022-01-06,15759.0,15763.75,15895.75,15598.5,802950,-0.05%
9,2022-01-07,15581.0,15801.75,15852.75,15510.0,704406,-1.13%
10,2022-01-10,15608.0,15590.0,15669.0,15152.5,888780,0.17%
11,2022-01-11,15831.0,15622.25,15839.5,15475.0,709363,1.43%
12,2022-01-12,15887.25,15826.0,16009.25,15762.5,671265,0.36%
13,2022-01-13,15490.25,15901.0,15979.75,15458.25,763018,-2.50%
14,2022-01-14,15595.75,15505.0,15621.0,15312.5,795897,0.68%
15,2022-01-18,15206.0,15616.75,15653.25,15170.75,868066,-2.50%
16,2022-01-19,15033.5,15238.75,15372.0,15011.25,776612,-1.13%
17,2022-01-20,14841.0,15042.25,15340.25,14646.75,771410,-1.28%
18,2022-01-21,14426.5,14722.0,14858.5,14408.5,1041723,-2.79%
19,2022-01-24,14501.0,14410.0,14582.0,13706.0,1323080,0.52%
20,2022-01-25,14140.75,14495.0,14499.0,13890.0,957800,-2.48%
21,2022-01-26,14158.5,13945.5,14639.75,13945.5,908549,0.13%
22,2022-01-27,13986.75,14194.0,14409.25,13844.5,866647,-1.21%
23,2022-01-28,14433.0,14167.75,14442.0,13831.0,878243,3.19%
24,2022-01-31,14905.0,14454.0,14914.75,14353.25,654278,3.27%
25,2022-02-01,14994.75,14868.75,15137.0,14729.25,597305,0.60%
26,2022-02-02,15114.5,15129.0,15260.0,14825.0,645396,0.80%
27,2022-02-03,14492.25,14852.5,14870.0,14456.25,731581,-4.12%
28,2022-02-04,14685.5,14770.0,14825.75,14362.75,763735,1.33%
29,2022-02-07,14559.75,14682.5,14806.25,14511.5,562312,-0.86%
30,2022-02-08,14734.5,14600.0,14776.0,14467.5,611858,1.20%
31,2022-02-09,15038.25,14746.25,15068.0,14741.0,529886,2.06%
32,2022-02-10,14701.0,15062.25,15062.25,14622.0,834478,-2.24%
33,2022-02-11,14240.5,14698.25,14766.75,14181.0,835981,-3.13%
34,2022-02-14,14253.0,14250.0,14394.0,14031.0,734224,0.09%
35,2022-02-15,14609.5,14257.0,14614.75,14223.25,558472,2.50%
36,2022-02-16,14600.0,14588.0,14668.5,14381.0,594304,-0.07%
37,2022-02-17,14164.75,14592.25,14619.5,14131.5,631084,-2.98%
38,2022-02-18,13996.0,14156.25,14299.0,13906.25,760914,-1.19%
39,2022-02-22,13862.75,13952.75,14157.5,13580.25,1114720,-0.95%
40,2022-02-23,13507.5,13928.25,14068.75,13471.25,713187,-2.56%
41,2022-02-24,13966.5,13484.25,13983.25,13025.75,1122732,3.40%
42,2022-02-25,14180.5,13909.5,14196.25,13760.25,784997,1.53%
43,2022-02-28,14228.0,13900.25,14292.25,13683.0,753711,0.33%
44,2022-03-01,14005.5,14219.25,14327.75,13900.0,645171,-1.56%
45,2022-03-02,14239.25,14026.25,14290.0,13911.5,629022,1.67%
46,2022-03-03,14030.5,14196.5,14391.0,13955.0,596925,-1.47%
47,2022-03-04,13839.75,14069.25,14086.5,13733.75,725774,-1.36%
48,2022-03-07,13320.75,13763.5,13879.75,13265.0,717846,-3.75%
49,2022-03-08,13267.0,13283.0,13666.0,13103.25,841407,-0.40%
50,2022-03-09,13734.75,13192.25,13821.75,13189.75,650826,3.53%
