,date,ixk,open,high,low,volume,ixk_cr
0,2021-12-27,12408.5498046875,12205.76953125,12409.4599609375,12205.76953125,770100,nan%
1,2021-12-28,12310.8095703125,12431.419921875,12436.6298828125,12283.1396484375,0,-0.79%
2,2021-12-29,12302.8603515625,12322.1796875,12364.6396484375,12240.1103515625,631300,-0.06%
3,2021-12-30,12241.1396484375,12309.7900390625,12365.6298828125,12229.23046875,611300,-0.50%
4,2021-12-31,12155.5302734375,12223.599609375,12266.0498046875,12154.16015625,525900,-0.70%
5,2022-01-03,12248.6298828125,12182.91015625,12285.33984375,12119.3203125,737300,0.77%
6,2022-01-04,12086.830078125,12274.1201171875,12274.1201171875,11979.23046875,839000,-1.32%
7,2022-01-05,11631.4404296875,12000.5703125,12017.1103515625,11625.2001953125,1025500,-3.77%
8,2022-01-06,11614.83984375,11532.0703125,11737.900390625,11517.5,849900,-0.14%
9,2022-01-07,11505.400390625,11641.83984375,11694.2900390625,11424.7998046875,799700,-0.94%
10,2022-01-10,11546.6201171875,11327.759765625,11558.8203125,11167.2802734375,913200,0.36%
11,2022-01-11,11698.9296875,11510.66015625,11711.9404296875,11439.8896484375,760300,1.32%
12,2022-01-12,11754.7802734375,11809.0703125,11880.669921875,11698.51953125,806000,0.48%
13,2022-01-13,11413.580078125,11825.75,11847.5302734375,11391.150390625,851400,-2.90%
14,2022-01-14,11542.240234375,11340.0498046875,11547.7998046875,11340.0498046875,767300,1.13%
15,2022-01-18,11214.2900390625,11352.330078125,11419.5302734375,11191.6298828125,870900,-2.84%
16,2022-01-19,11081.7197265625,11288.5302734375,11405.0498046875,11073.2001953125,826800,-1.18%
17,2022-01-20,10925.73046875,11192.4501953125,11318.3603515625,10914.650390625,938900,-1.41%
18,2022-01-21,10690.4404296875,10871.9296875,11030.26953125,10685.5400390625,1114200,-2.15%
19,2022-01-24,10755.7998046875,10446.98046875,10777.1103515625,10115.2998046875,1367600,0.61%
20,2022-01-25,10457.7099609375,10534.73046875,10679.0302734375,10375.5302734375,1107400,-2.77%
21,2022-01-26,10555.2099609375,10806.8095703125,10923.98046875,10427.650390625,1344200,0.93%
22,2022-01-27,10450.900390625,10730.580078125,10783.1103515625,10419.7900390625,1155600,-0.99%
23,2022-01-28,10855.8798828125,10582.080078125,10859.1103515625,10397.3896484375,1064300,3.88%
24,2022-01-31,11196.080078125,10892.080078125,11201.3203125,10832.169921875,1027600,3.13%
25,2022-02-01,11248.9404296875,11237.2001953125,11257.8095703125,11052.9697265625,1032300,0.47%
26,2022-02-02,11471.650390625,11491.58984375,11524.76953125,11317.23046875,1066700,1.98%
27,2022-02-03,10921.16015625,11110.6396484375,11252.7197265625,10891.240234375,1055000,-4.80%
28,2022-02-04,11005.3095703125,10895.9296875,11109.0498046875,10807.0595703125,959200,0.77%
29,2022-02-07,10885.849609375,11024.2998046875,11095.6796875,10849.33984375,1032500,-1.09%
30,2022-02-08,11030.2900390625,10856.5,11060.8095703125,10823.01953125,952600,1.33%
31,2022-02-09,11301.490234375,11176.4599609375,11302.0,11132.4404296875,955200,2.46%
32,2022-02-10,11021.1201171875,11091.91015625,11294.490234375,10971.400390625,1033500,-2.48%
33,2022-02-11,10655.75,11056.580078125,11083.23046875,10608.099609375,1041200,-3.32%
34,2022-02-14,10673.990234375,10629.1796875,10766.9599609375,10549.7001953125,847600,0.17%
35,2022-02-15,10972.66015625,10850.5302734375,10976.5302734375,10819.9697265625,911800,2.80%
36,2022-02-16,10946.919921875,10879.0,10980.23046875,10765.2802734375,796100,-0.23%
37,2022-02-17,10568.6904296875,10825.349609375,10830.400390625,10555.73046875,1004900,-3.46%
38,2022-02-18,10420.0498046875,10610.4296875,10632.080078125,10357.01953125,963200,-1.41%
39,2022-02-22,10318.25,10307.240234375,10500.9697265625,10200.599609375,993300,-0.98%
40,2022-02-23,10064.2900390625,10444.9697265625,10473.5595703125,10060.4404296875,883400,-2.46%
41,2022-02-24,10468.1201171875,9699.759765625,10478.1298828125,9699.759765625,1312300,4.01%
42,2022-02-25,10597.990234375,10461.240234375,10601.7099609375,10347.900390625,961900,1.24%
43,2022-02-28,10632.08984375,10502.4404296875,10676.2998046875,10451.1396484375,982300,0.32%
44,2022-03-01,10453.1298828125,10613.3701171875,10674.7099609375,10374.7802734375,974300,-1.68%
45,2022-03-02,10657.1904296875,10517.6796875,10694.9697265625,10428.7197265625,864400,1.95%
46,2022-03-03,10506.099609375,10730.91015625,10730.91015625,10449.0400390625,835300,-1.42%
47,2022-03-04,10295.48046875,10448.990234375,10479.7802734375,10221.919921875,878600,-2.00%
48,2022-03-07,9881.4599609375,10313.1298828125,10335.7099609375,9877.0498046875,977700,-4.02%
49,2022-03-08,9858.2802734375,9854.6396484375,10166.1298828125,9717.83984375,1161800,-0.23%
50,2022-03-09,10289.3095703125,10138.0703125,10326.5400390625,10062.1904296875,1067100,4.37%
51,2022-03-10,10113.41015625,10119.419921875,10143.240234375,9959.0400390625,910200,-1.71%
52,2022-03-11,9868.1796875,10188.0,10194.490234375,9854.099609375,944300,-2.42%
53,2022-03-14,9620.830078125,9802.150390625,9903.6201171875,9597.0595703125,0,-2.51%
54,2022-03-15,9948.919921875,9709.25,9969.2001953125,9647.2802734375,0,3.41%
55,2022-03-16,10336.2802734375,10084.8896484375,10338.919921875,9951.08984375,0,3.89%
56,2022-03-17,10426.91015625,10271.8798828125,10434.51953125,10224.2900390625,0,0.88%
57,2022-03-18,10675.849609375,10380.6796875,10688.099609375,10351.48046875,0,2.39%
58,2022-03-21,10657.009765625,10633.73046875,10713.6904296875,10503.3701171875,0,-0.18%
59,2022-03-22,10852.0,10654.009765625,10921.6396484375,10644.259765625,961400,1.83%
60,2022-03-23,10708.7197265625,10740.4501953125,10886.5595703125,10690.26953125,929100,-1.32%
61,2022-03-24,11015.6103515625,10777.419921875,11017.3095703125,10723.599609375,942500,2.87%
62,2022-03-25,10995.669921875,11017.5703125,11039.83984375,10851.6103515625,824300,-0.18%
63,2022-03-28,11116.0498046875,10953.490234375,11117.099609375,10903.6904296875,1033700,1.09%
64,2022-03-29,11319.6201171875,11229.4296875,11338.51953125,11146.8095703125,956700,1.83%
