,date,ixtr,open,high,low,volume,ixtr_cr
0,2021-12-27,6669.7099609375,6586.3798828125,6670.56005859375,6578.9599609375,142200,nan%
1,2021-12-28,6690.60009765625,6671.5,6719.0498046875,6669.85009765625,0,0.31%
2,2021-12-29,6685.9501953125,6701.81005859375,6708.77001953125,6676.56982421875,139400,-0.07%
3,2021-12-30,6662.669921875,6689.2900390625,6718.5,6658.93017578125,130800,-0.35%
4,2021-12-31,6692.1201171875,6650.7001953125,6722.18994140625,6648.740234375,102700,0.44%
5,2022-01-03,6667.85009765625,6724.7900390625,6752.759765625,6631.0,149900,-0.36%
6,2022-01-04,6780.25,6718.43017578125,6791.33984375,6717.56005859375,121900,1.69%
7,2022-01-05,6639.25,6784.89990234375,6804.60009765625,6636.7099609375,162400,-2.08%
8,2022-01-06,6643.990234375,6674.14990234375,6677.3701171875,6604.77978515625,122500,0.07%
9,2022-01-07,6607.75,6639.6298828125,6659.7099609375,6582.3701171875,137000,-0.55%
10,2022-01-10,6491.47998046875,6589.39013671875,6589.39013671875,6435.08984375,140400,-1.76%
11,2022-01-11,6520.72998046875,6488.93994140625,6533.10986328125,6403.0400390625,119700,0.45%
12,2022-01-12,6516.68017578125,6545.68017578125,6567.1298828125,6482.02978515625,132700,-0.06%
13,2022-01-13,6531.93017578125,6553.0498046875,6605.43017578125,6514.2998046875,181300,0.23%
14,2022-01-14,6481.41015625,6505.1298828125,6507.08984375,6402.41015625,148900,-0.77%
15,2022-01-18,6342.419921875,6395.41015625,6407.240234375,6330.60009765625,158200,-2.14%
16,2022-01-19,6275.990234375,6362.10009765625,6372.5400390625,6272.5,156300,-1.05%
17,2022-01-20,6197.509765625,6311.39013671875,6367.009765625,6191.97021484375,186000,-1.25%
18,2022-01-21,6035.3798828125,6155.3798828125,6185.35986328125,6028.580078125,254100,-2.62%
19,2022-01-24,6119.490234375,5958.2099609375,6134.16015625,5881.7900390625,270800,1.39%
20,2022-01-25,6018.1201171875,6024.66015625,6089.169921875,5936.72021484375,168500,-1.66%
21,2022-01-26,5956.39990234375,6098.39013671875,6179.64990234375,5905.10009765625,218700,-1.03%
22,2022-01-27,5874.35009765625,6013.08984375,6062.16015625,5854.72998046875,179800,-1.38%
23,2022-01-28,5979.9501953125,5860.669921875,5981.81982421875,5778.47021484375,279700,1.80%
24,2022-01-31,6084.25,5946.72021484375,6085.2001953125,5932.89013671875,199700,1.74%
25,2022-02-01,6197.990234375,6135.14013671875,6206.39990234375,6101.58984375,158100,1.87%
26,2022-02-02,6217.669921875,6178.06982421875,6225.52001953125,6128.419921875,167500,0.32%
27,2022-02-03,6114.0498046875,6168.740234375,6218.41015625,6107.02001953125,130100,-1.67%
28,2022-02-04,6031.009765625,6069.72021484375,6086.02001953125,5954.91015625,139400,-1.36%
29,2022-02-07,6011.0498046875,6051.830078125,6063.58984375,5995.5,189800,-0.33%
30,2022-02-08,6106.0400390625,6043.2900390625,6139.5400390625,6032.740234375,161100,1.58%
31,2022-02-09,6245.68017578125,6179.0400390625,6246.41015625,6179.0400390625,173700,2.29%
32,2022-02-10,6151.89990234375,6151.14990234375,6280.06005859375,6121.5498046875,170400,-1.50%
33,2022-02-11,6016.72998046875,6158.10986328125,6190.990234375,5984.33984375,185500,-2.20%
34,2022-02-14,6049.759765625,6035.83984375,6096.3701171875,6012.06005859375,139700,0.55%
35,2022-02-15,6182.85986328125,6142.22998046875,6203.6201171875,6142.22998046875,158600,2.20%
36,2022-02-16,6201.66015625,6157.89990234375,6214.6298828125,6126.25,125000,0.30%
37,2022-02-17,6095.02978515625,6148.33984375,6168.2001953125,6086.56982421875,132800,-1.72%
38,2022-02-18,6050.10009765625,6094.919921875,6144.990234375,6035.740234375,135400,-0.74%
39,2022-02-22,5978.330078125,6032.60009765625,6083.509765625,5942.60009765625,258800,-1.19%
40,2022-02-23,5851.080078125,6011.33984375,6023.5498046875,5844.8701171875,302700,-2.13%
41,2022-02-24,5965.14990234375,5713.81005859375,5974.18017578125,5700.169921875,314600,1.95%
42,2022-02-25,6083.52001953125,5977.2001953125,6103.10009765625,5976.919921875,287300,1.98%
43,2022-02-28,6082.740234375,5991.43017578125,6111.81982421875,5983.93994140625,295000,-0.01%
44,2022-03-01,5951.6201171875,6063.2099609375,6088.35009765625,5917.81005859375,230500,-2.16%
45,2022-03-02,6100.2001953125,5992.83984375,6137.419921875,5986.31005859375,251500,2.50%
46,2022-03-03,6063.64013671875,6134.39990234375,6157.47998046875,6040.64990234375,278700,-0.60%
