,date,ixut,open,high,low,volume,ixut_cr
0,2022-03-07,444.0799865722656,449.010009765625,449.07000732421875,443.489990234375,326600,nan%
1,2022-03-08,438.80999755859375,444.510009765625,449.0199890136719,436.2900085449219,256600,-1.19%
2,2022-03-09,446.989990234375,446.57000732421875,449.739990234375,445.2900085449219,227800,1.86%
3,2022-03-10,443.1099853515625,439.9599914550781,443.95001220703125,437.7900085449219,179000,-0.87%
4,2022-03-11,441.2099914550781,447.8699951171875,451.0299987792969,440.6600036621094,173700,-0.43%
5,2022-03-14,439.25,443.80999755859375,447.1099853515625,438.4100036621094,0,-0.44%
6,2022-03-15,446.3299865722656,443.1099853515625,447.5199890136719,441.9100036621094,0,1.61%
7,2022-03-16,452.57000732421875,447.5299987792969,452.7799987792969,442.3399963378906,0,1.40%
8,2022-03-17,456.4100036621094,451.8399963378906,456.4800109863281,449.0299987792969,0,0.85%
9,2022-03-18,456.9200134277344,453.9599914550781,459.2900085449219,452.05999755859375,0,0.11%
10,2022-03-21,453.510009765625,456.2900085449219,457.3599853515625,449.69000244140625,0,-0.75%
11,2022-03-22,456.8900146484375,455.69000244140625,459.1000061035156,455.4700012207031,150500,0.75%
12,2022-03-23,448.2900085449219,455.6300048828125,456.5400085449219,448.2099914550781,124300,-1.88%
13,2022-03-24,450.260009765625,450.8299865722656,451.4100036621094,446.80999755859375,122200,0.44%
14,2022-03-25,450.7799987792969,451.489990234375,452.489990234375,446.55999755859375,123000,0.12%
15,2022-03-28,454.9100036621094,450.9200134277344,454.9800109863281,448.3500061035156,116900,0.92%
16,2022-03-29,460.510009765625,458.82000732421875,461.2799987792969,456.6300048828125,171400,1.23%
17,2022-03-30,459.75,459.8800048828125,462.7900085449219,458.4599914550781,108800,-0.17%
18,2022-03-31,453.2900085449219,460.0799865722656,460.3999938964844,453.20001220703125,121600,-1.41%
19,2022-04-01,459.4700012207031,455.2799987792969,459.6300048828125,453.7200012207031,114000,1.36%
20,2022-04-04,463.3800048828125,459.19000244140625,464.0899963378906,458.4700012207031,101700,0.85%
21,2022-04-05,458.1199951171875,459.29998779296875,463.6000061035156,456.8299865722656,98300,-1.14%
22,2022-04-06,457.04998779296875,456.3399963378906,459.80999755859375,454.739990234375,150500,-0.23%
23,2022-04-07,454.2300109863281,456.95001220703125,457.0199890136719,449.2799987792969,129100,-0.62%
24,2022-04-08,454.5,454.2200012207031,457.5,449.739990234375,103600,0.06%
25,2022-04-11,450.0799865722656,454.2799987792969,457.1700134277344,449.5299987792969,103100,-0.97%
26,2022-04-12,446.1300048828125,450.30999755859375,454.29998779296875,444.7699890136719,101300,-0.88%
27,2022-04-13,453.3599853515625,446.2799987792969,454.17999267578125,445.79998779296875,85400,1.62%
28,2022-04-14,447.3500061035156,453.760009765625,454.5400085449219,447.0,96300,-1.33%
29,2022-04-18,440.8299865722656,445.6499938964844,448.44000244140625,439.29998779296875,259500,-1.46%
30,2022-04-19,451.0,440.5799865722656,452.07000732421875,440.3999938964844,130400,2.31%
31,2022-04-20,448.6300048828125,451.70001220703125,453.69000244140625,448.1700134277344,114700,-0.53%
32,2022-04-21,442.42999267578125,451.7900085449219,453.6700134277344,441.739990234375,109700,-1.38%
33,2022-04-22,431.1099853515625,439.6499938964844,440.32000732421875,430.739990234375,107800,-2.56%
34,2022-04-25,433.6199951171875,431.79998779296875,433.8500061035156,424.9599914550781,111300,0.58%
35,2022-04-26,421.3999938964844,431.7200012207031,431.8500061035156,421.1400146484375,110400,-2.82%
36,2022-04-27,419.4100036621094,423.760009765625,425.3800048828125,418.2200012207031,130000,-0.47%
37,2022-04-28,416.4100036621094,416.6000061035156,418.69000244140625,406.3599853515625,154200,-0.72%
38,2022-04-29,396.54998779296875,413.489990234375,414.55999755859375,395.8599853515625,161800,-4.77%
39,2022-05-02,403.55999755859375,398.82000732421875,404.5799865722656,396.260009765625,141800,1.77%
40,2022-05-03,403.1600036621094,403.6199951171875,406.3599853515625,399.0199890136719,124800,-0.10%
41,2022-05-04,418.0400085449219,403.6300048828125,418.3900146484375,401.5299987792969,150700,3.69%
42,2022-05-05,407.0400085449219,414.0899963378906,415.7699890136719,403.8500061035156,181500,-2.63%
43,2022-05-06,402.1400146484375,405.1300048828125,407.70001220703125,399.3999938964844,154100,-1.20%
44,2022-05-09,395.2200012207031,398.6300048828125,402.8399963378906,393.54998779296875,164700,-1.72%
