,date,kosdaq,open,high,low,volume,kosdaq_cr
0,2021-12-20,990.51,1001.17,1004.75,990.51,1.01B,-1.07
1,2021-12-21,996.6,994.53,997.3,982.43,1.37B,0.61
2,2021-12-22,1000.13,1004.1,1005.23,999.05,1.18B,0.35
3,2021-12-23,1003.31,1004.45,1007.42,1001.48,1.44B,0.32
4,2021-12-24,1007.42,1008.05,1010.98,1005.61,1.24B,0.41
5,2021-12-27,1011.36,1008.9,1013.7,1006.87,1.15B,0.39
6,2021-12-28,1027.44,1016.29,1027.45,1014.39,1.29B,1.59
7,2021-12-29,1028.05,1028.46,1034.05,1022.73,950.94M,0.06
8,2021-12-30,1033.98,1029.74,1034.87,1021.59,907.42M,0.58
9,2022-01-03,1037.83,1038.97,1039.67,1030.57,1.05B,0.37
10,2022-01-04,1031.66,1041.07,1041.29,1025.23,1.32B,-0.59
11,2022-01-05,1009.62,1029.12,1029.12,1007.84,1.50B,-2.14
12,2022-01-06,980.3,993.6,1003.01,979.83,1.46B,-2.9
13,2022-01-07,995.16,986.18,997.02,986.18,1.47B,1.52
14,2022-01-10,980.38,992.49,992.49,976.41,1.27B,-1.49
15,2022-01-11,969.92,982.44,985.13,962.91,1.28B,-1.07
16,2022-01-12,991.33,978.69,991.71,978.69,1.16B,2.21
17,2022-01-13,983.25,994.55,994.55,981.31,1.24B,-0.82
18,2022-01-14,971.39,971.11,977.69,967.19,1.37B,-1.21
19,2022-01-17,957.9,971.81,971.81,954.82,1.11B,-1.39
20,2022-01-18,943.94,959.98,969.17,942.11,1.07B,-1.46
21,2022-01-19,933.9,935.06,944.81,929.15,1.22B,-1.06
22,2022-01-20,958.7,934.0,958.7,933.97,1.04B,2.66
23,2022-01-21,942.85,950.67,958.38,937.48,1.13B,-1.65
24,2022-01-24,915.4,935.13,935.13,911.02,1.04B,-2.91
25,2022-01-25,889.44,920.95,923.07,883.17,1.29B,-2.84
26,2022-01-26,882.09,892.01,900.38,881.68,1.12B,-0.83
27,2022-01-27,849.23,884.23,885.0,847.34,1.17B,-3.73
28,2022-01-28,872.87,852.57,872.87,835.55,1.03B,2.78
29,2022-02-03,891.6,887.85,898.37,887.02,1.08B,2.15
30,2022-02-04,902.87,888.51,902.87,886.93,1.05B,1.26
31,2022-02-07,899.4,905.96,905.96,893.91,901.97M,-0.38
32,2022-02-08,895.27,900.7,907.24,887.54,1.18B,-0.46
33,2022-02-09,910.53,904.07,910.53,900.86,890.47M,1.7
34,2022-02-10,895.68,914.65,914.92,893.21,858.88M,-1.63
35,2022-02-11,877.42,885.31,889.42,877.28,1.03B,-2.04
36,2022-02-14,852.79,864.49,867.24,850.28,889.90M,-2.81
37,2022-02-15,839.92,855.62,860.4,837.83,1.04B,-1.51
38,2022-02-16,878.15,857.54,878.15,857.54,876.75M,4.55
39,2022-02-17,874.22,879.12,890.78,858.78,1.17B,-0.45
40,2022-02-18,881.71,862.19,882.01,860.81,953.40M,0.86
41,2022-02-21,884.25,871.23,884.26,865.58,865.99M,0.29
42,2022-02-22,868.11,869.08,878.33,865.23,1.10B,-1.83
43,2022-02-23,877.33,873.32,879.98,870.25,1.08B,1.06
44,2022-02-24,848.21,869.24,870.58,847.86,1.68B,-3.32
45,2022-02-25,872.98,864.72,872.98,863.47,1.37B,2.92
46,2022-02-28,881.07,870.27,881.07,868.91,1.07B,0.93
47,2022-03-02,895.45,880.62,896.8,879.03,1.04B,1.63
48,2022-03-03,912.32,901.28,912.35,899.85,1.06B,1.88
49,2022-03-04,900.96,908.47,909.24,896.84,1.00B,-1.25
50,2022-03-07,881.54,889.95,889.95,878.45,865.67M,-2.16
51,2022-03-08,870.14,869.05,881.3,864.69,981.99M,-1.29
52,2022-03-10,889.08,885.05,892.55,884.98,987.43M,2.18
53,2022-03-11,891.71,888.57,894.99,887.28,1.13B,0.3
54,2022-03-14,872.44,893.18,893.18,870.81,1.15B,-2.16
55,2022-03-15,871.22,870.33,874.73,866.47,1.19B,-0.14
56,2022-03-16,891.8,881.89,891.8,879.68,1.35B,2.36
57,2022-03-17,914.13,903.75,916.22,903.75,1.46B,2.5
58,2022-03-18,922.96,915.29,922.99,912.0,1.20B,0.97
59,2022-03-21,918.4,926.86,926.86,917.93,1.33B,-0.49
60,2022-03-22,924.67,916.7,924.72,914.33,1.39B,0.68
61,2022-03-23,930.57,929.35,933.27,927.02,1.44B,0.64
62,2022-03-24,931.75,926.29,931.87,920.69,1.38B,0.13
63,2022-03-25,934.69,936.94,937.69,933.09,1.57B,0.32
64,2022-03-28,927.11,934.18,934.18,926.55,1.37B,-0.81
65,2022-03-29,937.83,932.86,937.83,930.34,1.46B,1.16
66,2022-03-30,939.07,942.08,943.3,936.91,1.54B,0.13
67,2022-03-31,944.53,936.66,944.92,936.2,1.42B,0.58
68,2022-04-01,940.57,940.49,942.22,936.86,1.25B,-0.42
69,2022-04-04,947.32,940.47,947.33,938.45,1.09B,0.72
70,2022-04-05,952.47,950.89,953.06,949.46,1.64B,0.54
71,2022-04-06,943.13,944.27,947.41,939.82,1.41B,-0.98
72,2022-04-07,927.95,936.92,936.92,925.91,1.18B,-1.61
73,2022-04-08,934.73,931.98,935.68,924.73,906.47M,0.73
74,2022-04-11,921.83,932.48,934.61,920.75,943.67M,-1.38
75,2022-04-12,913.82,914.28,916.76,905.18,1.14B,-0.87
76,2022-04-13,927.31,915.89,927.33,913.92,1.11B,1.48
77,2022-04-14,928.01,930.69,931.81,925.61,1.17B,0.08
78,2022-04-15,924.44,921.53,925.13,916.91,1.30B,-0.38
79,2022-04-18,918.23,921.69,923.51,917.53,1.10B,-0.67
80,2022-04-19,931.56,922.6,931.56,922.6,1.30B,1.45
81,2022-04-20,928.93,933.29,933.37,927.29,1.26B,-0.28
82,2022-04-21,929.68,930.45,934.26,929.54,1.40B,0.08
83,2022-04-22,922.78,922.77,924.16,916.65,1.38B,-0.74
84,2022-04-25,899.84,909.53,911.53,899.83,1.43B,-2.49
85,2022-04-26,911.16,906.59,913.29,906.59,1.63B,1.26
86,2022-04-27,896.18,898.02,898.02,888.97,1.86B,-1.64
87,2022-04-28,892.22,900.43,902.02,889.3,1.55B,-0.44
88,2022-04-29,904.75,895.64,904.76,894.62,1.46B,1.4
89,2022-05-02,901.82,894.03,903.26,892.54,1.23B,-0.32
90,2022-05-03,907.57,905.05,912.67,905.05,1.64B,0.64
91,2022-05-04,900.06,911.16,911.97,899.34,1.36B,-0.83
