,date,kospi,open,high,low,volume,kospi_cr
0,2021-12-27,2999.550048828125,3013.93994140625,3017.31005859375,2999.300048828125,475000,nan%
1,2021-12-28,3020.239990234375,3006.77001953125,3020.2900390625,2991.550048828125,607000,0.69%
2,2021-12-29,2993.2900390625,3002.89990234375,3007.719970703125,2988.669921875,545800,-0.89%
3,2021-12-30,2977.64990234375,2999.75,3005.360107421875,2975.739990234375,460600,-0.52%
4,2022-01-04,2989.239990234375,2991.969970703125,2995.25,2973.080078125,621200,0.39%
5,2022-01-05,2953.969970703125,2984.050048828125,2986.199951171875,2936.72998046875,786900,-1.18%
6,2022-01-06,2920.530029296875,2925.39990234375,2952.5400390625,2915.3798828125,785500,-1.13%
7,2022-01-07,2954.889892578125,2933.780029296875,2959.030029296875,2933.10009765625,545800,1.18%
8,2022-01-10,2926.719970703125,2947.3701171875,2951.1201171875,2910.89990234375,477000,-0.95%
9,2022-01-11,2927.3798828125,2930.929931640625,2943.570068359375,2909.820068359375,565800,0.02%
10,2022-01-12,2972.47998046875,2950.780029296875,2972.580078125,2950.31005859375,519000,1.54%
11,2022-01-13,2962.090087890625,2979.909912109375,2982.139892578125,2958.389892578125,604600,-0.35%
12,2022-01-14,2921.919921875,2937.610107421875,2944.969970703125,2914.72998046875,532300,-1.36%
13,2022-01-17,2890.10009765625,2918.550048828125,2919.669921875,2875.97998046875,592900,-1.09%
14,2022-01-18,2864.239990234375,2898.97998046875,2902.7900390625,2857.260009765625,553700,-0.89%
15,2022-01-19,2842.280029296875,2840.340087890625,2871.7900390625,2832.179931640625,463400,-0.77%
16,2022-01-20,2862.679931640625,2842.280029296875,2862.699951171875,2830.969970703125,395400,0.72%
17,2022-01-21,2834.2900390625,2837.489990234375,2847.949951171875,2817.110107421875,532500,-0.99%
18,2022-01-24,2792.0,2823.760009765625,2828.110107421875,2780.679931640625,473600,-1.49%
19,2022-01-25,2720.389892578125,2786.409912109375,2789.6201171875,2703.989990234375,639400,-2.56%
20,2022-01-26,2709.239990234375,2729.75,2744.139892578125,2708.10009765625,471800,-0.41%
21,2022-01-27,2614.489990234375,2709.239990234375,2722.860107421875,2614.489990234375,487100,-3.50%
22,2022-01-28,2663.340087890625,2617.8701171875,2668.590087890625,2591.530029296875,433700,1.87%
23,2022-02-03,2707.820068359375,2706.340087890625,2735.340087890625,2702.780029296875,435300,1.67%
24,2022-02-04,2750.260009765625,2714.830078125,2751.800048828125,2712.8701171875,535900,1.57%
25,2022-02-07,2745.06005859375,2750.699951171875,2750.699951171875,2718.93994140625,417600,-0.19%
26,2022-02-08,2746.469970703125,2767.760009765625,2779.85009765625,2726.719970703125,559600,0.05%
27,2022-02-09,2768.85009765625,2772.6298828125,2773.3798828125,2753.510009765625,538700,0.81%
28,2022-02-10,2771.929931640625,2787.43994140625,2788.27001953125,2761.760009765625,509300,0.11%
29,2022-02-11,2747.7099609375,2739.139892578125,2766.699951171875,2735.080078125,480300,-0.87%
30,2022-02-14,2704.47998046875,2715.10009765625,2724.719970703125,2688.239990234375,616000,-1.57%
31,2022-02-15,2676.5400390625,2712.449951171875,2716.449951171875,2665.469970703125,588700,-1.03%
32,2022-02-16,2729.679931640625,2719.610107421875,2730.429931640625,2711.340087890625,422100,1.99%
33,2022-02-17,2744.090087890625,2735.110107421875,2770.659912109375,2711.989990234375,611000,0.53%
34,2022-02-18,2744.52001953125,2714.52001953125,2747.080078125,2711.8798828125,512900,0.02%
35,2022-02-21,2743.800048828125,2706.64990234375,2746.6201171875,2694.89990234375,495000,-0.03%
36,2022-02-22,2706.7900390625,2705.080078125,2721.840087890625,2690.090087890625,648100,-1.35%
37,2022-02-23,2719.530029296875,2727.429931640625,2729.56005859375,2705.31005859375,537700,0.47%
38,2022-02-24,2648.800048828125,2689.280029296875,2694.550048828125,2642.6298828125,925900,-2.60%
