,date,spx_f,open,high,low,volume,spx_f_cr
0,2021-12-20,4582.75,4612.0,4621.5,4520.25,2.10M,-1.13
1,2021-12-21,4662.75,4567.75,4643.0,4565.75,1.49M,1.75
2,2021-12-22,4718.5,4641.75,4690.5,4622.25,1.10M,1.2
3,2021-12-23,4750.5,4689.0,4731.25,4684.25,978.02K,0.68
4,2021-12-27,4817.0,4717.0,4784.25,4713.25,898.70K,1.4
5,2021-12-28,4810.0,4780.5,4798.0,4770.5,954.52K,-0.15
6,2021-12-29,4819.0,4781.0,4796.0,4770.0,876.03K,0.19
7,2021-12-30,4805.0,4784.75,4799.75,4767.25,753.94K,-0.29
8,2021-12-31,4791.0,4773.75,4778.5,4750.5,954.08K,-0.29
9,2022-01-03,4827.5,4771.0,4791.25,4747.5,1.32M,0.76
10,2022-01-04,4829.5,4785.25,4808.25,4764.5,1.39M,0.04
11,2022-01-05,4736.75,4783.5,4788.25,4689.5,1.86M,-1.92
12,2022-01-06,4734.75,4692.0,4715.75,4662.0,1.86M,-0.04
13,2022-01-07,4722.75,4695.0,4705.75,4653.75,1.62M,-0.25
14,2022-01-10,4718.0,4671.25,4681.75,4572.75,2.23M,-0.1
15,2022-01-11,4757.75,4663.5,4707.5,4627.25,1.73M,0.84
16,2022-01-12,4770.5,4704.0,4739.5,4695.0,1.58M,0.27
17,2022-01-13,4701.5,4719.25,4736.25,4642.5,1.82M,-1.45
18,2022-01-14,4717.5,4655.0,4667.0,4606.0,2.01M,0.34
19,2022-01-16,4656.75,4671.25,4671.25,4655.0,17.47K,-1.29
20,2022-01-17,4657.0,4660.75,4666.0,4648.75,171.78K,0.01
21,2022-01-18,4631.5,4666.0,4671.75,4560.0,2.27M,-0.55
22,2022-01-19,4585.5,4577.75,4603.0,4517.25,2.00M,-0.99
23,2022-01-20,4535.5,4526.0,4594.25,4437.75,2.04M,-1.09
24,2022-01-21,4449.5,4454.25,4487.0,4381.25,3.01M,-1.9
25,2022-01-24,4460.5,4389.0,4427.5,4212.75,3.85M,0.25
26,2022-01-25,4398.0,4402.75,4406.75,4276.5,2.48M,-1.4
27,2022-01-26,4393.25,4308.75,4446.25,4294.25,2.42M,-0.11
28,2022-01-27,4368.0,4345.25,4422.0,4263.25,2.30M,-0.57
29,2022-01-28,4480.5,4348.0,4426.0,4266.25,2.25M,2.58
30,2022-01-31,4568.75,4423.5,4507.75,4395.5,1.85M,1.97
31,2022-02-01,4602.75,4493.25,4554.75,4474.0,1.62M,0.74
32,2022-02-02,4638.75,4552.0,4586.0,4535.25,1.62M,0.78
33,2022-02-03,4529.25,4545.75,4548.25,4462.0,1.80M,-2.36
34,2022-02-04,4577.25,4518.0,4532.5,4438.5,1.96M,1.06
35,2022-02-07,4555.25,4497.0,4514.5,4462.75,1.50M,-0.48
36,2022-02-08,4597.25,4484.0,4523.75,4456.25,1.46M,0.92
37,2022-02-09,4664.25,4519.0,4585.0,4517.25,1.38M,1.46
38,2022-02-10,4599.25,4582.25,4583.75,4476.0,2.40M,-1.39
39,2022-02-11,4511.0,4494.5,4520.5,4393.25,2.48M,-1.92
40,2022-02-14,4499.0,4411.75,4428.0,4354.0,2.10M,-0.27
41,2022-02-15,4565.75,4393.5,4468.0,4381.75,1.52M,1.48
42,2022-02-16,4569.75,4458.75,4484.5,4422.75,1.43M,0.09
43,2022-02-17,4472.75,4464.25,4474.75,4367.25,1.63M,-2.12
44,2022-02-18,4430.75,4374.75,4411.5,4321.0,1.82M,-0.94
