,date,splrcs,open,high,low,volume,splrcs_cr
0,2021-12-28,798.1799926757812,792.8400268554688,798.780029296875,792.8400268554688,70339100,nan%
1,2021-12-29,801.5399780273438,799.22998046875,803.6400146484375,797.6400146484375,71052600,0.42%
2,2021-12-30,798.9600219726562,802.8900146484375,804.1500244140625,798.5700073242188,64443600,-0.32%
3,2021-12-31,804.5999755859375,798.8400268554688,805.7899780273438,798.1199951171875,73573200,0.71%
4,2022-01-03,804.5499877929688,799.760009765625,804.9199829101562,793.3400268554688,128896800,-0.01%
5,2022-01-04,808.3300170898438,804.6599731445312,811.7999877929688,804.4099731445312,148161500,0.47%
6,2022-01-05,808.0700073242188,808.0399780273438,815.3800048828125,808.0399780273438,154869900,-0.03%
7,2022-01-06,806.4000244140625,809.1099853515625,813.0700073242188,805.719970703125,142595100,-0.21%
8,2022-01-07,807.6500244140625,805.9400024414062,810.7100219726562,803.2100219726562,119982000,0.16%
9,2022-01-10,801.77001953125,807.3599853515625,807.9600219726562,799.1199951171875,151306100,-0.73%
10,2022-01-11,800.6199951171875,801.0900268554688,801.0900268554688,792.4400024414062,131411100,-0.14%
11,2022-01-12,800.989990234375,799.9400024414062,801.7100219726562,797.3499755859375,108787400,0.05%
12,2022-01-13,802.780029296875,801.8599853515625,804.22998046875,799.1699829101562,118032800,0.22%
13,2022-01-14,804.27001953125,800.3300170898438,805.219970703125,797.3300170898438,128643100,0.19%
14,2022-01-18,792.25,797.9000244140625,798.6400146484375,790.3599853515625,144395800,-1.49%
15,2022-01-19,797.6699829101562,792.6799926757812,803.0,792.6799926757812,129957900,0.68%
16,2022-01-20,791.8900146484375,795.969970703125,803.0399780273438,791.1500244140625,146791500,-0.72%
17,2022-01-21,792.02001953125,794.47998046875,802.1699829101562,790.7899780273438,166475900,0.02%
18,2022-01-24,789.2100219726562,789.719970703125,793.7999877929688,772.6900024414062,188894900,-0.35%
19,2022-01-25,780.260009765625,784.1500244140625,784.9500122070312,771.2999877929688,149365400,-1.13%
20,2022-01-26,775.02001953125,778.52001953125,785.0700073242188,770.2899780273438,167004500,-0.67%
21,2022-01-27,779.489990234375,777.0499877929688,791.8300170898438,776.4600219726562,147826100,0.58%
22,2022-01-28,788.5800170898438,776.8800048828125,789.1300048828125,769.1500244140625,144456300,1.17%
23,2022-01-31,792.3800048828125,785.1699829101562,793.010009765625,782.760009765625,161038200,0.48%
