,date,spxhc,open,high,low,volume,spxhc_cr
0,2022-02-28,1513.199951171875,1519.8699951171875,1519.8699951171875,1495.489990234375,283280300,nan%
1,2022-03-01,1504.3800048828125,1512.6300048828125,1517.469970703125,1493.0799560546875,255554100,-0.58%
2,2022-03-02,1527.56005859375,1504.4000244140625,1535.06005859375,1504.4000244140625,218217600,1.54%
3,2022-03-03,1535.010009765625,1528.1500244140625,1543.6400146484375,1522.06005859375,198189000,0.49%
4,2022-03-04,1542.5400390625,1532.449951171875,1543.47998046875,1515.219970703125,201222700,0.49%
5,2022-03-07,1516.1500244140625,1539.8199462890625,1539.8199462890625,1509.1600341796875,228245200,-1.71%
6,2022-03-08,1484.1199951171875,1515.8499755859375,1516.6800537109375,1483.77001953125,239455100,-2.11%
7,2022-03-09,1512.2900390625,1488.06005859375,1519.8399658203125,1488.06005859375,199343600,1.90%
8,2022-03-10,1511.8599853515625,1507.3199462890625,1515.06005859375,1492.8699951171875,176880900,-0.03%
9,2022-03-11,1499.9100341796875,1513.800048828125,1524.030029296875,1498.97998046875,185867700,-0.79%
10,2022-03-14,1510.1500244140625,1504.9000244140625,1531.4300537109375,1504.9000244140625,228810500,0.68%
11,2022-03-15,1539.280029296875,1514.02001953125,1541.510009765625,1514.02001953125,207931400,1.93%
12,2022-03-16,1558.1300048828125,1540.4200439453125,1558.27001953125,1532.3900146484375,210283300,1.22%
13,2022-03-17,1583.1600341796875,1556.56005859375,1583.199951171875,1552.75,198936100,1.61%
14,2022-03-18,1593.47998046875,1583.6099853515625,1594.6400146484375,1578.1800537109375,355400400,0.65%
15,2022-03-21,1591.5899658203125,1593.47998046875,1605.8299560546875,1584.6400146484375,186661900,-0.12%
16,2022-03-22,1591.8399658203125,1591.5899658203125,1595.6099853515625,1586.5899658203125,193900100,0.02%
17,2022-03-23,1563.6800537109375,1591.8399658203125,1591.8399658203125,1563.3900146484375,189646400,-1.77%
18,2022-03-24,1581.6199951171875,1563.6800537109375,1581.8499755859375,1563.6800537109375,158891000,1.15%
19,2022-03-25,1589.780029296875,1581.8699951171875,1591.8800048828125,1577.6600341796875,147373900,0.52%
20,2022-03-28,1601.47998046875,1589.780029296875,1601.47998046875,1586.760009765625,156321100,0.74%
21,2022-03-29,1610.3399658203125,1601.47998046875,1619.3800048828125,1601.25,193515100,0.55%
22,2022-03-30,1613.9000244140625,1610.3399658203125,1619.5899658203125,1605.6400146484375,167478300,0.22%
23,2022-03-31,1594.81005859375,1613.9000244140625,1618.3499755859375,1594.7900390625,208350200,-1.18%
24,2022-04-01,1609.25,1594.81005859375,1610.1700439453125,1591.5,186588600,0.91%
25,2022-04-04,1597.219970703125,1609.25,1609.25,1593.300048828125,177775100,-0.75%
26,2022-04-05,1600.0899658203125,1597.219970703125,1618.8599853515625,1593.3900146484375,176458100,0.18%
27,2022-04-06,1624.8699951171875,1600.0899658203125,1627.93994140625,1594.6400146484375,203594900,1.55%
28,2022-04-07,1655.010009765625,1624.8699951171875,1659.6300048828125,1620.9599609375,210229400,1.85%
29,2022-04-08,1664.5799560546875,1655.010009765625,1672.3900146484375,1653.719970703125,197946800,0.58%
30,2022-04-11,1631.8399658203125,1664.5799560546875,1667.8699951171875,1630.010009765625,178768000,-1.97%
31,2022-04-12,1616.3800048828125,1631.8399658203125,1636.8499755859375,1609.6400146484375,161650100,-0.95%
32,2022-04-13,1623.31005859375,1616.3800048828125,1624.8900146484375,1607.3900146484375,160764900,0.43%
33,2022-04-14,1615.7900390625,1623.31005859375,1633.1199951171875,1614.6400146484375,188437400,-0.46%
34,2022-04-18,1597.72998046875,1615.7900390625,1616.97998046875,1591.219970703125,128315100,-1.12%
35,2022-04-19,1612.5799560546875,1597.72998046875,1618.4599609375,1597.72998046875,199209600,0.93%
36,2022-04-20,1634.239990234375,1612.5799560546875,1640.9599609375,1612.5799560546875,176519200,1.34%
37,2022-04-21,1616.1600341796875,1634.239990234375,1640.43994140625,1613.0400390625,160354000,-1.11%
38,2022-04-22,1557.489990234375,1616.1600341796875,1616.1600341796875,1555.949951171875,198115700,-3.63%
