,date,bond_usa_2,open,high,low,bond_usa_2_cr
0,2020-01-01,1.571,1.571,1.571,1.571,0.00%
1,2020-01-02,1.571,1.575,1.611,1.545,0.00%
2,2020-01-03,1.5326,1.573,1.581,1.509,-2.44%
3,2020-01-05,1.5146,1.5166,1.5166,1.5146,-1.17%
4,2020-01-06,1.5466,1.515,1.561,1.511,2.11%
5,2020-01-07,1.5384,1.547,1.556,1.532,-0.53%
6,2020-01-08,1.5846,1.49,1.587,1.452,3.00%
7,2020-01-09,1.5805,1.585,1.605,1.572,-0.26%
8,2020-01-10,1.5701,1.581,1.592,1.56,-0.66%
9,2020-01-12,1.5701,1.5701,1.5701,1.5701,0.00%
10,2020-01-13,1.5883,1.564,1.592,1.564,1.16%
11,2020-01-14,1.57,1.588,1.599,1.566,-1.15%
12,2020-01-15,1.5597,1.568,1.578,1.554,-0.66%
13,2020-01-16,1.5657,1.564,1.578,1.554,0.38%
14,2020-01-17,1.5654,1.564,1.58,1.551,-0.02%
15,2020-01-20,1.5613,1.5613,1.5613,1.5613,-0.26%
16,2020-01-21,1.5325,1.559,1.563,1.524,-1.84%
17,2020-01-22,1.5283,1.543,1.549,1.522,-0.27%
18,2020-01-23,1.5138,1.526,1.526,1.487,-0.95%
19,2020-01-24,1.4947,1.522,1.538,1.478,-1.26%
20,2020-01-26,1.4514,1.4514,1.4514,1.4514,-2.90%
21,2020-01-27,1.4471,1.449,1.464,1.429,-0.30%
22,2020-01-28,1.4685,1.433,1.469,1.401,1.48%
23,2020-01-29,1.4128,1.461,1.47,1.411,-3.79%
24,2020-01-30,1.4147,1.419,1.421,1.367,0.13%
25,2020-01-31,1.3191,1.409,1.423,1.317,-6.76%
26,2020-02-02,1.3231,1.3291,1.3291,1.3231,0.30%
27,2020-02-03,1.357,1.321,1.383,1.319,2.56%
28,2020-02-04,1.415,1.351,1.427,1.351,4.27%
29,2020-02-05,1.4431,1.417,1.463,1.385,1.99%
30,2020-02-06,1.4492,1.441,1.471,1.431,0.42%
31,2020-02-07,1.4011,1.445,1.474,1.395,-3.32%
32,2020-02-09,1.383,1.387,1.387,1.383,-1.29%
33,2020-02-10,1.385,1.385,1.417,1.369,0.14%
34,2020-02-11,1.4255,1.395,1.426,1.395,2.92%
35,2020-02-12,1.4458,1.434,1.45,1.426,1.42%
36,2020-02-13,1.4458,1.423,1.448,1.393,0.00%
37,2020-02-14,1.4299,1.44,1.448,1.414,-1.10%
38,2020-02-17,1.4259,1.4259,1.4259,1.4259,-0.28%
39,2020-02-18,1.4136,1.424,1.428,1.393,-0.86%
40,2020-02-19,1.426,1.426,1.436,1.41,0.88%
41,2020-02-20,1.3912,1.434,1.438,1.379,-2.44%
42,2020-02-21,1.3543,1.389,1.397,1.321,-2.65%
43,2020-02-23,1.3543,1.3543,1.3543,1.3543,0.00%
44,2020-02-24,1.2496,1.356,1.356,1.243,-7.73%
45,2020-02-25,1.2289,1.272,1.297,1.18,-1.66%
46,2020-02-26,1.1647,1.214,1.222,1.135,-5.22%
47,2020-02-27,1.0714,1.153,1.155,1.034,-8.01%
48,2020-02-28,0.9308,1.079,1.081,0.852,-13.12%
49,2020-03-01,0.8321,0.8361,0.8361,0.8321,-10.60%
50,2020-03-02,0.895,0.834,0.919,0.71,7.56%
51,2020-03-03,0.7011,0.907,0.911,0.628,-21.66%
52,2020-03-04,0.6906,0.689,0.704,0.614,-1.50%
53,2020-03-05,0.6012,0.697,0.697,0.554,-12.95%
54,2020-03-06,0.5101,0.593,0.601,0.394,-15.15%
55,2020-03-08,0.3053,0.3328,0.3328,0.3053,-40.15%
56,2020-03-09,0.4085,0.301,0.432,0.251,33.80%
57,2020-03-10,0.5461,0.456,0.55,0.393,33.68%
58,2020-03-11,0.5215,0.495,0.539,0.417,-4.50%
59,2020-03-12,0.4711,0.535,0.535,0.36,-9.66%
60,2020-03-13,0.5082,0.495,0.544,0.428,7.88%
61,2020-03-15,0.3291,0.3033,0.3411,0.3033,-35.24%
62,2020-03-16,0.3738,0.319,0.398,0.272,13.58%
63,2020-03-17,0.4985,0.408,0.525,0.351,33.36%
64,2020-03-18,0.5397,0.463,0.562,0.416,8.26%
65,2020-03-19,0.4587,0.498,0.557,0.339,-15.01%
66,2020-03-20,0.3254,0.446,0.448,0.293,-29.06%
67,2020-03-22,0.2974,0.3074,0.3094,0.2974,-8.60%
68,2020-03-23,0.3203,0.297,0.338,0.234,7.70%
69,2020-03-24,0.3815,0.32,0.412,0.293,19.11%
70,2020-03-25,0.3397,0.371,0.389,0.312,-10.96%
71,2020-03-26,0.2986,0.326,0.332,0.261,-12.10%
72,2020-03-27,0.2477,0.299,0.299,0.234,-17.05%
73,2020-03-29,0.2516,0.2477,0.2516,0.2477,1.57%
74,2020-03-30,0.23,0.244,0.275,0.22,-8.59%
75,2020-03-31,0.2534,0.226,0.259,0.206,10.17%
76,2020-04-01,0.2434,0.242,0.255,0.21,-3.95%
77,2020-04-02,0.2275,0.202,0.235,0.202,-6.53%
78,2020-04-03,0.2269,0.231,0.245,0.205,-0.26%
79,2020-04-05,0.2368,0.2348,0.2368,0.2348,4.36%
80,2020-04-06,0.2682,0.239,0.27,0.237,13.26%
81,2020-04-07,0.268,0.274,0.304,0.262,-0.07%
82,2020-04-08,0.256,0.266,0.288,0.24,-4.48%
83,2020-04-09,0.2314,0.26,0.26,0.209,-9.61%
84,2020-04-12,0.2294,0.2274,0.2294,0.2274,-0.86%
85,2020-04-13,0.2492,0.229,0.253,0.225,8.63%
86,2020-04-14,0.221,0.249,0.259,0.219,-11.32%
87,2020-04-15,0.2009,0.219,0.223,0.191,-9.10%
88,2020-04-16,0.2106,0.201,0.215,0.187,4.83%
89,2020-04-17,0.2019,0.229,0.239,0.192,-4.13%
90,2020-04-19,0.2099,0.2079,0.2099,0.2079,3.96%
91,2020-04-20,0.2057,0.206,0.212,0.194,-2.00%
92,2020-04-21,0.2014,0.206,0.212,0.185,-2.09%
93,2020-04-22,0.2153,0.207,0.221,0.195,6.90%
94,2020-04-23,0.2211,0.211,0.227,0.209,2.69%
95,2020-04-24,0.2225,0.231,0.233,0.21,0.63%
96,2020-04-26,0.2245,0.2245,0.2245,0.2245,0.90%
97,2020-04-27,0.2243,0.225,0.243,0.216,-0.09%
98,2020-04-28,0.2151,0.227,0.229,0.197,-4.10%
99,2020-04-29,0.2053,0.223,0.223,0.192,-4.56%
100,2020-04-30,0.2014,0.196,0.203,0.176,-1.90%
101,2020-05-01,0.1978,0.198,0.206,0.182,-1.79%
102,2020-05-03,0.1978,0.1978,0.1978,0.1978,0.00%
103,2020-05-04,0.1841,0.204,0.204,0.178,-6.93%
104,2020-05-05,0.1901,0.186,0.21,0.18,3.26%
105,2020-05-06,0.1803,0.19,0.202,0.176,-5.16%
106,2020-05-07,0.1388,0.176,0.186,0.129,-23.02%
107,2020-05-08,0.1608,0.135,0.163,0.105,15.85%
108,2020-05-10,0.1608,0.1608,0.1608,0.1608,0.00%
109,2020-05-11,0.1768,0.163,0.183,0.141,9.95%
110,2020-05-12,0.1668,0.175,0.187,0.161,-5.66%
111,2020-05-13,0.1649,0.163,0.171,0.143,-1.14%
112,2020-05-14,0.149,0.159,0.167,0.145,-9.64%
113,2020-05-15,0.1511,0.155,0.157,0.135,1.41%
114,2020-05-17,0.1431,0.1451,0.1451,0.1431,-5.29%
115,2020-05-18,0.1813,0.143,0.185,0.139,26.69%
116,2020-05-19,0.1672,0.175,0.183,0.165,-7.78%
117,2020-05-20,0.1693,0.167,0.177,0.155,1.26%
118,2020-05-21,0.1673,0.165,0.173,0.159,-1.18%
119,2020-05-22,0.1696,0.167,0.172,0.16,1.37%
120,2020-05-25,0.1716,0.1737,0.1737,0.1716,1.18%
121,2020-05-26,0.1737,0.17,0.19,0.168,1.22%
122,2020-05-27,0.1838,0.17,0.188,0.16,5.81%
123,2020-05-28,0.174,0.186,0.188,0.17,-5.33%
124,2020-05-29,0.1642,0.166,0.17,0.154,-5.63%
125,2020-05-31,0.1583,0.1564,0.1583,0.1564,-3.59%
126,2020-06-01,0.1603,0.156,0.172,0.154,1.26%
127,2020-06-02,0.1663,0.158,0.172,0.156,3.74%
128,2020-06-03,0.1919,0.168,0.202,0.166,15.39%
129,2020-06-04,0.1979,0.198,0.204,0.184,3.13%
130,2020-06-05,0.2101,0.194,0.238,0.188,6.16%
131,2020-06-07,0.2121,0.2161,0.2161,0.2121,0.95%
132,2020-06-08,0.2301,0.21,0.232,0.204,8.49%
133,2020-06-09,0.2044,0.228,0.228,0.202,-11.17%
134,2020-06-10,0.1727,0.208,0.21,0.171,-15.51%
135,2020-06-11,0.2006,0.173,0.207,0.169,16.16%
136,2020-06-12,0.1949,0.209,0.209,0.183,-2.84%
137,2020-06-15,0.193,0.183,0.197,0.177,-0.97%
138,2020-06-16,0.1971,0.199,0.205,0.187,2.12%
