date,time,price,change,change(%),amount,volume
2022-10-04,15:50:00,179500,"▲ 3,000",1.7,120,822989
2022-10-04,15:40:00,179500,"▲ 3,000",1.7,370,822869
2022-10-04,15:30:00,179500,"▲ 3,000",1.7,38462,822499
2022-10-04,15:10:00,179500,"▲ 3,000",1.7,24226,784037
2022-10-04,15:00:00,178000,"▲ 1,500",0.85,14523,759811
2022-10-04,14:50:00,178500,"▲ 2,000",1.13,10869,745288
2022-10-04,14:40:00,178500,"▲ 2,000",1.13,17190,734419
2022-10-04,14:30:00,178500,"▲ 2,000",1.13,10507,717229
2022-10-04,14:20:00,178500,"▲ 2,000",1.13,15245,706722
2022-10-04,14:10:00,179000,"▲ 2,500",1.42,9880,691477
2022-10-04,14:00:00,179000,"▲ 2,500",1.42,11984,681597
2022-10-04,13:50:00,179000,"▲ 2,500",1.42,11742,669613
2022-10-04,13:40:00,179000,"▲ 2,500",1.42,7416,657871
2022-10-04,13:30:00,179500,"▲ 3,000",1.7,7960,650455
2022-10-04,13:20:00,179000,"▲ 2,500",1.42,6820,642495
2022-10-04,13:10:00,179000,"▲ 2,500",1.42,15381,635675
2022-10-04,13:00:00,180000,"▲ 3,500",1.98,5416,620294
2022-10-04,12:50:00,180000,"▲ 3,500",1.98,9234,614878
2022-10-04,12:40:00,179000,"▲ 2,500",1.42,10651,605644
2022-10-04,12:30:00,179000,"▲ 2,500",1.42,25028,594993
2022-10-04,13:20:00,179000,"▲ 2,500",1.42,6820,642495
2022-10-04,13:10:00,179000,"▲ 2,500",1.42,15381,635675
2022-10-04,13:00:00,180000,"▲ 3,500",1.98,5416,620294
2022-10-04,12:50:00,180000,"▲ 3,500",1.98,9234,614878
2022-10-04,12:40:00,179000,"▲ 2,500",1.42,10651,605644
2022-10-04,12:30:00,179000,"▲ 2,500",1.42,25028,594993
2022-10-04,12:20:00,179500,"▲ 3,000",1.7,2948,569965
2022-10-04,12:10:00,179000,"▲ 2,500",1.42,11229,567017
2022-10-04,12:00:00,179500,"▲ 3,000",1.7,4778,555788
2022-10-04,11:50:00,179500,"▲ 3,000",1.7,4822,551010
2022-10-04,11:40:00,179500,"▲ 3,000",1.7,25130,546188
2022-10-04,11:30:00,178500,"▲ 2,000",1.13,4670,521058
2022-10-04,11:20:00,178500,"▲ 2,000",1.13,8904,516388
2022-10-04,11:10:00,179000,"▲ 2,500",1.42,3817,507484
2022-10-04,11:00:00,179000,"▲ 2,500",1.42,28015,503667
2022-10-04,10:50:00,180500,"▲ 4,000",2.27,7484,475652
2022-10-04,10:40:00,179500,"▲ 3,000",1.7,18009,468168
2022-10-04,10:30:00,180000,"▲ 3,500",1.98,18858,450159
2022-10-04,10:20:00,180500,"▲ 4,000",2.27,15634,431301
2022-10-04,10:10:00,181500,"▲ 5,000",2.83,36901,415667
2022-10-04,10:00:00,182500,"▲ 6,000",3.4,123323,378766
2022-10-04,09:50:00,179500,"▲ 3,000",1.7,41816,255443
2022-10-04,09:40:00,178500,"▲ 2,000",1.13,7145,213627
2022-10-04,09:30:00,178500,"▲ 2,000",1.13,26585,206482
2022-10-04,09:20:00,178000,"▲ 1,500",0.85,23890,179897
2022-10-04,09:10:00,178500,"▲ 2,000",1.13,34281,156007
2022-10-04,09:00:00,179000,"▲ 2,500",1.42,121632,121726
2022-10-04,08:30:00,176500,0,0.0,94,94
