date,time,price,change,change(%),amount,volume
2022-12-05,15:50:00,60300,▼ 100,-0.17,262,13727228
2022-12-05,15:40:00,60300,▼ 100,-0.17,9095,13726966
2022-12-05,15:30:00,60300,▼ 100,-0.17,1032750,13717871
2022-12-05,15:10:00,60300,▼ 100,-0.17,253837,12685121
2022-12-05,15:00:00,60300,▼ 100,-0.17,135330,12431284
2022-12-05,14:50:00,60300,▼ 100,-0.17,194786,12295954
2022-12-05,14:40:00,60300,▼ 100,-0.17,170893,12101168
2022-12-05,14:30:00,60200,▼ 200,-0.33,321173,11930275
2022-12-05,14:20:00,60300,▼ 100,-0.17,451162,11609102
2022-12-05,14:10:00,60100,▼ 300,-0.5,337661,11157940
2022-12-05,14:00:00,60100,▼ 300,-0.5,425348,10820279
2022-12-05,13:50:00,60100,▼ 300,-0.5,223277,10394931
2022-12-05,13:40:00,60100,▼ 300,-0.5,246084,10171654
2022-12-05,13:30:00,60300,▼ 100,-0.17,226766,9925570
2022-12-05,13:20:00,60300,▼ 100,-0.17,492787,9698804
2022-12-05,13:10:00,60100,▼ 300,-0.5,141832,9206017
2022-12-05,13:00:00,60200,▼ 200,-0.33,342166,9064185
2022-12-05,12:50:00,60200,▼ 200,-0.33,322564,8722019
2022-12-05,12:40:00,60300,▼ 100,-0.17,125051,8399455
2022-12-05,12:30:00,60300,▼ 100,-0.17,236564,8274404
2022-12-05,13:20:00,60300,▼ 100,-0.17,492787,9698804
2022-12-05,13:10:00,60100,▼ 300,-0.5,141832,9206017
2022-12-05,13:00:00,60200,▼ 200,-0.33,342166,9064185
2022-12-05,12:50:00,60200,▼ 200,-0.33,322564,8722019
2022-12-05,12:40:00,60300,▼ 100,-0.17,125051,8399455
2022-12-05,12:30:00,60300,▼ 100,-0.17,236564,8274404
2022-12-05,12:20:00,60400,0,0.0,121952,8037840
2022-12-05,12:10:00,60500,▲ 100,0.17,203178,7915888
2022-12-05,12:00:00,60300,▼ 100,-0.17,103434,7712710
2022-12-05,11:50:00,60300,▼ 100,-0.17,214880,7609276
2022-12-05,11:40:00,60400,0,0.0,247623,7394396
2022-12-05,11:30:00,60700,▲ 300,0.5,232215,7146773
2022-12-05,11:20:00,60500,▲ 100,0.17,196974,6914558
2022-12-05,11:10:00,60700,▲ 300,0.5,312320,6717584
2022-12-05,11:00:00,60700,▲ 300,0.5,184972,6405264
2022-12-05,10:50:00,60800,▲ 400,0.66,332089,6220292
2022-12-05,10:40:00,60900,▲ 500,0.83,330974,5888203
2022-12-05,10:30:00,61100,▲ 700,1.16,95257,5557229
2022-12-05,10:20:00,61000,▲ 600,0.99,224180,5461972
2022-12-05,10:10:00,60900,▲ 500,0.83,451062,5237792
2022-12-05,10:00:00,60800,▲ 400,0.66,139232,4786730
2022-12-05,09:50:00,60600,▲ 200,0.33,326715,4647498
2022-12-05,09:40:00,60500,▲ 100,0.17,667116,4320783
2022-12-05,09:30:00,60800,▲ 400,0.66,395397,3653667
2022-12-05,09:20:00,60500,▲ 100,0.17,721213,3258270
2022-12-05,09:10:00,60400,0,0.0,1297369,2537057
2022-12-05,09:00:00,60900,▲ 500,0.83,1239365,1239688
2022-12-05,08:30:00,60400,0,0.0,323,323
