date,time,price,change,change(%),amount,volume
2023-01-20,15:40:00,94700,▲ 600,0.64,6,228502
2023-01-20,15:30:00,94700,▲ 600,0.64,21525,228496
2023-01-20,15:10:00,94600,▲ 500,0.53,19003,206971
2023-01-20,15:00:00,94800,▲ 700,0.74,19540,187968
2023-01-20,14:50:00,94400,▲ 300,0.32,7722,168428
2023-01-20,14:40:00,94200,▲ 100,0.11,8758,160706
2023-01-20,14:30:00,94200,▲ 100,0.11,7210,151948
2023-01-20,14:20:00,94100,0,0.0,6390,144738
2023-01-20,14:10:00,94200,▲ 100,0.11,3900,138348
2023-01-20,14:00:00,94000,▼ 100,-0.11,5759,134448
2023-01-20,13:50:00,94100,0,0.0,11473,128689
2023-01-20,13:40:00,94000,▼ 100,-0.11,3024,117216
2023-01-20,13:30:00,93900,▼ 200,-0.21,2340,114192
2023-01-20,13:20:00,94000,▼ 100,-0.11,2369,111852
2023-01-20,13:10:00,94000,▼ 100,-0.11,2962,109483
2023-01-20,13:00:00,93800,▼ 300,-0.32,2678,106521
2023-01-20,12:50:00,93700,▼ 400,-0.43,7182,103843
2023-01-20,12:40:00,94000,▼ 100,-0.11,2017,96661
2023-01-20,12:30:00,94000,▼ 100,-0.11,5370,94644
2023-01-20,12:20:00,93700,▼ 400,-0.43,1865,89274
2023-01-20,13:10:00,94000,▼ 100,-0.11,2962,109483
2023-01-20,13:00:00,93800,▼ 300,-0.32,2678,106521
2023-01-20,12:50:00,93700,▼ 400,-0.43,7182,103843
2023-01-20,12:40:00,94000,▼ 100,-0.11,2017,96661
2023-01-20,12:30:00,94000,▼ 100,-0.11,5370,94644
2023-01-20,12:20:00,93700,▼ 400,-0.43,1865,89274
2023-01-20,12:10:00,93700,▼ 400,-0.43,1886,87409
2023-01-20,12:00:00,93700,▼ 400,-0.43,4639,85523
2023-01-20,11:50:00,93800,▼ 300,-0.32,2550,80884
2023-01-20,11:40:00,93800,▼ 300,-0.32,2421,78334
2023-01-20,11:30:00,93800,▼ 300,-0.32,1906,75913
2023-01-20,11:20:00,93800,▼ 300,-0.32,5977,74007
2023-01-20,11:10:00,93600,▼ 500,-0.53,2023,68030
2023-01-20,11:00:00,93700,▼ 400,-0.43,2573,66007
2023-01-20,10:50:00,93700,▼ 400,-0.43,1853,63434
2023-01-20,10:40:00,93700,▼ 400,-0.43,4008,61581
2023-01-20,10:30:00,93600,▼ 500,-0.53,6014,57573
2023-01-20,10:20:00,94100,0,0.0,5793,51559
2023-01-20,10:10:00,94100,0,0.0,4966,45766
2023-01-20,10:00:00,94300,▲ 200,0.21,2839,40800
2023-01-20,09:50:00,94200,▲ 100,0.11,8125,37961
2023-01-20,09:40:00,94300,▲ 200,0.21,2133,29836
2023-01-20,09:30:00,94300,▲ 200,0.21,8645,27703
2023-01-20,09:20:00,94200,▲ 100,0.11,1956,19058
2023-01-20,09:10:00,94200,▲ 100,0.11,5714,17102
2023-01-20,09:00:00,93800,▼ 300,-0.32,11288,11388
2023-01-20,08:30:00,94100,0,0.0,100,100
