date,time,price,change,change(%),amount,volume
2022-10-06,15:50:00,167000,"▲ 3,000",1.83,638,3401050
2022-10-06,15:40:00,167000,"▲ 3,000",1.83,17771,3400412
2022-10-06,15:30:00,167000,"▲ 3,000",1.83,131279,3382641
2022-10-06,15:10:00,168500,"▲ 4,500",2.74,55395,3251362
2022-10-06,15:00:00,168000,"▲ 4,000",2.44,90853,3195967
2022-10-06,14:50:00,168000,"▲ 4,000",2.44,108460,3105114
2022-10-06,14:40:00,168500,"▲ 4,500",2.74,46089,2996654
2022-10-06,14:30:00,168000,"▲ 4,000",2.44,54327,2950565
2022-10-06,14:20:00,168500,"▲ 4,500",2.74,31350,2896238
2022-10-06,14:10:00,168500,"▲ 4,500",2.74,76935,2864888
2022-10-06,14:00:00,168000,"▲ 4,000",2.44,53385,2787953
2022-10-06,13:50:00,168000,"▲ 4,000",2.44,41012,2734568
2022-10-06,13:40:00,167500,"▲ 3,500",2.13,17961,2693556
2022-10-06,13:30:00,167500,"▲ 3,500",2.13,24516,2675595
2022-10-06,13:20:00,167500,"▲ 3,500",2.13,19666,2651079
2022-10-06,13:10:00,167000,"▲ 3,000",1.83,19360,2631413
2022-10-06,13:00:00,167500,"▲ 3,500",2.13,36569,2612053
2022-10-06,12:50:00,167500,"▲ 3,500",2.13,96076,2575484
2022-10-06,12:40:00,168500,"▲ 4,500",2.74,15443,2479408
2022-10-06,12:30:00,168500,"▲ 4,500",2.74,55771,2463965
2022-10-06,13:20:00,167500,"▲ 3,500",2.13,19666,2651079
2022-10-06,13:10:00,167000,"▲ 3,000",1.83,19360,2631413
2022-10-06,13:00:00,167500,"▲ 3,500",2.13,36569,2612053
2022-10-06,12:50:00,167500,"▲ 3,500",2.13,96076,2575484
2022-10-06,12:40:00,168500,"▲ 4,500",2.74,15443,2479408
2022-10-06,12:30:00,168500,"▲ 4,500",2.74,55771,2463965
2022-10-06,12:20:00,168500,"▲ 4,500",2.74,80122,2408194
2022-10-06,12:10:00,168500,"▲ 4,500",2.74,84665,2328072
2022-10-06,12:00:00,167500,"▲ 3,500",2.13,15214,2243407
2022-10-06,11:50:00,167000,"▲ 3,000",1.83,16921,2228193
2022-10-06,11:40:00,167500,"▲ 3,500",2.13,66241,2211272
2022-10-06,11:30:00,167500,"▲ 3,500",2.13,19216,2145031
2022-10-06,11:20:00,167500,"▲ 3,500",2.13,29852,2125815
2022-10-06,11:10:00,167000,"▲ 3,000",1.83,34742,2095963
2022-10-06,11:00:00,167000,"▲ 3,000",1.83,36684,2061221
2022-10-06,10:50:00,167500,"▲ 3,500",2.13,58628,2024537
2022-10-06,10:40:00,166500,"▲ 2,500",1.52,38241,1965909
2022-10-06,10:30:00,166000,"▲ 2,000",1.22,35418,1927668
2022-10-06,10:20:00,166500,"▲ 2,500",1.52,36292,1892250
2022-10-06,10:10:00,166500,"▲ 2,500",1.52,23957,1855958
2022-10-06,10:00:00,166500,"▲ 2,500",1.52,113722,1832001
2022-10-06,09:50:00,165500,"▲ 1,500",0.91,158549,1718279
2022-10-06,09:40:00,166500,"▲ 2,500",1.52,55033,1559730
2022-10-06,09:30:00,167000,"▲ 3,000",1.83,115604,1504697
2022-10-06,09:20:00,167500,"▲ 3,500",2.13,204038,1389093
2022-10-06,09:10:00,168500,"▲ 4,500",2.74,403391,1185055
2022-10-06,09:00:00,164500,▲ 500,0.3,780212,781664
2022-10-06,08:30:00,164000,0,0.0,1452,1452
