date,time,price,change,change(%),amount,volume
2022-11-01,15:50:00,164500,0,0.0,662,621530
2022-11-01,15:40:00,164500,0,0.0,1465,620868
2022-11-01,15:30:00,164500,0,0.0,23999,619403
2022-11-01,15:10:00,164500,0,0.0,14583,595404
2022-11-01,15:00:00,164000,▼ 500,-0.3,17820,580821
2022-11-01,14:50:00,163500,"▼ 1,000",-0.61,14085,563001
2022-11-01,14:40:00,164500,0,0.0,27387,548916
2022-11-01,14:30:00,164000,▼ 500,-0.3,15567,521529
2022-11-01,14:20:00,163500,"▼ 1,000",-0.61,12577,505962
2022-11-01,14:10:00,163500,"▼ 1,000",-0.61,11204,493385
2022-11-01,14:00:00,164000,▼ 500,-0.3,18615,482181
2022-11-01,13:50:00,163500,"▼ 1,000",-0.61,29161,463566
2022-11-01,13:40:00,164000,▼ 500,-0.3,5846,434405
2022-11-01,13:30:00,163500,"▼ 1,000",-0.61,6320,428559
2022-11-01,13:20:00,164000,▼ 500,-0.3,25469,422239
2022-11-01,13:10:00,163500,"▼ 1,000",-0.61,5264,396770
2022-11-01,13:00:00,163500,"▼ 1,000",-0.61,35556,391506
2022-11-01,12:50:00,164000,▼ 500,-0.3,6087,355950
2022-11-01,12:40:00,164000,▼ 500,-0.3,4285,349863
2022-11-01,12:30:00,164000,▼ 500,-0.3,5298,345578
2022-11-01,13:20:00,164000,▼ 500,-0.3,25469,422239
2022-11-01,13:10:00,163500,"▼ 1,000",-0.61,5264,396770
2022-11-01,13:00:00,163500,"▼ 1,000",-0.61,35556,391506
2022-11-01,12:50:00,164000,▼ 500,-0.3,6087,355950
2022-11-01,12:40:00,164000,▼ 500,-0.3,4285,349863
2022-11-01,12:30:00,164000,▼ 500,-0.3,5298,345578
2022-11-01,12:20:00,164500,0,0.0,4376,340280
2022-11-01,12:10:00,164500,0,0.0,5213,335904
2022-11-01,12:00:00,164500,0,0.0,6772,330691
2022-11-01,11:50:00,164000,▼ 500,-0.3,4164,323919
2022-11-01,11:40:00,164500,0,0.0,5919,319755
2022-11-01,11:30:00,164500,0,0.0,22574,313836
2022-11-01,11:20:00,164500,0,0.0,26204,291262
2022-11-01,11:10:00,164500,0,0.0,18491,265058
2022-11-01,11:00:00,164000,▼ 500,-0.3,10123,246567
2022-11-01,10:50:00,164000,▼ 500,-0.3,6802,236444
2022-11-01,10:40:00,163500,"▼ 1,000",-0.61,19403,229642
2022-11-01,10:30:00,163500,"▼ 1,000",-0.61,8210,210239
2022-11-01,10:20:00,163500,"▼ 1,000",-0.61,14294,202029
2022-11-01,10:10:00,164000,▼ 500,-0.3,16018,187735
2022-11-01,10:00:00,164000,▼ 500,-0.3,11072,171717
2022-11-01,09:50:00,163000,"▼ 1,500",-0.91,10403,160645
2022-11-01,09:40:00,163000,"▼ 1,500",-0.91,17691,150242
2022-11-01,09:30:00,163500,"▼ 1,000",-0.61,30872,132551
2022-11-01,09:20:00,163000,"▼ 1,500",-0.91,19939,101679
2022-11-01,09:10:00,163000,"▼ 1,500",-0.91,20541,81740
2022-11-01,09:00:00,163500,"▼ 1,000",-0.61,61115,61199
2022-11-01,08:30:00,164500,0,0.0,84,84
