date,time,price,change,change(%),amount,volume
2023-01-11,15:50:00,60500,▲ 100,0.17,1816,12239423
2023-01-11,15:40:00,60500,▲ 100,0.17,10080,12237607
2023-01-11,15:30:00,60500,▲ 100,0.17,1362782,12227527
2023-01-11,15:10:00,60700,▲ 300,0.5,497937,10864745
2023-01-11,15:00:00,60700,▲ 300,0.5,279585,10366808
2023-01-11,14:50:00,60700,▲ 300,0.5,314897,10087223
2023-01-11,14:40:00,60800,▲ 400,0.66,289183,9772326
2023-01-11,14:30:00,60900,▲ 500,0.83,459307,9483143
2023-01-11,14:20:00,60800,▲ 400,0.66,462453,9023836
2023-01-11,14:10:00,60700,▲ 300,0.5,218237,8561383
2023-01-11,14:00:00,60600,▲ 200,0.33,85976,8343146
2023-01-11,13:50:00,60600,▲ 200,0.33,83019,8257170
2023-01-11,13:40:00,60600,▲ 200,0.33,66727,8174151
2023-01-11,13:30:00,60600,▲ 200,0.33,148664,8107424
2023-01-11,13:20:00,60600,▲ 200,0.33,298987,7958760
2023-01-11,13:10:00,60500,▲ 100,0.17,59746,7659773
2023-01-11,13:00:00,60500,▲ 100,0.17,150948,7600027
2023-01-11,12:50:00,60500,▲ 100,0.17,154225,7449079
2023-01-11,12:40:00,60600,▲ 200,0.33,41412,7294854
2023-01-11,12:30:00,60600,▲ 200,0.33,332017,7253442
2023-01-11,13:40:00,60600,▲ 200,0.33,66727,8174151
2023-01-11,13:30:00,60600,▲ 200,0.33,148664,8107424
2023-01-11,13:20:00,60600,▲ 200,0.33,298987,7958760
2023-01-11,13:10:00,60500,▲ 100,0.17,59746,7659773
2023-01-11,13:00:00,60500,▲ 100,0.17,150948,7600027
2023-01-11,12:50:00,60500,▲ 100,0.17,154225,7449079
2023-01-11,12:40:00,60600,▲ 200,0.33,41412,7294854
2023-01-11,12:30:00,60600,▲ 200,0.33,332017,7253442
2023-01-11,12:20:00,60600,▲ 200,0.33,42226,6921425
2023-01-11,12:10:00,60500,▲ 100,0.17,28343,6879199
2023-01-11,12:00:00,60600,▲ 200,0.33,161025,6850856
2023-01-11,11:50:00,60600,▲ 200,0.33,263133,6689831
2023-01-11,11:40:00,60500,▲ 100,0.17,243411,6426698
2023-01-11,11:30:00,60500,▲ 100,0.17,120591,6183287
2023-01-11,11:20:00,60500,▲ 100,0.17,261191,6062696
2023-01-11,11:10:00,60500,▲ 100,0.17,306387,5801505
2023-01-11,11:00:00,60700,▲ 300,0.5,361891,5495118
2023-01-11,10:50:00,60800,▲ 400,0.66,210212,5133227
2023-01-11,10:40:00,60500,▲ 100,0.17,166752,4923015
2023-01-11,10:30:00,60500,▲ 100,0.17,69671,4756263
2023-01-11,10:20:00,60500,▲ 100,0.17,615817,4686592
2023-01-11,10:10:00,60600,▲ 200,0.33,221635,4070775
2023-01-11,10:00:00,60800,▲ 400,0.66,196252,3849140
2023-01-11,09:50:00,60900,▲ 500,0.83,229643,3652888
2023-01-11,09:40:00,60700,▲ 300,0.5,307505,3423245
2023-01-11,09:30:00,60900,▲ 500,0.83,485830,3115740
2023-01-11,09:20:00,61000,▲ 600,0.99,896112,2629910
2023-01-11,09:10:00,60800,▲ 400,0.66,598657,1733798
2023-01-11,09:00:00,60800,▲ 400,0.66,1118161,1135141
2023-01-11,08:30:00,60400,0,0.0,16980,16980
