date,time,price,change,change(%),amount,volume
2022-12-13,15:50:00,98100,"▼ 1,100",-1.11,78,260724
2022-12-13,15:40:00,98100,"▼ 1,100",-1.11,1582,260646
2022-12-13,15:30:00,98100,"▼ 1,100",-1.11,25473,259064
2022-12-13,15:10:00,98000,"▼ 1,200",-1.21,7188,233591
2022-12-13,15:00:00,98100,"▼ 1,100",-1.11,9312,226403
2022-12-13,14:50:00,98200,"▼ 1,000",-1.01,6186,217091
2022-12-13,14:40:00,98300,▼ 900,-0.91,6270,210905
2022-12-13,14:30:00,98500,▼ 700,-0.71,12125,204635
2022-12-13,14:20:00,98200,"▼ 1,000",-1.01,9581,192510
2022-12-13,14:10:00,98400,▼ 800,-0.81,7864,182929
2022-12-13,14:00:00,98600,▼ 600,-0.6,6975,175065
2022-12-13,13:50:00,98500,▼ 700,-0.71,6930,168090
2022-12-13,13:40:00,98700,▼ 500,-0.5,4544,161160
2022-12-13,13:30:00,98700,▼ 500,-0.5,6262,156616
2022-12-13,13:20:00,98700,▼ 500,-0.5,7850,150354
2022-12-13,13:10:00,98800,▼ 400,-0.4,4944,142504
2022-12-13,13:00:00,98700,▼ 500,-0.5,5510,137560
2022-12-13,12:50:00,98900,▼ 300,-0.3,4308,132050
2022-12-13,12:40:00,98800,▼ 400,-0.4,4462,127742
2022-12-13,12:30:00,98900,▼ 300,-0.3,5359,123280
2022-12-13,13:20:00,98700,▼ 500,-0.5,7850,150354
2022-12-13,13:10:00,98800,▼ 400,-0.4,4944,142504
2022-12-13,13:00:00,98700,▼ 500,-0.5,5510,137560
2022-12-13,12:50:00,98900,▼ 300,-0.3,4308,132050
2022-12-13,12:40:00,98800,▼ 400,-0.4,4462,127742
2022-12-13,12:30:00,98900,▼ 300,-0.3,5359,123280
2022-12-13,12:20:00,98700,▼ 500,-0.5,4505,117921
2022-12-13,12:10:00,98800,▼ 400,-0.4,4774,113416
2022-12-13,12:00:00,98800,▼ 400,-0.4,4616,108642
2022-12-13,11:50:00,98900,▼ 300,-0.3,6207,104026
2022-12-13,11:40:00,99000,▼ 200,-0.2,4727,97819
2022-12-13,11:30:00,99000,▼ 200,-0.2,4896,93092
2022-12-13,11:20:00,99200,0,0.0,4601,88196
2022-12-13,11:10:00,99100,▼ 100,-0.1,5137,83595
2022-12-13,11:00:00,99100,▼ 100,-0.1,5479,78458
2022-12-13,10:50:00,99000,▼ 200,-0.2,4556,72979
2022-12-13,10:40:00,99100,▼ 100,-0.1,4531,68423
2022-12-13,10:30:00,99100,▼ 100,-0.1,4178,63892
2022-12-13,10:20:00,99000,▼ 200,-0.2,5454,59714
2022-12-13,10:10:00,99200,0,0.0,5256,54260
2022-12-13,10:00:00,99100,▼ 100,-0.1,5520,49004
2022-12-13,09:50:00,99000,▼ 200,-0.2,5282,43484
2022-12-13,09:40:00,98900,▼ 300,-0.3,3911,38202
2022-12-13,09:30:00,99000,▼ 200,-0.2,5334,34291
2022-12-13,09:20:00,98900,▼ 300,-0.3,7047,28957
2022-12-13,09:10:00,98800,▼ 400,-0.4,6270,21910
2022-12-13,09:00:00,98700,▼ 500,-0.5,15640,15640
