date,time,price,change,change(%),amount,volume
2022-08-11,15:50:00,267500,"▲ 5,500",2.1,72,516564
2022-08-11,15:40:00,267500,"▲ 5,500",2.1,550,516492
2022-08-11,15:30:00,267500,"▲ 5,500",2.1,88033,515942
2022-08-11,15:10:00,267000,"▲ 5,000",1.91,11530,427909
2022-08-11,15:00:00,266500,"▲ 4,500",1.72,5165,416379
2022-08-11,14:50:00,267000,"▲ 5,000",1.91,8639,411214
2022-08-11,14:40:00,267000,"▲ 5,000",1.91,11080,402575
2022-08-11,14:30:00,266000,"▲ 4,000",1.53,10981,391495
2022-08-11,14:20:00,266500,"▲ 4,500",1.72,4610,380514
2022-08-11,14:10:00,266500,"▲ 4,500",1.72,12795,375904
2022-08-11,14:00:00,267000,"▲ 5,000",1.91,11728,363109
2022-08-11,13:50:00,267000,"▲ 5,000",1.91,4408,351381
2022-08-11,13:40:00,267000,"▲ 5,000",1.91,3007,346973
2022-08-11,13:30:00,267000,"▲ 5,000",1.91,3264,343966
2022-08-11,13:20:00,267500,"▲ 5,500",2.1,5930,340702
2022-08-11,13:10:00,267500,"▲ 5,500",2.1,6958,334772
2022-08-11,13:00:00,267500,"▲ 5,500",2.1,10913,327814
2022-08-11,12:50:00,267000,"▲ 5,000",1.91,2243,316901
2022-08-11,12:40:00,267500,"▲ 5,500",2.1,7413,314658
2022-08-11,12:30:00,268000,"▲ 6,000",2.29,4507,307245
2022-08-11,13:40:00,267000,"▲ 5,000",1.91,3007,346973
2022-08-11,13:30:00,267000,"▲ 5,000",1.91,3264,343966
2022-08-11,13:20:00,267500,"▲ 5,500",2.1,5930,340702
2022-08-11,13:10:00,267500,"▲ 5,500",2.1,6958,334772
2022-08-11,13:00:00,267500,"▲ 5,500",2.1,10913,327814
2022-08-11,12:50:00,267000,"▲ 5,000",1.91,2243,316901
2022-08-11,12:40:00,267500,"▲ 5,500",2.1,7413,314658
2022-08-11,12:30:00,268000,"▲ 6,000",2.29,4507,307245
2022-08-11,12:20:00,267500,"▲ 5,500",2.1,1102,302738
2022-08-11,12:10:00,267500,"▲ 5,500",2.1,5768,301636
2022-08-11,12:00:00,266500,"▲ 4,500",1.72,5409,295868
2022-08-11,11:50:00,267000,"▲ 5,000",1.91,4821,290459
2022-08-11,11:40:00,267000,"▲ 5,000",1.91,7611,285638
2022-08-11,11:30:00,267500,"▲ 5,500",2.1,5198,278027
2022-08-11,11:20:00,267000,"▲ 5,000",1.91,7584,272829
2022-08-11,11:10:00,267500,"▲ 5,500",2.1,3366,265245
2022-08-11,11:00:00,267000,"▲ 5,000",1.91,4811,261879
2022-08-11,10:50:00,267000,"▲ 5,000",1.91,7238,257068
2022-08-11,10:40:00,267500,"▲ 5,500",2.1,4345,249830
2022-08-11,10:30:00,267500,"▲ 5,500",2.1,6580,245485
2022-08-11,10:20:00,267500,"▲ 5,500",2.1,9030,238905
2022-08-11,10:10:00,267500,"▲ 5,500",2.1,7176,229875
2022-08-11,10:00:00,268000,"▲ 6,000",2.29,10773,222699
2022-08-11,09:50:00,270500,"▲ 8,500",3.24,24044,211926
2022-08-11,09:40:00,269500,"▲ 7,500",2.86,29606,187882
2022-08-11,09:30:00,266500,"▲ 4,500",1.72,39241,158276
2022-08-11,09:20:00,268500,"▲ 6,500",2.48,19320,119035
2022-08-11,09:10:00,268000,"▲ 6,000",2.29,18369,99715
2022-08-11,09:00:00,268500,"▲ 6,500",2.48,81260,81346
2022-08-11,08:30:00,262000,0,0.0,86,86
