,date,time,price,change,change(%),amount,volume
0,2025-05-13,15:30:00,196700,900,0.46%,40627,462722
1,2025-05-13,15:15:00,196200,400,0.20%,6898,422095
2,2025-05-13,15:10:00,195900,100,0.05%,5906,415197
3,2025-05-13,15:05:00,196000,200,0.10%,5420,409291
4,2025-05-13,15:00:00,196200,400,0.20%,3354,403871
5,2025-05-13,14:55:00,196100,300,0.15%,2872,400517
6,2025-05-13,14:50:00,196100,300,0.15%,2561,397645
7,2025-05-13,14:45:00,196100,300,0.15%,3385,395084
8,2025-05-13,14:40:00,196000,200,0.10%,2305,391699
9,2025-05-13,14:35:00,196000,200,0.10%,3895,389394
10,2025-05-13,14:30:00,195900,100,0.05%,2416,385499
11,2025-05-13,14:25:00,196000,200,0.10%,2267,383083
12,2025-05-13,14:20:00,196000,200,0.10%,4020,380816
13,2025-05-13,14:15:00,195800,100,0.00%,1828,376796
14,2025-05-13,14:10:00,195800,200,0.00%,2706,374968
15,2025-05-13,14:05:00,195800,100,0.00%,2866,372262
16,2025-05-13,14:00:00,195900,100,0.05%,2490,369396
17,2025-05-13,13:55:00,196000,200,0.10%,3810,366906
18,2025-05-13,13:50:00,196000,200,0.10%,2248,363096
19,2025-05-13,13:45:00,196200,400,0.20%,3025,360848
20,2025-05-13,13:40:00,196000,300,0.15%,3475,357823
21,2025-05-13,13:35:00,195600,500,-0.25%,2935,354348
22,2025-05-13,13:30:00,195700,400,-0.20%,2734,351413
23,2025-05-13,13:25:00,195700,400,-0.20%,2112,348679
24,2025-05-13,13:20:00,195800,300,0.00%,2609,346567
25,2025-05-13,13:15:00,195700,400,-0.20%,2598,343958
26,2025-05-13,13:10:00,195700,300,-0.15%,1905,341360
27,2025-05-13,13:05:00,195700,400,-0.20%,3427,339455
28,2025-05-13,13:00:00,195700,300,-0.15%,5527,336028
29,2025-05-13,12:55:00,196000,200,0.10%,5641,330501
30,2025-05-13,12:50:00,196000,200,0.10%,1148,324860
31,2025-05-13,12:45:00,196200,400,0.20%,2562,323712
32,2025-05-13,12:40:00,196200,400,0.20%,2089,321150
33,2025-05-13,12:35:00,196300,500,0.26%,3569,319061
34,2025-05-13,12:30:00,196400,600,0.31%,2508,315492
35,2025-05-13,12:25:00,196500,700,0.36%,2529,312984
36,2025-05-13,12:20:00,196700,900,0.46%,3982,310455
37,2025-05-13,12:15:00,196800,1000,0.51%,3263,306473
38,2025-05-13,12:10:00,196900,1100,0.56%,2989,303210
39,2025-05-13,12:05:00,196900,1100,0.56%,3791,300221
40,2025-05-13,12:00:00,197000,1200,0.61%,1636,296430
41,2025-05-13,11:55:00,197000,1200,0.61%,2572,294794
42,2025-05-13,11:50:00,196900,1100,0.56%,1989,292222
43,2025-05-13,11:45:00,197100,1300,0.66%,1906,290233
44,2025-05-13,11:40:00,197000,1200,0.61%,2372,288327
45,2025-05-13,11:35:00,197000,1200,0.61%,2674,285955
46,2025-05-13,11:30:00,197000,1200,0.61%,3036,283281
47,2025-05-13,11:25:00,197300,1500,0.77%,3553,280245
48,2025-05-13,11:20:00,197300,1500,0.77%,3009,276692
49,2025-05-13,11:15:00,197200,1400,0.72%,3891,273683
50,2025-05-13,11:10:00,197200,1400,0.72%,2193,269792
51,2025-05-13,11:05:00,197250,1450,0.74%,3066,267599
52,2025-05-13,11:00:00,197300,1500,0.77%,3766,264533
53,2025-05-13,10:55:00,197000,1200,0.61%,2690,260767
54,2025-05-13,10:50:00,197000,1200,0.61%,1996,258077
55,2025-05-13,10:45:00,197000,1200,0.61%,2670,256081
56,2025-05-13,10:40:00,196900,1100,0.56%,2616,253411
57,2025-05-13,10:35:00,196800,1000,0.51%,2000,250795
58,2025-05-13,10:30:00,197100,1300,0.66%,3565,248795
59,2025-05-13,10:25:00,197200,1400,0.72%,3797,245230
60,2025-05-13,10:20:00,197000,1200,0.61%,5100,241433
61,2025-05-13,10:15:00,197000,1200,0.61%,5874,236333
62,2025-05-13,10:10:00,196600,800,0.41%,12240,230459
63,2025-05-13,10:05:00,196100,300,0.15%,3132,218219
64,2025-05-13,10:00:00,196500,700,0.36%,5916,215087
65,2025-05-13,09:55:00,196400,600,0.31%,12205,209171
66,2025-05-13,09:50:00,196000,700,0.36%,12990,196966
67,2025-05-13,09:45:00,196800,1000,0.51%,10557,183976
68,2025-05-13,09:40:00,197400,1600,0.82%,16487,173419
69,2025-05-13,09:35:00,197500,1700,0.87%,12771,156932
70,2025-05-13,09:30:00,197500,1700,0.87%,5388,144161
71,2025-05-13,09:25:00,197600,1800,0.92%,6594,138773
72,2025-05-13,09:20:00,197200,1400,0.72%,6864,132179
73,2025-05-13,09:15:00,197300,1500,0.77%,17986,125315
74,2025-05-13,09:10:00,197800,2000,1.02%,27546,107329
75,2025-05-13,09:05:00,197900,2100,1.07%,21040,79783
76,2025-05-13,09:00:00,198000,2200,1.12%,58743,58743
