,date,time,price,change,change(%),amount,volume
0,2024-10-31,15:30:00,109700,300,-0.27%,79049,187563
1,2024-10-31,15:15:00,110000,700,-0.63%,5662,108514
2,2024-10-31,15:10:00,109900,600,-0.54%,2726,102852
3,2024-10-31,15:05:00,109900,300,-0.27%,2070,100126
4,2024-10-31,15:00:00,109800,600,-0.54%,1356,98056
5,2024-10-31,14:55:00,109600,700,-0.63%,3693,96700
6,2024-10-31,14:50:00,109600,800,-0.72%,3391,93007
7,2024-10-31,14:45:00,109600,600,-0.54%,2611,89616
8,2024-10-31,14:40:00,109800,500,-0.45%,2474,87005
9,2024-10-31,14:35:00,109700,600,-0.54%,1832,84531
10,2024-10-31,14:30:00,109800,500,-0.45%,1819,82699
11,2024-10-31,14:25:00,110000,400,-0.36%,790,80880
12,2024-10-31,14:20:00,110000,200,0.00%,1139,80090
13,2024-10-31,14:15:00,110000,200,0.00%,492,78951
14,2024-10-31,14:10:00,110000,300,-0.27%,2636,78458
15,2024-10-31,14:05:00,110000,200,0.00%,512,75822
16,2024-10-31,14:00:00,110000,200,-0.18%,632,75310
17,2024-10-31,13:55:00,110100,200,0.00%,422,74678
18,2024-10-31,13:50:00,110100,100,0.09%,530,74256
19,2024-10-31,13:45:00,110100,100,-0.09%,1161,73726
20,2024-10-31,13:40:00,110000,200,0.00%,752,72565
21,2024-10-31,13:35:00,110100,200,0.18%,709,71813
22,2024-10-31,13:30:00,110100,100,0.09%,675,71104
23,2024-10-31,13:25:00,110100,400,0.36%,2482,70429
24,2024-10-31,13:20:00,109700,400,-0.36%,678,67947
25,2024-10-31,13:15:00,109800,400,-0.36%,827,67269
26,2024-10-31,13:10:00,109800,400,-0.36%,397,66442
27,2024-10-31,13:05:00,110000,400,0.00%,1370,66045
28,2024-10-31,13:00:00,110000,100,0.00%,427,64675
29,2024-10-31,12:55:00,110000,400,0.00%,1114,64248
30,2024-10-31,12:50:00,109800,300,-0.27%,420,63134
31,2024-10-31,12:45:00,110000,500,0.00%,1806,62714
32,2024-10-31,12:40:00,110000,200,-0.18%,651,60908
33,2024-10-31,12:35:00,110000,200,0.00%,344,60257
34,2024-10-31,12:30:00,110100,200,0.18%,427,59913
35,2024-10-31,12:25:00,110100,400,-0.36%,1701,59486
36,2024-10-31,12:20:00,109900,500,-0.45%,1161,57785
37,2024-10-31,12:15:00,110000,200,-0.18%,479,56624
38,2024-10-31,12:10:00,110000,400,-0.36%,930,56145
39,2024-10-31,12:05:00,109800,500,-0.45%,1357,55215
40,2024-10-31,12:00:00,109700,600,-0.54%,1279,53858
41,2024-10-31,11:55:00,109800,400,-0.36%,878,52579
42,2024-10-31,11:50:00,109800,400,-0.36%,724,51701
43,2024-10-31,11:45:00,109800,500,-0.45%,945,50977
44,2024-10-31,11:40:00,109900,500,-0.45%,1221,50032
45,2024-10-31,11:35:00,110000,500,0.00%,1388,48811
46,2024-10-31,11:30:00,110000,700,0.00%,2106,47423
47,2024-10-31,11:25:00,109900,800,-0.72%,1630,45317
48,2024-10-31,11:20:00,109700,900,-0.81%,1456,43687
49,2024-10-31,11:15:00,109500,900,-0.82%,2179,42231
50,2024-10-31,11:10:00,109500,900,-0.82%,1796,40052
51,2024-10-31,11:05:00,109800,900,-0.81%,1893,38256
52,2024-10-31,11:00:00,110000,400,0.00%,1401,36363
53,2024-10-31,10:55:00,110000,100,0.00%,328,34962
54,2024-10-31,10:50:00,110100,200,0.18%,573,34634
55,2024-10-31,10:45:00,110100,400,0.36%,1590,34061
56,2024-10-31,10:40:00,110200,400,0.36%,570,32471
57,2024-10-31,10:35:00,110200,200,0.18%,343,31901
58,2024-10-31,10:30:00,110000,800,0.00%,3660,31558
59,2024-10-31,10:25:00,110400,400,0.36%,1782,27898
60,2024-10-31,10:20:00,110400,400,0.36%,922,26116
61,2024-10-31,10:15:00,110400,400,0.36%,2023,25194
62,2024-10-31,10:10:00,110500,500,0.45%,899,23171
63,2024-10-31,10:05:00,110400,400,0.36%,780,22272
64,2024-10-31,10:00:00,110500,500,0.45%,473,21492
65,2024-10-31,09:55:00,110500,500,0.45%,1070,21019
66,2024-10-31,09:50:00,110300,300,0.27%,747,19949
67,2024-10-31,09:45:00,110300,300,0.27%,664,19202
68,2024-10-31,09:40:00,110500,500,0.45%,934,18538
69,2024-10-31,09:35:00,110500,500,0.45%,2595,17604
70,2024-10-31,09:30:00,110700,700,0.64%,1246,15009
71,2024-10-31,09:25:00,110700,700,0.64%,1726,13763
72,2024-10-31,09:20:00,110200,200,0.18%,1718,12037
73,2024-10-31,09:15:00,110400,400,0.36%,1177,10319
74,2024-10-31,09:10:00,110500,500,0.45%,2152,9142
75,2024-10-31,09:05:00,111000,1000,0.91%,2822,6990
76,2024-10-31,09:00:00,111800,1800,1.64%,4168,4168
