,date,time,price,change,change(%),amount,volume
0,2025-12-02,15:30:00,243000,0,0.00%,41779,616602
1,2025-12-02,15:15:00,243500,500,0.21%,8008,574823
2,2025-12-02,15:10:00,244000,1000,0.41%,14783,566815
3,2025-12-02,15:05:00,243750,750,0.31%,7174,552032
4,2025-12-02,15:00:00,243750,750,0.31%,3864,544858
5,2025-12-02,14:55:00,244000,1000,0.41%,8444,540994
6,2025-12-02,14:50:00,244000,1000,0.41%,3283,532550
7,2025-12-02,14:45:00,244000,1000,0.41%,3174,529267
8,2025-12-02,14:40:00,244000,1000,0.41%,4094,526093
9,2025-12-02,14:35:00,244000,1000,0.41%,3812,521999
10,2025-12-02,14:30:00,244000,1000,0.41%,5418,518187
11,2025-12-02,14:25:00,244000,1000,0.41%,5314,512769
12,2025-12-02,14:20:00,244000,1000,0.41%,25472,507455
13,2025-12-02,14:15:00,243500,500,0.21%,2751,481983
14,2025-12-02,14:10:00,243500,500,0.21%,2636,479232
15,2025-12-02,14:05:00,243500,500,0.21%,6641,476596
16,2025-12-02,14:00:00,243500,500,0.21%,2926,469955
17,2025-12-02,13:55:00,243500,500,0.21%,1875,467029
18,2025-12-02,13:50:00,243500,500,0.21%,2370,465154
19,2025-12-02,13:45:00,243500,500,0.21%,1709,462784
20,2025-12-02,13:40:00,243500,500,0.21%,3121,461075
21,2025-12-02,13:35:00,243500,500,0.21%,2337,457954
22,2025-12-02,13:30:00,243500,500,0.21%,2470,455617
23,2025-12-02,13:25:00,243500,500,0.21%,2629,453147
24,2025-12-02,13:20:00,243500,500,0.21%,2601,450518
25,2025-12-02,13:15:00,243500,500,0.21%,8393,447917
26,2025-12-02,13:10:00,243500,500,0.21%,1375,439524
27,2025-12-02,13:05:00,243500,500,0.21%,1450,438149
28,2025-12-02,13:00:00,243500,500,0.21%,1038,436699
29,2025-12-02,12:55:00,243500,500,0.21%,2470,435661
30,2025-12-02,12:50:00,243250,250,0.10%,6172,433191
31,2025-12-02,12:45:00,243250,250,0.10%,1876,427019
32,2025-12-02,12:40:00,243500,500,0.21%,1660,425143
33,2025-12-02,12:35:00,243250,500,0.21%,9903,423483
34,2025-12-02,12:30:00,243250,250,0.10%,6652,413580
35,2025-12-02,12:25:00,243250,250,0.10%,1889,406928
36,2025-12-02,12:20:00,243500,500,0.21%,14327,405039
37,2025-12-02,12:15:00,243750,750,0.31%,2408,390712
38,2025-12-02,12:10:00,244000,1000,0.41%,5581,388304
39,2025-12-02,12:05:00,243500,500,0.21%,2986,382723
40,2025-12-02,12:00:00,243500,500,0.21%,6279,379737
41,2025-12-02,11:55:00,243000,500,0.00%,1585,373458
42,2025-12-02,11:50:00,243000,500,0.00%,3814,371873
43,2025-12-02,11:45:00,243000,1000,0.00%,23733,368059
44,2025-12-02,11:40:00,243000,500,0.00%,2440,344326
45,2025-12-02,11:35:00,243000,1000,0.00%,6952,341886
46,2025-12-02,11:30:00,242750,1000,-0.41%,14598,334934
47,2025-12-02,11:25:00,242750,500,-0.21%,2135,320336
48,2025-12-02,11:20:00,242750,500,-0.21%,2233,318201
49,2025-12-02,11:15:00,242750,500,-0.21%,2612,315968
50,2025-12-02,11:10:00,242750,500,-0.21%,2668,313356
51,2025-12-02,11:05:00,243000,1000,0.00%,12181,310688
52,2025-12-02,11:00:00,243000,1000,0.00%,14770,298507
53,2025-12-02,10:55:00,242750,500,-0.21%,4460,283737
54,2025-12-02,10:50:00,243000,1000,0.00%,15011,279277
55,2025-12-02,10:45:00,243000,1000,0.00%,13108,264266
56,2025-12-02,10:40:00,243250,1000,0.41%,55865,251158
57,2025-12-02,10:35:00,243500,500,0.21%,3214,195293
58,2025-12-02,10:30:00,243500,500,0.21%,4919,192079
59,2025-12-02,10:25:00,243500,500,0.21%,3687,187160
60,2025-12-02,10:20:00,243500,500,0.21%,3408,183473
61,2025-12-02,10:15:00,243500,500,0.21%,7114,180065
62,2025-12-02,10:10:00,243500,500,0.21%,2536,172951
63,2025-12-02,10:05:00,244000,1000,0.41%,7929,170415
64,2025-12-02,10:00:00,244000,1000,0.41%,1546,162486
65,2025-12-02,09:55:00,244000,1000,0.41%,7983,160940
66,2025-12-02,09:50:00,244000,1000,0.41%,7594,152957
67,2025-12-02,09:45:00,244000,1000,0.41%,3324,145363
68,2025-12-02,09:40:00,244000,1000,0.41%,3022,142039
69,2025-12-02,09:35:00,244000,1000,0.41%,11161,139017
70,2025-12-02,09:30:00,243500,500,0.21%,3214,127856
71,2025-12-02,09:25:00,243500,500,0.21%,11662,124642
72,2025-12-02,09:20:00,244000,1000,0.41%,12141,112980
73,2025-12-02,09:15:00,245000,2000,0.82%,24822,100839
74,2025-12-02,09:10:00,244000,1000,0.41%,13300,76017
75,2025-12-02,09:05:00,243000,1500,0.00%,15218,62717
76,2025-12-02,09:00:00,244000,1000,0.00%,47499,47499
