,date,time,price,change,volume
0,2024-06-21,09:00:00,80700,-900,826254
1,2024-06-21,09:01:00,80600,-1000,1156353
2,2024-06-21,09:02:00,80700,-900,1317004
3,2024-06-21,09:03:00,80500,-1100,1681166
4,2024-06-21,09:04:00,80300,-1300,2176186
5,2024-06-21,09:05:00,80400,-1200,2354477
6,2024-06-21,09:06:00,80400,-1200,2476916
7,2024-06-21,09:07:00,80500,-1100,2511132
8,2024-06-21,09:08:00,80400,-1200,2601958
9,2024-06-21,09:09:00,80600,-1000,2713492
10,2024-06-21,09:10:00,80700,-900,2841335
11,2024-06-21,09:11:00,80700,-900,2947884
12,2024-06-21,09:12:00,80800,-800,3041567
13,2024-06-21,09:13:00,80800,-800,3072441
14,2024-06-21,09:14:00,80600,-1000,3184944
15,2024-06-21,09:15:00,80500,-1100,3242519
16,2024-06-21,09:16:00,80500,-1100,3268336
17,2024-06-21,09:17:00,80500,-1100,3378309
18,2024-06-21,09:18:00,80400,-1200,3431973
19,2024-06-21,09:19:00,80400,-1200,3544582
20,2024-06-21,09:20:00,80300,-1300,3564691
21,2024-06-21,09:21:00,80400,-1200,3604215
22,2024-06-21,09:22:00,80200,-1400,3902215
23,2024-06-21,09:23:00,80300,-1300,3971703
24,2024-06-21,09:24:00,80300,-1300,4027108
25,2024-06-21,09:25:00,80200,-1400,4135704
26,2024-06-21,09:26:00,80100,-1500,4187567
27,2024-06-21,09:27:00,80100,-1500,4283643
28,2024-06-21,09:28:00,80200,-1400,4341429
29,2024-06-21,09:29:00,80200,-1400,4481310
30,2024-06-21,09:30:00,80200,-1400,4518785
31,2024-06-21,09:31:00,80100,-1500,4548590
32,2024-06-21,09:32:00,80100,-1500,4595914
33,2024-06-21,09:33:00,80100,-1500,4626275
34,2024-06-21,09:34:00,80200,-1400,4662583
35,2024-06-21,09:35:00,80100,-1500,4687309
36,2024-06-21,09:36:00,80000,-1600,4836988
37,2024-06-21,09:37:00,80100,-1500,4884381
38,2024-06-21,09:38:00,80100,-1500,4918298
39,2024-06-21,09:39:00,80000,-1600,4947540
40,2024-06-21,09:40:00,80000,-1600,4975543
41,2024-06-21,09:41:00,80100,-1500,5022815
42,2024-06-21,09:42:00,80100,-1500,5359905
43,2024-06-21,09:43:00,80000,-1600,5402289
44,2024-06-21,09:44:00,80000,-1600,5436703
45,2024-06-21,09:45:00,80100,-1500,5588479
46,2024-06-21,09:46:00,80300,-1300,5715289
47,2024-06-21,09:47:00,80400,-1200,5835413
48,2024-06-21,09:48:00,80400,-1200,5866304
49,2024-06-21,09:49:00,80400,-1200,5883767
50,2024-06-21,09:50:00,80300,-1300,5894181
51,2024-06-21,09:51:00,80300,-1300,5914743
52,2024-06-21,09:52:00,80300,-1300,5923189
53,2024-06-21,09:53:00,80400,-1200,5930729
54,2024-06-21,09:54:00,80400,-1200,5943257
55,2024-06-21,09:55:00,80200,-1400,6034430
56,2024-06-21,09:56:00,80300,-1300,6085763
57,2024-06-21,09:57:00,80300,-1300,6095028
58,2024-06-21,09:58:00,80300,-1300,6104226
59,2024-06-21,09:59:00,80300,-1300,6122966
60,2024-06-21,10:00:00,80300,-1300,6146964
61,2024-06-21,10:01:00,80100,-1500,6243298
62,2024-06-21,10:02:00,80200,-1400,6277805
63,2024-06-21,10:03:00,80200,-1400,6300562
64,2024-06-21,10:04:00,80200,-1400,6391261
65,2024-06-21,10:05:00,80200,-1400,6434817
66,2024-06-21,10:06:00,80100,-1500,6446275
67,2024-06-21,10:07:00,80200,-1400,6459743
68,2024-06-21,10:08:00,80100,-1500,6478316
69,2024-06-21,10:09:00,80200,-1400,6488120
70,2024-06-21,10:10:00,80100,-1500,6496046
71,2024-06-21,10:11:00,80200,-1400,6513834
72,2024-06-21,10:12:00,80100,-1500,6527963
73,2024-06-21,10:13:00,80200,-1400,6538758
74,2024-06-21,10:14:00,80100,-1500,6557929
75,2024-06-21,10:15:00,80100,-1500,6572353
76,2024-06-21,10:16:00,80100,-1500,6737834
77,2024-06-21,10:17:00,80100,-1500,6749783
78,2024-06-21,10:18:00,80100,-1500,6759970
79,2024-06-21,10:19:00,80100,-1500,6771425
80,2024-06-21,10:20:00,80100,-1500,6781416
81,2024-06-21,10:21:00,80000,-1600,6804928
82,2024-06-21,10:22:00,80100,-1500,6815681
83,2024-06-21,10:23:00,80100,-1500,6826743
84,2024-06-21,10:24:00,80100,-1500,6845662
85,2024-06-21,10:25:00,80200,-1400,6977851
86,2024-06-21,10:26:00,80100,-1500,6982884
87,2024-06-21,10:27:00,80200,-1400,6996454
88,2024-06-21,10:28:00,80100,-1500,7005160
89,2024-06-21,10:29:00,80200,-1400,7014684
90,2024-06-21,10:30:00,80200,-1400,7222851
91,2024-06-21,10:31:00,80300,-1300,7243828
92,2024-06-21,10:32:00,80300,-1300,7249790
93,2024-06-21,10:33:00,80200,-1400,7295224
94,2024-06-21,10:34:00,80200,-1400,7399685
95,2024-06-21,10:35:00,80300,-1300,7404153
96,2024-06-21,10:36:00,80300,-1300,7414589
97,2024-06-21,10:37:00,80300,-1300,7428795
98,2024-06-21,10:38:00,80300,-1300,7536852
99,2024-06-21,10:39:00,80300,-1300,7540571
100,2024-06-21,10:40:00,80200,-1400,7577169
101,2024-06-21,10:41:00,80200,-1400,7592944
102,2024-06-21,10:42:00,80300,-1300,7605037
103,2024-06-21,10:43:00,80200,-1400,7618033
104,2024-06-21,10:44:00,80300,-1300,7624246
105,2024-06-21,10:45:00,80300,-1300,7633161
106,2024-06-21,10:46:00,80300,-1300,7640187
107,2024-06-21,10:47:00,80100,-1500,7742806
