,date,time,price,change,change(%),amount,volume
0,2025-03-13,15:30:00,54700,200,-0.36%,5409494,23640634
1,2025-03-13,15:15:00,54400,700,-1.27%,529038,18231140
2,2025-03-13,15:10:00,54500,600,-1.09%,320713,17702102
3,2025-03-13,15:05:00,54500,500,-0.91%,177773,17381389
4,2025-03-13,15:00:00,54500,500,-0.91%,208332,17203616
5,2025-03-13,14:55:00,54600,500,-0.91%,245547,16995284
6,2025-03-13,14:50:00,54600,400,-0.73%,137559,16749737
7,2025-03-13,14:45:00,54600,500,-0.91%,293804,16612178
8,2025-03-13,14:40:00,54700,500,-0.91%,583369,16318374
9,2025-03-13,14:35:00,54700,400,-0.73%,209147,15735005
10,2025-03-13,14:30:00,54700,300,-0.55%,107405,15525858
11,2025-03-13,14:25:00,54700,300,-0.55%,110580,15418453
12,2025-03-13,14:20:00,54700,400,-0.73%,299531,15307873
13,2025-03-13,14:15:00,54800,300,-0.54%,118135,15008342
14,2025-03-13,14:10:00,54800,300,-0.54%,222634,14890207
15,2025-03-13,14:05:00,55000,400,0.00%,1158332,14667573
16,2025-03-13,14:00:00,55000,100,0.18%,118457,13509241
17,2025-03-13,13:55:00,55000,100,0.18%,73246,13390784
18,2025-03-13,13:50:00,55000,100,0.18%,71553,13317538
19,2025-03-13,13:45:00,55000,100,0.00%,132301,13245985
20,2025-03-13,13:40:00,55100,200,0.36%,227074,13113684
21,2025-03-13,13:35:00,55100,200,0.36%,104113,12886610
22,2025-03-13,13:30:00,55100,200,0.36%,56419,12782497
23,2025-03-13,13:25:00,55200,300,0.55%,166580,12726078
24,2025-03-13,13:20:00,55200,300,0.55%,65544,12559498
25,2025-03-13,13:15:00,55200,300,0.55%,117378,12493954
26,2025-03-13,13:10:00,55200,300,0.55%,167782,12376576
27,2025-03-13,13:05:00,55100,200,0.36%,354647,12208794
28,2025-03-13,13:00:00,55200,300,0.55%,327038,11854147
29,2025-03-13,12:55:00,55200,300,0.55%,63503,11527109
30,2025-03-13,12:50:00,55200,300,0.55%,71513,11463606
31,2025-03-13,12:45:00,55200,300,0.55%,74746,11392093
32,2025-03-13,12:40:00,55200,300,0.55%,86905,11317347
33,2025-03-13,12:35:00,55200,300,0.55%,63582,11230442
34,2025-03-13,12:30:00,55200,300,0.55%,231818,11166860
35,2025-03-13,12:25:00,55100,200,0.36%,67953,10935042
36,2025-03-13,12:20:00,55200,300,0.55%,345240,10867089
37,2025-03-13,12:15:00,55200,300,0.55%,180840,10521849
38,2025-03-13,12:10:00,55200,300,0.55%,68566,10341009
39,2025-03-13,12:05:00,55200,300,0.55%,118978,10272443
40,2025-03-13,12:00:00,55200,300,0.55%,68143,10153465
41,2025-03-13,11:55:00,55200,300,0.55%,105069,10085322
42,2025-03-13,11:50:00,55200,300,0.55%,305510,9980253
43,2025-03-13,11:45:00,55300,400,0.73%,206555,9674743
44,2025-03-13,11:40:00,55300,400,0.73%,85597,9468188
45,2025-03-13,11:35:00,55300,400,0.73%,60951,9382591
46,2025-03-13,11:30:00,55300,400,0.73%,284170,9321640
47,2025-03-13,11:25:00,55300,400,0.73%,67960,9037470
48,2025-03-13,11:20:00,55300,400,0.73%,89136,8969510
49,2025-03-13,11:15:00,55400,500,0.91%,199778,8880374
50,2025-03-13,11:10:00,55400,500,0.91%,75312,8680596
51,2025-03-13,11:05:00,55400,500,0.91%,58329,8605284
52,2025-03-13,11:00:00,55400,500,0.91%,95109,8546955
53,2025-03-13,10:55:00,55500,600,1.09%,532860,8451846
54,2025-03-13,10:50:00,55400,500,0.91%,235955,7918986
55,2025-03-13,10:45:00,55500,600,1.09%,196503,7683031
56,2025-03-13,10:40:00,55500,600,1.09%,155495,7486528
57,2025-03-13,10:35:00,55600,700,1.28%,237189,7331033
58,2025-03-13,10:30:00,55600,700,1.28%,293590,7093844
59,2025-03-13,10:25:00,55500,600,1.09%,300386,6800254
60,2025-03-13,10:20:00,55400,500,0.91%,79678,6499868
61,2025-03-13,10:15:00,55400,500,0.91%,119822,6420190
62,2025-03-13,10:10:00,55400,500,0.91%,109497,6300368
63,2025-03-13,10:05:00,55400,500,0.91%,92827,6190871
64,2025-03-13,10:00:00,55400,500,0.91%,95614,6098044
65,2025-03-13,09:55:00,55500,600,1.09%,307810,6002430
66,2025-03-13,09:50:00,55500,600,1.09%,196990,5694620
67,2025-03-13,09:45:00,55500,600,1.09%,229992,5497630
68,2025-03-13,09:40:00,55500,600,1.09%,575579,5267638
69,2025-03-13,09:35:00,55300,400,0.73%,337391,4692059
70,2025-03-13,09:30:00,55300,400,0.73%,390437,4354668
71,2025-03-13,09:25:00,55300,400,0.73%,240024,3964231
72,2025-03-13,09:20:00,55400,500,0.91%,216908,3724207
73,2025-03-13,09:15:00,55400,500,0.91%,527823,3507299
74,2025-03-13,09:10:00,55400,500,0.91%,419731,2979476
75,2025-03-13,09:05:00,55600,700,1.28%,459954,2559745
76,2025-03-13,09:00:00,55900,1000,1.82%,2099791,2099791
