,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,14763,-2730,-12129,-4532,-364,-5001,-1118,0,-1114,0,-14,109
1,2022-01-04,45209,-4289,-39303,-7523,-945,-25599,-3397,11,-1858,8,-1834,216
2,2022-01-05,67190,-33231,-35424,-8557,-17270,-9167,2572,0,-2994,-8,948,516
3,2022-01-06,50978,-14547,-40044,-807,-9509,-28587,4905,-35,-5857,-155,3472,141
4,2022-01-07,33853,-9511,-26728,-3051,-3124,-11145,-2840,-188,-4714,-1667,2595,-209
5,2022-01-10,11513,14335,-25143,-1298,-4225,-18648,2209,10,-3156,-35,-833,128
6,2022-01-11,42263,-21891,-21141,-2586,-4049,-5981,420,74,-8869,-150,631,138
7,2022-01-12,36843,-25951,-11986,5294,-2123,-13111,262,19,-2309,-18,1026,68
8,2022-01-13,33635,-9883,-23240,-622,-4408,-14988,-1197,-269,-1540,-216,-423,-89
9,2022-01-14,9409,-8566,-4192,-1640,463,-3777,933,-58,75,-188,3267,82
10,2022-01-17,9559,-7277,-2874,463,-3482,481,-219,1,-118,0,536,56
11,2022-01-18,255,-3161,2728,-37,-188,506,2502,1,-141,85,165,13
12,2022-01-19,23682,-5018,-19468,1343,-10046,-5469,-4443,-33,-745,-76,820,-15
13,2022-01-20,6658,-122,-6844,3037,-3693,-4879,-1054,58,-313,0,313,-5
14,2022-01-21,33626,9214,-38315,-3023,-12023,-12808,-9653,4,-868,56,-4506,-19
15,2022-01-24,10117,6987,-8613,2865,-4454,-5582,-608,1,-792,-43,-8451,-41
16,2022-01-25,-3348,8998,-5915,2094,-8602,1615,-1497,54,365,56,182,83
17,2022-01-26,29183,-32217,1784,1395,-836,-592,2113,64,-321,-39,1510,-260
18,2022-01-27,19908,-12799,-9033,-4976,-593,-5513,2370,37,-482,124,1974,-50
19,2022-01-28,-6175,-7784,12931,82,2400,2990,6574,-44,928,0,776,251
20,2022-02-03,1852,-17897,15103,8151,1161,3734,1790,8,258,0,894,49
21,2022-02-04,1038,-18474,15002,-1409,4933,5087,3084,18,3274,17,2339,95
22,2022-02-07,25571,-39624,13662,-2450,3265,7771,2332,38,2647,59,290,100
23,2022-02-08,7325,-9035,223,-1924,1679,1145,-811,38,10,87,1293,194
24,2022-02-09,8682,115,-9277,658,-380,-4110,-4073,0,-1297,-75,463,18
25,2022-02-10,8536,-3267,-5514,-5848,-2219,4943,-4747,0,2357,0,241,4
26,2022-02-11,89566,-39742,-50368,-5334,-14236,-10214,-16585,-115,-3498,-386,120,425
27,2022-02-14,-33409,41760,-8846,1321,-3019,1357,-6733,0,-1772,0,474,20
28,2022-02-15,-55955,54328,2288,2130,1978,2563,-4677,89,202,3,-537,-123
29,2022-02-16,16214,-8009,-8302,1210,-1850,-5936,-1147,0,-579,0,-112,209
30,2022-02-17,2496,-2118,-203,904,-381,-732,-440,0,445,0,-67,-109
31,2022-02-18,531,8642,-9203,-1644,-676,-5700,-921,0,-261,-1,85,-55
32,2022-02-21,-1507,4564,-3213,-764,-216,-1147,-1246,0,161,0,129,26
33,2022-02-22,-1715,347,1301,-1427,298,-2937,5693,0,-327,0,13,54
34,2022-02-23,-20919,14366,7011,2245,-1342,387,5423,0,297,0,-210,-248
35,2022-02-24,-1302,1752,-2349,-2019,603,-1017,-395,52,427,0,1749,151
36,2022-02-25,2958,-2779,-17,1670,-1637,76,-54,0,-19,-52,-212,50
37,2022-02-28,-6924,12948,-5998,-2149,-3023,-493,-292,0,-41,0,-6,-21
38,2022-03-02,-1333,-325,1941,-2138,1998,591,371,0,1119,0,-284,1
39,2022-03-03,5354,-5274,-691,96,-495,-92,102,0,-300,0,540,72
40,2022-03-04,25583,-9743,-16128,-880,-2959,-5086,-6557,-26,-564,-58,320,-32
41,2022-03-07,5432,4051,-9659,-2930,-1075,-1419,-4362,56,70,0,147,28
42,2022-03-08,-7325,8065,-947,-532,-2832,544,1005,4,865,0,227,-20
43,2022-03-10,-22448,16010,5737,3515,2915,-3708,1872,40,1102,0,434,268
44,2022-03-11,4348,-918,-4110,-3260,-5481,-808,5295,0,145,0,648,32
45,2022-03-14,5667,-3925,-3062,-39,-302,-115,-2533,0,32,-105,1295,25
46,2022-03-15,2736,-291,-1993,-174,1057,-38,-2449,0,-389,0,-419,-33
47,2022-03-16,-2185,2886,-694,1633,-876,475,-2268,0,342,0,-7,0
48,2022-03-17,1064,-3740,2536,2070,176,442,-780,49,541,36,178,-38
49,2022-03-18,13903,-16524,1913,-266,-176,1116,313,474,430,23,641,66
50,2022-03-21,35380,-33375,-2291,-603,53,-2814,-879,0,2021,-69,215,71
51,2022-03-22,-1813,810,635,1660,63,-223,-1206,0,342,0,392,-23
52,2022-03-23,-109,-6921,5922,1947,558,-936,3882,0,472,0,1103,4
53,2022-03-24,10764,-10419,-350,-1510,-534,-276,1735,139,97,0,0,6
54,2022-03-25,-4279,3132,981,-680,-500,-3919,6154,-25,-49,0,120,47
55,2022-03-28,21127,-13023,-8493,385,-1913,-3556,-2719,0,-690,0,326,63
56,2022-03-29,928,9695,-10541,2690,-611,-1824,-1658,0,-28,-9110,-63,-19
57,2022-03-30,6751,-3433,-3416,1809,-506,57,-4706,-58,229,-241,34,64
58,2022-03-31,-10044,9841,-505,1629,842,-2319,-179,0,-174,-306,738,-29
59,2022-04-01,6724,-2644,-4546,-3886,179,-833,-129,-25,149,0,490,-24
