,date,open,high,low,close,close_cr,vol
0,2021-12-27,44789,45662,44726,44976,0.28,507854
1,2021-12-28,45038,45101,44103,44913,-0.14,497885
2,2021-12-29,44726,45537,44352,45163,0.56,529369
3,2021-12-30,44789,45101,44290,44290,-1.93,489021
4,2022-01-03,44290,44539,43728,44352,0.14,432104
5,2022-01-04,44227,44789,44227,44477,0.28,357318
6,2022-01-05,43978,44726,43292,43666,-1.82,655845
7,2022-01-06,43292,43728,42605,42730,-2.14,588433
8,2022-01-07,42605,46036,42543,45662,6.86,1134109
9,2022-01-10,46535,48407,46411,47721,4.51,3081659
10,2022-01-11,47409,47533,45662,45912,-3.79,1200102
11,2022-01-12,47034,49779,46660,48906,6.52,2926908
12,2022-01-13,48531,49966,48220,49155,0.51,1594061
13,2022-01-14,48531,49342,48282,48781,-0.76,847816
14,2022-01-17,48032,49093,47409,47471,-2.69,819513
15,2022-01-18,47596,47908,46722,47533,0.13,835126
16,2022-01-19,46535,49592,46535,48407,1.84,1552735
17,2022-01-20,48407,49093,46910,47034,-2.84,1040431
18,2022-01-21,46910,46910,45600,46161,-1.86,882708
19,2022-01-24,45600,46099,44290,44352,-3.92,777821
20,2022-01-25,43915,44227,41857,42294,-4.64,1153337
21,2022-01-26,42294,43167,41670,42106,-0.44,748243
22,2022-01-27,41982,42605,39362,39362,-6.52,1226586
23,2022-01-28,39424,40672,38488,40235,2.22,925855
24,2022-02-03,41295,41670,40484,40921,1.71,638025
25,2022-02-04,40734,41982,40734,41545,1.52,526961
26,2022-02-07,41982,42044,40859,41607,0.15,617696
27,2022-02-08,42044,42980,41358,41670,0.15,757857
28,2022-02-09,42231,44539,41545,44227,6.14,1428291
29,2022-02-10,44290,44851,43728,43915,-0.71,614528
30,2022-02-11,43167,43292,40360,40921,-6.82,2196173
31,2022-02-14,40360,41483,40297,40921,0.0,678845
32,2022-02-15,41046,41794,40484,40734,-0.46,591762
33,2022-02-16,41358,42605,41295,42106,3.37,663117
34,2022-02-17,42481,43791,42044,42418,0.74,1068215
35,2022-02-18,42106,42730,40609,41108,-3.09,1553367
36,2022-02-21,40297,41358,39798,40984,-0.3,709132
37,2022-02-22,39985,40859,39736,39861,-2.74,779845
38,2022-02-23,39861,40859,39861,40609,1.88,635447
39,2022-02-24,39923,40422,39050,39175,-3.53,732338
40,2022-02-25,39923,42044,39861,41607,6.21,1395447
41,2022-02-28,41233,42356,41108,42231,1.5,736760
42,2022-03-02,43104,45912,43104,45787,8.42,2323695
43,2022-03-03,45225,45537,44414,44477,-2.86,1176844
44,2022-03-04,44539,44851,43978,44477,0.0,636232
45,2022-03-07,44477,44913,43354,43791,-1.54,671044
46,2022-03-08,43853,45350,43167,44165,0.85,1062162
47,2022-03-10,44789,45350,43666,45163,2.26,1101880
48,2022-03-11,44851,45038,43479,44165,-2.21,638720
49,2022-03-14,43666,45163,43104,43978,-0.42,652449
50,2022-03-15,43416,44103,42231,42605,-3.12,658250
51,2022-03-16,42917,43292,42543,43042,1.02,442735
52,2022-03-17,43978,45038,43853,44352,3.04,745380
53,2022-03-18,44227,45038,43978,44851,1.13,665380
54,2022-03-21,44913,45101,43915,43978,-1.95,395214
55,2022-03-22,44477,44976,44165,44290,0.71,371179
56,2022-03-23,44726,45537,44352,44976,1.55,504678
57,2022-03-24,44976,45288,44040,44352,-1.39,513477
58,2022-03-25,44539,44602,43416,43791,-1.27,473028
59,2022-03-28,43853,44290,43603,43791,0.0,378712
60,2022-03-29,44227,45101,44103,44103,0.71,542683
61,2022-03-30,44165,44539,42793,44040,-0.14,581057
62,2022-03-31,44103,45038,43978,44851,1.84,578975
63,2022-04-01,44726,45662,44290,44602,-0.56,615103
64,2022-04-04,44602,44789,43978,44602,0.0,335497
65,2022-04-05,45038,45350,44103,44477,-0.28,383878
66,2022-04-06,44103,44477,43292,43416,-2.38,565380
67,2022-04-07,43229,43229,41420,41420,-4.6,881510
68,2022-04-08,41857,42231,41545,42169,1.81,441081
69,2022-04-11,42231,43915,41982,43042,2.07,753050
70,2022-04-12,42917,42980,41919,42356,-1.59,446894
71,2022-04-13,42418,43042,42044,43042,1.62,456414
72,2022-04-14,43104,43666,42605,42730,-0.72,607702
73,2022-04-15,42231,42980,41982,42481,-0.58,377395
74,2022-04-18,42231,42730,41670,42418,-0.15,332940
75,2022-04-19,42294,42917,42169,42294,-0.29,417503
76,2022-04-20,42356,42605,41857,41982,-0.74,700751
77,2022-04-21,42418,43042,42169,42605,1.49,586246
78,2022-04-22,41982,42044,40921,41545,-2.49,2239084
79,2022-04-25,40422,40609,39798,39798,-4.2,751448
80,2022-04-26,39985,40173,39299,39299,-1.25,608537
81,2022-04-27,38301,38613,37802,38052,-3.17,1020455
82,2022-04-28,38114,39112,37428,38675,1.64,1671014
83,2022-04-29,39175,39923,38551,39923,3.23,946086
84,2022-05-02,39237,40048,39112,39798,-0.31,382949
85,2022-05-03,39736,39985,39486,39736,-0.16,342658
86,2022-05-04,39923,40484,39674,40422,1.73,500848
87,2022-05-06,39486,40547,39362,40173,-0.62,516664
88,2022-05-09,39736,39985,39175,39237,-2.33,302194
89,2022-05-10,39050,39237,37927,38675,-1.43,513904
90,2022-05-11,38613,38863,38239,38613,-0.16,350193
91,2022-05-12,38052,38675,37428,37490,-2.91,605810
92,2022-05-13,37677,38426,37615,38301,2.16,641877
93,2022-05-16,38675,38925,38052,38301,0.0,424415
94,2022-05-17,38551,39050,38176,38863,1.47,546843
95,2022-05-18,39112,39798,38551,38863,0.0,520391
96,2022-05-19,38052,40048,37802,38925,0.16,1180504
97,2022-05-20,39549,41607,39486,41483,6.57,2094661
98,2022-05-23,41545,41545,40235,40547,-2.26,716428
99,2022-05-24,40547,40734,39362,39549,-2.46,549232
100,2022-05-25,39861,40859,39674,40048,1.26,612804
101,2022-05-26,40360,44851,40297,44040,9.97,5179855
102,2022-05-27,44040,45537,43416,44539,1.13,2501738
103,2022-05-30,45038,46411,44352,45912,3.08,1820290
104,2022-05-31,46348,49405,46286,48719,6.11,5295460
105,2022-06-02,47908,49093,47658,48220,-1.02,1278976
106,2022-06-03,48656,50153,47908,49904,3.49,2376811
107,2022-06-07,50902,51401,49592,50777,1.75,2176899
108,2022-06-08,50777,51089,49779,50153,-1.23,1102682
109,2022-06-09,49530,51089,49530,50590,0.87,1005486
110,2022-06-10,50029,51339,49966,50715,0.25,1165652
111,2022-06-13,50029,50403,49031,49093,-3.2,1396463
112,2022-06-14,48157,49654,47159,49342,0.51,1877230
113,2022-06-15,49405,49654,47409,48220,-2.28,1265959
114,2022-06-16,49093,49467,47533,48032,-0.39,993019
115,2022-06-17,47346,48531,47034,47533,-1.04,1894245
116,2022-06-20,48407,48968,46223,46847,-1.44,1315184
117,2022-06-21,47159,48220,45912,47721,1.86,1216549
118,2022-06-22,48095,48157,44976,45101,-5.49,1374822
119,2022-06-23,45412,47097,44664,44789,-0.69,1596387
120,2022-06-24,45412,45912,44477,45475,1.53,1009598
121,2022-06-27,45912,46036,44851,45724,0.55,1068704
122,2022-06-28,46036,48032,45974,47159,3.14,1688142
123,2022-06-29,46535,49155,46411,48968,3.84,1862178
124,2022-06-30,49031,49654,47222,47284,-3.44,1725578
125,2022-07-01,48032,49218,47346,47721,0.92,1324362
126,2022-07-04,47970,47970,43728,44477,-6.8,1783032
127,2022-07-05,44602,46099,44103,46099,3.65,1020473
128,2022-07-06,44789,45163,40921,41046,-10.96,2741265
129,2022-07-07,41483,42917,40048,42730,4.1,1523997
130,2022-07-08,43416,44290,42980,43167,1.02,1100545
131,2022-07-11,43229,43416,41982,42294,-2.02,759957
132,2022-07-12,41919,42418,40921,41545,-1.77,746334
133,2022-07-13,41046,41670,39736,41295,-0.6,981966
134,2022-07-14,40921,41732,40297,41108,-0.45,906359
135,2022-07-15,41171,41483,39549,39923,-2.88,1488288
136,2022-07-18,39985,40672,38488,40360,1.09,1061595
137,2022-07-19,40734,41794,40484,40859,1.24,874055
138,2022-07-20,41794,42543,41545,41857,2.44,837388
139,2022-07-21,41982,41982,40859,41420,-1.04,792698
140,2022-07-22,41420,41919,41108,41420,0.0,438502
141,2022-07-25,41670,44414,41483,44165,6.63,1628757
142,2022-07-26,44165,44789,43104,43167,-2.26,776043
143,2022-07-27,43229,43915,42543,43791,1.45,582423
144,2022-07-28,45350,52711,44726,52711,20.37,9817371
145,2022-07-29,53709,55206,52524,54645,3.67,9487353
146,2022-08-01,54270,56329,54270,55081,0.8,3543443
147,2022-08-02,54582,55518,54146,55019,-0.11,1857616
148,2022-08-03,55081,55768,53210,54395,-1.13,2197374
149,2022-08-04,54083,54083,52087,52150,-4.13,2749867
150,2022-08-05,52524,54894,52461,54894,5.26,2824541
151,2022-08-08,56017,57202,54021,55955,1.93,3721977
152,2022-08-09,56329,56890,54021,55206,-1.34,2700974
153,2022-08-10,55269,57389,55269,56142,1.69,3342022
154,2022-08-11,57577,59011,56454,58013,3.33,4074235
155,2022-08-12,58138,59011,57140,57701,-0.54,2029651
156,2022-08-16,58699,61257,57888,59697,3.46,5940544
157,2022-08-17,59697,60072,57514,58076,-2.72,2689556
158,2022-08-18,57389,59822,57327,58138,0.11,2618570
159,2022-08-19,58824,60384,57888,58138,0.0,2790089
160,2022-08-22,57015,57826,56267,56641,-2.58,2034395
