,date,open,high,low,close,close_cr,vol
0,2021-12-27,92700,93200,92300,92700,0.0,191739
1,2021-12-28,92800,93500,92400,92700,0.0,217210
2,2021-12-29,93500,95000,92800,93700,1.08,258296
3,2021-12-30,94400,95300,92900,95200,1.6,232685
4,2022-01-03,96000,97700,94900,97600,2.52,225810
5,2022-01-04,98100,102000,96400,101500,4.0,425113
6,2022-01-05,102000,105000,101500,104000,2.46,488265
7,2022-01-06,102500,112500,100500,111000,6.73,845951
8,2022-01-07,111500,114000,107000,112000,0.9,427073
9,2022-01-10,111000,116500,110500,111500,-0.45,432107
10,2022-01-11,110500,111000,106000,107000,-4.04,380355
11,2022-01-12,105000,110000,103500,108500,1.4,327291
12,2022-01-13,109000,110000,105000,105500,-2.76,178574
13,2022-01-14,103500,110500,103500,106000,0.47,447722
14,2022-01-17,106000,106500,101500,102000,-3.77,209131
15,2022-01-18,102500,105500,101500,103000,0.98,246352
16,2022-01-19,102000,106000,101000,102000,-0.97,209795
17,2022-01-20,102500,104000,101500,103500,1.47,146791
18,2022-01-21,103000,107000,102000,105500,1.93,198031
19,2022-01-24,106000,106000,101000,101500,-3.79,222116
20,2022-01-25,101500,102000,95700,97700,-3.74,267898
21,2022-01-26,97800,99100,96500,96600,-1.13,142126
22,2022-01-27,96600,96600,92700,93400,-3.31,160754
23,2022-01-28,93700,99500,92900,99300,6.32,164368
24,2022-02-03,101500,103500,99300,102000,2.72,163952
25,2022-02-04,101500,103000,100500,102000,0.0,123018
26,2022-02-07,101500,104000,100000,101500,-0.49,125054
27,2022-02-08,102500,103500,97800,98000,-3.45,271060
28,2022-02-09,99100,104000,98300,103000,5.1,187002
29,2022-02-10,102500,103500,101000,101000,-1.94,99003
30,2022-02-11,99900,101000,97500,97800,-3.17,155249
31,2022-02-14,96000,96800,94800,95600,-2.25,112913
32,2022-02-15,95300,98300,95000,96200,0.63,139493
33,2022-02-16,97600,99800,97600,98000,1.87,97403
34,2022-02-17,98700,100500,97200,98300,0.31,145013
35,2022-02-18,97600,100500,96900,99200,0.92,120957
36,2022-02-21,98400,100500,97600,99900,0.71,128539
37,2022-02-22,98600,103500,98500,102000,2.1,236189
38,2022-02-23,103000,110000,103000,109500,7.35,491171
39,2022-02-24,108500,111500,104500,105500,-3.65,398595
40,2022-02-25,109000,113500,106500,109500,3.79,274441
41,2022-02-28,109500,111500,108000,109500,0.0,159563
42,2022-03-02,109500,118500,109500,116500,6.39,483682
43,2022-03-03,117000,117500,111500,113000,-3.0,374950
44,2022-03-04,112000,114500,111000,114000,0.88,231862
45,2022-03-07,112000,117000,112000,116500,2.19,246331
46,2022-03-08,114500,116000,113000,113500,-2.58,196809
47,2022-03-10,115000,116000,110000,112000,-1.32,306188
48,2022-03-11,112000,114000,111000,112000,0.0,175659
49,2022-03-14,110500,114000,110000,113500,1.34,146595
50,2022-03-15,113500,113500,108500,109500,-3.52,217330
51,2022-03-16,110000,112000,109000,110000,0.46,179441
52,2022-03-17,108000,110000,107000,108000,-1.82,758132
53,2022-03-18,109500,111000,107000,108500,0.46,862650
54,2022-03-21,109500,109500,107500,108500,0.0,137399
55,2022-03-22,109000,114000,108500,114000,5.07,286203
56,2022-03-23,113000,118000,112500,115500,1.32,258178
57,2022-03-24,115500,117500,114500,117000,1.3,179791
58,2022-03-25,118000,119000,117000,117500,0.43,172617
59,2022-03-28,118000,123000,117500,122500,4.26,335257
60,2022-03-29,122500,124000,120500,123000,0.41,203796
61,2022-03-30,123000,123500,117000,117500,-4.47,312495
62,2022-03-31,118000,121000,118000,119500,1.7,132482
63,2022-04-01,118000,119500,115500,119000,-0.42,128991
64,2022-04-04,117000,122000,116500,121000,1.68,129247
65,2022-04-05,121500,127000,120000,126500,4.55,290232
66,2022-04-06,125000,128500,124500,127000,0.4,186145
67,2022-04-07,125500,127000,120500,121500,-4.33,211250
68,2022-04-08,121500,126500,120500,124000,2.06,143765
69,2022-04-11,123500,128000,122500,127500,2.82,113957
70,2022-04-12,125500,130000,125000,129500,1.57,198383
71,2022-04-13,130000,137000,128500,136500,5.41,383827
72,2022-04-14,135000,141500,135000,139000,1.83,314096
73,2022-04-15,139500,149500,138000,148000,6.47,488027
74,2022-04-18,148000,151000,141000,142500,-3.72,266352
75,2022-04-19,143000,153500,142500,153500,7.72,361662
76,2022-04-20,155500,161500,148000,149000,-2.93,542107
77,2022-04-21,148500,148500,139500,145500,-2.35,598407
78,2022-04-22,143000,144500,136500,140000,-3.78,480103
79,2022-04-25,137000,142500,136000,139500,-0.36,238248
80,2022-04-26,141500,142500,136000,140500,0.72,260290
81,2022-04-27,137000,145500,137000,144000,2.49,312795
82,2022-04-28,145000,145000,139500,144000,0.0,273272
83,2022-04-29,142500,145500,139000,140000,-2.78,190100
84,2022-05-02,138000,144500,136500,140000,0.0,190759
85,2022-05-03,141000,142000,137000,137500,-1.79,205450
86,2022-05-04,137000,138500,131000,133500,-2.91,390969
87,2022-05-06,132500,136500,131500,133500,0.0,237157
88,2022-05-09,133500,134500,129500,131500,-1.5,194911
89,2022-05-10,129500,131500,127000,130500,-0.76,217957
90,2022-05-11,130500,133000,123500,125000,-4.21,460960
91,2022-05-12,124500,130000,123000,124000,-0.8,369250
92,2022-05-13,126500,129000,119000,125500,1.21,573256
93,2022-05-16,126000,130000,123500,127000,1.2,240162
94,2022-05-17,121000,124500,119500,121500,-4.33,2331766
95,2022-05-18,123000,124000,115500,117000,-3.7,569257
96,2022-05-19,114000,115500,111000,114500,-2.14,557796
97,2022-05-20,115000,116000,113500,115000,0.44,262589
98,2022-05-23,115500,118000,113000,115000,0.0,253045
99,2022-05-24,115500,119000,112500,113000,-1.74,418146
100,2022-05-25,114000,115500,112000,113000,0.0,254408
101,2022-05-26,114000,121000,114000,119000,5.31,539957
102,2022-05-27,121500,124500,120000,123000,3.36,469362
103,2022-05-30,123000,125000,119000,119500,-2.85,356189
104,2022-05-31,120000,121500,119000,119000,-0.42,1869378
105,2022-06-02,120500,122500,118000,119500,0.42,261139
106,2022-06-03,120500,127000,119500,126500,5.86,368158
107,2022-06-07,126500,131500,126500,129500,2.37,281517
108,2022-06-08,131500,133500,127500,132500,2.32,332607
109,2022-06-09,132500,137500,131500,134500,1.51,584541
110,2022-06-10,132500,138500,132000,138000,2.6,262327
111,2022-06-13,135000,136500,131000,133000,-3.62,274979
112,2022-06-14,131000,132500,126000,129500,-2.63,335811
113,2022-06-15,128000,129500,124000,125000,-3.47,158310
114,2022-06-16,129000,132000,127000,129000,3.2,246353
115,2022-06-17,126500,136500,126000,136500,5.81,291470
116,2022-06-20,136500,136500,131500,133500,-2.2,175783
117,2022-06-21,134500,141500,134000,141500,5.99,318333
118,2022-06-22,142000,143500,137000,138500,-2.12,259601
119,2022-06-23,140000,142500,130000,130500,-5.78,318376
120,2022-06-24,132000,133000,127000,132000,1.15,169665
121,2022-06-27,133000,140000,132500,139500,5.68,186286
122,2022-06-28,139500,141500,137000,140500,0.72,137730
123,2022-06-29,138500,144000,138500,141000,0.36,158290
124,2022-06-30,142000,148000,139500,143000,1.42,290521
125,2022-07-01,145000,146000,137500,140000,-2.1,207510
126,2022-07-04,140000,140000,132000,135500,-3.21,246418
127,2022-07-05,136500,137000,129000,135000,-0.37,281883
128,2022-07-06,132000,132500,120000,121000,-10.37,572577
129,2022-07-07,122500,125000,116500,123500,2.07,383485
130,2022-07-08,125000,128000,124000,125500,1.62,215032
131,2022-07-11,126000,126500,120000,120500,-3.98,251207
132,2022-07-12,119500,122000,117500,121000,0.41,194835
133,2022-07-13,119500,120000,113000,115500,-4.55,332542
134,2022-07-14,114500,117000,112500,115000,-0.43,174931
135,2022-07-15,115000,116000,112500,114000,-0.87,119434
136,2022-07-18,115500,126000,115500,124000,8.77,408691
137,2022-07-19,123000,127000,122500,123000,-0.81,163588
138,2022-07-20,126000,126500,121000,122000,-0.81,143237
139,2022-07-21,122000,124000,121500,123500,1.23,93775
140,2022-07-22,123500,124500,122000,123000,-0.4,87749
141,2022-07-25,122500,125000,122000,124500,1.22,115129
142,2022-07-26,125000,125500,122500,123500,-0.8,97128
143,2022-07-27,123000,123000,119000,122000,-1.21,184824
144,2022-07-28,123500,124500,121500,122000,0.0,150851
145,2022-07-29,123500,128000,122500,125000,2.46,293913
146,2022-08-01,126000,135500,125000,135000,8.0,426328
147,2022-08-02,134000,137500,132500,136000,0.74,304427
148,2022-08-03,136000,138500,134000,137000,0.74,198443
149,2022-08-04,137500,138000,130500,131000,-4.38,299739
150,2022-08-05,130500,132500,128500,131500,0.38,185499
151,2022-08-08,130000,134500,129500,133500,1.52,150933
152,2022-08-09,134000,136000,133000,134000,0.37,132516
153,2022-08-10,134000,142000,133500,139500,4.1,473470
154,2022-08-11,141500,141500,138000,140500,0.72,243003
155,2022-08-12,141000,144500,136000,137000,-2.49,243673
156,2022-08-16,138000,138500,136000,138000,0.73,117876
157,2022-08-17,139000,141500,134500,135500,-1.81,170089
158,2022-08-18,134000,136000,133000,134500,-0.74,104554
159,2022-08-19,134500,140500,134500,138500,2.97,221576
160,2022-08-22,137500,140000,136500,138000,-0.36,105602
161,2022-08-23,138500,146000,137000,144500,4.71,386557
162,2022-08-24,144500,148000,143500,147000,1.73,190989
163,2022-08-25,148000,148000,140000,145000,-1.36,259194
164,2022-08-26,143500,151000,142500,149500,3.1,325508
165,2022-08-29,144500,150000,144000,145500,-2.68,282152
166,2022-08-30,145500,147500,140500,141000,-3.09,219055
167,2022-08-31,141000,143500,136000,143500,1.77,303330
168,2022-09-01,141000,141000,133500,134000,-6.62,289689
169,2022-09-02,134500,136000,131000,133500,-0.37,226848
170,2022-09-05,134000,139000,134000,137000,2.62,221401
171,2022-09-06,137000,139500,134500,135000,-1.46,158319
172,2022-09-07,133500,133500,127500,128500,-4.81,276763
173,2022-09-08,130000,130000,124500,127000,-1.17,274985
174,2022-09-13,130000,130000,125500,127500,0.39,204311
175,2022-09-14,124000,127500,123500,125000,-1.96,190555
176,2022-09-15,125000,128500,124000,125000,0.0,185523
177,2022-09-16,123500,124000,119000,120000,-4.0,410038
178,2022-09-19,120000,125000,114000,116000,-3.33,674989
179,2022-09-20,118500,121000,118000,121000,4.31,334804
180,2022-09-21,120000,124500,119000,121000,0.0,329303
181,2022-09-22,119000,127500,119000,125500,3.72,529827
182,2022-09-23,126000,128000,124000,124000,-1.2,246679
183,2022-09-26,122000,123000,115000,117000,-5.65,436692
184,2022-09-27,117000,121000,114000,120000,2.56,275953
185,2022-09-28,119000,123500,114000,114500,-4.58,281516
186,2022-09-29,117500,118500,115500,116500,1.75,186286
187,2022-09-30,114500,118000,112500,115000,-1.29,277750
188,2022-10-04,117500,120000,115000,119500,3.91,196736
189,2022-10-05,121500,123000,117500,119500,0.0,228701
190,2022-10-06,121000,124500,120500,124500,4.18,258139
191,2022-10-07,123500,125500,121000,122000,-2.01,189383
192,2022-10-11,118500,120000,115500,116500,-4.51,226389
193,2022-10-12,116500,121500,115500,121500,4.29,191384
194,2022-10-13,122000,122000,115500,115500,-4.94,218544
195,2022-10-14,118500,119000,116000,117000,1.3,219175
196,2022-10-17,114500,117000,111500,117000,0.0,209122
197,2022-10-18,118500,119500,113000,114500,-2.14,302172
198,2022-10-19,115000,116000,111500,111500,-2.62,251686
199,2022-10-20,111500,113500,108000,108500,-2.69,372830
200,2022-10-21,107500,108000,103000,106000,-2.3,456982
201,2022-10-24,107500,108500,105000,106000,0.0,238598
202,2022-10-25,105500,106500,101500,104000,-1.89,385591
203,2022-10-26,104000,106500,103500,105500,1.44,242120
204,2022-10-27,106000,108500,103500,107500,1.9,260349
205,2022-10-28,107000,111000,106000,109500,1.86,260069
206,2022-10-31,110500,110500,107500,109000,-0.46,170022
207,2022-11-01,109000,111500,108000,110000,0.92,145687
208,2022-11-02,110000,113500,107500,112000,1.82,213653
209,2022-11-03,109000,113000,109000,111000,-0.89,151422
210,2022-11-04,111000,117000,110500,116500,4.95,302475
211,2022-11-07,116500,117000,113500,114000,-2.15,165950
212,2022-11-08,115000,116000,113500,115000,0.88,128187
213,2022-11-09,115500,116000,112000,113000,-1.74,192786
214,2022-11-10,111000,112500,109500,110000,-2.65,259983
215,2022-11-11,113500,116000,112500,115500,5.0,380766
216,2022-11-14,116000,117000,114000,115000,-0.43,157098
217,2022-11-15,115500,118500,114500,115500,0.43,151638
218,2022-11-16,115500,116500,114000,115000,-0.43,103852
219,2022-11-17,115500,117000,113500,113500,-1.3,120432
220,2022-11-18,113000,118500,113000,117500,3.52,239547
221,2022-11-21,116500,117500,113500,114000,-2.98,104812
222,2022-11-22,114500,117000,113500,116500,2.19,109180
223,2022-11-23,116500,117000,114000,114500,-1.72,126219
224,2022-11-24,115000,115000,113500,114500,0.0,97547
225,2022-11-25,115000,115500,114000,114500,0.0,89084
226,2022-11-28,114000,115000,112500,113000,-1.31,166554
227,2022-11-29,112500,114500,111500,114000,0.88,94724
228,2022-11-30,113500,118500,113500,118500,3.95,318817
229,2022-12-01,119500,121000,117500,118500,0.0,172188
230,2022-12-02,118500,118500,114500,115000,-2.95,146860
231,2022-12-05,115000,117500,114000,114500,-0.43,139903
232,2022-12-06,115000,121500,114000,119000,3.93,361225
233,2022-12-07,118500,121000,118000,118500,-0.42,141872
234,2022-12-08,118500,119500,115500,117500,-0.84,119623
235,2022-12-09,118000,118500,115000,116000,-1.28,144862
236,2022-12-12,115500,116000,114500,115000,-0.86,50234
237,2022-12-13,115500,121000,115500,118500,3.04,166478
238,2022-12-14,119500,120000,117500,118500,0.0,76825
239,2022-12-15,118000,121000,116000,116000,-2.11,136807
240,2022-12-16,115500,120000,115000,118500,2.16,151048
241,2022-12-19,118500,120000,117500,119000,0.42,64634
242,2022-12-20,120000,120000,116500,117500,-1.26,75541
243,2022-12-21,118500,122000,117500,121000,2.98,224620
244,2022-12-22,121500,123500,121000,122000,0.83,155591
245,2022-12-23,119500,121500,119500,120500,-1.23,98840
246,2022-12-26,120500,121000,118000,120000,-0.41,74760
247,2022-12-27,120500,121000,118000,121000,0.83,107898
248,2022-12-28,120500,123500,120500,120500,-0.41,95776
249,2022-12-29,120000,120000,115500,116000,-3.73,116649
250,2023-01-02,116500,119500,115500,117500,1.29,90731
251,2023-01-03,118000,118000,112000,114500,-2.55,145578
252,2023-01-04,113500,113500,107500,109000,-4.8,518368
253,2023-01-05,109500,110000,105000,106000,-2.75,320689
254,2023-01-06,105500,107000,103500,104000,-1.89,272218
255,2023-01-09,106000,109500,104000,108500,4.33,241727
256,2023-01-10,108000,109500,106000,106500,-1.84,160300
257,2023-01-11,107500,108000,106000,107500,0.94,118827
258,2023-01-12,108500,110500,108000,109500,1.86,171093
259,2023-01-13,110500,112000,109500,111000,1.37,176787
260,2023-01-16,111500,112000,109000,109000,-1.8,135704
261,2023-01-17,109500,111500,109500,110000,0.92,157107
262,2023-01-18,110500,111000,107500,108500,-1.36,125996
263,2023-01-19,107500,108500,106500,107500,-0.92,106057
264,2023-01-20,107500,109000,107000,108500,0.93,104257
265,2023-01-25,109200,109500,108000,108100,-0.37,84855
266,2023-01-26,108200,108500,107500,108100,0.0,137281
267,2023-01-27,108500,115500,108400,113300,4.81,368947
268,2023-01-30,113300,113600,110000,110000,-2.91,156186
269,2023-01-31,110500,112500,109800,110800,0.73,193978
270,2023-02-01,111800,112000,110100,111300,0.45,110104
271,2023-02-02,113500,113500,110800,111200,-0.09,116888
272,2023-02-03,111200,113900,110800,112200,0.9,168186
273,2023-02-06,112600,112600,110300,110600,-1.43,153427
274,2023-02-07,111000,111100,108000,108600,-1.81,162270
275,2023-02-08,109100,109500,107500,107800,-0.74,158951
276,2023-02-09,107900,108700,107000,107000,-0.74,138362
277,2023-02-10,107000,109900,105900,108600,1.5,201137
278,2023-02-13,108600,112000,108400,109800,1.1,169162
279,2023-02-14,110600,110700,109400,110000,0.18,139217
280,2023-02-15,109800,111100,105900,106000,-3.64,325014
281,2023-02-16,106900,107300,105900,106600,0.57,159680
282,2023-02-17,105900,108400,105500,107300,0.66,136385
283,2023-02-20,108300,109000,107100,108000,0.65,128999
284,2023-02-21,108800,112500,108000,112200,3.89,292360
285,2023-02-22,110700,113600,110300,112800,0.53,267724
286,2023-02-23,113200,113200,110900,112000,-0.71,133472
287,2023-02-24,112000,112500,110000,110900,-0.98,100808
288,2023-02-27,110800,110800,107800,108900,-1.8,106888
289,2023-02-28,110100,110300,105700,106400,-2.3,285204
290,2023-03-02,106400,108300,105800,105900,-0.47,200557
291,2023-03-03,106400,106500,103900,104200,-1.61,295958
292,2023-03-06,104800,105300,101300,102100,-2.02,407037
