,date,open,high,low,close,close_cr,vol
0,2021-12-27,384500,384500,380000,380500,-0.91,226757
1,2021-12-28,380000,385500,378000,384500,1.05,551228
2,2021-12-29,389000,389000,382000,382000,-0.65,352409
3,2021-12-30,381000,382000,376000,378500,-0.92,369314
4,2022-01-03,379000,381000,375500,376000,-0.66,378920
5,2022-01-04,376000,376000,365000,365500,-2.79,803676
6,2022-01-05,362000,362000,352000,355000,-2.87,1151703
7,2022-01-06,348500,349500,337500,338500,-4.65,1280916
8,2022-01-07,338000,343500,337000,338000,-0.15,787839
9,2022-01-10,339000,339500,329000,335000,-0.89,828611
10,2022-01-11,336000,344500,334500,335000,0.0,805084
11,2022-01-12,339500,352500,339500,345500,3.13,1047713
12,2022-01-13,348000,352000,344000,348000,0.72,677226
13,2022-01-14,341000,342500,335500,342000,-1.72,504907
14,2022-01-17,340500,346500,339500,343500,0.44,418789
15,2022-01-18,346500,348000,335500,338000,-1.6,441573
16,2022-01-19,330000,334000,328000,332500,-1.63,749338
17,2022-01-20,331000,336500,326500,335000,0.75,695553
18,2022-01-21,330500,340500,330000,333000,-0.6,580928
19,2022-01-24,333000,334000,327500,328500,-1.35,494977
20,2022-01-25,329500,331500,318000,322000,-1.98,799996
21,2022-01-26,318500,321000,312000,313000,-2.8,811297
22,2022-01-27,307000,315500,303000,303000,-3.19,949565
23,2022-01-28,297000,311000,297000,310000,2.31,974351
24,2022-02-03,325500,326000,320000,320500,3.39,884438
25,2022-02-04,321500,329500,321000,327500,2.18,548945
26,2022-02-07,328500,329000,320500,327000,-0.15,492656
27,2022-02-08,329000,329500,320000,322000,-1.53,427530
28,2022-02-09,324000,327000,322000,326000,1.24,377538
29,2022-02-10,326500,337500,326500,331500,1.69,701866
30,2022-02-11,326500,330500,323500,327500,-1.21,450896
31,2022-02-14,326000,327000,318000,322000,-1.68,424845
32,2022-02-15,325000,325500,316000,318500,-1.09,335584
33,2022-02-16,322500,325500,320000,324500,1.88,447832
34,2022-02-17,325000,328000,319000,324500,0.0,481773
35,2022-02-18,319500,320000,315500,318000,-2.0,549382
36,2022-02-21,311000,318500,308000,318000,0.0,550016
37,2022-02-22,309500,313000,308000,313000,-1.57,484404
38,2022-02-23,316000,316500,308500,309000,-1.28,443348
39,2022-02-24,305000,306000,300000,302500,-2.1,666538
40,2022-02-25,308000,317500,305000,314500,3.97,857872
41,2022-02-28,312000,318500,310500,318000,1.11,542469
42,2022-03-02,319000,319500,312000,317000,-0.31,546099
43,2022-03-03,319000,327000,318500,325500,2.68,580888
44,2022-03-04,325500,326000,317000,317500,-2.46,445607
45,2022-03-07,309000,309500,305000,307000,-3.31,535033
46,2022-03-08,302000,309500,301500,304500,-0.81,559921
47,2022-03-10,319000,337000,316000,330500,8.54,1521280
48,2022-03-11,330000,332000,323000,329000,-0.45,737003
49,2022-03-14,328500,338000,325000,329000,0.0,679812
50,2022-03-15,328500,335000,326000,327500,-0.46,627012
51,2022-03-16,333500,334000,324000,330500,0.92,584708
52,2022-03-17,337500,348000,337500,344500,4.24,1070200
53,2022-03-18,345000,346500,341500,344500,0.0,722326
54,2022-03-21,347500,347500,336000,339000,-1.6,398441
55,2022-03-22,340000,341000,336000,339500,0.15,301259
56,2022-03-23,343000,347500,341500,345500,1.77,504911
57,2022-03-24,339500,342000,335000,340000,-1.59,528012
58,2022-03-25,339500,340000,332500,333000,-2.06,559026
59,2022-03-28,329500,332500,324000,331500,-0.45,356589
60,2022-03-29,334500,338000,332000,334000,0.75,323767
61,2022-03-30,342000,342000,337000,339000,1.5,454373
62,2022-03-31,341500,342000,338500,340500,0.44,427064
63,2022-04-01,340000,340500,335500,335500,-1.47,446987
64,2022-04-04,335500,339000,332000,338000,0.75,283687
65,2022-04-05,340500,343000,338000,342500,1.33,389951
66,2022-04-06,336500,338000,329000,330000,-3.65,647201
67,2022-04-07,323000,328500,321000,321000,-2.73,493204
68,2022-04-08,322000,324500,311500,316500,-1.4,626173
69,2022-04-11,311000,313000,308000,313000,-1.11,507362
70,2022-04-12,306000,311000,305000,308500,-1.44,467984
71,2022-04-13,306000,311500,304000,310500,0.65,519629
72,2022-04-14,311500,315500,308500,313000,0.81,459979
73,2022-04-15,309000,314000,305500,308500,-1.44,369642
74,2022-04-18,306000,308000,305000,306500,-0.65,209787
75,2022-04-19,308000,314000,307500,312000,1.79,371024
76,2022-04-20,315500,317000,312000,315500,1.12,496286
77,2022-04-21,310500,311000,306000,309500,-1.9,803990
78,2022-04-22,302000,304000,299500,300000,-3.07,1166406
79,2022-04-25,292500,295000,288000,288500,-3.83,823308
80,2022-04-26,288500,291500,285000,287000,-0.52,804555
