,date,open,high,low,close,close_cr,vol
0,2021-12-27,72500,72700,72000,72400,-0.55,1371174
1,2021-12-28,72400,72500,71700,72400,0.0,2235665
2,2021-12-29,72200,72200,71200,71700,-0.97,1499895
3,2021-12-30,71700,72000,71200,71200,-0.7,841764
4,2022-01-03,71800,71800,71300,71400,0.28,832097
5,2022-01-04,71700,71800,71300,71700,0.42,590520
6,2022-01-05,71900,71900,70500,71400,-0.42,1538405
7,2022-01-06,70500,70900,70300,70900,-0.7,953399
8,2022-01-07,71500,71600,70800,71400,0.71,999511
9,2022-01-10,71200,71200,70400,70900,-0.7,577054
10,2022-01-11,71100,71900,70900,71900,1.41,1318579
11,2022-01-12,72300,72400,71900,72400,0.7,1510810
12,2022-01-13,72600,72600,72200,72600,0.28,1228217
13,2022-01-14,71900,72500,71700,72500,-0.14,789787
14,2022-01-17,71900,72200,71500,71900,-0.83,681689
15,2022-01-18,71600,71800,71100,71500,-0.56,494813
16,2022-01-19,70700,71000,70200,70600,-1.26,915303
17,2022-01-20,70000,70200,69800,69800,-1.13,1115505
18,2022-01-21,69200,69400,68600,69100,-1.0,1621408
19,2022-01-24,68200,68900,67900,68200,-1.3,1172747
20,2022-01-25,67800,67800,66600,67500,-1.03,1654286
21,2022-01-26,66900,67500,66800,66800,-1.04,1134174
22,2022-01-27,67000,67300,65500,65600,-1.8,1655150
23,2022-01-28,65500,68000,65500,66300,1.07,2335000
24,2022-02-03,67200,67900,67000,67300,1.51,1872958
25,2022-02-04,67000,67800,67000,67600,0.45,1021158
26,2022-02-07,67600,67800,66600,67100,-0.74,1206830
27,2022-02-08,67600,67700,67000,67000,-0.15,836430
28,2022-02-09,67500,67800,67300,67600,0.9,745436
29,2022-02-10,68700,69000,67900,69000,2.07,887668
30,2022-02-11,68800,69200,68000,68900,-0.14,991845
31,2022-02-14,67700,67900,67100,67100,-2.61,1498692
32,2022-02-15,67100,67400,66500,66500,-0.89,1055906
33,2022-02-16,67400,67800,67100,67500,1.5,836326
34,2022-02-17,67600,68100,67200,67900,0.59,1025666
35,2022-02-18,67100,67800,67000,67400,-0.74,662544
36,2022-02-21,66900,67300,66400,67200,-0.3,474100
37,2022-02-22,66100,67000,66100,66900,-0.45,823122
38,2022-02-23,67000,67300,66700,66700,-0.3,565257
39,2022-02-24,66400,66400,65200,65300,-2.1,1385692
40,2022-02-25,66000,66300,65900,66100,1.23,589035
41,2022-02-28,65500,66400,65300,66100,0.0,1451991
42,2022-03-02,65700,66100,65500,65500,-0.91,1811035
43,2022-03-03,65800,66300,65800,66100,0.92,1229063
44,2022-03-04,65800,65900,65200,65500,-0.91,935829
45,2022-03-07,64500,64700,63400,63400,-3.21,2673569
46,2022-03-08,62500,63900,62100,63200,-0.32,1318909
47,2022-03-10,63900,64300,63500,63500,0.47,1682977
48,2022-03-11,63600,63600,63100,63300,-0.31,1195570
49,2022-03-14,62800,63300,62700,63100,-0.32,1386964
50,2022-03-15,62800,63000,62700,63000,-0.16,695913
51,2022-03-16,63500,63600,63100,63400,0.63,930441
52,2022-03-17,64600,64600,64000,64500,1.74,1356043
53,2022-03-18,64300,64600,64100,64100,-0.62,1357470
54,2022-03-21,64100,64300,63800,63900,-0.31,936188
55,2022-03-22,63300,63800,63200,63600,-0.47,1004005
56,2022-03-23,63900,64200,63600,63900,0.47,1046970
57,2022-03-24,63300,63800,63200,63800,-0.16,1127898
58,2022-03-25,63900,64100,63500,63900,0.16,993091
59,2022-03-28,63500,64000,63400,63900,0.0,957451
60,2022-03-29,64000,64300,63900,64300,0.63,1148622
61,2022-03-30,64500,64600,63500,63500,-1.24,1454594
62,2022-03-31,63000,63400,62900,63000,-0.79,2372862
63,2022-04-01,63000,63000,62500,63000,0.0,1475048
64,2022-04-04,62900,62900,62500,62700,-0.48,940195
65,2022-04-05,62600,62900,62500,62600,-0.16,1031341
66,2022-04-06,62200,62300,62100,62200,-0.64,1132566
67,2022-04-07,62200,62400,62000,62000,-0.32,1467351
68,2022-04-08,61900,62000,61600,62000,0.0,1495242
69,2022-04-11,62200,62200,61700,61900,-0.16,844300
70,2022-04-12,61400,61500,60500,60500,-2.26,2095835
71,2022-04-13,60600,61800,60500,61500,1.65,1101478
72,2022-04-14,61500,61600,60700,60700,-1.3,874749
73,2022-04-15,60500,60600,59800,59900,-1.32,1649217
74,2022-04-18,59900,60500,59800,60300,0.67,536606
