,date,open,high,low,close,close_cr,vol
0,2021-12-27,38000,38050,37750,37900,0.0,1110251
1,2021-12-28,38000,38150,37700,38150,0.66,2101338
2,2021-12-29,36750,37250,36600,37200,-2.49,1831621
3,2021-12-30,36950,37250,36800,36800,-1.08,1306746
4,2022-01-03,36700,37450,36700,37250,1.22,1090787
5,2022-01-04,37300,37600,37200,37600,0.94,1128934
6,2022-01-05,37800,37950,37300,37500,-0.27,1473096
7,2022-01-06,37650,37850,37150,37300,-0.53,1232985
8,2022-01-07,37300,37650,36900,37650,0.94,1126929
9,2022-01-10,37800,38600,37700,38550,2.39,2619613
10,2022-01-11,38600,39200,38500,39000,1.17,2213546
11,2022-01-12,38950,39750,38950,39750,1.92,3023937
12,2022-01-13,39800,39850,39200,39450,-0.75,1595426
13,2022-01-14,39250,39600,38900,39300,-0.38,1393257
14,2022-01-17,39400,39450,38400,38850,-1.15,1121258
15,2022-01-18,38950,39300,38550,38900,0.13,1205039
16,2022-01-19,38900,39850,38750,39500,1.54,1881044
17,2022-01-20,39500,39500,38750,38800,-1.77,1295859
18,2022-01-21,38450,39250,38200,39250,1.16,1271940
19,2022-01-24,39050,39400,37950,38350,-2.29,1097636
20,2022-01-25,37850,38350,37100,37700,-1.69,1305908
21,2022-01-26,37750,38350,37700,38300,1.59,1038172
22,2022-01-27,38500,38500,37350,38100,-0.52,3454717
23,2022-01-28,38350,38400,37750,38150,0.13,1398673
24,2022-02-03,38000,38750,37950,38600,1.18,1502176
25,2022-02-04,38600,39450,38500,39450,2.2,1518372
26,2022-02-07,39550,39700,39200,39700,0.63,1277055
27,2022-02-08,39850,40200,39400,39650,-0.13,1655941
28,2022-02-09,40000,40750,39800,40600,2.4,2437119
29,2022-02-10,40850,41150,40100,40500,-0.25,2078068
30,2022-02-11,40200,41100,39850,41100,1.48,2151781
31,2022-02-14,40750,40800,40050,40400,-1.7,1584007
32,2022-02-15,40500,40850,40100,40450,0.12,1253631
33,2022-02-16,40800,41100,40450,41100,1.61,1407902
34,2022-02-17,41300,41550,40850,41250,0.36,1472245
35,2022-02-18,40800,41400,40650,41250,0.0,1080409
36,2022-02-21,40000,41250,40000,41250,0.0,805024
37,2022-02-22,40500,40800,40100,40650,-1.45,1304897
38,2022-02-23,40800,41050,40500,40700,0.12,938664
39,2022-02-24,40700,40700,39500,39800,-2.21,1758982
40,2022-02-25,39400,39550,38550,38950,-2.14,1680980
41,2022-02-28,38850,39050,38300,39050,0.26,2139605
42,2022-03-02,38400,38650,38050,38200,-2.18,1603611
43,2022-03-03,38350,38700,38300,38550,0.92,1034752
44,2022-03-04,38250,38400,37750,38200,-0.91,867597
45,2022-03-07,37700,37800,36900,37200,-2.62,1461888
46,2022-03-08,36400,36850,36300,36400,-2.15,1303236
47,2022-03-10,37200,37250,36700,37100,1.92,2266453
48,2022-03-11,36950,37400,36700,37350,0.67,1507994
49,2022-03-14,37050,37750,36850,37650,0.8,1392866
50,2022-03-15,37650,38200,37550,37900,0.66,1625651
51,2022-03-16,37900,38100,37500,37900,0.0,1223813
52,2022-03-17,38500,38900,38300,38300,1.06,1503266
53,2022-03-18,38150,38200,37700,38200,-0.26,1570197
54,2022-03-21,38300,38350,38000,38200,0.0,860733
55,2022-03-22,38250,38850,38250,38700,1.31,1011346
56,2022-03-23,39000,39850,38900,39700,2.58,1657155
57,2022-03-24,39150,40400,39100,39800,0.25,1995003
58,2022-03-25,40100,40400,39850,40100,0.75,1436013
59,2022-03-28,39700,41150,39700,41100,2.49,1806851
60,2022-03-29,41150,41750,41100,41300,0.49,1650617
61,2022-03-30,41050,41550,40600,41200,-0.24,1333623
62,2022-03-31,41200,41650,41050,41500,0.73,1206052
63,2022-04-01,40700,41500,40650,41450,-0.12,1069020
64,2022-04-04,41400,41550,41150,41500,0.12,727972
65,2022-04-05,41350,41400,40100,40400,-2.65,1281139
66,2022-04-06,39900,41050,39900,40800,0.99,1649947
67,2022-04-07,40000,40900,40000,40300,-1.23,1234355
68,2022-04-08,40200,40500,40000,40250,-0.12,877310
69,2022-04-11,40300,41150,40250,41150,2.24,1032854
70,2022-04-12,41100,41500,40850,40950,-0.49,1039504
71,2022-04-13,40850,40850,40250,40450,-1.22,1148657
72,2022-04-14,40350,41100,40250,40750,0.74,1293920
73,2022-04-15,40350,40800,40150,40300,-1.1,618344
74,2022-04-18,40050,40400,39900,40150,-0.37,336238
75,2022-04-19,40350,40800,40250,40650,1.25,853181
76,2022-04-20,40300,41400,40250,40950,0.74,1669191
77,2022-04-21,41300,41500,40950,41350,0.98,1206275
78,2022-04-22,40850,42150,40800,42150,1.93,1821179
79,2022-04-25,41850,42950,41550,42050,-0.24,2682884
80,2022-04-26,42300,42300,41600,41700,-0.83,1118892
81,2022-04-27,41100,41350,40600,41200,-1.2,1376465
82,2022-04-28,41000,42450,40600,42450,3.03,1563980
83,2022-04-29,41700,42400,41650,42150,-0.71,1069064
84,2022-05-02,41650,41900,41200,41700,-1.07,715653
85,2022-05-03,41250,42100,41250,41650,-0.12,669404
86,2022-05-04,42000,42500,41650,42500,2.04,967234
87,2022-05-06,42450,42600,41650,42250,-0.59,1142986
88,2022-05-09,42050,42700,42050,42400,0.36,874871
89,2022-05-10,42300,42300,41000,41100,-3.07,1259712
90,2022-05-11,40850,40850,40200,40450,-1.58,1149131
91,2022-05-12,40050,41500,40050,41000,1.36,1311998
92,2022-05-13,41400,42400,40850,42300,3.17,1243781
93,2022-05-16,42050,42450,41950,42350,0.12,877622
94,2022-05-17,42350,42650,42050,42400,0.12,924490
95,2022-05-18,42400,42600,42050,42050,-0.83,975421
96,2022-05-19,41100,41400,40650,40700,-3.21,1732281
97,2022-05-20,40700,42000,40700,41700,2.46,1283629
98,2022-05-23,42000,42000,41200,41600,-0.24,907576
99,2022-05-24,41850,42650,41850,42000,0.96,1276688
100,2022-05-25,42650,42650,42000,42350,0.83,1281111
101,2022-05-26,42100,42650,41850,42350,0.0,901178
102,2022-05-27,42600,42950,42200,42900,1.3,1202202
103,2022-05-30,43000,43450,42900,43200,0.7,981376
104,2022-05-31,43200,43450,42550,43050,-0.35,3465092
105,2022-06-02,43450,43450,42050,42350,-1.63,1351812
106,2022-06-03,42100,42950,42100,42450,0.24,862082
107,2022-06-07,42200,42250,41550,41700,-1.77,1178687
108,2022-06-08,41700,42200,41550,41800,0.24,659863
109,2022-06-09,41750,42500,41600,42500,1.67,2049638
110,2022-06-10,41900,42300,41300,42200,-0.71,1924516
111,2022-06-13,41200,41650,40500,40550,-3.91,1147270
112,2022-06-14,40950,40950,39750,40950,0.99,1477611
113,2022-06-15,40600,41250,40250,40750,-0.49,1068620
114,2022-06-16,41500,41600,40500,40550,-0.49,1238928
115,2022-06-17,40200,40650,39600,40050,-1.23,1485752
116,2022-06-20,39800,40400,39350,39750,-0.75,995976
117,2022-06-21,40250,40250,39300,39600,-0.38,991921
118,2022-06-22,39650,39650,37800,39050,-1.39,2298999
119,2022-06-23,38350,39250,37650,37750,-3.33,2335187
120,2022-06-24,37150,38750,37100,38700,2.52,1292676
121,2022-06-27,38300,38850,37750,38500,-0.52,1384979
122,2022-06-28,38400,39000,37950,39000,1.3,1762663
123,2022-06-29,38450,38600,37700,37850,-2.95,1319026
124,2022-06-30,37450,37900,36950,37050,-2.11,2161589
125,2022-07-01,37450,38250,37100,37900,2.29,1334004
126,2022-07-04,37550,37900,36700,37250,-1.72,1275013
127,2022-07-05,37700,37800,36850,37300,0.13,1190411
128,2022-07-06,36500,37000,35350,35450,-4.96,2127220
129,2022-07-07,35100,35700,34550,35050,-1.13,2023903
130,2022-07-08,35050,36400,34800,36250,3.42,1698774
131,2022-07-11,35900,36400,35650,35850,-1.1,1153210
132,2022-07-12,35500,35800,35200,35600,-0.7,1215464
133,2022-07-13,36050,36050,34600,34600,-2.81,1661660
134,2022-07-14,34550,34700,33900,34000,-1.73,1855853
135,2022-07-15,33400,33800,32500,33400,-1.76,1783607
136,2022-07-18,34050,35000,33850,34650,3.74,1372194
137,2022-07-19,34550,35200,34350,34600,-0.14,818629
138,2022-07-20,35200,36000,35050,35550,2.75,1712917
139,2022-07-21,35100,36000,34800,35850,0.84,1127718
140,2022-07-22,35150,35800,35100,35650,-0.56,1188819
141,2022-07-25,35750,36600,35600,36000,0.98,1708877
142,2022-07-26,35800,36000,35600,35750,-0.69,1000911
143,2022-07-27,35300,35900,35250,35650,-0.28,969971
144,2022-07-28,35550,36150,35400,35700,0.14,922485
145,2022-07-29,36100,36150,35650,35700,0.0,1178067
146,2022-08-01,35700,35750,34850,35050,-1.82,1387853
147,2022-08-02,35300,35400,34900,35150,0.29,932751
