,date,open,high,low,close,close_cr,vol
0,2021-12-27,88600,88700,87100,87400,-1.47,183489
1,2021-12-28,88000,89700,87600,89200,2.06,454246
2,2021-12-29,87900,88200,86300,87800,-1.57,404910
3,2021-12-30,87100,87800,85500,85700,-2.39,259452
4,2022-01-03,86500,86500,84900,85900,0.23,156375
5,2022-01-04,86300,90400,85600,90200,5.01,444373
6,2022-01-05,91100,92700,89600,90200,0.0,373505
7,2022-01-06,90200,93000,90100,92400,2.44,511410
8,2022-01-07,95800,98800,94800,97300,5.3,770254
9,2022-01-10,98000,99400,95400,96900,-0.41,409836
10,2022-01-11,96100,97400,92300,94500,-2.48,426092
11,2022-01-12,96500,98000,95700,96300,1.9,432644
12,2022-01-13,97000,98000,95200,95300,-1.04,320777
13,2022-01-14,93800,95500,93500,94700,-0.63,184510
14,2022-01-17,95000,95500,92800,93600,-1.16,189411
15,2022-01-18,94400,94400,90600,91700,-2.03,271575
16,2022-01-19,91500,98400,91500,95200,3.82,728300
17,2022-01-20,97000,97500,91100,91300,-4.1,611727
18,2022-01-21,90800,91100,88100,89300,-2.19,356049
19,2022-01-24,89200,90800,89000,89600,0.34,272204
20,2022-01-25,89300,90100,85800,86300,-3.68,350396
21,2022-01-26,88900,90500,87400,89200,3.36,345318
22,2022-01-27,89300,89500,85100,85300,-4.37,417508
23,2022-01-28,85800,90700,83900,90000,5.51,548961
24,2022-02-03,92500,92500,89900,90000,0.0,292700
25,2022-02-04,92000,94200,91500,92500,2.78,423356
26,2022-02-07,93500,94100,90500,90900,-1.73,319795
27,2022-02-08,91400,91800,88000,89000,-2.09,326564
28,2022-02-09,88300,88800,86300,88000,-1.12,545950
29,2022-02-10,88600,88900,87600,88500,0.57,255796
30,2022-02-11,88600,88700,86800,87200,-1.47,260289
31,2022-02-14,88700,91400,88600,90300,3.56,567216
32,2022-02-15,90700,90800,85700,86000,-4.76,472621
33,2022-02-16,85000,86000,83100,84900,-1.28,379042
34,2022-02-17,85000,87500,84800,85200,0.35,483347
35,2022-02-18,83500,84600,82400,82700,-2.93,550022
36,2022-02-21,83000,83400,81700,82200,-0.6,269575
37,2022-02-22,82700,83100,80500,81300,-1.09,392648
38,2022-02-23,81600,82100,81100,81400,0.12,256769
39,2022-02-24,80800,84800,80800,83600,2.7,851499
40,2022-02-25,83600,84300,81200,83200,-0.48,410693
41,2022-02-28,84100,84500,83300,84500,1.56,374807
42,2022-03-02,86700,90500,86200,89600,6.04,946855
43,2022-03-03,92500,94100,89300,89300,-0.33,842086
44,2022-03-04,88800,92000,86900,89700,0.45,648358
45,2022-03-07,93900,94600,91300,93600,4.35,969906
46,2022-03-08,94000,95200,90700,91900,-1.82,1054264
47,2022-03-10,87300,89400,86500,88200,-4.03,1059502
48,2022-03-11,88600,88600,84200,84400,-4.31,687663
49,2022-03-14,84500,86300,84100,85500,1.3,405894
50,2022-03-15,84000,85400,82600,82600,-3.39,366121
51,2022-03-16,82200,86000,81500,85000,2.91,558897
52,2022-03-17,85000,86100,84500,84900,-0.12,371910
53,2022-03-18,86300,86700,85300,85400,0.59,264305
54,2022-03-21,86500,88600,86400,87700,2.69,410225
55,2022-03-22,88900,89500,88300,89400,1.94,317023
56,2022-03-23,88700,89600,87100,89400,0.0,416605
57,2022-03-24,90800,91900,89800,90600,1.34,520687
58,2022-03-25,90000,92200,89400,92200,1.77,467702
59,2022-03-28,92700,98100,91400,97900,6.18,1118701
60,2022-03-29,96500,98800,95200,97800,-0.1,745321
61,2022-03-30,96600,98100,96100,96800,-1.02,350758
62,2022-03-31,97700,98400,94200,96700,-0.1,726928
63,2022-04-01,97200,99800,96500,98300,1.65,672960
64,2022-04-04,99100,101500,98600,101000,2.75,458418
65,2022-04-05,101000,102000,99200,99900,-1.09,228489
66,2022-04-06,99200,100500,97700,100000,0.1,318389
67,2022-04-07,99000,100500,97200,97500,-2.5,349705
68,2022-04-08,97500,99700,96600,99000,1.54,223478
69,2022-04-11,100500,104000,99100,103500,4.55,491462
70,2022-04-12,101500,102500,100000,100000,-3.38,281352
71,2022-04-13,102000,105500,100500,104500,4.5,575698
72,2022-04-14,103500,108000,102500,106000,1.44,756738
73,2022-04-15,106000,110500,105500,107500,1.42,453904
74,2022-04-18,106500,108500,104500,107500,0.0,356759
75,2022-04-19,108500,108500,104000,105000,-2.33,278991
76,2022-04-20,104000,106000,101000,104500,-0.48,400869
77,2022-04-21,105000,106000,103500,104500,0.0,235249
78,2022-04-22,103500,106500,102500,105500,0.96,228584
79,2022-04-25,103000,105000,102500,104000,-1.42,221627
80,2022-04-26,104000,104500,100500,102500,-1.44,377984
81,2022-04-27,101500,107000,101000,105000,2.44,448932
82,2022-04-28,106000,107000,103500,104500,-0.48,334912
83,2022-04-29,105000,107000,103000,103500,-0.96,415541
84,2022-05-02,102500,107000,102500,106000,2.42,263586
85,2022-05-03,105000,107000,104500,106000,0.0,259132
86,2022-05-04,105500,108000,105000,107500,1.42,292693
87,2022-05-06,108000,111500,107500,111000,3.26,618534
88,2022-05-09,112000,114000,109500,111500,0.45,706815
89,2022-05-10,106000,109000,105000,107000,-4.04,935872
90,2022-05-11,106500,107000,104000,106000,-0.93,464935
91,2022-05-12,107000,111500,107000,109000,2.83,605339
92,2022-05-13,109500,111500,109000,110500,1.38,279415
93,2022-05-16,111500,113000,109000,109500,-0.9,235976
94,2022-05-17,111500,115000,110500,113000,3.2,557284
95,2022-05-18,113000,113000,108000,110000,-2.65,365292
96,2022-05-19,107500,109000,106500,107000,-2.73,298474
97,2022-05-20,104500,107500,101500,106000,-0.93,776754
98,2022-05-23,105000,106000,102000,105000,-0.94,346749
99,2022-05-24,104000,106000,102500,103000,-1.9,182017
100,2022-05-25,103500,107000,103500,105500,2.43,299524
101,2022-05-26,106000,106500,104500,106500,0.95,193844
102,2022-05-27,107000,111000,106500,110000,3.29,342371
103,2022-05-30,110500,112500,110000,112500,2.27,225791
104,2022-05-31,112000,116000,111000,116000,3.11,543803
105,2022-06-02,114000,116000,113000,115000,-0.86,311754
106,2022-06-03,115500,116500,113500,116000,0.87,319796
107,2022-06-07,117000,121000,116500,120000,3.45,659749
108,2022-06-08,121500,121500,119000,119500,-0.42,281447
109,2022-06-09,121000,122000,120000,121000,1.26,472660
110,2022-06-10,120000,121500,118000,121500,0.41,291223
111,2022-06-13,120000,123000,118500,119000,-2.06,494133
112,2022-06-14,118000,119000,113500,118500,-0.42,353772
113,2022-06-15,118500,119000,114000,118500,0.0,384258
114,2022-06-16,116000,117000,114000,114500,-3.38,316686
115,2022-06-17,114000,117000,111500,115500,0.87,396242
116,2022-06-20,112000,113500,110500,113000,-2.16,291854
117,2022-06-21,114000,115500,108000,109500,-3.1,547580
118,2022-06-22,110500,111500,104500,105000,-4.11,551817
119,2022-06-23,103500,104500,100000,101500,-3.33,529909
120,2022-06-24,101000,104000,98500,103500,1.97,452026
121,2022-06-27,104000,105000,102500,104000,0.48,266521
122,2022-06-28,109000,110000,106000,108000,3.85,465951
123,2022-06-29,107000,111000,106500,108000,0.0,338116
124,2022-06-30,107500,107500,101500,104000,-3.7,469958
125,2022-07-01,102500,103500,99600,99900,-3.94,626706
126,2022-07-04,100000,102500,97000,101500,1.6,427321
127,2022-07-05,102500,103500,100500,102000,0.49,314433
128,2022-07-06,98300,98400,92500,92500,-9.31,992312
129,2022-07-07,92000,93600,91400,93100,0.65,520245
130,2022-07-08,94600,95300,93000,93000,-0.11,336332
131,2022-07-11,93100,93700,91300,92400,-0.65,268852
132,2022-07-12,91700,92800,89600,91200,-1.3,242954
133,2022-07-13,89100,90300,86600,89900,-1.43,476706
134,2022-07-14,89900,91800,89000,90600,0.78,255242
135,2022-07-15,90700,90800,88300,88900,-1.88,232955
136,2022-07-18,89600,92300,88000,92300,3.82,373881
137,2022-07-19,93300,94900,92400,93200,0.98,371087
138,2022-07-20,94100,94400,92800,93700,0.54,393638
139,2022-07-21,93600,94300,92800,93700,0.0,310123
140,2022-07-22,92800,92900,88700,90300,-3.63,628678
141,2022-07-25,89100,90600,88800,90600,0.33,250383
142,2022-07-26,91300,92500,90300,91900,1.43,258814
143,2022-07-27,91300,93000,91300,93000,1.2,215846
144,2022-07-28,93600,93800,90500,91300,-1.83,538463
145,2022-07-29,91800,93000,91000,91800,0.55,373846
146,2022-08-01,93200,94200,91900,91900,0.11,391034
147,2022-08-02,92400,92400,88400,88600,-3.59,591069
148,2022-08-03,88900,89200,87200,88200,-0.45,443785
149,2022-08-04,87500,87700,85700,85800,-2.72,785384
150,2022-08-05,85200,86400,84800,85300,-0.58,717799
151,2022-08-08,85500,86700,85400,86500,1.41,503614
152,2022-08-09,87200,88300,86800,87800,1.5,467445
153,2022-08-10,87100,88300,86800,86800,-1.14,326719
