,date,open,high,low,close,close_cr,vol
0,2021-12-27,117000,117500,116500,117000,0.0,187206
1,2021-12-28,117000,118000,116000,118000,0.85,565734
2,2021-12-29,116500,117500,115500,116000,-1.69,418466
3,2021-12-30,117000,122000,117000,119000,2.59,773155
4,2022-01-03,120500,120500,117000,117500,-1.26,293034
5,2022-01-04,117500,118000,115000,117500,0.0,327267
6,2022-01-05,116500,117500,115000,117500,0.0,446445
7,2022-01-06,116500,117000,115000,115000,-2.13,272417
8,2022-01-07,115500,116500,115000,116500,1.3,266309
9,2022-01-10,116500,117000,114500,115000,-1.29,194492
10,2022-01-11,114500,116000,113000,114500,-0.43,276529
11,2022-01-12,115000,118000,114500,117500,2.62,371542
12,2022-01-13,117000,118000,115500,116500,-0.85,397544
13,2022-01-14,116000,116500,114500,115000,-1.29,203469
14,2022-01-17,114500,115000,112000,113000,-1.74,215097
15,2022-01-18,113500,114000,109500,110000,-2.65,305786
16,2022-01-19,108500,111500,108000,111000,0.91,284986
17,2022-01-20,112000,112500,110000,112000,0.9,254248
18,2022-01-21,110500,112500,110000,111500,-0.45,186459
19,2022-01-24,111500,112500,109000,109500,-1.79,220666
20,2022-01-25,109000,109500,105500,107500,-1.83,303077
21,2022-01-26,107000,108500,105500,106500,-0.93,264548
22,2022-01-27,107500,107500,101500,101500,-4.69,658311
23,2022-01-28,102500,107500,102000,107000,5.42,395612
24,2022-02-03,108500,109500,106500,107000,0.0,236355
25,2022-02-04,107000,108500,106000,108500,1.4,278562
26,2022-02-07,107500,107500,105000,106000,-2.3,293950
27,2022-02-08,107000,109500,106500,108000,1.89,246227
28,2022-02-09,108500,109000,107000,108000,0.0,205734
29,2022-02-10,109000,110500,108000,109000,0.93,487328
30,2022-02-11,107500,109500,107000,108500,-0.46,279580
31,2022-02-14,107500,108000,105500,107500,-0.92,294558
32,2022-02-15,108000,108500,106500,108000,0.47,314538
33,2022-02-16,108500,110000,108000,109500,1.39,213197
34,2022-02-17,110000,113500,109000,111500,1.83,457653
35,2022-02-18,109500,113500,109500,112500,0.9,226006
36,2022-02-21,111000,112000,109500,111500,-0.89,187582
37,2022-02-22,109500,111000,108000,109500,-1.79,297438
38,2022-02-23,109500,110500,109000,110000,0.46,181737
39,2022-02-24,109000,110000,107500,108500,-1.36,276377
40,2022-02-25,109000,110000,108000,108500,0.0,249344
41,2022-02-28,108000,110000,107500,110000,1.38,287549
42,2022-03-02,109500,112500,109500,111000,0.91,240747
43,2022-03-03,111500,113000,111000,113000,1.8,228938
44,2022-03-04,113000,113000,110000,110500,-2.21,166006
45,2022-03-07,109000,109500,107000,107500,-2.71,235225
46,2022-03-08,107000,109500,106500,108000,0.47,224812
47,2022-03-10,111500,116000,111000,115000,6.48,704606
48,2022-03-11,115000,116000,114000,115000,0.0,306898
49,2022-03-14,115500,119000,114000,114500,-0.43,455076
50,2022-03-15,114000,115000,113000,113500,-0.87,208229
51,2022-03-16,115000,115500,112500,115000,1.32,296869
52,2022-03-17,117000,117500,115500,115500,0.43,268814
53,2022-03-18,115500,117000,114500,115500,0.0,346479
54,2022-03-21,116000,117000,112000,112500,-2.6,235559
55,2022-03-22,112500,115000,112000,114000,1.33,173714
56,2022-03-23,115000,115500,113000,114000,0.0,182542
57,2022-03-24,113000,113500,112000,112500,-1.32,147917
58,2022-03-25,112500,113000,111000,112000,-0.44,167927
59,2022-03-28,111500,112500,111000,111000,-0.89,212452
60,2022-03-29,112000,113000,111000,112500,1.35,173274
61,2022-03-30,113500,113500,112500,113000,0.44,160538
62,2022-03-31,112500,114500,112500,114000,0.88,233563
63,2022-04-01,112500,113500,111000,112500,-1.32,222897
64,2022-04-04,112000,113500,111000,113000,0.44,195291
65,2022-04-05,112500,113000,112000,112500,-0.44,104977
66,2022-04-06,112000,112500,110500,111000,-1.33,222849
67,2022-04-07,110500,110500,109000,109000,-1.8,294394
68,2022-04-08,109000,110000,108000,109500,0.46,162026
69,2022-04-11,109500,110500,108500,109500,0.0,184617
70,2022-04-12,109000,109500,108000,108500,-0.91,189293
71,2022-04-13,109000,110500,108000,110500,1.84,205313
72,2022-04-14,110000,111000,109000,110500,0.0,348209
73,2022-04-15,109500,109500,108500,109000,-1.36,179330
74,2022-04-18,108500,110500,108000,110000,0.92,107368
75,2022-04-19,110500,111500,109500,110500,0.45,174432
76,2022-04-20,110000,111000,109000,110000,-0.45,199138
77,2022-04-21,111000,112000,110500,112000,1.82,192652
78,2022-04-22,110500,111000,109500,110000,-1.79,168464
79,2022-04-25,108500,110500,108000,108000,-1.82,206736
80,2022-04-26,108500,109500,108500,108500,0.46,143871
81,2022-04-27,107000,108500,106500,108000,-0.46,180932
82,2022-04-28,109000,115500,109000,115500,6.94,624819
83,2022-04-29,114500,116000,114000,115500,0.0,300868
84,2022-05-02,114000,118500,114000,118000,2.16,337351
85,2022-05-03,116000,117000,115000,115500,-2.12,241018
86,2022-05-04,115500,117000,115000,116000,0.43,165895
87,2022-05-06,114500,116000,113500,114500,-1.29,193729
88,2022-05-09,114500,115500,112500,113000,-1.31,174394
89,2022-05-10,112000,113000,110500,112000,-0.88,234326
90,2022-05-11,112000,112000,110500,111500,-0.45,198381
91,2022-05-12,110500,114000,110500,112000,0.45,299984
92,2022-05-13,113500,116000,112500,115500,3.13,326870
93,2022-05-16,116500,117000,114500,116000,0.43,272500
94,2022-05-17,116000,117500,115500,117500,1.29,209873
95,2022-05-18,117500,118000,115500,116000,-1.28,190400
96,2022-05-19,114000,117000,114000,116000,0.0,297492
97,2022-05-20,117000,117500,116000,116500,0.43,220923
