"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","89,200","87,700","89,800","87,300","1.61M","1.71%"
"2023- 04- 20","87,700","87,000","88,400","86,200","1.01K","-0.57%"
"2023- 04- 19","88,200","88,100","88,500","86,600","0.06K","0.68%"
"2023- 04- 18","87,600","89,300","89,300","87,300","1.76M","-1.02%"
"2023- 04- 17","88,500","88,800","88,900","87,700","0.08K","-0.90%"
"2023- 04- 16","89,300","89,300","89,300","89,300","","0.00%"
"2023- 04- 14","89,300","90,100","90,300","88,600","2.32M","0.68%"
"2023- 04- 13","88,700","89,400","90,300","88,200","0.37K","-1.77%"
"2023- 04- 12","90,300","91,800","92,000","89,800","0.54K","-1.63%"
"2023- 04- 11","91,800","90,700","92,200","89,900","4.93M","1.21%"
"2023- 04- 10","90,700","88,700","92,500","88,500","5.38M","1.80%"
"2023- 04- 09","89,100","89,100","89,100","89,100","","0.00%"
"2023- 04- 07","89,100","87,900","89,400","86,000","10.86M","6.32%"
"2023- 04- 06","83,800","83,900","84,700","82,700","4.88M","-0.95%"
"2023- 04- 05","84,600","84,200","85,700","84,100","0.70K","0.12%"
"2023- 04- 04","84,500","85,800","85,900","83,700","2.13K","-3.10%"
"2023- 04- 03","87,200","89,700","89,700","86,600","2.31M","-1.58%"
"2023- 04- 02","88,600","88,600","88,600","88,600","","0.00%"
"2023- 03- 31","88,600","89,200","89,500","87,600","2.67M","-0.23%"
"2023- 03- 30","88,800","89,900","90,500","87,700","0.88K","2.19%"
"2023- 03- 29","86,900","87,200","88,700","86,500","0.05K","-1.70%"
"2023- 03- 28","88,400","85,400","88,600","85,200","3.49K","3.39%"
"2023- 03- 27","85,500","87,500","87,800","84,700","1.11K","-2.06%"
"2023- 03- 26","87,300","87,300","87,300","87,300","","0.00%"
"2023- 03- 24","87,300","89,100","90,700","86,700","4.03M","-1.36%"
"2023- 03- 23","88,500","85,400","88,500","85,100","3.07M","1.84%"
"2023- 03- 22","86,900","85,200","87,300","83,800","0.12K","3.95%"
"2023- 03- 21","83,600","84,200","85,100","82,900","0.89K","-0.12%"
"2023- 03- 20","83,700","83,800","85,100","83,000","2.21M","-0.36%"
