일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/21","58000","100","0.17","57700","58200","57200","984326","56787.0","2.5848091E7","445656747"
"2023/04/20","57900","-700","-1.19","58500","58700","57800","1342600","78054.0","2.5803526E7","445656747"
"2023/04/19","58600","-400","-0.68","59000","59100","58500","1086274","63792.0","2.6115485E7","445656747"
"2023/04/18","59000","-1100","-1.83","60200","60800","58900","1731564","102721.0","2.6293748E7","445656747"
"2023/04/17","60100","-400","-0.66","60200","60700","59600","1450046","86938.0","2.678397E7","445656747"
"2023/04/14","60500","1000","1.68","60100","61000","59400","2464952","148540.0","2.6962233E7","445656747"
"2023/04/13","59500","800","1.36","58500","59600","58400","1591961","94220.0","2.6516576E7","445656747"
"2023/04/12","58700","-600","-1.01","59200","59300","58500","1486194","87328.0","2.6160051E7","445656747"
"2023/04/11","59300","1200","2.07","58100","60000","57500","2184527","128783.0","2.6427445E7","445656747"
"2023/04/10","58100","-500","-0.85","58300","58400","57100","2103339","121803.0","2.5892657E7","445656747"
"2023/04/07","58600","0","0.00","58600","59200","58100","1650319","96908.0","2.6115485E7","445656747"
"2023/04/06","58600","-1900","-3.14","60100","60100","58500","2659408","157063.0","2.6111482E7","445588428"
"2023/04/05","60500","-200","-0.33","60500","61200","60200","1227329","74433.0","2.69581E7","445588428"
"2023/04/04","60700","500","0.83","60200","60800","59800","1380518","83243.0","2.7047218E7","445588428"
"2023/04/03","60200","-900","-1.47","61400","61600","59900","1683150","101978.0","2.6824423E7","445588428"
"2023/03/31","61100","1000","1.66","60600","61200","60000","1745559","105845.0","2.7225453E7","445588428"
"2023/03/30","60100","-300","-0.50","60800","60900","59900","1707493","102890.0","2.6779865E7","445588428"
"2023/03/29","60400","-300","-0.49","60800","61400","60100","1144119","69278.0","2.6913541E7","445588428"
"2023/03/28","60700","0","0.00","60600","61000","59900","1326335","80229.0","2.7047218E7","445588428"
"2023/03/27","60700","-700","-1.14","61500","61800","59800","1490567","89957.0","2.7047218E7","445588428"
"2023/03/24","61400","-200","-0.32","61600","61900","60900","1323550","81284.0","2.7359129E7","445588428"
"2023/03/23","61600","-1100","-1.75","61800","62000","60800","1685484","103500.0","2.7448247E7","445588428"
"2023/03/22","62700","1800","2.96","61700","62900","61300","2243729","139358.0","2.7938394E7","445588428"
"2023/03/21","60900","-100","-0.16","61400","61700","60500","1093952","66697.0","2.7136335E7","445588428"
"2023/03/20","61000","800","1.33","60200","62000","60200","2051491","125685.0","2.7180894E7","445588428"
"2023/03/17","60200","300","0.50","60600","61200","59800","1658486","100079.0","2.6824423E7","445588428"
"2023/03/16","59900","600","1.01","58400","60300","58100","1976894","117718.0","2.6690747E7","445588428"
"2023/03/15","59300","-100","-0.17","60600","60800","58800","1885060","112112.0","2.6423394E7","445588428"
