,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,6913,-4572,-2764,-1520,-58,-1017,27,-19,-176,0,413,10
1,2022-01-04,9661,2113,-11800,-7171,-664,-1979,-1894,-12,-64,-15,-12,38
2,2022-01-05,24235,-13676,-10884,-8021,-1608,-596,-15,0,-646,2,264,60
3,2022-01-06,5088,2025,-7124,-4041,230,-1670,-477,1,-1113,-55,-28,39
4,2022-01-07,16291,-16565,235,-2887,128,2991,325,0,-321,0,3,35
5,2022-01-10,18441,-17816,-862,1806,-3762,6864,-5955,42,417,-274,180,57
6,2022-01-11,2627,1274,-3949,215,-335,74,-3217,0,-666,-21,23,25
7,2022-01-12,-221,2589,-2405,2736,-359,-3726,-284,0,-774,1,24,13
8,2022-01-13,5438,-840,-4605,8883,14,-5647,-7842,0,-14,0,0,8
9,2022-01-14,2217,-55,-2167,-2089,49,469,-519,0,-45,-32,-23,28
10,2022-01-17,1077,-953,-205,165,8,351,-1264,-4,539,0,82,-2
11,2022-01-18,-437,3076,-2644,-230,-1126,331,-1545,0,-74,0,4,0
12,2022-01-19,776,1271,-2049,727,-588,-402,-1253,-34,-798,299,-6,8
13,2022-01-20,-9081,3812,5271,1698,1008,412,2244,0,-92,0,15,-17
14,2022-01-21,-4187,-977,5066,1521,113,2620,988,-33,-144,0,137,-38
15,2022-01-24,2035,-6029,3976,2420,147,428,1043,0,-62,0,-11,28
16,2022-01-25,2642,-2720,43,-2147,250,1845,189,0,-93,0,4,31
17,2022-01-26,-5449,-55,5732,2154,459,3557,-677,0,238,0,-207,-21
18,2022-01-27,2961,-1089,-1880,536,879,-1753,-1166,-50,-324,0,5,3
19,2022-01-28,-5681,-5011,11089,6337,998,2169,952,9,625,-1,-393,-5
20,2022-02-03,984,-5447,4407,858,474,3066,-88,0,98,0,52,3
21,2022-02-04,-3437,-2244,5642,-721,1491,2652,1307,9,892,13,4,35
22,2022-02-07,3042,-5197,2006,-3069,812,89,2750,9,1415,0,161,-13
23,2022-02-08,2277,-5280,2973,-259,536,501,1603,0,589,3,40,-9
24,2022-02-09,-3199,-9581,12669,1494,3990,2344,2565,89,2352,-164,131,-21
25,2022-02-10,-65995,35753,31007,2073,7759,5551,11438,151,4158,-123,-577,-187
26,2022-02-11,-4437,6302,-1782,-2309,-405,2100,-1551,0,383,0,-85,2
27,2022-02-14,-2291,-660,3066,1598,-327,2308,-992,0,478,0,-118,2
28,2022-02-15,-19593,2704,17311,612,7052,6260,2420,80,887,0,-373,-49
29,2022-02-16,3214,-10012,6986,-189,1533,7259,-1439,0,-177,0,-307,119
30,2022-02-17,-16922,8130,9294,-2092,2261,7837,-156,-136,1579,0,-427,-75
31,2022-02-18,-11479,-1556,13046,-2160,1061,11247,1692,14,1199,-8,54,-65
32,2022-02-21,-4531,1694,2984,-1909,245,2950,1117,0,580,0,-144,-3
33,2022-02-22,-6493,7494,-932,-3512,-1845,3961,-1034,0,1498,0,-29,-40
34,2022-02-23,831,4300,-5227,-2406,-999,3521,-5195,0,-148,0,67,30
35,2022-02-24,-6749,8529,-1575,-2369,1251,2931,-3134,36,-355,65,-75,-131
36,2022-02-25,6816,-8576,1696,2414,-549,1516,-1095,31,-679,57,60,5
37,2022-02-28,1768,-2029,290,-1038,78,3120,-2587,0,717,0,-34,5
38,2022-03-02,-2753,2805,-54,-133,88,1445,-2332,0,877,0,21,-19
39,2022-03-03,2266,2364,-4690,231,-468,-731,-4024,0,303,0,64,-4
40,2022-03-04,1527,-475,-1322,-407,-1214,1643,-1426,465,-376,-6,279,-8
41,2022-03-07,1572,2073,-3552,-803,-1667,1369,-2229,0,-222,0,-119,25
42,2022-03-08,3644,-6335,2598,2442,-334,715,-626,108,292,0,96,-2
43,2022-03-10,12083,-16840,4277,6858,-225,3002,-5285,-229,156,0,450,31
44,2022-03-11,10142,-18192,7780,2329,-1408,7241,-439,46,12,0,241,29
45,2022-03-14,46109,-35465,-10763,-3147,-2488,-3778,-765,-142,-433,-10,12,107
46,2022-03-15,14560,-12513,-2252,-623,-61,-196,-2008,12,8,616,71,134
47,2022-03-16,7036,-9396,2302,4486,538,-213,-1535,0,-974,0,-23,80
48,2022-03-17,49772,-54841,4638,2586,148,628,229,99,936,12,423,8
49,2022-03-18,51313,-36323,-15237,-5183,-938,-7046,-1531,0,-538,0,26,220
50,2022-03-21,4600,-6583,1328,1062,749,337,-785,0,-34,0,555,100
51,2022-03-22,5688,-6767,1294,2440,134,-454,-914,20,69,0,-171,-44
52,2022-03-23,-4101,-1855,5452,1355,468,490,2558,0,580,0,545,-42
53,2022-03-24,6797,-3809,-2802,-2134,65,-285,-710,0,263,0,-194,8
54,2022-03-25,8095,-5793,-2365,-32,-14,-1385,-707,0,-227,0,19,44
55,2022-03-28,18632,-6971,-12351,-7163,-404,-2735,-1621,-46,-383,0,615,75
56,2022-03-29,-14258,4633,9683,6681,993,704,1764,48,-507,0,7,-66
57,2022-03-30,8355,-9433,1099,1743,620,-898,13,-37,-285,-57,-11,-10
58,2022-03-31,690,3584,-4281,428,-41,-3819,-18,0,-831,0,2,5
59,2022-04-01,-2302,-362,2701,-3455,1339,6327,-1731,-60,385,-104,-25,-11
60,2022-04-04,10447,-11969,1694,-1680,2343,-689,1460,-40,379,-80,-280,108
61,2022-04-05,1182,-1937,800,-384,94,855,819,-37,-479,-67,-74,30
62,2022-04-06,13401,-7543,-6141,-4011,-217,13,-1738,0,-187,0,283,-1
63,2022-04-07,14619,-11238,-3270,-2573,-491,205,-29,0,-382,0,-160,49
64,2022-04-08,20435,-20316,-576,-382,-339,575,63,0,-494,0,380,77
65,2022-04-11,5959,-6192,-518,-301,11,-76,-25,0,-25,-103,742,9
66,2022-04-12,-490,-2682,3132,-1030,221,1679,1655,539,68,0,51,-11
67,2022-04-13,-6653,94,6536,3573,231,2519,-85,19,224,55,30,-7
68,2022-04-14,-1554,-2859,4641,-3088,714,2456,4096,311,151,0,-115,-113
69,2022-04-15,2202,-1178,-457,-2039,43,1643,-169,0,65,0,-585,19
70,2022-04-18,-9797,-1249,10750,359,3521,5347,465,55,963,39,335,-39
71,2022-04-19,20169,-17710,-2822,-480,-497,462,-1835,12,-493,9,351,12
72,2022-04-20,4353,-7451,3326,-243,871,2651,45,0,1,0,-306,77
73,2022-04-21,-3229,-5659,9002,2366,1655,1410,3411,0,160,0,-130,16
74,2022-04-22,-2694,4436,-1721,-2038,-99,871,-537,0,82,0,-5,-15
75,2022-04-25,24299,-12420,-11884,-1451,-4491,-2182,-3124,0,-637,0,-25,30
76,2022-04-26,-1163,-2027,3190,991,-574,1081,2021,0,-328,0,-21,21
77,2022-04-27,-16242,6277,9867,4131,913,2307,2827,3,-315,0,164,-66
78,2022-04-28,-117370,76250,43094,4076,16783,11843,7972,-1,2777,-356,-1344,-629
79,2022-04-29,-11291,5575,5998,-2050,2225,1621,3232,-138,1090,17,-242,-40
80,2022-05-02,-371,-3022,3186,1296,1610,1581,-1471,-1,170,0,228,-20
81,2022-05-03,8515,-229,-8581,-2370,-1120,-1599,-2948,-11,-532,0,260,35
82,2022-05-04,8465,-6947,-1777,1966,-48,-1523,-2310,39,123,-22,232,28
83,2022-05-06,7529,-3711,-4129,-541,33,16,-3961,51,274,0,292,18
84,2022-05-09,4213,-5218,996,2289,-124,907,-2822,0,746,0,-41,50
85,2022-05-10,-162,-12298,11763,3257,3390,2405,1976,1,691,44,702,-6
86,2022-05-11,-1291,-649,1820,2486,1741,1207,-3410,-187,-74,57,122,-1
87,2022-05-12,-996,-10689,11648,4361,1756,1087,4022,0,422,0,-62,99
88,2022-05-13,5092,-19051,13576,2473,1130,1977,7661,0,368,-33,362,22
89,2022-05-16,12186,-11013,-1742,-147,298,-76,-1966,0,163,-13,555,13
90,2022-05-17,44440,-38958,-6647,-5292,-26,301,-1446,87,-258,-13,1034,131
91,2022-05-18,11612,-8584,-3009,-3326,-36,1398,-779,43,-308,0,-29,9
92,2022-05-19,12895,-12943,-702,-444,744,1095,-2213,228,-134,22,685,65
93,2022-05-20,12131,-12242,-326,1380,-365,-1583,196,22,7,16,137,300
94,2022-05-23,-7861,614,7208,4785,558,1016,759,0,90,0,-13,51
95,2022-05-24,1940,-6630,5513,3194,176,2408,29,18,-342,30,-545,-278
96,2022-05-25,-4751,-475,5296,2992,-153,2083,368,0,5,0,-10,-59
97,2022-05-26,10831,-9567,-1418,451,-928,-1341,-308,176,533,0,181,-27
98,2022-05-27,-325,-4395,4677,3160,-107,998,559,0,67,0,42,1
99,2022-05-30,-21912,10792,11321,3637,3332,1700,2173,0,474,4,-181,-20
100,2022-05-31,-5844,-1411,7211,-1816,2912,5385,256,-11,486,0,-2,46
101,2022-06-02,365,-922,548,-2414,476,706,1759,0,22,0,2,7
102,2022-06-03,-17863,7538,9644,4832,742,2710,837,0,425,99,679,2
103,2022-06-07,10671,-6064,-4611,-4384,373,-427,-246,0,-25,98,-3,7
104,2022-06-08,28125,-16905,-11460,-7953,-14,-2098,-99,-54,-1154,-88,137,101
105,2022-06-09,6593,-18925,11658,11425,-727,-483,1352,0,92,-1,664,11
106,2022-06-10,15051,-4201,-11200,-9086,-555,-1124,-407,0,-28,0,306,44
107,2022-06-13,1638,-1373,-468,-739,-52,1248,-746,18,-198,0,130,73
108,2022-06-14,10595,-11302,1033,1471,-453,91,1055,-52,-989,-91,-351,25
109,2022-06-15,1116,-5384,4224,2297,258,243,1909,-3,-181,-299,2,43
110,2022-06-16,22903,-20003,-3783,724,-914,-2025,210,-220,-1480,-78,806,77
111,2022-06-17,-9344,7106,1083,2576,26,-885,-670,0,36,0,1153,2
112,2022-06-20,-3784,2489,1291,2059,1025,-453,-1325,0,-15,0,-2,6
113,2022-06-21,-1018,1557,-2375,82,-375,-551,-1115,-35,-382,0,1523,314
114,2022-06-22,33830,-21655,-13007,-2668,-599,-5117,-2471,-110,-2030,-13,1036,-205
115,2022-06-23,-10403,7995,2870,5002,-520,-581,233,-6,-1296,38,-459,-4
116,2022-06-24,-3180,6368,-3160,875,-927,-2692,432,-135,-712,0,-30,1
117,2022-06-27,-5780,8954,-3183,-1816,-129,-1973,1109,0,-374,0,-7,16
118,2022-06-28,3833,815,-4662,-1497,-1179,-235,-1536,0,-215,0,7,7
119,2022-06-29,-16265,23037,-6107,-3146,-342,-264,-2541,0,186,0,-655,-9
120,2022-06-30,12289,1877,-14708,-6647,-2197,-1202,-4495,0,-167,0,526,17
121,2022-07-01,-496,8056,-7601,-521,-801,-1254,-4815,0,-173,-37,33,7
122,2022-07-04,1910,980,-3169,1548,-581,-198,-3947,0,9,0,299,-21
123,2022-07-05,-460,-375,822,738,62,-57,-16,0,115,-20,34,-21
124,2022-07-06,-7890,5833,2215,2762,120,939,-1598,0,-11,4,-141,-17
125,2022-07-07,-6910,2201,5499,3216,261,1485,199,0,338,0,-769,-21
126,2022-07-08,3434,268,-3704,10,-1256,-2100,65,0,-424,0,-8,11
127,2022-07-11,2300,-516,-1869,-77,-23,-1602,-114,0,-53,0,82,4
128,2022-07-12,-193,3796,-3659,370,-1693,-2056,-140,0,-140,0,47,10
129,2022-07-13,-11282,9798,1738,1520,170,1093,-848,0,-198,0,-210,-44
130,2022-07-14,134,5959,-6090,-2834,-979,-2600,199,0,124,0,-4,0
131,2022-07-15,1708,2529,-4237,-3047,-1599,684,-666,-32,424,0,0,-1
132,2022-07-18,2825,-4877,2096,-2269,668,1523,1659,91,424,0,-76,32
133,2022-07-19,-37,1506,-1629,-298,-768,-15,-368,0,-180,0,159,1
134,2022-07-20,-10400,4333,6156,3473,860,655,1135,0,33,0,-72,-17
135,2022-07-21,3335,-1345,-2037,-569,-443,-1437,808,6,-402,0,60,-13
136,2022-07-22,-8604,3179,5401,-75,310,2475,2011,577,103,0,32,-7
137,2022-07-25,1974,-2297,289,425,-458,-339,686,0,-25,0,29,6
138,2022-07-26,549,-768,386,348,1,-14,99,0,-48,0,-158,-9
139,2022-07-27,-9193,-3402,12573,3885,1204,-117,6453,32,1116,0,37,-15
140,2022-07-28,42597,-17197,-26569,-14568,-718,-5237,-6552,187,-321,641,1073,96
141,2022-07-29,16153,-7050,-8970,1167,-3782,-4475,-421,-311,-442,-707,-269,135
142,2022-08-01,4881,-2694,-2309,640,-719,-1454,-419,-317,-44,4,95,26
143,2022-08-02,4422,293,-4466,-1788,-209,-1517,-745,0,-210,2,-262,13
144,2022-08-03,6881,665,-7608,-134,-229,-5931,-1192,0,-122,0,10,52
145,2022-08-04,8344,105,-8363,-117,-813,-6614,-468,0,-354,2,-57,-29
146,2022-08-05,-7338,3115,4310,4360,-444,463,40,5,-119,4,-82,-5
147,2022-08-08,23441,-10827,-12945,-2414,-110,-8554,-1290,0,-577,0,247,85
148,2022-08-09,6689,-5,-7008,-1277,-484,-3850,-1203,-18,-175,0,274,50
149,2022-08-10,2121,609,-3478,760,-1542,431,-1446,-297,-1350,-33,-28,776
150,2022-08-11,-8857,2747,6145,8787,169,-547,-1947,-53,-265,0,2,-37
151,2022-08-12,1451,1109,-2480,-192,-1367,525,-880,-34,-531,0,-93,13
152,2022-08-16,-2914,3654,-20,-25,42,-81,70,0,-25,0,52,-772
153,2022-08-17,-4906,2740,2110,768,394,-605,2074,-100,-420,0,112,-57
154,2022-08-18,3489,-136,-3468,-2153,-2,-837,-479,0,4,0,103,12
155,2022-08-19,916,4065,-5014,244,-610,-2065,-2496,0,-87,0,47,-12
156,2022-08-22,-903,3422,-2542,-2053,-109,-78,-397,0,95,0,6,16
157,2022-08-23,4955,1192,-6195,-2009,-366,-973,-2609,0,-240,1,-6,55
158,2022-08-24,7746,3742,-11622,-1706,-703,-7165,-840,-32,-1177,1,98,37
159,2022-08-25,-9147,3695,5452,3437,-385,37,2698,0,-318,-16,13,-13
160,2022-08-26,1841,2834,-4641,-3113,-293,-253,-531,0,-441,-10,-26,-9
161,2022-08-29,1147,-1280,513,1272,-408,662,-1351,64,271,4,-385,3
162,2022-08-30,-1464,-2057,3563,2870,-180,656,410,-23,-169,0,-41,-1
163,2022-08-31,2092,-3,-2027,-1266,59,-952,155,0,-24,0,-7,-56
164,2022-09-01,3269,-1559,-1712,-1152,-80,305,-1073,0,289,0,2,1
165,2022-09-02,369,-194,-134,-903,210,-75,536,30,67,0,-51,11
166,2022-09-05,-64,1727,-1382,-414,357,-678,-441,0,-205,0,-273,-10
167,2022-09-06,-5591,6516,-935,588,504,-658,-1153,0,-217,0,21,-11
168,2022-09-07,3309,-4215,965,1165,-71,-271,445,0,-302,0,-49,-10
169,2022-09-08,6762,-5904,-860,2017,-97,-3313,523,12,-1,0,-4,6
170,2022-09-13,-10898,-931,11852,5010,1529,90,4641,75,507,0,-12,-11
171,2022-09-14,-1711,1925,-195,-513,9,507,-345,0,147,0,-11,-8
172,2022-09-15,-3392,-3793,7133,737,463,1432,4963,-90,-372,0,55,-4
173,2022-09-16,-9385,-2556,12097,1074,1582,5054,4307,-65,147,-2,-143,-12
174,2022-09-19,8239,-8387,-61,-3927,1995,992,1215,0,-336,0,274,-65
175,2022-09-20,2490,-4642,2108,1389,-637,-435,1799,0,-9,0,35,10
176,2022-09-21,-629,-2208,2918,-530,726,2021,174,0,526,0,-79,-1
177,2022-09-22,8406,-5251,-3186,-2258,88,260,-1276,26,-26,0,6,25
178,2022-09-23,16808,-10699,-6382,-2058,-1936,834,-3408,39,147,0,223,50
179,2022-09-26,-7877,6329,1643,2853,40,401,-1277,0,-373,0,-123,27
180,2022-09-27,-8315,4984,3379,3286,-65,355,-53,0,-145,0,-61,13
181,2022-09-28,-1025,-453,1435,334,289,-9,1165,0,-183,-160,38,6
182,2022-09-29,3087,368,-3453,-518,-139,-1324,-1376,0,-96,0,-30,28
183,2022-09-30,717,-7,-725,-1005,154,-204,495,0,-165,0,29,-14
184,2022-10-04,-3393,7690,-2791,-1529,-467,1118,-1747,0,-166,0,-1503,-3
185,2022-10-05,-541,-290,781,-986,67,341,1535,0,-177,0,49,1
