,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,-2030,19549,-14301,-5990,-5188,2342,-4079,0,187,-1573,-3193,-25
1,2022-01-04,18680,-1459,-17874,-5551,-1932,-8200,-1072,0,-1108,-10,569,83
2,2022-01-05,39388,-1469,-38317,-6516,-6699,-16910,-3690,-24,-4356,-122,237,162
3,2022-01-06,7672,-3420,-4270,-1867,-2123,1300,-497,-27,-1057,0,39,-20
4,2022-01-07,-475,1234,-800,-1614,-1094,3738,-2175,0,346,0,-25,65
5,2022-01-10,4040,1276,-5042,-1336,-3349,1250,-405,0,-1202,0,-244,-31
6,2022-01-11,1917,-5150,3250,-1242,-308,5497,-500,0,-197,0,-82,65
7,2022-01-12,-7131,-2827,10088,3713,154,5894,753,0,-437,11,-133,3
8,2022-01-13,19227,-14623,-5077,-16,-407,-1600,-1491,-21,-1556,15,404,69
9,2022-01-14,8158,-5486,-4708,-2380,-1233,1235,-1662,0,-629,-39,1999,36
10,2022-01-17,-2592,742,-520,-1024,-85,1872,-1301,-11,38,-8,2394,-24
11,2022-01-18,815,1880,-2420,-590,-376,2707,-3622,0,-539,0,-333,59
12,2022-01-19,-1732,5124,-2258,-526,-974,2139,-1523,-104,-1219,-51,-1198,65
13,2022-01-20,-5415,-10674,16978,1132,4368,9795,999,0,699,-15,-841,-48
14,2022-01-21,39,-7121,7699,-1621,4137,5021,-1273,27,1345,63,-561,-56
15,2022-01-24,-7974,-3056,11306,4497,-50,7516,-751,0,94,0,-247,-29
16,2022-01-25,5053,-3364,-1869,-856,79,4171,-5407,0,144,0,123,57
17,2022-01-26,-5155,1156,4072,893,557,4578,-1711,0,-245,0,-11,-62
18,2022-01-27,8855,-9268,293,334,18,2438,-1715,0,-783,0,63,57
19,2022-01-28,5129,-5664,472,121,42,3526,-2659,1,-558,0,-51,114
20,2022-02-03,17065,36588,-49258,-13218,-14009,5400,-28246,0,2856,-2041,-4460,66
21,2022-02-04,-9596,6646,5863,-4136,-2012,16975,-5094,0,128,0,-2920,8
22,2022-02-07,11897,-14096,2353,-4676,-1621,8952,-136,0,-166,0,-298,143
23,2022-02-08,-11893,5441,6860,-2992,1598,12899,-4743,0,166,-68,-240,-168
24,2022-02-09,19044,-24316,5062,319,-461,8217,-2847,0,-40,-127,51,159
25,2022-02-10,-12838,9216,3812,-3617,853,7762,-1391,0,204,0,-97,-93
26,2022-02-11,6671,-8489,1567,-2360,-60,7318,-2896,0,-435,0,238,13
27,2022-02-14,-8330,-869,8631,-398,594,7928,353,0,150,5,621,-54
28,2022-02-15,271,-5244,5052,238,51,5262,-515,0,15,0,-61,-16
29,2022-02-16,-4311,-4741,9195,919,555,7987,-1029,0,965,-201,-125,-19
30,2022-02-17,-2010,-4788,7526,-285,2475,7423,-2438,42,233,75,-777,48
31,2022-02-18,-14370,4203,12315,-1426,583,11177,872,0,1110,-2,-2128,-20
32,2022-02-21,-591,-8799,7516,-764,-435,8452,-128,0,392,0,1954,-80
33,2022-02-22,-5659,-1880,7906,-2246,-52,8227,1549,0,435,-7,-311,-57
34,2022-02-23,70,-1907,1641,371,590,1149,-704,1,374,-141,111,85
35,2022-02-24,737,-2629,1862,-1816,10,5944,-2545,0,269,0,66,-36
36,2022-02-25,-17238,10757,7743,1031,732,6182,-67,0,-100,-35,-1113,-149
37,2022-02-28,-14077,9916,5061,-3120,-279,10356,-1786,0,-107,-2,-870,-29
38,2022-03-02,4231,-7082,2955,-2526,-3,5521,-158,0,126,-5,-81,-23
39,2022-03-03,6645,1231,-4700,-2535,-845,1185,-1447,0,264,-1321,-3207,31
40,2022-03-04,6293,-1193,-5946,-2361,55,-2473,-1237,0,69,0,24,822
41,2022-03-07,18740,-7111,-12084,-4377,-2218,-4598,-845,0,-45,0,409,46
42,2022-03-08,19088,-12364,-7285,-1595,-228,-3032,-1692,0,-737,0,271,291
43,2022-03-10,-8665,345,8599,3847,4462,147,836,0,-513,-180,-119,-160
44,2022-03-11,154,725,-2053,-2677,1388,1138,-1962,0,60,0,1163,11
45,2022-03-14,-3844,454,3340,-451,320,3204,283,0,-15,0,40,10
46,2022-03-15,-3076,-1220,4892,-339,1558,3284,313,0,76,0,-547,-49
47,2022-03-16,-6852,-49,6802,1042,554,3065,2103,0,38,0,130,-31
48,2022-03-17,-9235,1727,7636,647,1756,2622,2495,0,194,-79,-161,33
49,2022-03-18,-8480,8284,838,-1004,-457,3351,-612,0,-439,0,-605,-37
50,2022-03-21,7399,-4681,-2778,-1118,-2547,1317,83,0,-514,1,-62,122
51,2022-03-22,-1024,-113,1015,1659,-687,552,19,0,-527,0,114,8
52,2022-03-23,-3549,1995,1603,1098,56,-702,1185,0,-34,0,-44,-6
53,2022-03-24,5913,1000,-6886,-1681,-472,-3541,-43,0,-1149,0,-3,-24
54,2022-03-25,-5028,2469,2196,-933,-212,4031,-172,0,-517,0,359,3
55,2022-03-28,1234,-873,-490,296,-55,42,-188,0,-586,0,131,-2
56,2022-03-29,-5659,4533,1626,1913,-100,328,-306,0,-209,0,-512,11
57,2022-03-30,-23870,20797,4323,3257,665,296,638,0,464,-998,-263,-987
58,2022-03-31,4769,-4833,183,1132,192,-1203,168,0,-105,0,-161,41
59,2022-04-01,12156,-4607,-7929,-3552,-59,-2726,-1099,0,-493,0,348,31
60,2022-04-04,3150,683,-3598,-618,-149,16,-1199,0,-3,-1646,-138,-97
61,2022-04-05,46,3353,-3241,-1933,-641,-59,-108,0,-283,-217,-164,6
62,2022-04-06,13226,-5343,-8788,-4853,-393,436,-2492,0,-478,-1008,52,852
