,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,361,-4421,3719,-2414,19,6405,-212,5,-84,0,289,53
1,2022-01-04,26060,-8746,-17881,-2561,-978,-3665,-10325,0,-356,3,208,358
2,2022-01-05,13340,-15080,2036,-2550,-1210,5372,686,0,-261,0,-313,16
3,2022-01-06,24348,-14888,-10684,-1422,223,-12026,5008,0,-2466,0,1069,156
4,2022-01-07,-13190,13741,-414,-1853,-690,690,2301,0,-650,-213,-176,40
5,2022-01-10,19816,-26543,6709,948,868,-3082,7688,0,286,0,-259,277
6,2022-01-11,-4873,708,4151,-582,1521,994,1665,0,553,0,105,-91
7,2022-01-12,15705,920,-17261,813,-1000,14,-15316,0,-1726,-46,389,247
8,2022-01-13,26697,-11762,-15164,38,-164,-4174,-10043,0,-649,-171,110,119
9,2022-01-14,-6839,12661,-6001,-785,-366,-860,-3529,0,-444,-15,127,52
10,2022-01-17,-3647,-5745,9478,1288,-293,5345,3189,-2,-49,0,131,-217
11,2022-01-18,12711,-5034,-8185,-113,-917,-2284,-4590,-13,-212,-55,452,56
12,2022-01-19,-4734,15852,-10973,907,-2397,-2553,-5117,-196,-1615,-2,-160,15
13,2022-01-20,-6733,-4177,10976,468,-357,63,10931,0,-129,0,-13,-53
14,2022-01-21,14018,-10407,-3886,-669,-498,-2291,-485,1,56,0,203,72
15,2022-01-24,-12640,11788,912,1994,-644,-981,1132,-38,-551,0,-40,-20
16,2022-01-25,-8127,9325,-2035,-880,-545,229,-435,5,-152,-256,888,-51
17,2022-01-26,-5598,6421,-761,-508,-343,-265,483,3,-131,0,-38,-24
18,2022-01-27,-9754,16933,-7349,17,-1156,-3877,-1586,-107,-632,-8,144,26
19,2022-01-28,3516,-1650,-1869,-207,412,-14,-1800,0,-261,0,7,-4
20,2022-02-03,20088,-10404,-10306,133,-419,58,-10171,0,93,0,553,69
21,2022-02-04,-8328,4088,4148,-697,2082,6569,-4580,0,784,-11,164,-72
22,2022-02-07,25913,-17261,-8512,-5591,-566,-331,-2083,0,59,0,-223,82
23,2022-02-08,34433,-25,-34526,-13799,-4317,-11578,-3827,0,-1005,0,-53,171
24,2022-02-09,20429,2526,-22970,-14832,-657,-4613,-1982,0,-886,0,-52,67
25,2022-02-10,27188,-21563,-5765,-3551,-557,-238,-1372,0,-47,0,-31,171
26,2022-02-11,15473,-10266,-5108,-3228,-535,509,-1624,-46,-103,-83,8,-108
27,2022-02-14,-32677,34707,-2137,-2907,-68,1153,73,0,-388,0,226,-119
28,2022-02-15,41985,-31517,-11312,-4143,-350,-4096,-2346,0,-359,-17,693,152
29,2022-02-16,-12623,10301,3126,1900,-191,376,1749,0,-459,-249,-765,-39
30,2022-02-17,-11628,18186,-6658,-994,720,-2030,-4162,0,-192,0,22,77
31,2022-02-18,-9119,10678,100,-752,-407,1641,-375,0,-7,0,-1620,-38
32,2022-02-21,-5909,6794,-1873,-1882,-151,-62,-55,0,277,0,902,86
33,2022-02-22,5374,-5743,-40,-758,-348,1004,153,-69,-21,-1,319,90
34,2022-02-23,-3474,3330,81,-430,64,471,50,0,-74,0,64,-1
35,2022-02-24,6032,-2836,-3840,-2157,-89,-824,-413,-2,-355,0,490,154
36,2022-02-25,-12195,17305,-4735,-2506,-308,-2189,271,0,-5,0,-365,-10
37,2022-02-28,-17222,11989,5209,4925,-311,837,-169,-74,0,0,43,-19
38,2022-03-02,7762,-8731,1295,1307,78,-232,120,0,21,0,-257,-68
39,2022-03-03,-3930,3020,912,1253,183,-681,-318,0,475,0,-14,12
