,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,-1000,1267,-184,-1465,-627,2354,-205,0,-193,-49,-94,11
1,2022-01-04,-1506,4888,-3417,-1894,-129,-1289,-65,0,-44,4,51,-15
2,2022-01-05,-4539,7541,-91,-3076,614,1654,-190,0,908,0,-2877,-34
3,2022-01-06,233,4485,-2332,-317,156,-1781,-41,0,-348,0,-2419,34
4,2022-01-07,742,2361,-658,-760,77,229,-139,0,-65,0,-2472,27
5,2022-01-10,-10519,6808,3913,992,1348,1059,231,0,143,141,-195,-8
6,2022-01-11,2904,367,-2284,-12,-450,-1120,-35,0,-668,0,-999,12
7,2022-01-12,-6001,2188,3995,3982,-214,279,-87,429,-394,0,-109,-73
8,2022-01-13,226,6389,-6200,-6021,-63,-348,-35,0,268,0,-416,1
9,2022-01-14,-9680,1611,7990,3827,-1124,5537,96,0,-215,-132,-15,93
10,2022-01-17,-5118,2253,3032,2219,138,575,248,0,-149,0,-180,14
11,2022-01-18,948,-385,-580,204,-214,-622,-29,0,80,0,6,11
12,2022-01-19,-4917,2824,2447,2095,459,-146,178,-81,-58,0,-223,-130
13,2022-01-20,4202,-3463,-966,889,-353,-1508,-11,0,-32,49,155,71
14,2022-01-21,-2221,873,1455,1481,872,-1497,5,0,593,0,-73,-34
15,2022-01-24,384,-2049,1775,4691,-1115,-1586,-47,0,-92,-77,-110,1
16,2022-01-25,2301,-1487,-949,1500,-439,-1748,178,-245,-35,-159,116,19
17,2022-01-26,-1499,824,650,4761,-394,-3040,198,-245,-629,0,53,-29
18,2022-01-27,5213,738,-5923,142,-175,-5740,20,0,-170,0,166,-193
19,2022-01-28,963,-1951,814,1088,178,-230,180,0,-402,0,159,14
20,2022-02-03,-3421,4414,-860,144,-124,-1053,159,0,15,0,-69,-63
21,2022-02-04,-2613,3291,-525,-403,109,-553,302,0,20,0,-150,-2
22,2022-02-07,184,3632,-3806,-4604,-60,616,203,0,39,0,-20,9
23,2022-02-08,48,1365,65,-934,59,945,-41,0,36,0,-1453,-26
24,2022-02-09,-3493,1934,1644,826,-77,508,-43,0,430,0,-94,9
25,2022-02-10,9228,12047,-21270,-20178,-437,-599,164,0,-220,0,-5,1
26,2022-02-11,-753,-485,796,10,-4,787,-29,0,32,0,432,11
27,2022-02-14,982,-562,-362,1087,-240,-1252,68,0,-24,-1,-34,-23
28,2022-02-15,658,-2067,1967,1879,258,-84,0,0,-85,0,-560,1
29,2022-02-16,-1448,360,1097,1104,17,-167,87,0,57,0,-3,-5
30,2022-02-17,-2179,334,1813,845,424,855,51,-19,-333,-10,40,-8
31,2022-02-18,-1717,915,955,-187,97,1120,-15,0,-58,-3,16,-169
32,2022-02-21,2092,-1529,-601,-852,-153,473,7,0,-58,-19,31,7
33,2022-02-22,9268,-4938,-4364,-485,-548,-2590,-8,-25,-728,20,-75,108
