,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,-2030,19549,-14301,-5990,-5188,2342,-4079,0,187,-1573,-3193,-25
3,2022-01-04,18680,-1459,-17874,-5551,-1932,-8200,-1072,0,-1108,-10,569,83
4,2022-01-05,39388,-1469,-38317,-6516,-6699,-16910,-3690,-24,-4356,-122,237,162
5,2022-01-06,7672,-3420,-4270,-1867,-2123,1300,-497,-27,-1057,0,39,-20
6,2022-01-07,-475,1234,-800,-1614,-1094,3738,-2175,0,346,0,-25,65
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,4040,1276,-5042,-1336,-3349,1250,-405,0,-1202,0,-244,-31
10,2022-01-11,1917,-5150,3250,-1242,-308,5497,-500,0,-197,0,-82,65
11,2022-01-12,-7131,-2827,10088,3713,154,5894,753,0,-437,11,-133,3
12,2022-01-13,19227,-14623,-5077,-16,-407,-1600,-1491,-21,-1556,15,404,69
13,2022-01-14,8158,-5486,-4708,-2380,-1233,1235,-1662,0,-629,-39,1999,36
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,-2592,742,-520,-1024,-85,1872,-1301,-11,38,-8,2394,-24
17,2022-01-18,815,1880,-2420,-590,-376,2707,-3622,0,-539,0,-333,59
18,2022-01-19,-1732,5124,-2258,-526,-974,2139,-1523,-104,-1219,-51,-1198,65
19,2022-01-20,-5415,-10674,16978,1132,4368,9795,999,0,699,-15,-841,-48
20,2022-01-21,39,-7121,7699,-1621,4137,5021,-1273,27,1345,63,-561,-56
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,-7974,-3056,11306,4497,-50,7516,-751,0,94,0,-247,-29
24,2022-01-25,5053,-3364,-1869,-856,79,4171,-5407,0,144,0,123,57
25,2022-01-26,-5155,1156,4072,893,557,4578,-1711,0,-245,0,-11,-62
26,2022-01-27,8855,-9268,293,334,18,2438,-1715,0,-783,0,63,57
27,2022-01-28,5129,-5664,472,121,42,3526,-2659,1,-558,0,-51,114
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,17065,36588,-49258,-13218,-14009,5400,-28246,0,2856,-2041,-4460,66
34,2022-02-04,-9596,6646,5863,-4136,-2012,16975,-5094,0,128,0,-2920,8
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,11897,-14096,2353,-4676,-1621,8952,-136,0,-166,0,-298,143
38,2022-02-08,-11893,5441,6860,-2992,1598,12899,-4743,0,166,-68,-240,-168
39,2022-02-09,19044,-24316,5062,319,-461,8217,-2847,0,-40,-127,51,159
40,2022-02-10,-12838,9216,3812,-3617,853,7762,-1391,0,204,0,-97,-93
41,2022-02-11,6671,-8489,1567,-2360,-60,7318,-2896,0,-435,0,238,13
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,-8330,-869,8631,-398,594,7928,353,0,150,5,621,-54
45,2022-02-15,271,-5244,5052,238,51,5262,-515,0,15,0,-61,-16
46,2022-02-16,-4311,-4741,9195,919,555,7987,-1029,0,965,-201,-125,-19
47,2022-02-17,-2010,-4788,7526,-285,2475,7423,-2438,42,233,75,-777,48
48,2022-02-18,-14370,4203,12315,-1426,583,11177,872,0,1110,-2,-2128,-20
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,-591,-8799,7516,-764,-435,8452,-128,0,392,0,1954,-80
52,2022-02-22,-5659,-1880,7906,-2246,-52,8227,1549,0,435,-7,-311,-57
53,2022-02-23,70,-1907,1641,371,590,1149,-704,1,374,-141,111,85
54,2022-02-24,737,-2629,1862,-1816,10,5944,-2545,0,269,0,66,-36
55,2022-02-25,-17238,10757,7743,1031,732,6182,-67,0,-100,-35,-1113,-149
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,-14077,9916,5061,-3120,-279,10356,-1786,0,-107,-2,-870,-29
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,4231,-7082,2955,-2526,-3,5521,-158,0,126,-5,-81,-23
61,2022-03-03,6645,1231,-4700,-2535,-845,1185,-1447,0,264,-1321,-3207,31
62,2022-03-04,6293,-1193,-5946,-2361,55,-2473,-1237,0,69,0,24,822
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,18740,-7111,-12084,-4377,-2218,-4598,-845,0,-45,0,409,46
66,2022-03-08,19088,-12364,-7285,-1595,-228,-3032,-1692,0,-737,0,271,291
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,-8665,345,8599,3847,4462,147,836,0,-513,-180,-119,-160
69,2022-03-11,154,725,-2053,-2677,1388,1138,-1962,0,60,0,1163,11
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,-3844,454,3340,-451,320,3204,283,0,-15,0,40,10
73,2022-03-15,-3076,-1220,4892,-339,1558,3284,313,0,76,0,-547,-49
74,2022-03-16,-6852,-49,6802,1042,554,3065,2103,0,38,0,130,-31
75,2022-03-17,-9235,1727,7636,647,1756,2622,2495,0,194,-79,-161,33
76,2022-03-18,-8480,8284,838,-1004,-457,3351,-612,0,-439,0,-605,-37
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,7399,-4681,-2778,-1118,-2547,1317,83,0,-514,1,-62,122
80,2022-03-22,-1024,-113,1015,1659,-687,552,19,0,-527,0,114,8
81,2022-03-23,-3549,1995,1603,1098,56,-702,1185,0,-34,0,-44,-6
82,2022-03-24,5913,1000,-6886,-1681,-472,-3541,-43,0,-1149,0,-3,-24
83,2022-03-25,-5028,2469,2196,-933,-212,4031,-172,0,-517,0,359,3
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,1234,-873,-490,296,-55,42,-188,0,-586,0,131,-2
87,2022-03-29,-5659,4533,1626,1913,-100,328,-306,0,-209,0,-512,11
88,2022-03-30,-23870,20797,4323,3257,665,296,638,0,464,-998,-263,-987
89,2022-03-31,4769,-4833,183,1132,192,-1203,168,0,-105,0,-161,41
90,2022-04-01,12156,-4607,-7929,-3552,-59,-2726,-1099,0,-493,0,348,31
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,3150,683,-3598,-618,-149,16,-1199,0,-3,-1646,-138,-97
94,2022-04-05,46,3353,-3241,-1933,-641,-59,-108,0,-283,-217,-164,6
95,2022-04-06,13226,-5343,-8788,-4853,-393,436,-2492,0,-478,-1008,52,852
96,2022-04-07,7851,-4006,-3932,-1982,-127,-1344,-445,0,-34,0,42,46
97,2022-04-08,5151,-3593,-1508,42,-1164,57,-83,0,-361,0,-77,28
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,10912,-3892,-7261,-432,-1182,-3987,-1189,0,-471,1,166,76
101,2022-04-12,-396,857,-319,-672,-357,-615,2640,-20,-1295,0,-138,-4
102,2022-04-13,257,-742,1170,958,354,844,-544,0,-443,0,-692,7
103,2022-04-14,-3068,-142,3245,-149,920,4066,-1256,0,-347,12,-16,-19
104,2022-04-15,2609,-3146,461,-2934,-1269,5052,-366,0,-22,0,63,13
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,5621,-3878,-3214,-502,-917,276,-2051,0,-20,0,1454,17
108,2022-04-19,1171,-637,-468,697,-1090,-126,-629,0,495,185,-87,20
109,2022-04-20,11030,962,-11837,-3015,-1370,-1662,-4856,0,-933,0,-217,62
110,2022-04-21,14652,-5052,-9625,2091,-2166,-2868,-5494,0,-1188,0,-78,103
111,2022-04-22,3805,2568,-6502,-3693,-222,-277,-1552,-22,-735,0,123,5
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,2228,-1303,-1411,-578,-446,1331,-678,-11,-1029,0,440,45
115,2022-04-26,-3060,7011,-3958,886,-1365,-2510,-701,0,-267,0,1,6
116,2022-04-27,2572,-1986,-632,-224,-30,1161,-1384,0,-154,-1,31,14
117,2022-04-28,3945,975,-4988,-378,-979,-1224,-2196,0,-212,0,46,22
118,2022-04-29,-1424,2417,-1058,728,-1518,1098,-809,0,-514,-43,12,52
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,4445,1971,-6699,-1649,-1003,-2004,-1035,0,-1008,0,264,19
122,2022-05-03,14309,12088,-23164,-7690,767,-2304,-12135,-58,105,-1850,-3015,-217
123,2022-05-04,3501,5543,-8523,-1087,-157,-2419,-3981,0,-778,-100,-575,54
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,22308,-13475,-8183,-824,-2459,2059,-5695,0,-1162,-101,-746,96
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,9312,-352,-8955,-1850,143,-4007,-2748,-2,-243,-249,-37,33
129,2022-05-10,2946,764,-3086,1274,147,-649,-3866,0,-88,95,-582,-41
130,2022-05-11,3505,-4947,1333,-1635,-674,580,3540,0,-477,-1,60,49
131,2022-05-12,7119,1367,-7723,-505,-931,-751,-5383,0,-149,-4,-803,40
132,2022-05-13,3386,-5829,2113,2136,-623,844,-161,0,-61,-21,320,10
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,201,-604,466,-690,72,185,918,0,-4,-14,-67,3
136,2022-05-17,-3535,-1060,4594,1925,-136,2541,-366,0,626,4,-1,1
137,2022-05-18,171,-2803,3038,-1807,720,2814,812,0,476,22,-604,197
138,2022-05-19,-1097,-2694,3815,-831,55,4878,-834,36,454,57,-37,13
139,2022-05-20,-13066,4955,8661,3143,1163,5183,-958,26,282,-178,-508,-41
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,-3920,-963,4960,1379,736,2336,108,0,391,9,-94,17
143,2022-05-24,-5264,4491,758,-1131,1122,1751,-2345,37,1241,83,-15,31
144,2022-05-25,-14305,8477,5839,1643,929,5049,-2279,0,600,-103,104,-115
145,2022-05-26,-3413,-2037,5140,-81,-4,5118,-267,0,375,-1,323,-13
146,2022-05-27,-6238,171,7091,2615,610,4893,-1650,0,624,0,-997,-27
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,-4947,186,4941,870,-390,5424,-927,0,-36,0,94,-274
150,2022-05-31,793,526,-1357,-3193,-1102,4268,-1008,0,-210,-112,17,21
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,-189,3184,-2939,-2066,-248,2623,-2398,0,-849,0,-56,0
153,2022-06-03,-2377,-945,2831,1642,408,414,-491,-1,819,40,483,8
154,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0
