,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,23375,-8986,-14448,-11948,149,-421,-1483,-45,-625,-74,-49,108
1,2022-01-04,-4434,11278,-7343,-11000,1662,-2426,4481,0,-74,15,471,28
2,2022-01-05,-102262,107473,-4508,-19703,6569,1672,4178,47,1754,975,-313,-390
3,2022-01-06,-9911,452,9232,-3645,4463,4058,5652,24,-1238,-82,288,-62
4,2022-01-07,-45384,40542,8871,-974,2337,239,7232,-5,42,0,-4009,-20
5,2022-01-10,51666,-24148,-27656,-7540,-2355,-8000,-9514,0,-246,0,262,-124
6,2022-01-11,4829,2143,-7344,-2822,-2333,424,-1280,0,-1334,0,351,21
7,2022-01-12,-10581,5081,5591,16994,-1620,-8766,-1271,-2,258,-3,6,-97
8,2022-01-13,24039,332,-24272,-15692,-4291,-289,50,0,-4051,0,-101,3
9,2022-01-14,21897,-13734,-8181,-6426,-897,-1420,700,194,-158,-173,24,-7
10,2022-01-17,33009,-12624,-20776,-1760,-2798,-13999,-19,46,-2343,98,294,97
11,2022-01-18,21450,-7176,-14213,-880,-1943,-6079,-4943,0,-331,-37,-251,191
12,2022-01-19,32077,-15464,-16349,-4433,-3186,-5018,-2725,-586,-396,-5,-250,-13
13,2022-01-20,31794,-23818,-8609,5360,-3598,298,-10273,79,-496,22,434,199
14,2022-01-21,49045,-20423,-27730,-1013,-3526,-19759,-41,51,-3441,0,-1057,166
15,2022-01-24,27791,-27161,-494,15527,-2131,-6557,-4168,-89,-2473,-603,-115,-21
16,2022-01-25,67376,-39596,-28716,-2995,-7855,-9938,-6050,-301,-1296,-282,782,154
17,2022-01-26,12573,-8197,-3953,3886,2632,-8426,-1032,-2,-1012,0,-514,91
18,2022-01-27,-46665,57361,-10272,2277,6532,-15435,-4021,470,-992,897,-362,-61
19,2022-01-28,-37460,21068,16670,981,3272,219,10420,0,1801,-24,-210,-69
20,2022-02-03,-6151,19429,-12545,-2078,470,84,-10457,0,-564,0,-538,-194
21,2022-02-04,21728,-2954,-18752,-3522,-3034,-4660,-4025,0,-3524,14,27,-49
22,2022-02-07,79170,-52880,-25682,-9759,-2220,-12238,-734,0,-730,0,-841,233
23,2022-02-08,-10026,24580,-14532,-1835,-590,-9218,-1474,-37,-1473,95,75,-97
24,2022-02-09,-17132,19112,-1915,1774,-758,-608,-556,-6,-1767,5,-49,-16
25,2022-02-10,26759,-5746,-21053,-9713,-3783,-5029,-104,0,-2424,0,-4,44
26,2022-02-11,3840,4020,-8010,-3623,-777,-4525,688,198,106,-77,177,-27
27,2022-02-14,19413,-8008,-11601,93,-5822,-3700,-1436,0,-683,-54,137,59
28,2022-02-15,3618,-5812,1948,3052,-189,-455,-39,-35,-307,-78,157,89
29,2022-02-16,-18866,19220,-949,3675,-1067,-4342,1053,0,-268,0,691,-97
30,2022-02-17,-7568,11137,-676,1222,1088,-2376,264,-29,-790,-55,-2882,-10
31,2022-02-18,23336,-18527,-4837,649,-725,-3486,287,-5,-1528,-29,-11,39
32,2022-02-21,1158,-292,-394,-1064,-7,372,-296,-4,604,0,-452,-20
33,2022-02-22,15537,-3747,-12010,-3829,-1013,-6453,-428,-2,-255,-30,62,158
34,2022-02-23,1146,1532,-2565,1521,-2841,-411,284,0,-1116,-3,-177,64
35,2022-02-24,96808,-59844,-37975,-6788,-6010,-14328,-8168,45,-2505,-221,191,819
36,2022-02-25,16519,-7056,-7563,4665,-11072,982,198,-5,-2330,0,-1869,-30
37,2022-02-28,17483,14671,-32437,-4740,-6669,-21902,4883,36,-3937,-107,334,-52
38,2022-03-02,75497,-58050,-18169,-1297,-5173,-6273,-1612,-323,-3460,-31,529,193
39,2022-03-03,14659,-9713,-5400,2789,1588,-10376,-415,-2,1016,0,366,87
