,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-06-15,-3885,4,3871,922,1306,-2077,3592,0,340,-211,-52,61
1,2022-06-16,2140,-3032,533,-330,697,-165,313,0,-1,19,351,8
2,2022-06-17,9451,-7847,-1746,4045,-3152,2152,-4814,264,-241,0,120,22
3,2022-06-18,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-20,-1629,-846,2566,6196,-2121,759,-2281,0,13,0,-107,16
6,2022-06-21,-3348,-1623,4912,4950,-158,-3452,3019,12,541,0,53,6
7,2022-06-22,-208,-1267,1410,351,-178,-677,1840,0,74,0,40,25
8,2022-06-23,-8191,-7707,16273,12125,373,2838,434,-29,574,-40,-337,-39
9,2022-06-24,261,-772,628,6891,-2291,-1884,-812,-820,-413,-42,-102,-15
10,2022-06-25,0,0,0,0,0,0,0,0,0,0,0,0
11,2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0
12,2022-06-27,-6777,5340,679,-3162,1491,-2772,4937,20,171,-7,785,-27
13,2022-06-28,-2707,-2856,3556,95,477,-501,2617,39,805,25,1980,27
14,2022-06-29,9903,-2497,-7746,-5180,-2070,-2644,3209,32,-1092,0,341,0
15,2022-06-30,-5567,3631,2190,-2543,419,1409,1473,0,1432,0,-130,-124
16,2022-07-01,-8047,-1376,8518,580,296,7156,-1379,23,1841,0,903,3
17,2022-07-02,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-07-03,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-07-04,-4054,-3342,7227,5995,1075,-2163,1609,0,723,-11,191,-21
20,2022-07-05,-1014,-221,1288,78,912,-352,-192,42,842,-42,-29,-25
21,2022-07-06,19934,-2660,-17263,-5897,-128,-6411,-4667,-7,-137,-16,-68,57
22,2022-07-07,6156,-7540,1534,1160,-454,1321,-441,23,-59,-15,-160,9
23,2022-07-08,-33131,29931,3344,-2114,2888,557,821,66,1185,-59,-29,-115
24,2022-07-09,0,0,0,0,0,0,0,0,0,0,0,0
25,2022-07-10,0,0,0,0,0,0,0,0,0,0,0,0
26,2022-07-11,141,-2868,2760,-438,2049,260,945,0,-54,-2,-33,0
27,2022-07-12,-4982,-4289,7441,-1162,1356,4548,358,33,1186,1121,1939,-109
28,2022-07-13,-22907,-3115,26425,5694,4415,7058,6304,8,2948,-2,-316,-88
29,2022-07-14,-9676,-4115,13864,-12313,13834,8643,1592,33,2075,0,-63,-10
30,2022-07-15,213,-5160,4903,-3418,1904,5419,154,1,819,25,56,-12
31,2022-07-16,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-07-17,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-07-18,-6321,368,5738,-3126,1860,3462,2792,213,523,13,235,-18
34,2022-07-19,-26109,11120,15173,-2526,4057,10386,2483,2,772,0,-116,-68
35,2022-07-20,-11970,12400,-214,-1740,525,1477,403,-24,-855,0,-163,-53
36,2022-07-21,-8899,5227,3831,-4498,715,-1396,8131,0,1214,-334,-118,-41
37,2022-07-22,-2765,-609,3412,-622,3,4443,-263,0,-127,-22,-28,-9
38,2022-07-23,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,0
40,2022-07-25,-35825,11192,25730,5324,4904,10464,1190,-27,3947,-71,-869,-228
41,2022-07-26,-6496,1577,5313,1362,1305,2953,-584,-45,324,-2,-369,-26
42,2022-07-27,-3131,-251,3643,2777,921,-962,-140,629,419,0,-259,-2
43,2022-07-28,-9709,5593,4530,33,1692,-1393,4129,0,60,8,-498,84
44,2022-07-29,-9900,2367,11355,2806,4594,150,3705,-460,552,9,-3704,-119
45,2022-07-30,0,0,0,0,0,0,0,0,0,0,0,0
46,2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0
47,2022-08-01,-2391,4075,-1425,-550,-4,-1123,1364,-435,-626,-51,-264,5
48,2022-08-02,-8399,14624,-6239,-3936,-2203,2606,-3243,-339,789,86,39,-25
49,2022-08-03,-20966,23011,-1677,-435,508,501,-640,0,-1611,0,-345,-23
50,2022-08-04,927,5148,-6311,-4469,-610,1045,-2916,-29,688,-22,256,-19
51,2022-08-05,8258,4334,-12568,580,-4542,-2031,-6009,33,-607,8,-35,10
52,2022-08-06,0,0,0,0,0,0,0,0,0,0,0,0
53,2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0
54,2022-08-08,-5580,9392,-3008,-2486,-404,1590,-1183,37,-563,0,-796,-7
55,2022-08-09,718,6164,-6967,2830,-3390,-67,-5131,0,-1209,0,65,20
56,2022-08-10,-4366,9638,-5300,-1328,-694,-744,-2194,0,-339,0,38,-10
57,2022-08-11,-2162,-2655,4712,6844,-275,-1355,25,0,-527,0,110,-5
58,2022-08-12,-3479,-8199,11736,5816,2298,2807,168,-18,665,0,-113,56
59,2022-08-13,0,0,0,0,0,0,0,0,0,0,0,0
