,time
sec_historical.pkl,2023-10-16 16:03:19.610657
lgenergy_historical.pkl,2023-10-16 16:03:33.010400
skhynix_historical.pkl,2023-10-16 16:03:46.500798
ssbio_historical.pkl,2023-10-16 16:04:00.141786
sdi_historical.pkl,2023-10-16 16:04:13.429979
lgchemical_historical.pkl,2023-10-16 16:04:26.764565
secpre_historical.pkl,2023-10-16 16:04:40.120165
hyunmotor_historical.pkl,2023-10-16 16:04:53.658876
naver_historical.pkl,2023-10-16 16:05:07.055619
kia_historical.pkl,2023-10-16 16:05:20.518640
kakao_historical.pkl,2023-10-16 16:05:33.959872
poscoholding_historical.pkl,2023-10-16 16:05:47.262102
kbbank_historical.pkl,2023-10-16 16:06:00.685808
sscnt_historical.pkl,2023-10-16 16:06:14.237448
celltrion_historical.pkl,2023-10-16 16:06:27.729730
mobis_historical.pkl,2023-10-16 16:06:41.083693
shgroup_historical.pkl,2023-10-16 16:06:54.526936
lgelec_historical.pkl,2023-10-16 16:07:07.996360
poscochemical_historical.pkl,2023-10-16 16:07:21.526221
skinnovation_historical.pkl,2023-10-16 16:07:35.198299
ktng_historical.pkl,2023-10-16 16:07:48.916240
kt_historical.pkl,2023-10-16 16:08:02.223046
lg_historical.pkl,2023-10-16 16:08:15.855488
sk_historical.pkl,2023-10-16 16:08:29.121772
sslife_historical.pkl,2023-10-16 16:08:42.718120
hana_historical.pkl,2023-10-16 16:08:56.054084
sselec_historical.pkl,2023-10-16 16:09:09.605641
koreaelec_historical.pkl,2023-10-16 16:09:23.248263
doosanener_historical.pkl,2023-10-16 16:09:36.768810
koreazinc_historical.pkl,2023-10-16 16:09:50.131671
sktelecom_historical.pkl,2023-10-16 16:10:03.322448
hmm_historical.pkl,2023-10-16 16:10:16.990631
ssfire_historical.pkl,2023-10-16 16:10:30.238647
lglife_historical.pkl,2023-10-16 16:10:43.609919
soil_historical.pkl,2023-10-16 16:10:57.102677
crafton_historical.pkl,2023-10-16 16:11:10.607318
sds_historical.pkl,2023-10-16 16:11:23.971831
hhi_historical.pkl,2023-10-16 16:11:38.163338
koreanair_historical.pkl,2023-10-16 16:11:51.690063
ncsoft_historical.pkl,2023-10-16 16:12:05.047470
hanhwasol_historical.pkl,2023-10-16 16:12:18.422475
woorifg_historical.pkl,2023-10-16 16:12:31.875496
amore_historical.pkl,2023-10-16 16:12:45.243126
lottechem_historical.pkl,2023-10-16 16:12:58.527605
ibk_historical.pkl,2023-10-16 16:13:11.749152
meritz_historical.pkl,2023-10-16 16:13:25.005175
kakaopay_historical.pkl,2023-10-16 16:13:38.176468
lginnotek_historical.pkl,2023-10-16 16:13:51.406334
ssengineering_historical.pkl,2023-10-16 16:14:04.602610
skietech_historical.pkl,2023-10-16 16:14:18.183671
glovis_historical.pkl,2023-10-16 16:14:31.660038
skbio_historical.pkl,2023-10-16 16:14:45.141411
