,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-06-15,-5046,-4587,-1119,3085,271,-4414,85,-59,-33,-55,10718,35
1,2022-06-16,1342,-7348,1628,-110,-48,1174,485,99,12,17,4379,-1
2,2022-06-17,-25097,10222,14680,8676,1331,2905,1060,114,592,0,200,-4
3,2022-06-18,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-20,-12194,3373,8836,6254,879,1435,-14,0,282,0,-14,0
6,2022-06-21,-9204,3287,5788,6674,666,-2774,225,0,417,580,129,1
7,2022-06-22,-21792,11344,10860,3588,1549,2827,244,-5,2649,9,-381,-32
8,2022-06-23,-40959,-6947,49079,15608,9897,19237,2274,-389,2459,-7,-1125,-49
9,2022-06-24,-78948,8726,70685,12056,6311,42581,6815,-11,2977,-44,-189,-275
10,2022-06-25,0,0,0,0,0,0,0,0,0,0,0,0
11,2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0
12,2022-06-27,-38100,-2429,39605,-4037,9366,24501,4723,82,4830,140,968,-45
13,2022-06-28,-10578,4889,7221,-2425,2739,6690,-1254,32,1809,-371,-1428,-104
14,2022-06-29,-16789,14693,2206,-5378,1474,8255,-3505,0,1371,-12,-97,-13
15,2022-06-30,-30692,11038,19276,-6651,11450,11690,1214,0,1549,24,385,-7
16,2022-07-01,-7869,1810,5738,-2045,5621,-501,187,-1,2469,8,334,-12
17,2022-07-02,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-07-03,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-07-04,-18898,-3409,21932,7104,1286,13496,202,0,-127,-30,426,-50
20,2022-07-05,-23334,6273,18653,1251,3662,7853,5276,4,624,-18,-1548,-44
21,2022-07-06,-45416,-1792,47179,-3612,8689,26758,5269,66,9897,111,236,-207
22,2022-07-07,-11062,-11664,22768,3216,4532,10825,1636,0,2497,62,-4,-38
23,2022-07-08,9797,12371,-25977,-19730,-2032,2674,-8498,-26,1663,-28,3767,43
24,2022-07-09,0,0,0,0,0,0,0,0,0,0,0,0
25,2022-07-10,0,0,0,0,0,0,0,0,0,0,0,0
26,2022-07-11,-28541,17294,11502,3001,1052,5929,-506,24,2006,-6,-227,-28
27,2022-07-12,-10159,4538,5832,-1566,928,7223,-2150,0,1277,119,-219,8
28,2022-07-13,-23890,6221,17713,9129,1410,8269,-1636,0,542,-1,1,-44
29,2022-07-14,2516,652,-2974,-1546,-1424,2459,-2929,0,520,-53,-92,-102
30,2022-07-15,3326,8470,-15916,-10681,-1582,3604,-7670,0,413,0,3972,148
31,2022-07-16,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-07-17,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-07-18,10143,6535,-17582,-11109,-3891,33,-954,-37,-1573,-52,1033,-129
34,2022-07-19,-100,3352,-3210,-2735,265,-705,-109,0,75,0,-51,10
35,2022-07-20,-3692,3270,576,-468,-717,834,1546,0,-626,6,-80,-73
36,2022-07-21,1345,9474,-11120,-3701,-4106,872,-3462,5,-738,10,295,6
37,2022-07-22,739,-3267,-1727,-1456,-1421,3645,-2509,0,15,0,4245,10
38,2022-07-23,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,0
40,2022-07-25,-20190,5975,14136,7506,498,4666,1055,0,299,113,177,-98
41,2022-07-26,485,-2048,1616,-953,1071,1239,320,0,-62,0,-41,-12
42,2022-07-27,-28959,14460,14760,6402,-45,3847,4172,0,384,0,-193,-68
43,2022-07-28,-8336,-1262,12853,8233,-499,3293,1915,0,-97,8,-3312,58
44,2022-07-29,-6129,-5158,11433,6537,474,5595,-1375,0,197,5,-136,-10
45,2022-07-30,0,0,0,0,0,0,0,0,0,0,0,0
46,2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0
47,2022-08-01,13112,-9052,-4200,-5232,-1020,4324,-2231,0,-47,5,105,36
48,2022-08-02,5902,-1649,-4419,-6807,814,5102,-3159,0,-347,-23,141,26
49,2022-08-03,3426,-3146,-102,-2278,-1687,2274,245,0,1153,191,-114,-65
50,2022-08-04,-20029,-83,20186,-1729,1548,13862,5156,0,1346,2,82,-156
51,2022-08-05,-73797,30289,44207,10846,5774,13655,8618,146,5037,130,-411,-289
52,2022-08-06,0,0,0,0,0,0,0,0,0,0,0,0
53,2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0
54,2022-08-08,-46825,22372,24938,-8373,6389,17860,4331,0,4776,-45,-358,-128
55,2022-08-09,-64217,33403,29963,-6913,12057,15212,6688,447,2486,-14,1229,-378
56,2022-08-10,-7356,7689,943,-678,783,3992,-2724,0,-429,-1,-1103,-172
57,2022-08-11,-4909,-2009,6128,9023,2552,1887,-4952,0,-2361,-21,755,36
58,2022-08-12,4332,-1404,-3063,346,-78,-2854,-53,-38,-358,-29,199,-64
59,2022-08-13,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-08-14,0,0,0,0,0,0,0,0,0,0,0,0
61,2022-08-15,0,0,0,0,0,0,0,0,0,0,0,0
62,2022-08-16,-23107,16951,6311,2738,761,2986,-172,0,-2,0,-59,-96
63,2022-08-17,-8581,8313,620,1695,-19,-830,-76,0,-121,-27,-198,-155
64,2022-08-18,34736,-16767,-17972,-8936,-4262,583,-3806,0,-1463,-88,-119,122
65,2022-08-19,4443,2587,-6628,-4,-680,-3011,-2729,0,-203,0,-458,56
66,2022-08-20,0,0,0,0,0,0,0,0,0,0,0,0
67,2022-08-21,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-08-22,-1475,1098,-5,-2941,352,1483,892,0,216,-7,347,35
69,2022-08-23,-7001,4041,3369,7832,-737,1198,-4600,0,-237,-87,-410,1
70,2022-08-24,6207,-2550,-3831,-3207,-241,1403,-1867,0,80,1,84,90
71,2022-08-25,-5290,-1477,7056,2518,-541,3760,1427,0,-104,-4,-156,-133
72,2022-08-26,26670,-13596,-13526,-3335,-4568,-2955,-2062,0,-558,-49,-41,493
73,2022-08-27,0,0,0,0,0,0,0,0,0,0,0,0
74,2022-08-28,0,0,0,0,0,0,0,0,0,0,0,0
75,2022-08-29,-9610,20004,-10311,-3574,-629,-4199,-1489,-54,-436,71,16,-99
76,2022-08-30,-3982,4309,-180,-1109,-307,991,10,17,400,-182,31,-178
77,2022-08-31,2790,-950,-1827,-2827,-447,1034,-55,0,375,94,-31,18
78,2022-09-01,1598,3569,-5404,-8141,-10,2441,-649,-4,960,0,221,15
79,2022-09-02,4919,269,-5131,-3385,288,-1076,-346,0,-393,-219,-67,9
80,2022-09-03,0,0,0,0,0,0,0,0,0,0,0,0
81,2022-09-04,0,0,0,0,0,0,0,0,0,0,0,0
82,2022-09-05,-4851,11009,-5960,2621,-9,-369,-8466,85,178,0,-138,-60
83,2022-09-06,-3289,2997,340,-550,466,823,-430,39,-8,0,-9,-39
84,2022-09-07,-3748,3865,386,2971,-1407,-410,-266,71,-557,-16,-524,21
85,2022-09-08,-2869,9000,-6051,271,-6676,-2680,2792,-6,247,0,-89,10
86,2022-09-09,0,0,0,0,0,0,0,0,0,0,0,0
87,2022-09-10,0,0,0,0,0,0,0,0,0,0,0,0
88,2022-09-11,0,0,0,0,0,0,0,0,0,0,0,0
