,date,open,high,low,close,close_cr,vol
0,2022-06-15,54300.0,54400.0,53500.0,54000.0,-1.46,47780.0
1,2022-06-16,54500.0,54700.0,52800.0,52800.0,-2.22,86426.0
2,2022-06-17,51900.0,52800.0,51300.0,52100.0,-1.33,77606.0
3,2022-06-18,,,,,,
4,2022-06-19,,,,,,
5,2022-06-20,52600.0,52800.0,51100.0,51400.0,-1.34,45424.0
6,2022-06-21,51400.0,51500.0,50600.0,50800.0,-1.17,64653.0
7,2022-06-22,51000.0,51200.0,48500.0,48650.0,-4.23,107161.0
8,2022-06-23,48000.0,49050.0,47750.0,47900.0,-1.54,101018.0
9,2022-06-24,47900.0,49500.0,47500.0,49000.0,2.3,83447.0
10,2022-06-25,,,,,,
11,2022-06-26,,,,,,
12,2022-06-27,49200.0,49450.0,48000.0,48900.0,-0.2,72924.0
13,2022-06-28,49150.0,49600.0,48900.0,49400.0,1.02,77071.0
14,2022-06-29,48900.0,48950.0,48100.0,48100.0,-2.63,46450.0
15,2022-06-30,48300.0,48850.0,47700.0,48150.0,0.1,79801.0
16,2022-07-01,49050.0,49050.0,47850.0,48200.0,0.1,55262.0
17,2022-07-02,,,,,,
18,2022-07-03,,,,,,
19,2022-07-04,47950.0,48400.0,46400.0,46950.0,-2.59,57266.0
20,2022-07-05,47400.0,47500.0,46700.0,47300.0,0.75,53431.0
21,2022-07-06,46850.0,47250.0,45150.0,45650.0,-3.49,76460.0
22,2022-07-07,45950.0,46650.0,45050.0,46050.0,0.88,64833.0
23,2022-07-08,46150.0,47500.0,45600.0,47000.0,2.06,61016.0
24,2022-07-09,,,,,,
25,2022-07-10,,,,,,
26,2022-07-11,46700.0,47200.0,46400.0,46850.0,-0.32,31599.0
27,2022-07-12,46200.0,46400.0,45800.0,46100.0,-1.6,33430.0
28,2022-07-13,46150.0,46550.0,45000.0,45300.0,-1.74,65465.0
29,2022-07-14,44950.0,45950.0,44450.0,45350.0,0.11,64393.0
30,2022-07-15,44650.0,44800.0,43300.0,44050.0,-2.87,88338.0
31,2022-07-16,,,,,,
32,2022-07-17,,,,,,
33,2022-07-18,45050.0,46400.0,44800.0,46150.0,4.77,63483.0
34,2022-07-19,46200.0,46850.0,45650.0,46300.0,0.33,38594.0
35,2022-07-20,47550.0,49100.0,47500.0,48500.0,4.75,90741.0
36,2022-07-21,48350.0,48800.0,47350.0,48650.0,0.31,62756.0
37,2022-07-22,48250.0,48400.0,47500.0,47750.0,-1.85,75628.0
38,2022-07-23,,,,,,
39,2022-07-24,,,,,,
40,2022-07-25,47550.0,48250.0,47500.0,47850.0,0.21,35967.0
41,2022-07-26,47550.0,48100.0,47500.0,47700.0,-0.31,23334.0
42,2022-07-27,47150.0,47750.0,46900.0,47700.0,0.0,38186.0
43,2022-07-28,47900.0,48450.0,47500.0,47650.0,-0.1,50691.0
44,2022-07-29,48000.0,48500.0,47750.0,48450.0,1.68,60521.0
45,2022-07-30,,,,,,
46,2022-07-31,,,,,,
47,2022-08-01,48350.0,48600.0,47700.0,47950.0,-1.03,43762.0
48,2022-08-02,47950.0,47950.0,47250.0,47500.0,-0.94,46066.0
49,2022-08-03,47450.0,47850.0,47250.0,47700.0,0.42,35629.0
50,2022-08-04,47700.0,48200.0,47650.0,48100.0,0.84,49116.0
51,2022-08-05,48500.0,50900.0,48100.0,50400.0,4.78,92958.0
52,2022-08-06,,,,,,
53,2022-08-07,,,,,,
54,2022-08-08,50400.0,50900.0,49650.0,50600.0,0.4,45434.0
55,2022-08-09,50700.0,51300.0,50300.0,50900.0,0.59,29718.0
56,2022-08-10,51100.0,51400.0,50100.0,50800.0,-0.2,37354.0
57,2022-08-11,51900.0,52400.0,51300.0,52200.0,2.76,84564.0
58,2022-08-12,52900.0,53400.0,51600.0,52200.0,0.0,60753.0
59,2022-08-13,,,,,,
60,2022-08-14,,,,,,
61,2022-08-15,,,,,,
62,2022-08-16,52400.0,52700.0,51600.0,51800.0,-0.77,77397.0
63,2022-08-17,52100.0,52400.0,51500.0,51900.0,0.19,36025.0
64,2022-08-18,51300.0,51600.0,50600.0,50700.0,-2.31,49462.0
65,2022-08-19,50700.0,51200.0,50100.0,50800.0,0.2,53996.0
66,2022-08-20,,,,,,
67,2022-08-21,,,,,,
68,2022-08-22,50000.0,50200.0,49000.0,49750.0,-2.07,47767.0
69,2022-08-23,49300.0,49600.0,48800.0,49000.0,-1.51,52000.0
70,2022-08-24,49800.0,50500.0,49550.0,50400.0,2.86,58587.0
71,2022-08-25,50800.0,51100.0,50100.0,50300.0,-0.2,36457.0
72,2022-08-26,50200.0,50700.0,49900.0,50100.0,-0.4,35954.0
73,2022-08-27,,,,,,
74,2022-08-28,,,,,,
75,2022-08-29,49350.0,49700.0,49100.0,49200.0,-1.8,29122.0
76,2022-08-30,49500.0,49850.0,49200.0,49600.0,0.81,27355.0
77,2022-08-31,48900.0,49750.0,48750.0,49450.0,-0.3,64545.0
78,2022-09-01,48950.0,49100.0,47600.0,47750.0,-3.44,58324.0
79,2022-09-02,47850.0,47850.0,47050.0,47150.0,-1.26,45896.0
80,2022-09-03,,,,,,
81,2022-09-04,,,,,,
82,2022-09-05,47750.0,48700.0,47400.0,48100.0,2.01,40766.0
83,2022-09-06,48350.0,48500.0,47800.0,48150.0,0.1,23995.0
84,2022-09-07,47400.0,47750.0,46400.0,46850.0,-2.7,60458.0
85,2022-09-08,47400.0,48200.0,47200.0,48200.0,2.88,56422.0
86,2022-09-09,,,,,,
87,2022-09-10,,,,,,
88,2022-09-11,,,,,,
89,2022-09-12,,,,,,
90,2022-09-13,49000.0,50300.0,48700.0,49950.0,3.63,75385.0
91,2022-09-14,48900.0,50100.0,48600.0,49800.0,-0.3,46507.0
92,2022-09-15,49850.0,50300.0,49400.0,49600.0,-0.4,36081.0
93,2022-09-16,49400.0,50100.0,49250.0,50100.0,1.01,79340.0
94,2022-09-17,,,,,,
95,2022-09-18,,,,,,
96,2022-09-19,50200.0,50300.0,49400.0,49600.0,-1.0,40261.0
97,2022-09-20,50300.0,50300.0,49500.0,49950.0,0.71,71347.0
98,2022-09-21,49400.0,50300.0,48750.0,48800.0,-2.3,54592.0
99,2022-09-22,48500.0,49050.0,48300.0,49050.0,0.51,48840.0
100,2022-09-23,48950.0,49500.0,48650.0,49400.0,0.71,42871.0
101,2022-09-24,,,,,,
102,2022-09-25,,,,,,
103,2022-09-26,48400.0,49000.0,46400.0,46450.0,-5.97,103725.0
104,2022-09-27,46600.0,46800.0,44150.0,44500.0,-4.2,136367.0
105,2022-09-28,44500.0,45050.0,43100.0,44350.0,-0.34,85637.0
106,2022-09-29,44500.0,45150.0,44250.0,44250.0,-0.23,77792.0
107,2022-09-30,44500.0,44900.0,43400.0,43700.0,-1.24,59135.0
108,2022-10-01,,,,,,
109,2022-10-02,,,,,,
110,2022-10-03,,,,,,
111,2022-10-04,44500.0,45300.0,44050.0,44700.0,2.29,58033.0
112,2022-10-05,45550.0,46550.0,45400.0,46500.0,4.03,88381.0
113,2022-10-06,46550.0,46800.0,45800.0,45800.0,-1.51,40421.0
114,2022-10-07,44950.0,46200.0,44500.0,45900.0,0.22,38210.0
115,2022-10-08,,,,,,
116,2022-10-09,,,,,,
117,2022-10-10,,,,,,
118,2022-10-11,45750.0,45900.0,44500.0,44650.0,-2.72,54945.0
119,2022-10-12,44150.0,44800.0,43900.0,44550.0,-0.22,52454.0
120,2022-10-13,44700.0,45600.0,44500.0,44700.0,0.34,62295.0
121,2022-10-14,45550.0,47100.0,45550.0,46750.0,4.59,62366.0
122,2022-10-15,,,,,,
123,2022-10-16,,,,,,
124,2022-10-17,46000.0,46950.0,45800.0,45900.0,-1.82,58543.0
125,2022-10-18,46500.0,47600.0,46350.0,47350.0,3.16,58983.0
126,2022-10-19,47700.0,48150.0,47400.0,47900.0,1.16,79208.0
