,date,open,high,low,close,close_cr,vol
0,2022-06-15,265500.0,266000.0,259000.0,261500.0,-0.76,73877.0
1,2022-06-16,263500.0,270000.0,263500.0,267500.0,2.29,80571.0
2,2022-06-17,260000.0,265000.0,259500.0,262500.0,-1.87,164565.0
3,2022-06-18,,,,,,
4,2022-06-19,,,,,,
5,2022-06-20,264000.0,264000.0,250500.0,252500.0,-3.81,89249.0
6,2022-06-21,253500.0,255000.0,248500.0,250500.0,-0.79,55067.0
7,2022-06-22,252500.0,252500.0,241000.0,242500.0,-3.19,90791.0
8,2022-06-23,240000.0,241000.0,233500.0,234000.0,-3.51,103414.0
9,2022-06-24,234000.0,239500.0,229500.0,238000.0,1.71,77472.0
10,2022-06-25,,,,,,
11,2022-06-26,,,,,,
12,2022-06-27,240500.0,241000.0,233500.0,238000.0,0.0,70748.0
13,2022-06-28,238500.0,243000.0,238500.0,243000.0,2.1,62183.0
14,2022-06-29,237000.0,237500.0,233000.0,234000.0,-3.7,70940.0
15,2022-06-30,234000.0,235500.0,230500.0,230500.0,-1.5,75352.0
16,2022-07-01,234500.0,236500.0,230000.0,232500.0,0.87,69770.0
17,2022-07-02,,,,,,
18,2022-07-03,,,,,,
19,2022-07-04,233500.0,235000.0,226500.0,230000.0,-1.08,61084.0
20,2022-07-05,233000.0,239000.0,231000.0,238500.0,3.7,67933.0
21,2022-07-06,236000.0,236500.0,230000.0,230000.0,-3.56,75274.0
22,2022-07-07,232000.0,232500.0,227500.0,230000.0,0.0,61151.0
23,2022-07-08,232500.0,235500.0,231000.0,231000.0,0.43,48764.0
24,2022-07-09,,,,,,
25,2022-07-10,,,,,,
26,2022-07-11,231500.0,232000.0,228000.0,230000.0,-0.43,29988.0
27,2022-07-12,229500.0,229500.0,221000.0,223000.0,-3.04,56383.0
28,2022-07-13,223000.0,228500.0,223000.0,226500.0,1.57,42470.0
29,2022-07-14,223000.0,225000.0,222000.0,223000.0,-1.55,69388.0
30,2022-07-15,225000.0,228000.0,221500.0,224000.0,0.45,67009.0
31,2022-07-16,,,,,,
32,2022-07-17,,,,,,
33,2022-07-18,226000.0,227000.0,222000.0,226500.0,1.12,61617.0
34,2022-07-19,226500.0,230500.0,225500.0,230000.0,1.55,62624.0
35,2022-07-20,234000.0,234000.0,230500.0,232000.0,0.87,46257.0
36,2022-07-21,230000.0,235000.0,228000.0,235000.0,1.29,60526.0
37,2022-07-22,235500.0,236500.0,232500.0,234000.0,-0.43,39383.0
38,2022-07-23,,,,,,
39,2022-07-24,,,,,,
40,2022-07-25,233500.0,236000.0,232500.0,234500.0,0.21,80114.0
41,2022-07-26,234500.0,236000.0,233000.0,235500.0,0.43,24395.0
42,2022-07-27,235500.0,237000.0,234000.0,236500.0,0.42,43661.0
43,2022-07-28,238500.0,239500.0,237000.0,238500.0,0.85,42712.0
44,2022-07-29,237500.0,243000.0,237500.0,242000.0,1.47,73920.0
45,2022-07-30,,,,,,
46,2022-07-31,,,,,,
47,2022-08-01,245000.0,245000.0,238500.0,240000.0,-0.83,65934.0
48,2022-08-02,240000.0,240500.0,234500.0,236000.0,-1.67,65659.0
49,2022-08-03,234500.0,237500.0,232500.0,235500.0,-0.21,63969.0
50,2022-08-04,237000.0,239000.0,232500.0,233000.0,-1.06,100614.0
51,2022-08-05,234500.0,241000.0,233000.0,239500.0,2.79,88436.0
52,2022-08-06,,,,,,
53,2022-08-07,,,,,,
54,2022-08-08,239500.0,241000.0,236500.0,240000.0,0.21,43316.0
55,2022-08-09,245500.0,249000.0,243000.0,246000.0,2.5,78140.0
56,2022-08-10,247500.0,251500.0,246000.0,248500.0,1.02,77873.0
57,2022-08-11,251500.0,258000.0,250000.0,257000.0,3.42,96693.0
58,2022-08-12,257000.0,261500.0,255500.0,259500.0,0.97,78822.0
59,2022-08-13,,,,,,
60,2022-08-14,,,,,,
61,2022-08-15,,,,,,
62,2022-08-16,263500.0,266500.0,257000.0,258000.0,-0.58,96138.0
63,2022-08-17,260000.0,265500.0,257500.0,258000.0,0.0,90202.0
64,2022-08-18,255000.0,257000.0,252000.0,256000.0,-0.78,67008.0
65,2022-08-19,256500.0,256500.0,251500.0,255000.0,-0.39,65063.0
66,2022-08-20,,,,,,
67,2022-08-21,,,,,,
68,2022-08-22,252000.0,253500.0,248000.0,249000.0,-2.35,74227.0
69,2022-08-23,246500.0,250500.0,244500.0,248000.0,-0.4,69095.0
70,2022-08-24,246000.0,248000.0,243000.0,245500.0,-1.01,65518.0
71,2022-08-25,247000.0,250500.0,245500.0,250500.0,2.04,58041.0
72,2022-08-26,252500.0,254000.0,247500.0,249000.0,-0.6,59378.0
73,2022-08-27,,,,,,
74,2022-08-28,,,,,,
75,2022-08-29,241500.0,245500.0,240000.0,244000.0,-2.01,51070.0
76,2022-08-30,246500.0,255500.0,245000.0,254000.0,4.1,85736.0
