,date,open,high,low,close,close_cr,vol
0,2022-06-15,40600.0,41250.0,40250.0,40750.0,-0.49,43616.0
1,2022-06-16,41500.0,41600.0,40500.0,40550.0,-0.49,50787.0
2,2022-06-17,40200.0,40650.0,39600.0,40050.0,-1.23,59615.0
3,2022-06-18,,,,,,
4,2022-06-19,,,,,,
5,2022-06-20,39800.0,40400.0,39350.0,39750.0,-0.75,39613.0
6,2022-06-21,40250.0,40250.0,39300.0,39600.0,-0.38,39354.0
7,2022-06-22,39650.0,39650.0,37800.0,39050.0,-1.39,88923.0
8,2022-06-23,38350.0,39250.0,37650.0,37750.0,-3.33,89347.0
9,2022-06-24,37150.0,38750.0,37100.0,38700.0,2.52,49422.0
10,2022-06-25,,,,,,
11,2022-06-26,,,,,,
12,2022-06-27,38300.0,38850.0,37750.0,38500.0,-0.52,53162.0
13,2022-06-28,38400.0,39000.0,37950.0,39000.0,1.3,67954.0
14,2022-06-29,38450.0,38600.0,37700.0,37850.0,-2.95,50196.0
15,2022-06-30,37450.0,37900.0,36950.0,37050.0,-2.11,80874.0
16,2022-07-01,37450.0,38250.0,37100.0,37900.0,2.29,50458.0
17,2022-07-02,,,,,,
18,2022-07-03,,,,,,
19,2022-07-04,37550.0,37900.0,36700.0,37250.0,-1.72,47543.0
20,2022-07-05,37700.0,37800.0,36850.0,37300.0,0.13,44278.0
21,2022-07-06,36500.0,37000.0,35350.0,35450.0,-4.96,76181.0
22,2022-07-07,35100.0,35700.0,34550.0,35050.0,-1.13,71190.0
23,2022-07-08,35050.0,36400.0,34800.0,36250.0,3.42,60785.0
24,2022-07-09,,,,,,
25,2022-07-10,,,,,,
26,2022-07-11,35900.0,36400.0,35650.0,35850.0,-1.1,41536.0
27,2022-07-12,35500.0,35800.0,35200.0,35600.0,-0.7,43213.0
28,2022-07-13,36050.0,36050.0,34600.0,34600.0,-2.81,58259.0
29,2022-07-14,34550.0,34700.0,33900.0,34000.0,-1.73,63497.0
30,2022-07-15,33400.0,33800.0,32500.0,33400.0,-1.76,59162.0
31,2022-07-16,,,,,,
32,2022-07-17,,,,,,
33,2022-07-18,34050.0,35000.0,33850.0,34650.0,3.74,47415.0
34,2022-07-19,34550.0,35200.0,34350.0,34600.0,-0.14,28354.0
35,2022-07-20,35200.0,36000.0,35050.0,35550.0,2.75,61028.0
36,2022-07-21,35100.0,36000.0,34800.0,35850.0,0.84,40154.0
37,2022-07-22,35150.0,35800.0,35100.0,35650.0,-0.56,42187.0
38,2022-07-23,,,,,,
39,2022-07-24,,,,,,
40,2022-07-25,35750.0,36600.0,35600.0,36000.0,0.98,61685.0
41,2022-07-26,35800.0,36000.0,35600.0,35750.0,-0.69,35787.0
42,2022-07-27,35300.0,35900.0,35250.0,35650.0,-0.28,34557.0
43,2022-07-28,35550.0,36150.0,35400.0,35700.0,0.14,32911.0
44,2022-07-29,36100.0,36150.0,35650.0,35700.0,0.0,42153.0
45,2022-07-30,,,,,,
46,2022-07-31,,,,,,
47,2022-08-01,35700.0,35750.0,34850.0,35050.0,-1.82,48771.0
48,2022-08-02,35300.0,35400.0,34900.0,35150.0,0.29,32765.0
49,2022-08-03,35000.0,35250.0,34950.0,35250.0,0.28,22672.0
50,2022-08-04,35250.0,35450.0,35100.0,35450.0,0.57,28364.0
51,2022-08-05,35600.0,36300.0,35450.0,35850.0,1.13,45165.0
52,2022-08-06,,,,,,
53,2022-08-07,,,,,,
54,2022-08-08,35600.0,35950.0,35400.0,35950.0,0.28,67734.0
55,2022-08-09,36050.0,36350.0,35900.0,36150.0,0.56,34015.0
56,2022-08-10,35850.0,36150.0,35300.0,35800.0,-0.97,49639.0
57,2022-08-11,36150.0,36350.0,35900.0,36300.0,1.4,97793.0
58,2022-08-12,36400.0,36850.0,36000.0,36100.0,-0.55,42869.0
59,2022-08-13,,,,,,
60,2022-08-14,,,,,,
61,2022-08-15,,,,,,
62,2022-08-16,36450.0,36500.0,35650.0,35750.0,-0.97,42055.0
63,2022-08-17,35900.0,36300.0,35850.0,36050.0,0.84,30354.0
64,2022-08-18,35800.0,36050.0,35500.0,35500.0,-1.53,31888.0
65,2022-08-19,35550.0,35800.0,35350.0,35700.0,0.56,26728.0
66,2022-08-20,,,,,,
67,2022-08-21,,,,,,
68,2022-08-22,35500.0,35550.0,34800.0,35450.0,-0.7,32072.0
69,2022-08-23,35150.0,35450.0,35100.0,35300.0,-0.42,37673.0
70,2022-08-24,35500.0,36250.0,35350.0,36100.0,2.27,42030.0
71,2022-08-25,36200.0,36650.0,36100.0,36450.0,0.97,34419.0
72,2022-08-26,36450.0,36600.0,36150.0,36350.0,-0.27,30031.0
73,2022-08-27,,,,,,
74,2022-08-28,,,,,,
75,2022-08-29,35800.0,35900.0,35300.0,35500.0,-2.34,24125.0
76,2022-08-30,35700.0,36050.0,35400.0,35850.0,0.99,21617.0
77,2022-08-31,35400.0,36600.0,35200.0,36600.0,2.09,71391.0
78,2022-09-01,35900.0,36400.0,34900.0,34900.0,-4.64,57103.0
79,2022-09-02,34950.0,35050.0,34400.0,34600.0,-0.86,39081.0
80,2022-09-03,,,,,,
81,2022-09-04,,,,,,
82,2022-09-05,34800.0,35250.0,34550.0,34750.0,0.43,29196.0
83,2022-09-06,34800.0,34950.0,34400.0,34650.0,-0.29,22318.0
84,2022-09-07,34350.0,34450.0,33800.0,34250.0,-1.15,46277.0
85,2022-09-08,34700.0,35050.0,34250.0,35050.0,2.34,54581.0
86,2022-09-09,,,,,,
87,2022-09-10,,,,,,
88,2022-09-11,,,,,,
89,2022-09-12,,,,,,
90,2022-09-13,35300.0,36100.0,35300.0,36000.0,2.71,59079.0
91,2022-09-14,35050.0,35800.0,35050.0,35400.0,-1.67,30193.0
92,2022-09-15,35400.0,36200.0,35200.0,35800.0,1.13,31948.0
93,2022-09-16,35550.0,35950.0,35400.0,35900.0,0.28,42696.0
94,2022-09-17,,,,,,
95,2022-09-18,,,,,,
96,2022-09-19,35950.0,36150.0,35750.0,36100.0,0.56,30610.0
97,2022-09-20,36150.0,36700.0,36100.0,36550.0,1.25,54850.0
98,2022-09-21,36200.0,36700.0,36050.0,36150.0,-1.09,31171.0
99,2022-09-22,36000.0,36100.0,35500.0,36050.0,-0.28,36594.0
100,2022-09-23,36300.0,36950.0,35900.0,36950.0,2.5,47910.0
101,2022-09-24,,,,,,
102,2022-09-25,,,,,,
103,2022-09-26,36750.0,36800.0,35250.0,35350.0,-4.33,61287.0
104,2022-09-27,35650.0,35850.0,34100.0,34500.0,-2.4,60528.0
105,2022-09-28,34200.0,34450.0,33100.0,34250.0,-0.72,50387.0
106,2022-09-29,34250.0,35100.0,34200.0,34300.0,0.15,43645.0
107,2022-09-30,34600.0,34700.0,33500.0,33500.0,-2.33,52880.0
108,2022-10-01,,,,,,
109,2022-10-02,,,,,,
110,2022-10-03,,,,,,
111,2022-10-04,33800.0,34850.0,33700.0,34500.0,2.99,42867.0
112,2022-10-05,34900.0,35350.0,34500.0,34900.0,1.16,52414.0
113,2022-10-06,34900.0,35100.0,34600.0,34700.0,-0.57,28141.0
114,2022-10-07,34450.0,35650.0,34400.0,35450.0,2.16,46770.0
115,2022-10-08,,,,,,
116,2022-10-09,,,,,,
117,2022-10-10,,,,,,
118,2022-10-11,35100.0,35350.0,34350.0,34650.0,-2.26,36189.0
119,2022-10-12,34450.0,35100.0,34350.0,34950.0,0.87,33539.0
120,2022-10-13,34800.0,35500.0,34750.0,34900.0,-0.14,51117.0
121,2022-10-14,35450.0,36250.0,35400.0,35700.0,2.29,41620.0
122,2022-10-15,,,,,,
123,2022-10-16,,,,,,
124,2022-10-17,35900.0,36450.0,35800.0,36200.0,1.4,44769.0
125,2022-10-18,36800.0,36950.0,36300.0,36750.0,1.52,35723.0
126,2022-10-19,37050.0,37650.0,36950.0,37050.0,0.82,45840.0
127,2022-10-20,36900.0,36950.0,36300.0,36550.0,-1.35,61830.0
128,2022-10-21,36250.0,36600.0,35700.0,36350.0,-0.55,53437.0
129,2022-10-22,,,,,,
130,2022-10-23,,,,,,
131,2022-10-24,36300.0,36700.0,35400.0,35700.0,-1.79,48429.0
132,2022-10-25,35900.0,36300.0,35500.0,35900.0,0.56,45230.0
133,2022-10-26,35800.0,36200.0,35000.0,35250.0,-1.81,56315.0
134,2022-10-27,35600.0,36000.0,35450.0,35950.0,1.99,42125.0
135,2022-10-28,36000.0,36650.0,35700.0,36600.0,1.81,44747.0
136,2022-10-29,,,,,,
137,2022-10-30,,,,,,
138,2022-10-31,36850.0,37050.0,36100.0,36300.0,-0.82,46769.0
139,2022-11-01,36700.0,37100.0,36300.0,36450.0,0.41,35217.0
140,2022-11-02,36050.0,36250.0,35800.0,36000.0,-1.23,52632.0
141,2022-11-03,35400.0,35800.0,34750.0,35550.0,-1.25,60221.0
142,2022-11-04,35550.0,36000.0,35350.0,35750.0,0.56,41850.0
143,2022-11-05,,,,,,
144,2022-11-06,,,,,,
145,2022-11-07,36300.0,36600.0,35800.0,36600.0,2.38,40465.0
146,2022-11-08,36950.0,37000.0,36050.0,36550.0,-0.14,40344.0
147,2022-11-09,36900.0,37600.0,36600.0,37400.0,2.33,62225.0
148,2022-11-10,37000.0,37550.0,36950.0,37550.0,0.4,60103.0
149,2022-11-11,38050.0,38200.0,37100.0,37200.0,-0.93,59183.0
150,2022-11-12,,,,,,
151,2022-11-13,,,,,,
152,2022-11-14,37100.0,37500.0,37000.0,37250.0,0.13,40385.0
153,2022-11-15,37450.0,37450.0,36550.0,36800.0,-1.21,33212.0
154,2022-11-16,36700.0,37000.0,36200.0,36650.0,-0.41,44576.0
155,2022-11-17,36800.0,36800.0,35850.0,35850.0,-2.18,35860.0
156,2022-11-18,35900.0,36650.0,35550.0,36300.0,1.26,36506.0
157,2022-11-19,,,,,,
158,2022-11-20,,,,,,
159,2022-11-21,36350.0,36650.0,36100.0,36500.0,0.55,17516.0
160,2022-11-22,36200.0,36550.0,36150.0,36450.0,-0.14,20106.0
161,2022-11-23,36450.0,36600.0,36050.0,36400.0,-0.14,30625.0
162,2022-11-24,36400.0,37050.0,36350.0,37050.0,1.79,31140.0
163,2022-11-25,37200.0,37300.0,36500.0,36550.0,-1.35,26415.0
164,2022-11-26,,,,,,
165,2022-11-27,,,,,,
166,2022-11-28,36450.0,36550.0,36050.0,36300.0,-0.68,23475.0
167,2022-11-29,36450.0,37500.0,36200.0,37350.0,2.89,35861.0
168,2022-11-30,37350.0,38100.0,37100.0,38100.0,2.01,73273.0
169,2022-12-01,38300.0,38500.0,38000.0,38350.0,0.66,41965.0
170,2022-12-02,37950.0,38350.0,37750.0,38100.0,-0.65,56601.0
171,2022-12-03,,,,,,
172,2022-12-04,,,,,,
173,2022-12-05,37900.0,38350.0,37600.0,38200.0,0.26,35854.0
174,2022-12-06,38100.0,38500.0,37850.0,37900.0,-0.79,39247.0
175,2022-12-07,37900.0,37900.0,37200.0,37250.0,-1.72,41392.0
176,2022-12-08,37450.0,37750.0,37000.0,37400.0,0.4,93111.0
177,2022-12-09,37700.0,38650.0,37600.0,38000.0,1.6,79417.0
178,2022-12-10,,,,,,
179,2022-12-11,,,,,,
180,2022-12-12,38000.0,38750.0,37850.0,38500.0,1.32,38236.0
181,2022-12-13,38450.0,38650.0,37950.0,38350.0,-0.39,37938.0
182,2022-12-14,38600.0,38600.0,37850.0,38050.0,-0.78,37379.0
183,2022-12-15,37850.0,38000.0,37400.0,37700.0,-0.92,26219.0
184,2022-12-16,37300.0,37600.0,37200.0,37450.0,-0.66,32974.0
185,2022-12-17,,,,,,
186,2022-12-18,,,,,,
187,2022-12-19,37300.0,37900.0,37300.0,37500.0,0.13,28829.0
188,2022-12-20,37700.0,38100.0,37550.0,37800.0,0.8,21957.0
189,2022-12-21,38100.0,38250.0,37750.0,37950.0,0.4,20431.0
190,2022-12-22,37850.0,37900.0,37350.0,37900.0,-0.13,35165.0
191,2022-12-23,37900.0,38100.0,37450.0,37550.0,-0.92,23679.0
192,2022-12-24,,,,,,
193,2022-12-25,,,,,,
194,2022-12-26,37550.0,37650.0,37150.0,37200.0,-0.93,24866.0
195,2022-12-27,37500.0,37750.0,37150.0,37600.0,1.08,54988.0
196,2022-12-28,36700.0,36700.0,35750.0,35900.0,-4.52,45444.0
197,2022-12-29,35500.0,35900.0,35200.0,35200.0,-1.95,36599.0
