,date,open,high,low,close,close_cr,vol
0,2021-12-27,144000,145500,142000,142000,-1.39,173238
1,2021-12-28,142500,144000,141500,142000,0.0,362036
2,2021-12-29,145000,145000,142000,142500,0.35,248666
3,2021-12-30,142500,144500,141000,144000,1.05,226547
4,2022-01-03,144000,145000,142500,143500,-0.35,164792
5,2022-01-04,144500,145000,142000,142000,-1.05,170073
6,2022-01-05,141500,142000,137000,138000,-2.82,463124
7,2022-01-06,135500,138000,133000,134000,-2.9,385905
8,2022-01-07,133500,135000,132500,133500,-0.37,256719
9,2022-01-10,133000,133500,128000,130500,-2.25,301408
10,2022-01-11,130500,131500,126000,126500,-3.07,363145
11,2022-01-12,128000,133500,128000,132500,4.74,296466
12,2022-01-13,134500,136000,131500,132000,-0.38,266952
13,2022-01-14,130500,131500,128000,130000,-1.52,167325
14,2022-01-17,129000,131000,127500,128000,-1.54,151445
15,2022-01-18,127500,130000,126500,126500,-1.17,134486
16,2022-01-19,124500,128500,124500,125500,-0.79,191283
17,2022-01-20,124500,127500,124500,127500,1.59,169339
18,2022-01-21,127500,129500,126000,127000,-0.39,200477
19,2022-01-24,128000,129000,123500,124000,-2.36,245197
20,2022-01-25,124000,125000,119500,120000,-3.23,321852
21,2022-01-26,119500,121000,116000,116500,-2.92,397808
22,2022-01-27,116000,116500,107000,108000,-7.3,744097
23,2022-01-28,106500,113000,103000,110500,2.31,717089
24,2022-02-03,113500,115000,112000,112000,1.36,244066
25,2022-02-04,111000,114000,110500,114000,1.79,140206
26,2022-02-07,114500,114500,109500,111500,-2.19,272587
27,2022-02-08,112000,114000,109500,111000,-0.45,234325
28,2022-02-09,112000,115500,111500,115500,4.05,198214
29,2022-02-10,116000,116500,113000,113000,-2.16,228366
30,2022-02-11,110000,114500,109500,113000,0.0,181686
31,2022-02-14,110000,111500,108000,109000,-3.54,218772
32,2022-02-15,108500,111000,107000,109000,0.0,154037
33,2022-02-16,111500,114500,111500,114500,5.05,158785
34,2022-02-17,115000,118500,112000,115000,0.44,333522
35,2022-02-18,112000,116500,111500,116000,0.87,176016
36,2022-02-21,113500,115500,112000,115000,-0.86,191523
37,2022-02-22,112500,114500,112000,113000,-1.74,184061
38,2022-02-23,113000,114000,112000,113500,0.44,160475
39,2022-02-24,112000,113500,108000,109500,-3.52,261491
40,2022-02-25,111500,114500,111500,114000,4.11,196547
41,2022-02-28,114000,114500,112000,113500,-0.44,188356
42,2022-03-02,114000,115000,112500,114500,0.88,214872
43,2022-03-03,116000,118000,115000,117500,2.62,193958
44,2022-03-04,117000,117000,114500,115000,-2.13,111903
45,2022-03-07,113000,113000,109500,111000,-3.48,323766
46,2022-03-08,111500,112500,102000,103000,-7.21,986148
47,2022-03-10,105500,106000,101500,104000,0.97,646089
