,date,open,high,low,close,close_cr,vol
0,2021-12-27,235500,237000,223000,223500,-6.49,1195128
1,2021-12-28,221500,229000,217500,221500,-0.89,1243688
2,2021-12-29,226500,228500,221500,223500,0.9,682878
3,2021-12-30,223000,226000,221500,225000,0.67,375440
4,2022-01-03,226500,231500,225000,229500,2.0,463985
5,2022-01-04,230500,230500,223000,223500,-2.61,395965
6,2022-01-05,221000,221500,215000,216500,-3.13,445165
7,2022-01-06,208000,209500,199500,200000,-7.62,945545
8,2022-01-07,200500,214500,200500,213000,6.5,606959
9,2022-01-10,217500,222500,213000,213000,0.0,457948
10,2022-01-11,218000,223500,214500,216500,1.64,516216
11,2022-01-12,225000,231000,212000,217000,0.23,1327318
12,2022-01-13,218500,219500,205500,206000,-5.07,768335
13,2022-01-14,197000,204000,193000,200000,-2.91,630455
14,2022-01-17,198500,203000,195500,196500,-1.75,353208
15,2022-01-18,197000,199500,186500,188500,-4.07,640060
16,2022-01-19,183500,188500,179500,186000,-1.33,625592
17,2022-01-20,185000,191500,182500,190000,2.15,375658
18,2022-01-21,188500,195500,183500,185000,-2.63,374643
19,2022-01-24,183000,184000,175500,178000,-3.78,477707
20,2022-01-25,178500,180000,171500,172000,-3.37,480678
21,2022-01-26,172000,176000,168000,169000,-1.74,492527
22,2022-01-27,169500,170500,159500,161000,-4.73,693085
23,2022-01-28,160500,168000,157500,165000,2.48,554638
24,2022-02-03,171500,175500,165500,168500,2.12,589379
25,2022-02-04,167500,178000,165500,174500,3.56,567077
26,2022-02-07,177000,178500,169000,170000,-2.58,370775
27,2022-02-08,172000,174000,163500,166000,-2.35,804066
28,2022-02-09,167000,168500,160000,163500,-1.51,713025
29,2022-02-10,166000,171000,162000,162500,-0.61,615315
30,2022-02-11,159500,163000,155000,156000,-4.0,608022
31,2022-02-14,150500,163000,150000,162500,4.17,647197
32,2022-02-15,161000,161000,145500,146000,-10.15,957367
33,2022-02-16,150500,152000,148500,150000,2.74,427076
34,2022-02-17,149000,151500,145500,148000,-1.33,587166
35,2022-02-18,146000,151500,144500,150500,1.69,354226
36,2022-02-21,148000,151500,147000,151000,0.33,252509
37,2022-02-22,148500,149000,144000,146500,-2.98,377898
38,2022-02-23,147500,151000,147000,147000,0.34,249206
39,2022-02-24,145500,145500,136500,137000,-6.8,616558
40,2022-02-25,141000,144500,138500,140500,2.55,477433
41,2022-02-28,140500,148500,139500,146000,3.91,405870
42,2022-03-02,146000,149000,145000,145500,-0.34,239797
43,2022-03-03,146500,151000,145500,149000,2.41,375934
44,2022-03-04,149000,149000,144000,146000,-2.01,268851
45,2022-03-07,144000,149000,142500,147000,0.68,285075
46,2022-03-08,144500,147000,144000,145500,-1.02,210525
47,2022-03-10,148500,150000,147500,150000,3.09,290955
48,2022-03-11,150000,155000,147000,148000,-1.33,416030
49,2022-03-14,148000,150500,146500,147000,-0.68,291019
50,2022-03-15,149000,149500,135000,136000,-7.48,685159
51,2022-03-16,138000,138500,134000,137500,1.1,281901
52,2022-03-17,141000,143000,138000,138000,0.36,418899
53,2022-03-18,139500,155500,139000,148000,7.25,1311009
54,2022-03-21,147000,152500,143500,149000,0.68,898460
55,2022-03-22,151000,151000,145000,145000,-2.68,498627
56,2022-03-23,147500,155000,146500,155000,6.9,856547
57,2022-03-24,153000,156500,152000,155500,0.32,421195
58,2022-03-25,156000,158500,153000,154500,-0.64,325756
59,2022-03-28,154500,157500,150000,150000,-2.91,332938
60,2022-03-29,151000,153000,150000,150500,0.33,199412
61,2022-03-30,152500,158000,152000,156000,3.65,452257
62,2022-03-31,161000,162000,155000,157000,0.64,544251
63,2022-04-01,155500,156000,151500,153000,-2.55,284080
64,2022-04-04,150500,156000,149500,155500,1.63,256076
65,2022-04-05,154500,158500,154500,155000,-0.32,187263
66,2022-04-06,150500,152500,146500,147500,-4.84,495899
67,2022-04-07,144500,146500,143500,143500,-2.71,253351
68,2022-04-08,144500,146000,141000,143000,-0.35,181976
69,2022-04-11,141500,142500,138500,139500,-2.45,182036
70,2022-04-12,137500,140500,135500,136000,-2.51,291305
71,2022-04-13,136500,140000,136000,138500,1.84,174853
72,2022-04-14,140000,141500,138000,138000,-0.36,139884
73,2022-04-15,136500,137000,131000,134000,-2.9,337201
74,2022-04-18,139000,141000,134000,135000,0.75,389069
75,2022-04-19,134500,137000,134000,136500,1.11,175717
76,2022-04-20,137500,137500,134000,134000,-1.83,206533
