,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,6191,5286,-11039,-3405,-1308,-5218,-120,6,-994,0,-537,99
1,2022-01-04,3393,12943,-16168,-5793,-594,-8000,-1694,0,-93,6,-167,-1
2,2022-01-05,-12586,9455,2966,-5935,1689,7490,-198,0,-80,1,419,-253
3,2022-01-06,-7297,12235,-4597,-3377,595,-1375,-161,0,-285,5,-344,3
4,2022-01-07,19466,-12945,-6063,-2195,-304,-2799,-229,0,-536,0,-445,-14
5,2022-01-10,-1961,931,952,-1439,-561,2562,39,0,352,0,-61,138
6,2022-01-11,1717,2480,-4752,-679,-793,-3324,-50,0,93,0,557,-3
7,2022-01-12,7498,1635,-9079,3265,-2497,-8357,-413,0,-944,-132,-64,10
8,2022-01-13,-1997,-709,4001,1878,143,3139,177,0,-1337,0,-1283,-11
9,2022-01-14,-2454,5712,-3121,-2965,76,232,-146,1,-215,-103,-128,-9
10,2022-01-17,1938,771,-2781,688,22,-3392,77,0,-178,0,0,72
11,2022-01-18,-2406,68,2346,-323,1669,475,394,0,132,0,-4,-6
12,2022-01-19,1596,-9113,7827,1368,2865,3566,1,-167,194,0,-292,-19
13,2022-01-20,-4715,2835,2053,1049,35,766,241,0,-37,0,-171,-3
14,2022-01-21,-10117,9831,226,-1621,1482,241,593,0,-468,0,55,5
15,2022-01-24,-1441,-5232,6605,6364,589,29,106,0,-564,80,94,-25
16,2022-01-25,-7433,-923,8760,-161,1093,6674,-19,968,231,-27,-303,-101
17,2022-01-26,-3867,-578,4630,1562,-162,2579,137,960,-446,0,-172,-13
18,2022-01-27,2474,5019,-7625,758,-2127,-5761,-487,971,-967,-11,156,-25
19,2022-01-28,-5359,7534,-2076,96,451,-4459,316,974,545,0,-94,-5
20,2022-02-03,-5085,-656,5494,-26,-714,5082,185,991,12,-35,230,17
21,2022-02-04,-1870,4195,-2398,-1238,172,-1005,-1204,960,-84,0,109,-37
22,2022-02-07,14990,-4840,-10667,-5002,-990,-2952,-392,4,-1336,0,485,33
23,2022-02-08,-5096,6837,-1462,763,-63,-1741,-366,0,-68,11,-272,-5
24,2022-02-09,-2088,2133,62,965,-1426,-791,991,0,323,0,-114,7
25,2022-02-10,8155,5481,-13504,-5597,-1597,-6757,632,0,-186,0,-53,-79
26,2022-02-11,14301,-11788,-2351,-1120,-1375,63,74,-13,74,-53,-218,56
27,2022-02-14,528,-3059,2481,1560,-106,748,102,0,128,48,40,11
28,2022-02-15,-5406,5865,-522,-2517,2447,-3017,-113,1918,645,116,61,1
29,2022-02-16,-6182,6698,-425,1628,178,-1529,-111,0,-462,-129,0,-91
30,2022-02-17,-5343,4698,644,442,117,-211,28,-19,276,11,9,-9
31,2022-02-18,2557,-1600,-923,177,-407,-604,-9,2,-81,0,-45,11
32,2022-02-21,2964,-1701,-1267,-476,-86,-681,-171,0,148,0,-1,4
33,2022-02-22,-1514,1590,-191,-1748,-13,-881,1077,1912,-163,-375,111,4
34,2022-02-23,-128,-323,322,1034,-114,-640,-155,0,260,-63,120,9
35,2022-02-24,4959,-5738,787,-1977,822,1562,95,2,283,0,-11,2
36,2022-02-25,4288,-5189,248,1976,-66,-1190,73,0,-517,-28,650,3
37,2022-02-28,-2634,5619,-3194,-1434,-818,-1167,579,-251,-103,0,218,-9
38,2022-03-02,-2651,5671,-3027,-706,-266,-908,-1790,494,152,-3,17,-11
39,2022-03-03,1773,-1219,-405,-126,548,2879,-3550,495,-650,0,-144,-5
40,2022-03-04,-16162,21270,-4875,-1387,-231,-3240,-115,-2,-218,318,-225,-9
41,2022-03-07,-4444,13826,-9377,-4215,-201,-3473,-1098,0,-390,0,5,-10
42,2022-03-08,-2160,1548,787,-335,1481,-435,-261,-18,365,-10,-171,-4
43,2022-03-10,-7007,11768,-3966,3341,506,-6265,-1372,0,-177,0,-797,1
44,2022-03-11,-3274,5687,-2390,-1889,-282,-576,-187,483,61,0,-35,12
45,2022-03-14,-26051,20706,5694,-574,1131,5143,-40,-11,47,-1,-274,-76
46,2022-03-15,2681,-4192,1477,-49,883,414,55,0,175,0,34,-1
47,2022-03-16,-382,1534,-1132,1471,308,-2956,49,203,-207,0,-25,4
48,2022-03-17,2509,378,-2957,633,-34,-884,-1828,-408,-435,0,73,-3
49,2022-03-18,-158,122,31,-1467,-62,1900,-8,201,-533,0,1,5
50,2022-03-21,8822,-9481,559,67,-11,1325,-561,34,-281,-14,70,30
51,2022-03-22,1181,-868,-301,3134,-335,-2579,-553,201,-168,0,6,-18
52,2022-03-23,-8216,10436,-2191,-192,-1205,5,-17,0,-782,0,-8,-21
53,2022-03-24,6183,-5443,-722,-3042,308,1914,56,0,54,-11,-17,-1
54,2022-03-25,4590,-4439,-163,-386,93,512,-191,0,-191,0,6,5
55,2022-03-28,-10389,4018,6117,-1361,617,6142,38,0,726,-44,6,248
56,2022-03-29,-10002,2305,7988,1952,-17,5859,43,0,151,0,-252,-39
57,2022-03-30,22941,444,-23278,544,-3498,-16741,-1120,-6,-2396,-61,59,-167
58,2022-03-31,-2579,5503,-2939,1386,258,-4689,19,0,62,26,17,-2
59,2022-04-01,-1135,8757,-7663,-4385,-223,-3915,-285,0,1145,0,1,41
60,2022-04-04,-18277,18679,-237,-6,280,-161,-352,0,3,-1,-114,-51
61,2022-04-05,3163,-794,-2576,-1942,149,35,-709,0,-115,6,210,-3
62,2022-04-06,2036,2744,-4877,-3222,244,-885,21,-982,-53,0,115,-17
63,2022-04-07,-5442,10413,-4960,-3111,414,-1329,-17,-981,64,0,46,-57
64,2022-04-08,-49036,45761,3275,3464,2645,-2044,94,-1364,471,9,66,-66
65,2022-04-11,-29892,22489,7481,-4424,7974,3527,2526,35,-2075,-82,-25,-53
66,2022-04-12,-11826,2840,9881,-1240,2904,5406,2851,-2,-137,100,-677,-218
67,2022-04-13,-4993,9201,-4144,2645,-2574,-3013,-392,-46,-452,-313,-51,-13
68,2022-04-14,12929,20657,-33445,2740,1348,-39933,2338,0,61,0,-154,13
69,2022-04-15,17794,23633,-41680,-2475,1159,-39838,-828,0,294,7,191,63
70,2022-04-18,-4778,10230,-5478,-90,244,-4508,-1253,0,129,0,-34,60
71,2022-04-19,-1561,5445,-3888,807,-248,-3355,-179,-513,-279,-121,14,-9
72,2022-04-20,-15695,27775,-11717,-7690,-211,-2492,-70,-985,-274,5,-344,-19
73,2022-04-21,-8708,18828,-9956,-2240,-1004,-3767,-1732,-1029,-185,0,-152,-12
74,2022-04-22,-123,11150,-11045,-6148,-100,-2475,-1136,-982,-204,0,10,9
75,2022-04-25,10493,-6983,-3530,-4832,438,-114,1209,-1,-232,1,5,16
76,2022-04-26,7173,9786,-17038,-649,-1024,-12609,-886,-41,-1752,-76,59,19
77,2022-04-27,39817,-871,-38912,-1050,-5467,-25466,-3333,0,-3385,-211,-65,31
78,2022-04-28,17730,-6874,-11896,2375,-2023,-9245,-1077,-12,-1887,-27,1012,27
