,date,open,high,low,close,close_cr,vol
0,2022-06-15,791000.0,805000.0,783000.0,790000.0,0.77,48412.0
1,2022-06-16,805000.0,814000.0,801000.0,807000.0,2.15,47480.0
2,2022-06-17,795000.0,832000.0,795000.0,832000.0,3.1,206809.0
3,2022-06-18,,,,,,
4,2022-06-19,,,,,,
5,2022-06-20,825000.0,826000.0,807000.0,822000.0,-1.2,43728.0
6,2022-06-21,830000.0,830000.0,815000.0,821000.0,-0.12,31758.0
7,2022-06-22,818000.0,825000.0,810000.0,817000.0,-0.49,55479.0
8,2022-06-23,815000.0,829000.0,812000.0,820000.0,0.37,81162.0
9,2022-06-24,829000.0,834000.0,821000.0,831000.0,1.34,81554.0
10,2022-06-25,,,,,,
11,2022-06-26,,,,,,
12,2022-06-27,833000.0,833000.0,805000.0,806000.0,-3.01,59241.0
13,2022-06-28,809000.0,815000.0,801000.0,815000.0,1.12,36041.0
14,2022-06-29,812000.0,815000.0,799000.0,801000.0,-1.72,37701.0
15,2022-06-30,803000.0,806000.0,790000.0,790000.0,-1.37,46194.0
16,2022-07-01,799000.0,803000.0,773000.0,781000.0,-1.14,80719.0
17,2022-07-02,,,,,,
18,2022-07-03,,,,,,
19,2022-07-04,782000.0,794000.0,775000.0,791000.0,1.28,62067.0
20,2022-07-05,793000.0,805000.0,790000.0,805000.0,1.77,40535.0
21,2022-07-06,795000.0,810000.0,794000.0,800000.0,-0.62,50468.0
22,2022-07-07,808000.0,817000.0,802000.0,817000.0,2.13,44918.0
23,2022-07-08,816000.0,820000.0,810000.0,819000.0,0.24,39636.0
24,2022-07-09,,,,,,
25,2022-07-10,,,,,,
26,2022-07-11,818000.0,831000.0,815000.0,829000.0,1.22,51598.0
27,2022-07-12,829000.0,834000.0,815000.0,834000.0,0.6,53495.0
28,2022-07-13,834000.0,835000.0,828000.0,832000.0,-0.24,35615.0
29,2022-07-14,823000.0,829000.0,813000.0,825000.0,-0.84,47160.0
30,2022-07-15,826000.0,828000.0,813000.0,817000.0,-0.97,31801.0
31,2022-07-16,,,,,,
32,2022-07-17,,,,,,
33,2022-07-18,813000.0,817000.0,803000.0,810000.0,-0.86,37196.0
34,2022-07-19,824000.0,828000.0,812000.0,819000.0,1.11,38466.0
35,2022-07-20,823000.0,827000.0,817000.0,823000.0,0.49,29275.0
36,2022-07-21,820000.0,826000.0,812000.0,817000.0,-0.73,29367.0
37,2022-07-22,816000.0,830000.0,815000.0,829000.0,1.47,46300.0
38,2022-07-23,,,,,,
39,2022-07-24,,,,,,
40,2022-07-25,826000.0,833000.0,824000.0,829000.0,0.0,32219.0
41,2022-07-26,826000.0,829000.0,820000.0,828000.0,-0.12,23492.0
42,2022-07-27,829000.0,847000.0,828000.0,841000.0,1.57,70879.0
43,2022-07-28,844000.0,867000.0,844000.0,863000.0,2.62,93449.0
44,2022-07-29,868000.0,875000.0,862000.0,865000.0,0.23,53962.0
45,2022-07-30,,,,,,
46,2022-07-31,,,,,,
47,2022-08-01,857000.0,879000.0,856000.0,878000.0,1.5,55287.0
48,2022-08-02,882000.0,883000.0,860000.0,866000.0,-1.37,50351.0
49,2022-08-03,870000.0,875000.0,866000.0,871000.0,0.58,35199.0
50,2022-08-04,873000.0,876000.0,866000.0,875000.0,0.46,38016.0
51,2022-08-05,876000.0,899000.0,876000.0,895000.0,2.29,70254.0
52,2022-08-06,,,,,,
53,2022-08-07,,,,,,
54,2022-08-08,894000.0,900000.0,886000.0,900000.0,0.56,44268.0
55,2022-08-09,900000.0,904000.0,896000.0,902000.0,0.22,34695.0
56,2022-08-10,904000.0,910000.0,880000.0,892000.0,-1.11,39092.0
57,2022-08-11,897000.0,905000.0,897000.0,904000.0,1.35,64706.0
58,2022-08-12,905000.0,910000.0,890000.0,910000.0,0.66,35770.0
59,2022-08-13,,,,,,
60,2022-08-14,,,,,,
61,2022-08-15,,,,,,
62,2022-08-16,918000.0,922000.0,898000.0,905000.0,-0.55,33707.0
63,2022-08-17,907000.0,909000.0,870000.0,871000.0,-3.76,74784.0
64,2022-08-18,873000.0,881000.0,864000.0,875000.0,0.46,37123.0
65,2022-08-19,877000.0,879000.0,867000.0,868000.0,-0.8,25950.0
66,2022-08-20,,,,,,
67,2022-08-21,,,,,,
68,2022-08-22,861000.0,866000.0,846000.0,851000.0,-1.96,44745.0
69,2022-08-23,848000.0,849000.0,828000.0,829000.0,-2.59,57969.0
70,2022-08-24,830000.0,835000.0,822000.0,828000.0,-0.12,40759.0
71,2022-08-25,836000.0,845000.0,829000.0,845000.0,2.05,31594.0
72,2022-08-26,850000.0,855000.0,840000.0,847000.0,0.24,31648.0
73,2022-08-27,,,,,,
74,2022-08-28,,,,,,
75,2022-08-29,821000.0,834000.0,821000.0,829000.0,-2.13,36489.0
76,2022-08-30,836000.0,840000.0,821000.0,836000.0,0.84,37956.0
77,2022-08-31,828000.0,840000.0,825000.0,835000.0,-0.12,45255.0
78,2022-09-01,829000.0,833000.0,815000.0,826000.0,-1.08,42489.0
79,2022-09-02,826000.0,847000.0,823000.0,838000.0,1.45,50795.0
80,2022-09-03,,,,,,
81,2022-09-04,,,,,,
82,2022-09-05,838000.0,840000.0,810000.0,815000.0,-2.74,52667.0
83,2022-09-06,815000.0,822000.0,813000.0,816000.0,0.12,20312.0
84,2022-09-07,811000.0,817000.0,799000.0,811000.0,-0.61,53619.0
85,2022-09-08,820000.0,825000.0,809000.0,810000.0,-0.12,55274.0
86,2022-09-09,,,,,,
87,2022-09-10,,,,,,
88,2022-09-11,,,,,,
89,2022-09-12,,,,,,
90,2022-09-13,818000.0,843000.0,815000.0,841000.0,3.83,67030.0
91,2022-09-14,816000.0,836000.0,810000.0,828000.0,-1.55,57509.0
92,2022-09-15,829000.0,833000.0,805000.0,807000.0,-2.54,53938.0
93,2022-09-16,801000.0,806000.0,800000.0,802000.0,-0.62,32018.0
94,2022-09-17,,,,,,
95,2022-09-18,,,,,,
96,2022-09-19,800000.0,812000.0,796000.0,809000.0,0.87,31168.0
97,2022-09-20,816000.0,816000.0,800000.0,800000.0,-1.11,35948.0
98,2022-09-21,801000.0,801000.0,782000.0,786000.0,-1.75,44637.0
99,2022-09-22,780000.0,791000.0,772000.0,785000.0,-0.13,32984.0
100,2022-09-23,792000.0,792000.0,770000.0,770000.0,-1.91,34732.0
101,2022-09-24,,,,,,
102,2022-09-25,,,,,,
103,2022-09-26,762000.0,770000.0,756000.0,758000.0,-1.56,39054.0
104,2022-09-27,758000.0,760000.0,740000.0,754000.0,-0.53,39395.0
105,2022-09-28,747000.0,770000.0,745000.0,767000.0,1.72,70367.0
106,2022-09-29,790000.0,825000.0,789000.0,813000.0,6.0,146053.0
107,2022-09-30,814000.0,826000.0,804000.0,807000.0,-0.74,61438.0
108,2022-10-01,,,,,,
109,2022-10-02,,,,,,
110,2022-10-03,,,,,,
111,2022-10-04,817000.0,819000.0,800000.0,811000.0,0.5,35149.0
112,2022-10-05,820000.0,820000.0,806000.0,807000.0,-0.49,31297.0
113,2022-10-06,814000.0,817000.0,806000.0,812000.0,0.62,25146.0
114,2022-10-07,808000.0,819000.0,805000.0,811000.0,-0.12,42749.0
115,2022-10-08,,,,,,
116,2022-10-09,,,,,,
117,2022-10-10,,,,,,
