,date,open,high,low,close,close_cr,vol
0,2022-01-01,,,,,,
1,2022-01-02,,,,,,
2,2022-01-03,198500.0,200000.0,196500.0,198500.0,0.25,82767.0
3,2022-01-04,196500.0,199500.0,194000.0,194500.0,-2.02,128887.0
4,2022-01-05,193500.0,193500.0,187000.0,187500.0,-3.6,209928.0
5,2022-01-06,183000.0,186000.0,179000.0,181000.0,-3.47,191069.0
6,2022-01-07,182000.0,186000.0,181500.0,182500.0,0.83,94505.0
7,2022-01-08,,,,,,
8,2022-01-09,,,,,,
9,2022-01-10,183000.0,191500.0,180500.0,187000.0,2.47,163203.0
10,2022-01-11,190000.0,198500.0,189500.0,196500.0,5.08,204618.0
11,2022-01-12,197500.0,198500.0,193000.0,197000.0,0.25,87898.0
12,2022-01-13,197000.0,197500.0,192000.0,195000.0,-1.02,93438.0
13,2022-01-14,190500.0,191000.0,170000.0,171000.0,-12.31,451927.0
14,2022-01-15,,,,,,
15,2022-01-16,,,,,,
16,2022-01-17,165500.0,173000.0,159500.0,160000.0,-6.43,434471.0
17,2022-01-18,163000.0,167500.0,158500.0,159500.0,-0.31,251919.0
18,2022-01-19,156000.0,170000.0,155500.0,167000.0,4.7,250698.0
19,2022-01-20,165500.0,166500.0,161000.0,165000.0,-1.2,129467.0
20,2022-01-21,168500.0,170000.0,162000.0,163500.0,-0.91,123427.0
21,2022-01-22,,,,,,
22,2022-01-23,,,,,,
23,2022-01-24,162500.0,167500.0,161500.0,166500.0,1.83,102378.0
24,2022-01-25,167000.0,167000.0,157500.0,158500.0,-4.8,132297.0
25,2022-01-26,158000.0,161000.0,155500.0,156000.0,-1.58,91218.0
26,2022-01-27,156000.0,157000.0,147000.0,147500.0,-5.45,160821.0
27,2022-01-28,148500.0,153000.0,148500.0,151000.0,2.37,120053.0
28,2022-01-29,,,,,,
29,2022-01-30,,,,,,
30,2022-01-31,,,,,,
31,2022-02-01,,,,,,
32,2022-02-02,,,,,,
33,2022-02-03,153500.0,160500.0,153000.0,157000.0,3.97,108617.0
34,2022-02-04,157000.0,160500.0,154500.0,158500.0,0.96,56587.0
35,2022-02-05,,,,,,
36,2022-02-06,,,,,,
37,2022-02-07,162500.0,162500.0,156000.0,157000.0,-0.95,81174.0
38,2022-02-08,158500.0,164500.0,158000.0,162000.0,3.18,93112.0
39,2022-02-09,163000.0,163500.0,159000.0,160500.0,-0.93,62274.0
40,2022-02-10,161000.0,163500.0,160000.0,160500.0,0.0,63691.0
41,2022-02-11,162500.0,162500.0,158000.0,158500.0,-1.25,60133.0
42,2022-02-12,,,,,,
43,2022-02-13,,,,,,
44,2022-02-14,155000.0,162000.0,154500.0,158500.0,0.0,62225.0
45,2022-02-15,158000.0,159000.0,152000.0,153500.0,-3.15,92447.0
46,2022-02-16,156500.0,160500.0,155500.0,158000.0,2.93,76192.0
47,2022-02-17,159000.0,162500.0,154500.0,159500.0,0.95,97569.0
48,2022-02-18,157000.0,158500.0,155000.0,157500.0,-1.25,48476.0
49,2022-02-19,,,,,,
50,2022-02-20,,,,,,
