,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,8289,1221,-15560,-20413,1999,3959,-862,-21,-151,-70,6067,-18
3,2022-01-04,32639,-13134,-25438,-20645,157,-5450,-1039,1705,-238,72,5935,-2
4,2022-01-05,-42706,69246,-33186,-51258,10429,-1655,9108,38,193,-40,6701,-55
5,2022-01-06,-35424,8643,20714,-7682,7294,15266,4041,-71,1947,-80,5981,86
6,2022-01-07,-2698,-5585,2479,-7485,1068,3437,6438,-177,-820,18,5702,102
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,20278,-1400,-24982,-13092,-1456,-5360,-6598,0,1482,42,6043,61
10,2022-01-11,-7326,7362,-5836,-2550,-744,1273,-2608,0,-1208,0,5851,-50
11,2022-01-12,-13662,2809,4887,9408,-1689,-1516,-1217,-2,-111,14,6369,-403
12,2022-01-13,13838,7653,-27519,-11065,-3959,-8606,-1274,-406,-2209,0,6014,14
13,2022-01-14,-5537,12485,-13100,-11624,516,-2739,508,133,328,-223,5965,188
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,44887,-24262,-26481,-689,-4048,-4497,-16478,27,-799,4,5751,106
17,2022-01-18,24489,-9937,-20963,-3976,-1394,-3412,-11542,0,-640,0,6364,48
18,2022-01-19,22099,-6449,-20924,865,-2444,-12571,-5404,-672,-637,-61,5412,-138
19,2022-01-20,15158,-18981,-1775,9258,-2026,-7958,-401,2,-650,0,5600,-3
20,2022-01-21,21066,-1058,-23588,-3767,-1945,-12983,-2862,1,-2032,0,3495,84
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,18796,-28703,4081,19593,-322,-8900,-3423,72,-2246,-694,5893,-67
24,2022-01-25,43135,-31248,-22861,-12721,-5059,-6936,2776,-177,-726,-18,6492,4482
25,2022-01-26,70677,-66926,-15663,6201,-9570,-4684,-1709,0,-5912,11,11691,220
26,2022-01-27,28526,-26051,-8365,5241,-3612,-9518,-409,1799,-1846,-18,5820,70
27,2022-01-28,42762,-55050,4866,4431,-2943,-5530,7942,1,1029,-64,7131,291
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,-13695,-7033,15426,4743,3098,-1729,8075,1118,120,0,5364,-62
34,2022-02-04,52036,-44624,-13718,-3638,-2409,-5945,-187,124,-1663,0,6291,15
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,56263,-27127,-35485,-29416,-943,-5274,-128,1,275,0,6153,195
38,2022-02-08,70675,-85020,8834,11977,-2793,598,-47,88,-985,-4,5239,273
39,2022-02-09,38807,-35753,-8831,3919,-6213,-3862,-895,-642,-1133,-4,5721,56
40,2022-02-10,20569,-18507,-8306,6559,-2815,-6782,-4557,25,-668,-68,6010,233
41,2022-02-11,33178,-23677,-14963,-10467,-3804,-1310,874,-272,75,-59,5406,56
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,64136,-54702,-16417,-9417,-5536,1081,-2109,94,-558,28,6811,173
45,2022-02-15,-44485,24212,13586,6437,4734,1557,758,0,135,-36,6664,23
46,2022-02-16,12354,-20494,1036,2158,-960,-287,312,1,-189,0,7095,9
47,2022-02-17,-23995,13108,11145,6734,2579,-301,504,100,791,740,-181,-77
48,2022-02-18,2397,2150,-4505,235,128,-968,-3192,-2,-703,-3,2,-44
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,-12468,5972,6468,-2742,3825,-78,3326,-3,2140,0,10,17
52,2022-02-22,15822,-4479,-10945,-3813,-859,1324,-7849,-16,-634,902,-393,-5
53,2022-02-23,33911,-36756,1764,3280,-1641,3528,-2840,0,-1282,721,1029,51
54,2022-02-24,110269,-82121,-30077,-4455,-7681,-12383,-3794,-1135,-1237,606,1452,477
55,2022-02-25,3514,-11027,6128,10336,-8915,3629,-9,1727,-701,61,1192,192
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,15043,-8692,-8063,-5146,214,-4841,2625,-23,-893,0,1667,44
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,79818,-62603,-18626,-484,-5408,-7587,-1745,-514,-2883,-4,1311,100
61,2022-03-03,-28778,15635,12591,1367,1578,6393,1524,-1,1493,238,562,-10
62,2022-03-04,64524,-55862,-4956,-2306,-850,1249,-3578,0,529,1,-3774,68
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,100114,-82203,-18441,-11321,-208,-6937,-385,-164,334,241,338,192
66,2022-03-08,2227,-8003,5815,-1356,3275,1895,401,4,1680,-84,8,-47
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,55722,-59658,2099,16062,-2025,-12689,943,404,-679,84,1645,192
69,2022-03-11,17050,-1181,-16261,-9449,-2187,-2247,-2379,97,-35,-62,323,69
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,66313,-51775,-16804,-5542,-3013,-3294,-3735,194,-1337,-76,2154,112
73,2022-03-15,23842,-16045,-9056,-1509,-1911,-3849,-1520,123,-318,-71,1215,44
74,2022-03-16,-14990,14481,459,5222,-535,-6989,2974,211,-444,19,16,35
75,2022-03-17,16320,-22422,5648,8305,-725,-888,-216,46,-842,-33,404,50
76,2022-03-18,3970,28,-4170,-2709,-284,-1214,-873,113,798,0,124,48
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,22517,-10221,-12874,-3497,-1022,-8426,1269,-536,-876,214,427,151
80,2022-03-22,-54428,37059,16252,5621,3644,996,6643,-86,-537,-29,1142,-25
81,2022-03-23,-2371,-4552,6137,3306,972,-3170,5039,570,-580,0,730,55
82,2022-03-24,-2249,5799,-6243,-5093,1297,-2115,-920,253,400,-66,2695,-2
83,2022-03-25,15952,304,-14633,-6512,-67,-8362,6,492,-163,-28,-1671,49
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,-5667,11538,-4993,3217,-1878,-2684,-2572,2,-988,-89,-873,-6
87,2022-03-29,-4845,-995,11330,6189,-475,774,5598,18,-769,-5,-5469,-21
88,2022-03-30,-62963,34285,29262,6844,5478,3838,7494,20,5817,-229,-557,-27
89,2022-03-31,5983,-9473,3575,4362,619,-1074,237,0,-28,-541,-110,25
90,2022-04-01,16709,-144,-17635,-14372,-3023,2589,-453,-102,-2274,0,153,917
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,-1331,12518,-10807,572,-6052,-3925,-1322,117,-196,0,-341,-39
94,2022-04-05,-6610,11818,-4749,-3838,-921,80,627,0,-527,-171,-218,-241
95,2022-04-06,-24508,9404,15394,-6390,5335,6536,9544,72,301,-3,-193,-98
96,2022-04-07,-3959,-6205,10742,-6466,5885,5313,3533,424,2237,-183,-646,68
97,2022-04-08,8756,-4409,-3832,857,-214,-5079,867,-3,-259,0,-540,24
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,-19704,13664,6533,2551,808,1083,1658,39,684,-290,-486,-7
101,2022-04-12,828,2425,-3182,-7074,2616,-1709,568,629,1789,0,-43,-28
102,2022-04-13,-23276,-4666,28965,10491,3183,5546,8513,35,1029,167,-134,-890
103,2022-04-14,38668,-25248,-13664,22355,3935,-36225,-5358,376,1253,0,94,149
104,2022-04-15,17407,13044,-31324,-25984,-180,-3352,-2764,-8,965,0,854,19
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,-9469,11310,-1733,-1471,-271,-385,-82,14,463,0,-116,7
108,2022-04-19,-33596,15904,18102,5892,1544,8342,926,1,1397,0,-373,-37
109,2022-04-20,-44042,21579,20615,-3802,7983,6961,8424,6,1043,0,1943,-95
110,2022-04-21,-10019,202,10152,7942,192,-619,1810,18,230,579,-333,-1
111,2022-04-22,29097,-20989,-4874,-6772,1628,-16,-211,-335,841,-8,-3489,255
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,-29325,-24759,55802,-2013,13335,9783,31777,-314,3233,1,-1513,-205
115,2022-04-26,-159530,93565,63600,310,20308,35476,-1333,-595,9334,100,2452,-87
116,2022-04-27,-18441,-3010,23049,818,9921,11344,-5483,38,7284,-874,-1427,-172
117,2022-04-28,-14583,18696,-4125,-1745,1752,2892,-6721,6,-310,0,62,-49
118,2022-04-29,23160,-28446,5190,4327,600,920,-222,58,-492,0,50,46
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,-13819,4246,9312,583,2355,8721,-2518,4,167,0,167,94
122,2022-05-03,27028,-9754,-11247,-1172,-3128,-5182,-1047,-10,-708,0,-6138,110
123,2022-05-04,-977,2320,-1112,4489,-522,-3454,-295,-117,-845,-368,-166,-65
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,-4140,2942,1300,-3840,1837,1743,2197,-26,-611,0,-98,-4
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,-3839,6968,-3563,-2413,1180,-3765,2106,-47,-468,-156,461,-27
129,2022-05-10,6448,-8091,2251,2817,-123,-667,-724,35,955,-40,-559,-49
130,2022-05-11,-14426,3599,10646,-1535,2734,4437,3846,-7,1167,5,184,-4
131,2022-05-12,-620,6538,-5617,8516,21,-11942,-2655,-741,1314,-131,-438,138
132,2022-05-13,-25229,2615,24801,5243,4548,14559,999,46,-532,-60,-2003,-184
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,7848,-4390,-3849,-4952,-620,2230,-784,-6,604,-321,570,-179
136,2022-05-17,-9928,-2902,12444,10126,265,4023,-1674,-7,-193,-96,343,42
137,2022-05-18,9982,6467,-16342,-9087,-1989,-1868,-4053,859,-106,-98,-150,43
138,2022-05-19,9941,-1798,-7553,-12030,-1166,8666,-3761,509,269,-40,-650,60
139,2022-05-20,-30813,8456,22442,15967,594,3981,1858,-11,-20,73,-5,-80
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,-9136,-4826,13101,7969,357,1787,-26,1899,1085,30,-58,920
143,2022-05-24,7467,-981,-5816,-5084,563,-1430,-157,9,284,0,-525,-144
144,2022-05-25,2627,-6816,4636,9414,-379,-1800,-2652,-2,54,0,-467,19
145,2022-05-26,-9699,7746,2142,-2377,623,4194,-735,0,436,0,-200,12
146,2022-05-27,-15191,8357,6466,11010,-921,1809,-4937,-496,1,0,420,-53
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,-17216,6727,9974,8303,456,849,252,-13,52,75,534,-19
150,2022-05-31,-22517,36642,-17545,-15676,2395,-4906,118,5,123,397,3466,-47
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,8671,13412,-21521,-17378,-2183,-545,-1352,8,-70,0,-578,15
