,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,6636,443,-7031,-5058,-40,-1523,-276,-197,52,11,-110,61
3,2022-01-04,14236,-2308,-10442,-4511,-816,-3816,-148,1,-1158,6,-1551,65
4,2022-01-05,4929,854,-5203,-4167,-545,12,-124,0,-388,8,138,-719
5,2022-01-06,-1635,7264,-4359,-1238,200,-2878,195,-191,-449,2,-1342,72
6,2022-01-07,4633,16,-5457,-1224,-349,-3122,-309,-4,-402,-48,824,-15
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,266,203,-598,-394,35,-91,-72,0,-77,0,149,-19
10,2022-01-11,-4675,6060,-1685,487,85,-2731,-18,0,491,0,294,6
11,2022-01-12,3392,-1337,-1620,3504,-258,-3501,-104,4,-1265,0,-362,-74
12,2022-01-13,93,536,-725,606,-566,-361,-20,22,-406,0,83,14
13,2022-01-14,2835,1322,-4375,-2983,75,-502,-98,3,-733,-137,180,38
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,-5311,6610,-584,344,-490,256,-16,1,-679,0,-768,52
17,2022-01-18,1957,-1522,-794,-406,87,-375,-27,27,-155,53,184,175
18,2022-01-19,-11217,6439,5245,-1013,2502,-153,318,1433,2158,0,-423,-45
19,2022-01-20,-1191,-434,1643,1635,-342,-170,467,-2,54,0,-13,-5
20,2022-01-21,-3603,6193,-2116,-997,203,-3064,58,1895,-211,0,-460,-14
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,-1905,-1334,3350,5633,-4,-1513,51,0,-813,-4,-116,5
24,2022-01-25,1641,-614,-833,7,-124,-2513,-4,1872,-71,0,-242,47
25,2022-01-26,-7100,7781,-583,889,-465,-868,81,-2,-228,10,-102,4
26,2022-01-27,13111,2983,-16534,-607,-1199,-15461,-262,1926,-936,6,307,132
27,2022-01-28,3588,-379,-4115,135,272,-4862,95,1,245,0,922,-17
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,-4200,5427,-1066,98,230,-1328,-52,1,-9,-6,-3,-157
34,2022-02-04,-266,1318,-848,-1050,447,120,-716,0,114,237,-204,0
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,-531,7373,-6818,-5334,-16,-1902,70,5,359,0,-7,-18
38,2022-02-08,980,179,-1185,383,-519,-1273,-5,3,125,100,-30,56
39,2022-02-09,-1467,353,388,1340,43,-1027,-34,-3,69,0,771,-45
40,2022-02-10,-12671,19723,-6935,-3861,-853,-2286,45,15,43,-38,-47,-70
41,2022-02-11,-8391,7674,738,-1751,-235,2868,-85,8,-66,0,0,-21
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,-3689,-1041,4941,1131,-146,3311,583,0,-38,100,-207,-5
45,2022-02-15,-7682,1652,6029,478,-386,5282,290,8,357,0,-10,11
46,2022-02-16,-1500,440,1149,974,218,-228,258,0,-72,0,-40,-49
47,2022-02-17,-8559,6284,2493,363,604,1428,175,0,-78,0,-194,-23
48,2022-02-18,-10928,8578,3906,712,140,1790,1005,-4,262,0,-1545,-11
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,-1323,-1107,2478,-558,21,2599,-5,-5,425,0,-35,-13
52,2022-02-22,-3978,5777,-1003,-1518,88,1,-25,-55,508,-1,-793,-3
53,2022-02-23,1400,-4146,2981,767,273,2050,-554,7,438,0,-189,-47
54,2022-02-24,-1283,3905,-2584,-2082,315,-453,-280,-3,-75,-6,70,-108
55,2022-02-25,-1353,-621,1954,1424,-321,1621,-760,-6,-103,100,47,-27
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,2824,216,-3065,-1769,-316,-775,21,0,-190,-36,21,4
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,-4396,4548,-44,-149,14,94,-95,0,99,-7,-67,-41
61,2022-03-03,-2484,2356,311,-234,-391,561,-85,-1,58,401,-170,-14
62,2022-03-04,-9314,10071,-522,-1399,-60,-742,128,0,1196,355,-233,-2
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,-1995,5227,-2735,-2680,-157,-461,-182,2,742,0,-503,6
66,2022-03-08,-8265,10004,-881,-599,20,-371,-87,0,156,0,-865,6
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,270,-4656,4464,4078,-339,498,-119,0,346,0,-108,30
69,2022-03-11,6623,-3614,-3078,-980,-753,-739,-177,-6,-423,0,18,50
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,-18389,13543,5911,-10,98,5098,322,-3,406,0,-1008,-57
73,2022-03-15,-5592,4838,540,131,367,585,-384,-2,-156,0,218,-5
74,2022-03-16,-6374,5647,1110,1912,-188,792,-190,-996,-219,0,-372,-12
75,2022-03-17,-3136,-128,3229,6351,-415,-949,-103,-990,-665,0,60,-24
76,2022-03-18,422,866,-1278,559,-158,335,-213,-975,-826,0,-10,0
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,5466,-2448,-3043,6,-142,-1689,-27,-995,-185,-12,21,4
80,2022-03-22,1317,-2079,956,2091,39,38,3,-1039,-176,0,-195,0
81,2022-03-23,1044,-1321,333,1378,1084,1062,-2328,-46,-817,0,-47,-9
82,2022-03-24,-1750,3176,-1428,-2530,529,527,3,7,37,0,0,1
83,2022-03-25,2328,1937,-4371,-779,-1353,-1156,-758,-45,-280,0,110,-5
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,-1120,837,255,1208,-32,-397,-28,2,-498,0,0,28
87,2022-03-29,-2856,-260,3070,2920,-368,713,-157,-11,-27,0,54,-8
88,2022-03-30,100,-752,601,781,-125,349,36,-8,-432,0,47,5
89,2022-03-31,1179,-3115,2036,1035,588,783,-227,-2,-136,-4,-109,10
90,2022-04-01,-2896,8733,-5437,-4651,-288,-527,-95,3,121,0,-400,0
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,-6950,5236,1685,350,889,292,105,-4,52,0,40,-11
94,2022-04-05,-1884,3377,-1192,-1501,986,273,-15,-1,-933,0,-302,1
95,2022-04-06,-4579,2224,2302,-1467,3526,-549,320,-1,473,0,36,17
96,2022-04-07,-8635,9085,242,-2525,5031,-2520,180,-6,100,-16,-677,-15
97,2022-04-08,-10018,2663,7275,-983,3486,2474,-26,511,1829,-16,-69,150
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,-9136,4694,4684,281,2514,595,716,3,615,-38,-227,-14
101,2022-04-12,-2439,3096,-882,-1108,1009,-695,-33,0,-56,0,222,4
102,2022-04-13,696,875,-1592,1217,320,-3045,-2,-2,-79,0,18,3
103,2022-04-14,21185,-953,-20769,1938,211,-22411,-84,-12,-409,-3,496,41
104,2022-04-15,25827,1109,-27200,-3035,1707,-25473,-282,-502,285,100,182,82
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,-878,1542,-874,-19,1417,-2729,-38,-1,497,0,108,102
108,2022-04-19,-5762,2815,2859,386,758,-110,1642,1,193,-10,91,-4
109,2022-04-20,-3304,3441,-184,-3270,300,743,1784,6,253,0,11,37
110,2022-04-21,-8582,2020,6665,3640,714,301,1394,-1,617,0,-91,-11
111,2022-04-22,-22691,14536,8770,-4143,2433,5985,2371,-3,2128,0,-554,-60
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,-16049,2212,13905,-263,2413,8269,1457,94,1930,5,-77,8
115,2022-04-26,-3600,-1875,5443,1485,2315,1021,-25,489,158,0,48,-15
116,2022-04-27,-623,1994,-1393,-403,1089,-2271,264,-17,1,-57,23,-1
117,2022-04-28,-2868,2147,721,-60,615,-126,426,3,-137,0,-17,18
118,2022-04-29,-10491,9434,1289,2271,633,-1584,-142,1,-21,132,-116,-116
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,-548,-1690,2153,1610,268,-456,5,991,-256,-8,-4,88
122,2022-05-03,-3140,5299,-2363,-2226,839,-1400,114,-17,326,0,132,72
123,2022-05-04,-7413,6798,646,1350,-13,-423,-253,46,12,-74,-29,-1
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,-1988,2389,318,-143,705,-146,-8,-29,-60,0,-693,-26
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,-3719,2133,1535,-103,1258,-977,775,-3,590,-6,52,-2
129,2022-05-10,-6924,2724,4216,-734,1501,2534,-122,462,575,0,17,-33
130,2022-05-11,1390,-3140,1733,3170,410,-1233,-127,-11,-459,-18,30,-12
131,2022-05-12,-22829,13620,9376,-370,1985,5428,993,-466,1814,-9,-82,-84
132,2022-05-13,-15022,11162,5061,3789,444,2388,1017,-2,345,-2920,-1199,-3
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,-4778,11711,-6780,-6666,-598,-1007,520,-7,566,412,-143,-10
136,2022-05-17,-11790,8942,4519,2572,562,120,85,-9,1191,-3,-1656,-13
137,2022-05-18,-8100,12369,-3309,-3504,-987,-583,344,2,1167,251,-952,-8
138,2022-05-19,-19073,20721,-1154,-4226,341,1538,1213,-5,-130,115,-434,-60
139,2022-05-20,-11440,4944,6573,3860,950,2017,-112,-18,-118,-6,-40,-36
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,-6475,5878,618,1681,-526,-725,-234,-10,-37,469,2,-23
143,2022-05-24,-21018,15966,6449,5,1744,2990,166,30,1126,387,-1381,-16
144,2022-05-25,-2496,-588,3177,4075,-245,-534,-48,-2,-66,-3,-4,-89
145,2022-05-26,-8709,7770,956,-580,768,659,-48,37,-194,314,-15,-1
146,2022-05-27,-8491,7163,2361,3898,-1196,551,-476,-4,-823,411,-1006,-26
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,4240,2542,-162,2764,-856,-474,-1235,-66,-465,169,-6618,-3
150,2022-05-31,-3629,11559,-7715,-5129,-1630,217,-1282,-82,-55,247,-202,-13
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,-17507,21126,-3358,-5411,-43,1891,122,-3,90,-4,-243,-19
153,2022-06-03,-264,3609,-3246,1392,75,-4888,297,-3,-119,0,-99,-1
154,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0
157,2022-06-07,-32500,40866,-5168,-5215,417,-1711,701,0,640,0,-3175,-23
158,2022-06-08,2021,1600,-3359,-199,-152,-2977,-220,0,189,0,-259,-3
