,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,-1000,78,936,-1914,-122,3541,-488,0,-81,0,-32,18
3,2022-01-04,8319,-4502,-3609,-3287,28,-266,-46,0,-41,3,-165,-42
4,2022-01-05,25809,-13285,-12866,-4633,-2069,-6072,124,0,-174,-43,260,82
5,2022-01-06,9670,-7015,-3250,-3489,-106,653,-40,0,-268,0,505,91
6,2022-01-07,4116,-1748,-2551,-1235,-224,-902,-131,0,-59,0,123,60
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,-6278,9076,-3423,-511,-92,-2523,-291,0,-6,0,659,-34
10,2022-01-11,4991,2737,-7243,-1209,-230,-3809,-210,0,-1785,0,-513,28
11,2022-01-12,-2491,3359,-600,1963,238,-2060,346,0,-1063,-23,-265,-4
12,2022-01-13,8627,-3911,-4609,1420,-2609,-2950,-439,0,-31,0,-114,7
13,2022-01-14,2746,-974,-1810,-462,-1113,108,-69,0,-257,-16,33,5
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,3736,-5074,1137,469,-74,752,99,0,-109,0,163,37
17,2022-01-18,3768,-3095,-697,-80,-37,-535,-83,0,37,0,9,15
18,2022-01-19,3863,-3488,-449,1151,-735,-145,-569,-110,-166,127,109,-35
19,2022-01-20,-934,-1581,2508,1867,-17,-286,941,0,3,0,1,7
20,2022-01-21,4290,-5567,1189,256,-115,1122,49,0,-124,0,55,33
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,2526,-6266,3801,3829,-128,213,140,50,-303,0,-141,81
24,2022-01-25,-5531,3873,1351,1287,470,-1308,56,0,879,-32,315,-7
25,2022-01-26,4336,-759,-3590,-49,-196,-2168,-609,70,-638,0,-4,17
26,2022-01-27,4485,10382,-15552,-595,-3613,-8042,-2384,194,-1112,0,941,-256
27,2022-01-28,-2298,-3217,5240,4376,179,1226,-485,0,-56,0,-87,362
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,3714,-2848,-867,-195,47,-287,-435,0,2,0,-76,76
34,2022-02-04,1198,751,-2079,-541,306,-1134,-699,0,-12,0,128,3
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,10524,-4273,-6437,-2529,-112,-785,-3010,0,0,0,141,45
38,2022-02-08,-213,-385,626,1441,663,-1026,-412,0,-40,0,21,-49
39,2022-02-09,-5371,3826,1577,1209,218,-312,479,0,-16,0,-35,3
40,2022-02-10,4796,-2611,-2195,-1749,248,-1532,834,0,4,0,2,8
41,2022-02-11,-974,-783,1586,-402,234,1673,80,0,2,0,181,-10
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,2161,-1211,-993,475,-87,-941,-326,0,-106,-9,28,15
45,2022-02-15,-3997,4440,-389,656,-259,235,-997,0,-24,0,-44,-11
46,2022-02-16,-7379,2570,4791,1293,1187,492,1764,0,56,0,2,16
47,2022-02-17,2721,-5930,2472,-320,721,1647,254,0,169,0,741,-4
48,2022-02-18,-2447,193,2228,524,6,528,567,0,603,0,22,3
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,1509,-656,-708,157,-9,-367,-489,0,1,0,-148,2
52,2022-02-22,1829,-1018,-464,-362,-67,-33,101,0,-103,0,-317,-30
53,2022-02-23,-1405,674,752,49,1611,66,-952,0,-22,0,-1,-20
54,2022-02-24,1268,2011,-3598,-548,-61,-304,-2508,-7,-86,-85,317,3
55,2022-02-25,-5513,4674,942,1064,295,-235,-53,-11,-119,0,-107,4
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,3426,-3033,-441,-462,-11,-18,29,0,20,0,52,-4
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,-1984,107,1772,15,-5,2051,-151,0,-121,-18,104,0
61,2022-03-03,2554,-3350,505,-1068,258,-116,1479,0,-48,0,344,-53
62,2022-03-04,3695,-3526,-170,-384,94,-63,138,0,45,0,9,-8
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,9518,1023,-10707,-615,-286,-9763,-45,0,2,0,161,5
66,2022-03-08,50176,-9424,-41950,-9515,-2582,-21864,-7975,155,-127,-41,1146,52
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,11079,1067,-12257,10679,-9330,-7363,-5996,0,-141,-107,15,97
69,2022-03-11,18237,2618,-20673,241,-694,-18302,-1204,81,-715,-80,-270,88
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,7543,-1317,-7379,490,2830,-10794,261,0,-165,0,1139,14
73,2022-03-15,6919,-8289,1083,167,2769,-880,-984,0,11,0,252,34
74,2022-03-16,4935,-4542,-463,815,172,-926,-512,0,-13,0,63,7
75,2022-03-17,-20135,6050,14529,5685,5808,-1649,5001,-107,-210,0,-438,-6
76,2022-03-18,8909,-6093,-2869,-132,-86,-414,-2123,0,-114,0,52,1
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,2254,-551,-1472,-322,-42,-1149,-370,0,411,0,-210,-21
80,2022-03-22,-523,1685,-1216,1553,157,-22,-2892,0,-12,0,52,3
81,2022-03-23,-1284,-631,3300,1939,682,46,607,0,26,0,-1385,0
82,2022-03-24,-156,-1459,1428,-177,-76,1191,481,0,9,0,245,-57
83,2022-03-25,-3426,-1811,4961,-1203,136,3825,310,0,1894,0,292,-16
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,3092,-3941,713,-427,652,25,461,0,3,0,152,-15
87,2022-03-29,297,-916,1028,-709,530,985,299,-61,-16,0,-321,-88
88,2022-03-30,5237,-911,-4369,-2174,-1190,-186,-66,0,-753,0,38,4
89,2022-03-31,-4971,4576,-156,-439,74,-815,1302,0,-278,0,577,-27
90,2022-04-01,-4073,6138,-2409,-1748,135,44,-835,0,-4,0,306,38
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,-1870,2404,-865,-789,548,-2087,1456,0,6,0,324,6
94,2022-04-05,-3227,1494,1467,-1411,518,499,2320,-62,-398,0,274,-8
95,2022-04-06,2222,1629,-6247,-5542,168,-138,-706,0,-29,0,2388,7
96,2022-04-07,-3949,-158,3311,1470,713,1279,-143,0,-9,0,761,36
97,2022-04-08,-70182,30687,38821,8150,10634,6726,12045,0,1266,0,964,-290
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,45903,-41638,-5002,-2087,1380,-211,-4448,0,-104,469,453,285
101,2022-04-12,2549,-2211,70,-122,259,-215,169,0,-21,0,-319,-89
102,2022-04-13,-5118,-1968,7108,4010,550,2058,-163,494,57,101,12,-34
103,2022-04-14,-11207,4870,6337,4753,-2590,1259,1580,489,832,13,-92,93
104,2022-04-15,7051,-9790,814,-4520,2082,2269,64,0,907,12,1929,-4
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,11470,-6624,-6336,-7102,225,-218,104,0,708,-54,1364,127
108,2022-04-19,-25,1151,-1784,-1995,94,-1,0,0,119,0,656,2
109,2022-04-20,1113,2554,-1037,-112,-581,753,-542,-165,-401,11,-3057,427
110,2022-04-21,-6516,3927,2625,1821,549,928,110,-465,-318,0,-25,-10
111,2022-04-22,12952,-4214,-8710,-5906,-172,-856,-1542,-38,-69,-127,57,-85
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,-15536,11057,4718,-106,500,3888,239,0,198,0,-210,-28
115,2022-04-26,-16706,2660,13928,-703,3567,5014,3850,487,1724,-12,192,-73
116,2022-04-27,-11972,7639,4526,-1752,1153,5539,-867,0,454,0,-186,-7
117,2022-04-28,-6005,3992,209,-2196,471,1835,292,0,-194,0,1793,11
118,2022-04-29,-17279,9924,8111,2059,101,7828,-1875,-122,526,-407,-741,-15
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,2331,1105,-3942,-755,466,-213,-3340,0,-101,0,513,-7
122,2022-05-03,-2844,5111,-1323,-605,454,-681,-416,0,-75,0,-952,8
123,2022-05-04,1003,609,-686,-1909,319,380,452,0,72,0,-899,-27
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,-1719,2140,-179,1190,176,-165,-843,0,-536,0,-251,9
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,14,3739,-3751,1325,-36,-832,-4157,0,-52,0,1,-3
129,2022-05-10,-4992,4428,1155,6840,512,295,-6465,0,-27,0,-609,19
130,2022-05-11,8472,-3179,-5500,-192,54,-2700,-1615,-952,-49,-45,216,-9
131,2022-05-12,-1509,4895,-3564,-2208,811,-172,-1914,0,-185,104,223,-45
132,2022-05-13,-6130,-4516,10409,4493,512,3055,2323,0,-82,108,219,18
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,10452,-8976,-1886,-930,188,-759,-296,0,-79,-10,405,5
136,2022-05-17,2340,-639,-1773,-468,-274,-660,-65,0,-297,-10,-78,151
137,2022-05-18,5086,-247,-3815,-1691,-1176,2045,-2583,0,-410,0,-975,-48
138,2022-05-19,-19357,7240,12611,4172,1510,6930,-179,0,178,0,-349,-145
139,2022-05-20,-18303,-7788,25017,7724,9027,-1840,8586,0,1520,0,855,219
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,14620,-15759,-90,309,404,1047,-2673,497,-231,558,1229,-1
143,2022-05-24,12285,-7244,-5003,-2774,108,2167,-4671,24,143,0,-23,-15
144,2022-05-25,-8830,-6731,14923,6996,1020,7141,-2296,10,1931,119,627,11
145,2022-05-26,7331,-8578,1571,12,-638,1230,720,0,247,0,-371,47
146,2022-05-27,23282,-8736,-13487,-4832,-2334,-607,-4740,24,-998,0,-873,-186
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,-14998,10126,6124,2051,1883,4758,-2959,395,-4,0,-988,-265
150,2022-05-31,8597,572,-9043,-1732,-2312,-3593,-735,170,-840,0,-7,-120
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,-29741,24252,6390,-366,-567,8008,-683,0,-2,0,-878,-22
153,2022-06-03,1716,-2425,960,-1240,-354,2467,246,0,-159,0,-126,-126
154,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0
157,2022-06-07,6643,-2872,-3993,-5057,-2070,3796,-694,0,32,0,186,36
158,2022-06-08,1109,-2329,1243,742,-384,1595,-375,0,-335,0,-24,1
159,2022-06-09,-14124,-132,9067,5671,1083,2327,0,0,-13,0,5194,-5
