,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,9537,-5368,-4446,-6925,474,2755,-110,-5,-656,20,289,-12
3,2022-01-04,-895,8827,-8053,-7608,-93,-641,362,0,-98,25,116,4
4,2022-01-05,-6529,13094,-6683,-5446,-650,692,-1010,1,-273,3,138,-20
5,2022-01-06,3522,1026,-4095,-1896,446,-1382,-907,56,-392,-20,-524,71
6,2022-01-07,-7047,5193,1681,-141,70,2071,-281,0,-52,14,182,-8
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,1654,400,-1614,348,257,-1697,-405,0,-117,0,-452,12
10,2022-01-11,2428,-149,-2298,994,-447,-2198,-786,0,139,0,10,10
11,2022-01-12,-19416,15711,3671,5353,-3034,2563,-111,0,-1079,-20,44,-11
12,2022-01-13,10938,-1750,-8652,-4821,-416,-3354,51,0,-116,3,-563,28
13,2022-01-14,4739,1513,-6397,-3960,-304,-1717,-210,0,-131,-74,135,10
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,5557,-1659,-3962,-407,61,-1808,-16,0,-1793,0,49,16
17,2022-01-18,11319,-1637,-10179,-1783,-1494,-5045,-1334,0,-522,0,461,36
18,2022-01-19,-1858,553,1318,3101,-215,-1088,22,-388,-114,0,3,-16
19,2022-01-20,-2783,6111,-2501,1942,-553,-3524,-279,0,-87,0,-822,-5
20,2022-01-21,-573,4897,-4342,-425,-202,-2510,-572,-128,-505,0,15,4
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,772,-3475,2622,7216,-418,-3366,-36,0,-774,0,111,-30
24,2022-01-25,-550,6125,-5954,-1517,-367,-4010,296,-533,149,27,316,63
25,2022-01-26,1028,-3185,2249,6930,-755,-2587,134,-536,-937,-1,-97,5
26,2022-01-27,13300,8859,-22757,-1304,-4635,-15787,-74,-151,-791,-15,614,-15
27,2022-01-28,-12617,7851,4621,216,655,2557,187,37,922,47,214,-70
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,5985,-2146,-3632,-1319,-233,-2067,7,0,-23,3,-204,-3
34,2022-02-04,-689,6022,-5283,-2685,403,-2667,-380,0,30,17,-46,-4
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,10682,-1725,-9117,-7133,154,-2016,43,0,-177,11,131,30
38,2022-02-08,-7582,8395,-820,37,185,-915,1,9,-137,-1,28,-21
39,2022-02-09,2658,-3663,1206,1092,-630,8,-217,0,953,0,-208,7
40,2022-02-10,-4260,20453,-16214,-13829,-892,-1943,157,0,286,8,19,2
41,2022-02-11,-925,5236,-4349,-2856,-240,-1294,-72,0,157,-44,38,0
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,420,657,-2480,-188,-611,-1497,42,0,-196,-31,1417,-14
45,2022-02-15,3917,4886,-5506,1123,545,-6915,-328,0,70,0,-3288,-8
46,2022-02-16,1626,-181,-1175,2238,42,-3714,45,0,179,35,-260,-10
47,2022-02-17,-10638,9060,2107,-128,1996,-3340,610,-1,2955,14,-508,-21
48,2022-02-18,-4770,883,4276,1786,72,-833,-244,0,3496,0,-228,-161
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,2821,-832,-1900,-1386,1,-601,90,-37,33,0,-90,1
52,2022-02-22,3364,2121,-5793,-3230,-79,-3121,-58,1094,-400,0,306,2
53,2022-02-23,-1472,2417,-1046,1644,-652,-1413,-11,0,-614,0,112,-11
54,2022-02-24,1614,6389,-3101,-2016,-25,-1312,7,276,22,-52,-4874,-28
55,2022-02-25,6012,-4694,1342,2378,1326,-1977,96,0,-505,25,-2663,3
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,-2663,6555,-266,-1008,1575,-1017,9,0,175,0,-3626,0
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,-1444,4450,-194,-1001,1652,-940,32,0,242,-179,-2809,-3
61,2022-03-03,1227,1719,830,918,449,-1697,-46,563,643,0,-3760,-16
62,2022-03-04,7292,-2244,-2941,-1880,-403,-1250,-143,0,440,295,-2115,7
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,12121,-5231,-6240,-5228,-150,-522,-146,-91,-210,108,-661,12
66,2022-03-08,-1800,3767,-1862,-1879,-74,-401,61,0,431,0,-126,21
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,-24517,23001,2511,-3553,-29,5558,742,-323,73,42,-897,-99
69,2022-03-11,1186,-7376,6276,-1136,-182,7624,-15,0,-15,0,-47,-40
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,1972,-11494,9414,1121,1806,5832,143,-1,513,0,100,9
73,2022-03-15,2295,-6904,4618,-844,2211,2554,289,-511,807,114,-13,2
74,2022-03-16,-5782,-5176,10994,4597,545,6864,-207,-509,-296,0,-30,-6
75,2022-03-17,-3596,-906,4669,2227,208,1001,60,4,1125,44,-166,-1
76,2022-03-18,-343,1477,-953,39,-551,702,36,46,-1225,0,-182,1
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,11543,-5245,-6407,-1794,245,-4027,-52,0,-564,-216,101,8
80,2022-03-22,-3766,401,4244,3883,1924,-139,-467,-51,-892,-14,-749,-130
81,2022-03-23,-211,1618,-1336,1196,552,-2917,-37,0,-130,0,3,-74
82,2022-03-24,6086,632,-6719,-1947,-428,-3886,-9,0,-449,0,30,-29
83,2022-03-25,5072,-4042,-1055,64,206,-1273,-6,0,-157,112,23,3
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,7444,-661,-6136,1739,-184,-6473,-132,0,-1096,10,-616,-31
87,2022-03-29,-1376,-1032,3017,4907,-1199,-903,-25,0,237,0,-460,-149
88,2022-03-30,-4434,-52,4670,3326,66,268,452,10,544,3,-72,-112
89,2022-03-31,-3535,2940,618,3331,-1061,-977,-26,19,-676,10,-38,14
90,2022-04-01,6820,4634,-11576,-4676,-658,-4732,-630,0,-880,0,121,2
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,112,997,-1009,341,800,-2121,-767,0,790,-53,-90,-10
94,2022-04-05,1349,1806,-3136,-1844,-1119,-12,-6,0,-154,0,-20,0
95,2022-04-06,15782,-4339,-11195,-6044,188,-4849,-180,0,-309,0,-315,66
96,2022-04-07,17721,-10607,-8260,-4397,-1271,-1048,-247,-726,-571,0,1159,-14
97,2022-04-08,4408,-3795,-1175,-627,-205,-143,-23,0,-176,0,557,5
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,3628,-7005,-852,-155,-80,-358,1,0,-143,-117,4182,48
101,2022-04-12,6179,-3502,-1367,-482,38,-858,-47,65,-128,45,-1313,3
102,2022-04-13,-2858,3509,2438,2893,40,-1323,82,555,187,4,-3094,5
103,2022-04-14,11719,-4684,-7047,-280,-623,-7213,383,9,671,5,11,1
104,2022-04-15,9020,-981,-8092,-4767,-756,-1716,-281,0,-573,0,31,22
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,-1894,283,1732,347,-47,-973,1127,0,1278,0,-120,-1
108,2022-04-19,-1273,-1437,2407,2345,13,428,-18,0,-328,-32,306,-3
109,2022-04-20,1091,5582,-4528,-3075,-470,-614,-1,0,-368,0,-2149,4
110,2022-04-21,-6968,496,6456,4604,616,403,59,94,674,5,25,-9
111,2022-04-22,5957,384,-6408,-5871,-131,-237,-121,0,-42,-5,65,2
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,5251,-2964,-2486,-1379,-237,-997,24,-2,103,1,238,-38
115,2022-04-26,1240,-2870,1484,2115,315,-803,16,0,-159,0,145,1
116,2022-04-27,1975,295,-2489,-1908,-275,-313,-67,27,45,1,184,35
117,2022-04-28,-36744,25820,10425,68,1890,1170,4390,34,2888,-15,584,-85
118,2022-04-29,-6427,7386,-872,-2429,-65,1877,-1078,42,778,3,-93,5
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,-13948,4127,5648,-1794,3394,257,805,-30,3007,9,4281,-108
122,2022-05-03,1467,1954,-2425,-3208,1234,-497,-643,0,688,0,-1001,5
123,2022-05-04,-2822,1389,2597,234,126,1873,-86,0,504,-54,-1163,-1
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,427,1528,-304,-1395,134,958,-71,0,90,-19,-1674,23
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,970,-940,20,757,-68,-780,645,0,-519,-16,-74,24
129,2022-05-10,2769,-2943,138,113,-312,1170,-734,2,-63,-37,41,-4
130,2022-05-11,2971,-4643,1059,-1934,-58,3034,-52,10,56,2,606,7
131,2022-05-12,-5802,1852,3739,422,1925,1726,-71,0,-219,-45,205,7
132,2022-05-13,-14076,-754,15680,7832,1860,3588,2407,0,-50,43,-870,21
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,-6437,3391,3068,-2754,4851,1333,-234,0,-22,-107,-22,0
136,2022-05-17,-6513,-994,7364,3324,1832,1437,158,0,635,-22,162,-19
137,2022-05-18,-313,3735,-3510,-3559,-99,-835,712,3,285,-17,71,17
138,2022-05-19,-4733,6156,-1401,-2999,778,1889,-645,0,-247,-176,-17,-5
139,2022-05-20,-5427,-4936,10380,6590,1325,3259,-480,0,-309,-5,2,-19
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,-975,-2480,3266,2946,1665,-1568,54,-10,179,0,143,45
143,2022-05-24,149,2100,-2318,-1133,-455,1255,8,0,-1978,-15,51,19
144,2022-05-25,-6672,5016,1683,4847,377,-3282,-107,0,-227,75,-23,-4
145,2022-05-26,3332,633,-3847,-278,698,-3665,18,0,-620,0,-121,4
146,2022-05-27,-5134,-1090,6245,6053,-381,330,126,0,116,0,-15,-5
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,-27022,15677,12204,4887,1262,4456,701,-31,513,416,-794,-64
150,2022-05-31,-10271,17121,-6161,-5996,1386,-1249,-35,-598,331,0,-632,-57
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,3861,-2100,-1739,-4127,74,2472,-395,0,237,0,-23,1
153,2022-06-03,-2396,-4727,7188,2768,702,3609,67,331,-143,-146,-65,0
154,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0
157,2022-06-07,6053,3737,-9796,-8504,-308,821,-1857,0,52,0,-4,9
158,2022-06-08,-6183,5881,327,-3372,-345,3048,-84,0,981,100,-14,-12
