,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,-1372,3294,-1845,-4266,433,2074,-94,0,8,0,-75,-2
1,2022-01-04,-7309,4826,2595,-3635,1263,3808,84,0,1075,0,-123,11
2,2022-01-05,-67,-279,89,-4955,-966,2942,29,0,2962,77,261,-4
3,2022-01-06,894,-3492,2758,-1241,-313,3219,-2,0,1094,0,-132,-28
4,2022-01-07,-10257,7345,3451,-1739,3106,-784,1270,182,1416,0,-534,-6
5,2022-01-10,-47450,36169,12408,158,2068,2001,6053,20,2170,-62,-1072,-55
6,2022-01-11,-13728,14299,-1684,-1666,-180,-3281,751,0,2689,3,953,161
7,2022-01-12,-18987,23022,-3127,448,-1335,-904,-417,0,-868,-52,-1062,154
8,2022-01-13,-10945,12258,-788,-1435,217,-537,-307,0,1422,-148,-458,-68
9,2022-01-14,-14142,16719,-2508,-3864,-826,1138,-30,0,1212,-138,-247,178
10,2022-01-17,-5385,6832,-1421,-2974,530,362,152,0,515,-6,-25,-1
11,2022-01-18,-5470,8366,-2773,-1461,220,-908,-957,0,350,-16,1,-124
12,2022-01-19,-2845,2411,396,-158,-303,-937,-57,0,2017,-167,9,29
13,2022-01-20,-1600,1778,-449,-823,-895,-1753,-294,0,3777,-460,266,5
14,2022-01-21,-2801,5141,-2292,84,-178,-1589,-335,0,-274,0,-17,-30
15,2022-01-24,-7432,4104,-988,4641,-111,-4925,-536,0,-17,-40,4327,-10
16,2022-01-25,-10070,12873,-2688,3501,-153,-5410,-665,0,136,-97,-159,45
17,2022-01-26,-8081,9824,-1715,-1004,1207,-1449,177,0,-472,-174,-20,-8
18,2022-01-27,-5957,17803,-11575,-1619,-436,-9165,-498,0,239,-96,-269,-1
19,2022-01-28,-3851,6146,-2104,-1039,-85,-3419,225,0,2240,-26,-190,-1
20,2022-02-03,-1704,5294,-3307,-706,-205,-2002,-321,0,-72,0,-285,1
21,2022-02-04,-17377,22060,-4543,-3217,784,175,2033,0,-4317,0,85,-225
22,2022-02-07,7783,-4325,-3564,-5450,-871,1162,620,0,975,0,96,10
